min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.07,4.65,20.0,1.01,13.0,0.50,1.85,1.65,3.50,1.53,2.00,4.50,1.49,2.15,11.0,0,0
2,1.07,4.65,20.0,1.01,13.0,0.50,1.85,1.65,3.50,1.53,2.00,4.50,1.49,2.15,11.0,0,0
3,1.07,4.65,20.0,1.01,13.0,0.50,1.85,1.65,3.50,1.53,2.00,4.50,1.49,2.15,11.0,0,0
4,1.07,4.65,20.0,1.01,13.0,0.50,1.85,1.65,3.50,1.53,2.00,4.50,1.49,2.15,11.0,0,0
5,1.07,4.65,20.0,1.01,13.0,0.50,1.85,1.65,3.50,1.53,2.00,4.50,1.49,2.15,11.0,0,0
6,1.07,4.65,20.0,1.01,13.0,0.50,1.83,1.66,3.50,1.51,2.10,3.50,2.15,1.48,11.0,0,0
7,1.08,4.65,20.0,1.01,13.0,0.50,1.82,1.68,3.50,1.49,2.10,3.50,2.10,1.50,10.5,0,0
8,1.08,4.70,20.0,1.01,12.0,0.50,1.80,1.69,3.50,1.47,2.15,3.50,2.05,1.52,10.5,0,0
9,1.08,4.70,20.0,1.01,12.0,0.50,1.78,1.70,3.50,1.46,2.20,3.50,2.00,1.54,10.0,0,0
10,1.08,4.70,20.0,1.01,12.0,0.50,1.77,1.72,2.50,2.25,1.44,3.50,1.98,1.57,10.0,0,0
11,1.08,4.70,20.0,1.02,12.0,0.50,1.75,1.73,2.50,2.20,1.45,3.50,1.94,1.59,10.0,0,0
12,1.08,4.70,20.0,1.02,12.0,0.50,1.74,1.75,2.50,2.20,1.47,3.50,1.90,1.62,9.50,0,0
13,1.08,4.70,20.0,1.02,12.0,0.50,1.72,1.76,2.50,2.15,1.49,3.50,1.86,1.64,9.50,0,0
14,1.08,4.70,20.0,1.03,12.0,0.50,1.71,1.78,2.50,2.10,1.51,3.50,1.82,1.67,9.00,0,0
