min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.66,2.45,9.00,1.91,3.35,0.50,2.35,1.46,1.50,1.50,2.25,1,1,1,3.30,0,0
2,1.66,2.45,9.00,1.91,3.35,0.50,2.35,1.46,1.50,1.50,2.25,1,1,1,3.30,0,0
3,1.66,2.45,9.00,1.91,3.35,0.50,2.35,1.46,1.50,1.50,2.25,1,1,1,3.30,0,0
4,1.66,2.45,9.00,1.91,3.35,0.50,2.35,1.46,1.50,1.50,2.25,1,1,1,3.30,0,0
5,1.66,2.45,9.00,1.91,3.35,0.50,2.35,1.46,1.50,1.50,2.25,1,1,1,3.30,0,0
6,1.67,2.45,8.50,1.92,3.40,0.50,2.30,1.47,1.50,1.49,2.30,1,1,1,3.30,0,0
7,1.67,2.45,8.50,1.94,3.35,0.50,2.30,1.48,1.50,1.47,2.30,1,1,1,3.25,0,0
8,1.68,2.45,8.00,1.94,3.40,0.50,2.30,1.49,1.50,1.46,2.35,1,1,1,3.25,0,0
9,1.68,2.45,8.00,1.95,3.40,0.50,2.25,1.49,1.50,1.45,2.40,1,1,1,3.20,0,0
10,1.69,2.50,8.00,1.96,3.40,0.50,2.20,1.50,1.50,1.44,2.40,1,1,1,3.20,0,0
11,1.69,2.50,7.50,1.97,3.40,0.50,2.20,1.51,1.50,1.43,2.45,1,1,1,3.20,0,0
12,1.70,2.50,7.50,1.98,3.40,0.50,2.20,1.52,1.50,1.42,2.50,1,1,1,3.15,0,0
13,1.71,2.50,7.00,1.98,3.40,0.50,2.15,1.53,1.50,1.41,2.50,1.50,2.45,1.43,3.15,0,0
14,1.71,2.50,7.00,1.99,3.40,0.50,2.10,1.54,1.50,1.40,2.55,1.50,2.40,1.44,3.10,0,0
15,1.72,2.50,7.00,4.30,1.61,1.50,2.10,1.56,1.50,1.39,2.60,1,1,1,3.60,1,0
16,1.72,2.50,7.00,4.35,1.60,1.50,2.10,1.57,1.50,1.38,2.65,1,1,1,3.60,1,0
17,1.72,2.50,7.00,4.40,1.60,1.50,2.05,1.58,1.50,1.37,2.70,1,1,1,3.60,1,0
18,1.72,2.50,7.00,4.45,1.59,1.50,2.00,1.59,1.50,1.36,2.70,1,1,1,3.60,1,0
19,1.72,2.50,7.00,4.50,1.59,1.50,2.00,1.60,1.50,1.35,2.75,1,1,1,3.60,1,0
20,1.72,2.50,7.00,4.55,1.59,1.50,2.00,1.61,1.50,1.34,2.80,1,1,1,3.60,1,0
21,1.72,2.50,7.00,2.05,3.45,1.50,1.98,1.63,1.50,2.80,1.34,3.50,2.10,1.55,2.95,1,1
22,1.72,2.50,7.00,2.05,3.50,1.50,1.96,1.64,1.50,2.80,1.34,3.50,2.10,1.57,2.95,1,1
23,1.72,2.50,7.00,2.05,3.50,1.50,1.93,1.66,1.50,2.75,1.35,3.50,2.05,1.58,2.90,1,1
24,1.72,2.50,7.00,2.05,3.50,1.50,1.91,1.67,1.50,2.70,1.36,3.50,2.00,1.60,2.90,1,1
25,1.72,2.50,7.00,2.10,3.50,1.50,1.89,1.69,1.50,2.65,1.37,3.50,1.98,1.63,2.85,1,1
26,1.72,2.50,7.00,2.10,3.50,1.50,1.86,1.71,1.50,2.60,1.39,3.50,1.94,1.65,2.85,1,1
27,1.72,2.50,7.00,2.10,3.50,1.50,1.84,1.73,1.50,2.60,1.40,3.50,1.90,1.68,2.80,1,1
28,1.72,2.50,7.00,2.10,3.50,1.50,1.82,1.75,1.50,2.55,1.41,3.50,1.87,1.70,2.80,1,1
29,1.72,2.50,7.00,2.10,3.50,1.50,1.80,1.76,1.50,2.50,1.42,3.50,1.83,1.73,2.75,1,1
30,1.72,2.50,7.00,2.15,3.50,1.50,1.78,1.78,1.50,2.45,1.43,3.50,1.80,1.76,2.70,1,1
31,1.72,2.50,7.00,2.15,3.50,1.50,1.76,1.81,1.50,2.40,1.44,3.50,1.77,1.80,2.70,1,1
32,1.72,2.50,7.00,2.15,3.55,1.50,1.74,1.82,1.50,2.40,1.45,3.50,1.74,1.83,2.70,1,1
33,1.72,2.50,7.00,2.20,3.55,1.50,1.72,1.85,1.50,2.35,1.47,3.50,1.71,1.86,2.65,1,1
34,1.72,2.50,7.00,2.20,3.55,1.50,1.70,1.87,1.50,2.30,1.48,3.50,1.68,1.90,2.60,1,1
35,1.72,2.50,7.00,2.20,3.60,1.50,1.68,1.90,1.50,2.25,1.49,3.50,1.66,1.93,2.60,1,1
36,1.72,2.50,7.00,2.20,3.60,1.50,1.66,1.92,1.50,2.20,1.50,3.50,1.63,1.98,2.55,1,1
37,1.72,2.50,7.00,2.25,3.60,1.50,1.65,1.95,1.50,2.20,1.52,3.50,1.61,2.00,2.55,1,1
38,1.72,2.50,7.00,2.25,3.60,1.50,1.63,1.98,1.50,2.15,1.53,3.50,1.58,2.05,2.50,1,1
39,1.72,2.50,7.00,2.30,3.60,1.50,1.62,2.00,1.50,2.10,1.55,3.50,1.56,2.10,2.50,1,1
40,1.72,2.50,7.00,2.30,3.65,1.50,1.60,2.00,1.50,2.10,1.56,3.50,1.54,2.10,2.45,1,1
41,1.72,2.50,7.00,2.30,3.70,1.50,1.58,2.05,1.50,2.05,1.58,3.50,1.52,2.20,2.45,1,1
42,1.72,2.50,7.00,2.35,3.70,1.50,1.57,2.05,1.50,2.00,1.60,3.50,1.50,2.20,2.40,1,1
43,1.72,2.50,7.00,2.35,3.70,1.50,1.55,2.10,1.50,2.00,1.61,3.50,1.48,2.30,2.40,1,1
44,1.72,2.50,7.00,2.40,3.75,1.50,1.54,2.15,1.50,1.97,1.63,3.50,1.46,2.35,2.35,1,1
45,1.72,2.50,7.00,2.40,3.75,1.50,1.53,2.15,1.50,1.94,1.66,3.50,1.45,2.40,2.30,1,1
48,1.72,2.50,7.00,2.45,3.80,1.50,1.48,2.30,1.50,1.84,1.73,3.50,1.39,2.60,2.20,1,1
49,1.72,2.50,7.00,2.50,3.85,1.50,1.47,2.30,1.50,1.81,1.76,3.50,1.37,2.70,2.20,1,1
50,1.72,2.50,7.00,2.50,3.85,1.50,1.46,2.35,1.50,1.78,1.79,3.50,1.35,2.75,2.15,1,1
51,1.72,2.50,7.00,2.55,3.90,1.50,1.44,2.40,1.50,1.75,1.82,3.50,1.34,2.80,2.10,1,1
52,1.72,2.50,7.00,2.60,3.90,1.50,1.43,2.45,1.50,1.72,1.85,1,1,1,2.10,1,1
53,1.72,2.50,7.00,1.14,16.0,1.50,1.42,2.50,2.50,1.70,1.88,3.50,2.70,1.36,5.00,1,2
54,1.72,2.50,7.00,1.14,16.0,1.50,1.40,2.55,2.50,1.67,1.91,3.50,2.65,1.38,5.00,1,2
55,1.72,2.50,7.00,1.14,16.0,1.50,1.39,2.60,2.50,1.65,1.95,3.50,2.60,1.40,5.00,1,2
56,1.72,2.50,7.00,1.13,17.0,1.50,1.38,2.65,2.50,1.62,1.99,3.50,2.50,1.41,5.00,1,2
57,1.72,2.50,7.00,1.13,17.0,1.50,1.37,2.70,2.50,1.60,2.00,3.50,2.45,1.43,5.00,1,2
58,1.72,2.50,7.00,1.12,18.0,1.50,1.35,2.75,2.50,1.57,2.05,3.50,2.40,1.45,5.00,1,2
59,1.72,2.50,7.00,1.12,18.0,1.50,1.34,2.80,2.50,1.55,2.10,3.50,2.30,1.47,5.00,1,2
60,1.72,2.50,7.00,1.22,14.0,1.50,1.42,2.50,2.50,1.37,2.70,3.50,2.10,1.55,4.30,1,2
61,1.72,2.50,7.00,1.18,15.0,1.50,1.40,2.55,2.50,1.45,2.40,3.50,2.25,1.50,4.60,1,2
62,1.72,2.50,7.00,1.18,15.0,1.50,1.39,2.60,2.50,1.43,2.45,3.50,2.20,1.52,4.60,1,2
63,1.72,2.50,7.00,1.17,16.0,1.50,1.37,2.70,2.50,1.41,2.50,3.50,2.10,1.55,4.65,1,2
64,1.72,2.50,7.00,1.17,16.0,1.50,1.36,2.75,2.50,1.40,2.60,3.50,2.05,1.57,4.70,1,2
65,1.72,2.50,7.00,1.16,17.0,1.50,1.34,2.80,2.50,1.38,2.65,3.50,2.00,1.61,4.80,1,2
66,1.72,2.50,7.00,1.15,17.0,1.50,1.32,2.90,2.50,1.36,2.70,3.50,1.96,1.64,4.85,1,2
67,1.72,2.50,7.00,1.14,18.0,1.50,1.30,3.00,2.50,1.35,2.80,3.50,1.90,1.68,4.90,1,2
68,1.72,2.50,7.00,1.14,19.0,1.50,1.29,3.05,2.50,1.33,2.85,3.50,1.84,1.72,5.00,1,2
69,1.72,2.50,7.00,1.13,19.0,1.50,1.27,3.15,2.50,1.31,2.95,3.50,1.79,1.77,5.00,1,2
70,1.72,2.50,7.00,1.12,20.0,1.50,1.25,3.25,2.50,1.29,3.05,3.50,1.74,1.83,5.00,1,2
71,1.72,2.50,7.00,1.11,21.0,1.50,1.24,3.35,2.50,1.27,3.10,3.50,1.70,1.88,5.00,1,2
72,1.72,2.50,7.00,1.11,22.0,1.50,1.22,3.45,2.50,1.25,3.20,3.50,1.65,1.94,5.00,1,2
73,1.72,2.50,7.00,1.10,22.0,1.50,1.20,3.55,2.50,1.24,3.35,3.50,1.61,2.00,5.00,1,2
74,1.72,2.50,7.00,1.09,24.0,1.50,1.18,3.70,2.50,1.22,3.45,3.50,1.57,2.05,5.50,1,2
75,1.72,2.50,7.00,1.08,24.0,1.50,1.17,3.85,2.50,1.20,3.60,3.50,1.53,2.15,5.50,1,2
76,1.72,2.50,7.00,1.08,25.0,1.50,1.15,4.00,2.50,1.18,3.75,3.50,1.49,2.25,5.50,1,2
77,1.72,2.50,7.00,1.07,26.0,1.50,1.13,4.20,2.50,1.16,3.90,3.50,1.46,2.35,6.00,1,2
78,1.72,2.50,7.00,1.06,28.0,1.50,1.11,4.40,2.50,1.14,4.10,3.50,1.43,2.45,6.00,1,2
79,1.72,2.50,7.00,1.05,31.0,1.50,1.10,4.65,2.50,1.12,4.30,3.50,1.39,2.60,6.00,1,2
80,1.72,2.50,7.00,1.05,31.0,1.50,1.08,4.90,2.50,1.10,4.55,3.50,1.36,2.70,6.50,1,2
81,1.72,2.50,7.00,1.07,28.0,1.50,1.12,4.35,2.50,1.10,4.65,3.50,1.39,2.60,6.00,1,2
82,1.72,2.50,7.00,1.06,30.0,1.50,1.10,4.65,2.50,1.08,5.00,3.50,1.35,2.75,6.00,1,2
83,1.72,2.50,7.00,1.05,32.0,1.50,1.08,5.00,2.50,1.07,5.00,3.50,1.31,2.90,6.50,1,2
84,1.72,2.50,7.00,1.04,34.0,1.50,1.06,5.00,2.50,1.05,5.50,3.50,1.27,3.10,7.00,1,2
85,1.72,2.50,7.00,1.03,37.0,1.50,1.05,5.50,2.50,1.04,6.00,3.50,1.23,3.35,7.50,1,2
86,1.72,2.50,7.00,1.03,41.0,1.50,1.04,6.00,2.50,1.03,7.00,3.50,1.19,3.60,8.00,1,2
87,1.72,2.50,7.00,1.03,46.0,1.50,1.03,7.00,2.50,1.03,7.50,3.50,1.15,3.95,9.00,1,2
88,1.72,2.50,7.00,1.02,49.0,1.50,1.03,8.00,2.50,1.02,8.50,3.50,1.11,4.40,9.50,1,2
89,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
90,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
91,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
92,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
93,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
94,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
95,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,2
96,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,3
97,1.72,2.50,7.00,1.02,57.0,1,1,1,1,1,1,1,1,1,11.0,1,3
