min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.70,2.20,11.5,4.00,1.57,2.50,1.44,2.40,1.50,1.64,1.96,3.50,1.96,1.64,4.00,1,0
2,1.70,2.20,11.5,4.00,1.57,2.50,1.44,2.40,1.50,1.64,1.96,3.50,1.96,1.64,4.00,1,0
3,1.70,2.20,11.5,4.00,1.57,2.50,1.44,2.40,1.50,1.64,1.96,3.50,1.96,1.64,4.00,1,0
4,1.70,2.20,11.5,4.00,1.57,2.50,1.44,2.40,1.50,1.64,1.96,3.50,1.96,1.64,4.00,1,0
5,1.70,2.20,11.5,4.00,1.57,2.50,1.44,2.40,1.50,1.64,1.96,3.50,1.96,1.64,4.00,1,0
6,1.70,2.20,11.5,4.05,1.57,2.50,1.43,2.45,1.50,1.63,1.99,3.50,1.93,1.66,4.00,1,0
7,1.70,2.20,11.5,4.10,1.57,2.50,1.42,2.50,1.50,1.61,2.00,3.50,1.89,1.69,4.00,1,0
8,1.70,2.20,11.5,4.00,1.59,2.50,1.38,2.65,1.50,1.59,2.00,3.50,1.81,1.75,3.90,1,0
9,1.70,2.20,11.5,4.15,1.58,2.50,1.34,2.80,1.50,1.54,2.15,3.50,1.70,1.88,3.85,1,0
10,1.70,2.20,11.5,4.20,1.58,1.50,2.80,1.34,1.50,1.53,2.15,3.50,1.68,1.90,3.90,1,0
11,1.70,2.20,11.5,4.20,1.58,1.50,2.80,1.34,1.50,1.51,2.20,3.50,1.66,1.94,3.85,1,0
12,1.70,2.20,11.5,4.25,1.57,1.50,2.75,1.35,1.50,1.50,2.25,3.50,1.63,1.97,3.85,1,0
13,1.70,2.20,11.5,3.85,1.65,1.50,2.70,1.36,1.50,1.57,2.05,3.50,1.70,1.88,3.80,1,0
14,1.70,2.20,11.5,3.85,1.64,1.50,2.70,1.37,1.50,1.56,2.10,3.50,1.67,1.92,3.75,1,0
15,1.70,2.20,11.5,3.90,1.64,1.50,2.65,1.38,1.50,1.54,2.10,3.50,1.64,1.96,3.75,1,0
16,1.70,2.20,11.5,3.95,1.63,1.50,2.60,1.39,1.50,1.53,2.15,3.50,1.62,2.00,3.75,1,0
