min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.34,2.95,17.0,1.35,5.50,1.50,1.21,3.25,2.50,1.45,2.20,3.50,1.49,2.15,4.40,0,0
2,1.34,2.95,17.0,1.35,5.50,1.50,1.21,3.25,2.50,1.45,2.20,3.50,1.49,2.15,4.40,0,0
3,1.34,2.95,17.0,1.35,5.50,1.50,1.21,3.25,2.50,1.45,2.20,3.50,1.49,2.15,4.40,0,0
4,1.34,2.95,17.0,1.35,5.50,1.50,1.21,3.25,2.50,1.45,2.20,3.50,1.49,2.15,4.40,0,0
5,1.34,2.95,17.0,1.35,5.50,1.50,1.21,3.25,2.50,1.45,2.20,3.50,1.49,2.15,4.40,0,0
6,1.34,2.95,17.0,1.35,5.00,0.50,2.40,1.40,2.50,1.44,2.25,3.50,1.47,2.20,4.35,0,0
7,1.34,3.00,16.0,1.36,5.00,0.50,2.35,1.41,2.50,1.43,2.30,3.50,1.45,2.25,4.30,0,0
8,1.34,3.00,16.0,1.36,5.00,0.50,2.35,1.41,2.50,1.41,2.35,1,1,1,4.30,0,0
9,1.34,3.00,15.0,1.37,5.00,0.50,2.30,1.42,2.50,1.40,2.40,1,1,1,4.25,0,0
10,1.35,3.00,15.0,1.37,5.00,0.50,2.30,1.43,1.50,2.40,1.40,1,1,1,4.20,0,0
11,1.35,3.00,15.0,1.38,5.00,0.50,2.25,1.44,1.50,2.35,1.41,1,1,1,4.15,0,0
12,1.35,3.00,14.0,1.38,5.00,0.50,2.20,1.45,1.50,2.30,1.42,1,1,1,4.10,0,0
13,1.35,3.00,14.0,1.39,5.00,0.50,2.20,1.46,1.50,2.30,1.43,1,1,1,4.10,0,0
14,1.35,3.00,14.0,1.39,5.00,0.50,2.20,1.47,1.50,2.25,1.45,1,1,1,4.05,0,0
15,1.36,3.00,13.0,1.39,5.00,0.50,2.15,1.48,1.50,2.20,1.46,1,1,1,4.00,0,0
16,1.36,3.00,13.0,1.40,5.00,0.50,2.10,1.49,1.50,2.15,1.48,1,1,1,4.00,0,0
17,1.36,3.00,12.0,1.41,5.00,0.50,2.10,1.50,1.50,2.10,1.49,1,1,1,3.95,0,0
18,1.37,3.00,12.0,1.41,5.00,0.50,2.10,1.51,1.50,2.10,1.51,1,1,1,3.90,0,0
19,1.37,3.05,12.0,1.42,5.00,0.50,2.05,1.52,1.50,2.05,1.53,1,1,1,3.85,0,0
20,1.37,3.05,11.5,1.42,5.00,0.50,2.00,1.53,1.50,2.00,1.55,1,1,1,3.85,0,0
21,1.38,3.05,11.5,1.43,5.00,0.50,2.00,1.55,1.50,1.99,1.56,1,1,1,3.80,0,0
22,1.38,3.05,11.0,1.43,5.00,0.50,2.00,1.56,1.50,1.95,1.59,1,1,1,3.75,0,0
23,1.38,3.05,10.5,1.44,5.00,0.50,1.97,1.57,1.50,1.91,1.61,1,1,1,3.70,0,0
24,1.39,3.10,10.5,1.44,5.00,0.50,1.95,1.58,1.50,1.88,1.63,1,1,1,3.70,0,0
25,1.39,3.10,10.0,1.45,5.00,0.50,1.93,1.60,1.50,1.85,1.65,1,1,1,3.65,0,0
26,1.39,3.10,10.0,1.46,5.00,0.50,1.90,1.61,1.50,1.81,1.68,1,1,1,3.60,0,0
27,1.40,3.10,9.50,1.46,5.00,0.50,1.88,1.63,1.50,1.78,1.70,1,1,1,3.60,0,0
28,1.40,3.10,9.00,1.47,5.00,0.50,1.85,1.65,1.50,1.75,1.73,1,1,1,3.50,0,0
29,1.41,3.10,9.00,1.47,5.00,0.50,1.83,1.66,1.50,1.73,1.76,1,1,1,3.50,0,0
30,1.41,3.10,8.50,1.10,12.0,0.50,2.10,1.50,2.50,1.66,1.84,3.50,1.58,1.97,5.50,0,1
31,1.41,3.10,8.50,1.10,12.0,0.50,2.05,1.51,2.50,1.63,1.88,3.50,1.55,2.00,5.50,0,1
32,1.41,3.10,8.50,1.11,12.0,0.50,2.05,1.53,2.50,1.60,1.92,3.50,1.53,2.05,5.50,0,1
33,1.41,3.10,8.50,1.10,12.0,0.50,2.00,1.54,2.50,1.58,1.95,3.50,1.50,2.10,5.50,0,1
34,1.41,3.10,8.50,1.10,12.0,0.50,2.00,1.56,2.50,1.56,1.99,3.50,1.48,2.15,5.50,0,1
35,1.41,3.10,8.50,1.10,13.0,0.50,1.97,1.57,2.50,1.54,2.00,3.50,1.46,2.20,5.50,0,1
36,1.41,3.10,8.50,1.18,9.50,0.50,2.30,1.43,2.50,1.52,2.05,3.50,1.53,2.00,5.00,0,1
37,1.41,3.10,8.50,1.18,10.0,0.50,2.25,1.44,2.50,1.50,2.10,3.50,1.51,2.10,5.00,0,1
38,1.41,3.10,8.50,1.18,10.0,0.50,2.20,1.46,2.50,1.48,2.15,3.50,1.48,2.15,5.00,0,1
39,1.41,3.10,8.50,1.18,10.0,0.50,2.20,1.47,2.50,1.46,2.20,3.50,1.46,2.20,5.00,0,1
40,1.41,3.10,8.50,1.17,10.0,0.50,2.15,1.48,2.50,1.45,2.25,3.50,1.44,2.30,5.00,0,1
41,1.41,3.10,8.50,1.18,10.0,0.50,2.10,1.50,2.50,1.43,2.30,3.50,1.42,2.35,5.00,0,1
42,1.41,3.10,8.50,1.18,10.0,0.50,2.05,1.51,2.50,1.41,2.35,3.50,1.39,2.40,4.95,0,1
43,1.41,3.10,8.50,1.18,10.5,0.50,2.05,1.53,2.50,1.40,2.40,1,1,1,4.95,0,1
44,1.41,3.10,8.50,1.18,10.5,0.50,2.00,1.55,2.50,1.38,2.45,1,1,1,4.95,0,1
45,1.41,3.10,8.50,1.72,3.80,1.50,1.87,1.64,2.50,1.42,2.30,3.50,2.30,1.42,3.20,1,1
46,1.41,3.10,8.50,1.73,3.80,1.50,1.84,1.66,2.50,1.40,2.40,3.50,2.25,1.45,3.15,1,1
47,1.41,3.10,8.50,1.75,3.85,1.50,1.81,1.68,2.50,1.38,2.45,3.50,2.20,1.47,3.15,1,1
48,1.41,3.10,8.50,1.76,3.85,1.50,1.78,1.71,2.50,1.36,2.50,3.50,2.10,1.50,3.10,1,1
49,1.41,3.10,8.50,1.78,3.85,1.50,1.75,1.73,2.50,1.35,2.60,3.50,2.05,1.52,3.05,1,1
50,1.41,3.10,8.50,1.79,3.85,1.50,1.72,1.76,2.50,1.33,2.65,3.50,2.00,1.55,3.00,1,1
51,1.41,3.10,8.50,1.80,3.90,1.50,1.69,1.80,2.50,1.31,2.70,3.50,1.96,1.58,2.95,1,1
52,1.41,3.10,8.50,1.82,3.90,1.50,1.67,1.83,1.50,2.75,1.31,3.50,1.90,1.61,2.95,1,1
53,1.41,3.10,8.50,1.84,3.90,1.50,1.64,1.86,1.50,2.70,1.32,3.50,1.85,1.65,2.90,1,1
54,1.41,3.10,8.50,1.86,3.95,1.50,1.62,1.89,1.50,2.60,1.34,3.50,1.80,1.69,2.85,1,1
55,1.41,3.10,8.50,1.88,3.90,1.50,1.60,1.93,1.50,2.55,1.36,3.50,1.75,1.74,2.80,1,1
56,1.41,3.10,8.50,1.90,3.95,1.50,1.57,1.97,1.50,2.50,1.38,3.50,1.70,1.79,2.75,1,1
57,1.41,3.10,8.50,1.92,3.95,1.50,1.55,2.00,1.50,2.40,1.40,3.50,1.65,1.85,2.70,1,1
58,1.41,3.10,8.50,1.94,4.00,1.50,1.53,2.05,1.50,2.35,1.41,3.50,1.61,1.91,2.65,1,1
59,1.41,3.10,8.50,1.96,4.00,1.50,1.51,2.10,1.50,2.30,1.43,3.50,1.57,1.97,2.60,1,1
60,1.41,3.10,8.50,1.99,4.00,1.50,1.49,2.10,1.50,2.20,1.46,3.50,1.53,2.00,2.55,1,1
61,1.41,3.10,8.50,2.00,4.05,1.50,1.47,2.20,1.50,2.15,1.48,3.50,1.50,2.10,2.50,1,1
62,1.41,3.10,8.50,2.00,4.80,1.50,1.31,2.70,1.50,1.96,1.58,3.50,1.34,2.60,2.25,1,1
63,1.41,3.10,8.50,2.05,4.85,1.50,1.30,2.80,1.50,1.90,1.61,3.50,1.32,2.70,2.20,1,1
64,1.41,3.10,8.50,2.10,4.90,1.50,1.29,2.85,1.50,1.85,1.65,1,1,1,2.15,1,1
65,1.41,3.10,8.50,2.10,4.95,1.50,1.27,2.95,1.50,1.80,1.69,1,1,1,2.10,1,1
66,1.41,3.10,8.50,2.20,5.00,1.50,1.25,3.00,1.50,1.76,1.73,1,1,1,2.05,1,1
67,1.41,3.10,8.50,2.20,5.00,1.50,1.24,3.10,1.50,1.71,1.77,1,1,1,2.00,1,1
68,1.41,3.10,8.50,2.25,5.00,1.50,1.22,3.20,1.50,1.67,1.82,1,1,1,1.98,1,1
69,1.41,3.10,8.50,2.30,5.00,1.50,1.21,3.25,1.50,1.63,1.88,1,1,1,1.93,1,1
70,1.41,3.10,8.50,2.35,5.00,1.50,1.19,3.35,1.50,1.60,1.93,1,1,1,1.88,1,1
71,1.41,3.10,8.50,2.40,5.00,1.50,1.17,3.50,1.50,1.56,2.00,1,1,1,1.83,1,1
72,1.41,3.10,8.50,2.50,5.00,1.50,1.16,3.60,1.50,1.52,2.05,1,1,1,1.79,1,1
73,1.41,3.10,8.50,2.55,5.50,1.50,1.14,3.70,1.50,1.49,2.10,1,1,1,1.74,1,1
74,1.41,3.10,8.50,2.60,5.50,1.50,1.13,3.85,1.50,1.46,2.20,1,1,1,1.70,1,1
75,1.41,3.10,8.50,2.70,5.50,1.50,1.11,4.00,1.50,1.43,2.30,1,1,1,1.66,1,1
76,1.41,3.10,8.50,2.75,5.50,1.50,1.09,4.20,1.50,1.40,2.40,1,1,1,1.61,1,1
77,1.41,3.10,8.50,2.90,6.00,1.50,1.08,4.40,1.50,1.37,2.50,1,1,1,1.57,1,1
78,1.41,3.10,8.50,2.95,6.00,1.50,1.07,4.60,1.50,1.34,2.60,1,1,1,1.53,1,1
79,1.41,3.10,8.50,3.05,6.00,1.50,1.06,4.85,1.50,1.31,2.70,1,1,1,1.50,1,1
80,1.41,3.10,8.50,3.20,6.50,1.50,1.04,5.00,1.50,1.28,2.85,1,1,1,1.46,1,1
81,1.41,3.10,8.50,3.35,7.00,1.50,1.03,5.00,1.50,1.25,3.00,1,1,1,1.42,1,1
82,1.41,3.10,8.50,3.50,7.00,1.50,1.02,5.50,1.50,1.22,3.20,1,1,1,1.39,1,1
83,1.41,3.10,8.50,3.70,7.50,1.50,1.02,6.00,1.50,1.19,3.40,1,1,1,1.35,1,1
84,1.41,3.10,8.50,3.90,8.00,1.50,1.01,6.50,1.50,1.15,3.60,1,1,1,1.31,1,1
85,1.41,3.10,8.50,4.15,8.50,1.50,1.01,7.00,1.50,1.12,3.90,1,1,1,1.28,1,1
86,1.41,3.10,8.50,4.50,9.00,1.50,1.01,8.00,1.50,1.09,4.25,1,1,1,1.24,1,1
87,1.41,3.10,8.50,4.85,9.50,1.50,1.01,9.00,1.50,1.07,4.65,1,1,1,1.20,1,1
88,1.41,3.10,8.50,5.00,10.0,1.50,1.01,10.0,1.50,1.04,5.00,1,1,1,1.15,1,1
89,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
90,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
91,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
92,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
93,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
94,1.41,3.10,8.50,6.00,11.0,1,1,1,1,1,1,1,1,1,1.11,1,1
