min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1.55,2.45,14.0,1.71,3.60,0.50,2.85,1.33,1.50,1.90,1.68,1,1,1,3.75,0,0
6,1.55,2.45,14.0,1.71,3.60,0.50,2.80,1.34,1.50,1.87,1.70,1,1,1,3.70,0,0
7,1.56,2.45,13.0,1.72,3.60,0.50,2.75,1.35,1.50,1.85,1.72,1,1,1,3.70,0,0
8,1.56,2.45,13.0,1.73,3.60,0.50,2.75,1.36,1.50,1.82,1.75,1,1,1,3.70,0,0
9,1.56,2.45,13.0,1.73,3.60,0.50,2.70,1.36,1.50,1.79,1.77,1,1,1,3.65,0,0
10,1.57,2.45,12.0,1.74,3.60,0.50,2.65,1.37,1.50,1.77,1.79,1,1,1,3.60,0,0
11,1.57,2.50,12.0,1.74,3.60,0.50,2.60,1.38,1.50,1.75,1.82,1,1,1,3.60,0,0
12,1.57,2.50,12.0,1.75,3.60,0.50,2.60,1.39,1.50,1.73,1.84,1,1,1,3.55,0,0
13,1.58,2.50,11.5,1.76,3.60,0.50,2.55,1.40,1.50,1.70,1.87,1,1,1,3.55,0,0
14,1.58,2.50,11.0,1.76,3.60,0.50,2.50,1.41,1.50,1.69,1.89,1,1,1,3.50,0,0
15,1.58,2.50,11.0,1.77,3.60,0.50,2.50,1.42,1.50,1.66,1.92,1,1,1,3.50,0,0
16,1.59,2.50,10.5,1.77,3.60,0.50,2.45,1.43,1.50,1.64,1.96,1,1,1,3.45,0,0
17,1.59,2.50,10.5,1.78,3.60,0.50,2.40,1.44,1.50,1.63,1.99,1,1,1,3.45,0,0
18,1.60,2.50,10.0,1.79,3.60,0.50,2.40,1.45,1.50,1.61,2.00,1,1,1,3.40,0,0
19,1.60,2.50,10.0,1.79,3.60,0.50,2.35,1.46,1.50,1.59,2.00,1,1,1,3.40,0,0
20,1.61,2.55,9.50,1.80,3.60,0.50,2.35,1.47,1.50,1.57,2.05,1,1,1,3.35,0,0
21,1.61,2.55,9.00,1.81,3.60,0.50,2.30,1.48,1.50,1.56,2.10,1,1,1,3.35,0,0
22,1.62,2.55,9.00,1.82,3.60,0.50,2.25,1.49,1.50,1.54,2.10,1,1,1,3.30,0,0
23,1.62,2.55,8.50,1.84,3.65,0.50,2.25,1.50,1.50,1.53,2.15,1,1,1,3.30,0,0
24,1.63,2.55,8.50,1.83,3.60,0.50,2.20,1.51,1.50,1.51,2.20,1,1,1,3.25,0,0
25,1.63,2.60,8.00,1.85,3.60,0.50,2.20,1.52,1.50,1.49,2.25,1,1,1,3.25,0,0
26,1.64,2.60,8.00,1.86,3.65,0.50,2.15,1.53,1.50,1.48,2.30,1,1,1,3.20,0,0
27,1.64,2.60,7.50,1.87,3.65,0.50,2.10,1.55,1.50,1.46,2.35,1,1,1,3.20,0,0
28,1.65,2.60,7.50,1.89,3.70,0.50,2.10,1.56,1.50,1.45,2.40,1,1,1,3.15,0,0
29,1.66,2.60,7.00,1.89,3.65,0.50,2.05,1.57,1.50,1.44,2.40,1.50,2.45,1.43,3.10,0,0
30,1.67,2.65,7.00,1.91,3.65,0.50,2.05,1.59,1.50,1.42,2.50,1.50,2.40,1.45,3.10,0,0
31,1.67,2.65,6.50,1.91,3.70,0.50,2.00,1.60,1.50,1.41,2.50,1.50,2.35,1.47,3.05,0,0
32,1.68,2.65,6.50,1.94,3.65,0.50,2.00,1.61,1.50,1.40,2.60,1.50,2.30,1.48,3.05,0,0
33,1.69,2.65,6.00,1.94,3.65,0.50,1.98,1.63,1.50,1.38,2.60,1.50,2.20,1.50,3.00,0,0
34,1.70,2.70,6.00,1.95,3.70,0.50,1.95,1.65,1.50,1.37,2.65,1.50,2.20,1.52,3.00,0,0
35,1.71,2.70,6.00,1.96,3.70,0.50,1.92,1.67,1.50,1.36,2.70,1.50,2.15,1.54,2.95,0,0
36,1.72,2.70,5.50,1.98,3.70,0.50,1.89,1.69,1.50,1.35,2.80,1.50,2.10,1.56,2.90,0,0
37,1.73,2.70,5.50,1.99,3.70,0.50,1.86,1.71,0.50,2.85,1.33,1.50,2.00,1.59,2.90,0,0
38,1.74,2.75,5.00,2.00,3.70,0.50,1.84,1.73,0.50,2.80,1.34,1.50,2.00,1.61,2.85,0,0
39,1.75,2.75,5.00,2.00,3.75,0.50,1.81,1.75,0.50,2.75,1.35,1.50,1.97,1.64,2.85,0,0
40,1.76,2.75,5.00,2.00,3.75,0.50,1.79,1.77,0.50,2.70,1.37,1.50,1.92,1.67,2.80,0,0
41,1.77,2.80,5.00,2.00,3.75,0.50,1.76,1.80,0.50,2.60,1.38,1.50,1.87,1.70,2.80,0,0
42,1.79,2.80,4.80,2.05,3.75,0.50,1.74,1.82,0.50,2.60,1.40,1.50,1.83,1.74,2.75,0,0
43,1.80,2.80,4.70,2.05,3.80,0.50,1.72,1.85,0.50,2.50,1.41,1.50,1.79,1.77,2.70,0,0
44,1.81,2.85,4.55,2.10,3.80,0.50,1.70,1.88,0.50,2.50,1.42,1.50,1.75,1.81,2.70,0,0
45,1.79,2.95,4.40,2.00,4.00,0.50,1.64,1.96,0.50,2.50,1.42,1.50,1.71,1.86,2.65,0,0
46,1.81,3.00,4.25,2.05,4.00,0.50,1.62,1.99,0.50,2.40,1.44,1.50,1.68,1.90,2.60,0,0
47,1.82,3.00,4.10,2.05,4.00,0.50,1.60,2.00,0.50,2.35,1.46,1.50,1.65,1.95,2.60,0,0
48,1.84,3.00,3.95,2.10,4.00,0.50,1.58,2.05,0.50,2.30,1.47,1.50,1.61,2.00,2.55,0,0
49,1.86,3.05,3.85,2.10,4.00,0.50,1.56,2.10,0.50,2.25,1.49,1.50,1.58,2.05,2.50,0,0
50,1.88,3.10,3.75,2.10,4.05,0.50,1.55,2.10,0.50,2.20,1.51,1.50,1.55,2.10,2.50,0,0
51,1.90,3.10,3.60,2.15,4.10,0.50,1.53,2.15,0.50,2.15,1.53,1.50,1.53,2.15,2.45,0,0
52,1.92,3.15,3.50,2.20,4.10,0.50,1.51,2.20,0.50,2.10,1.54,1.50,1.51,2.20,2.40,0,0
53,1.95,3.15,3.45,2.20,4.10,0.50,1.50,2.25,0.50,2.10,1.56,1.50,1.48,2.30,2.40,0,0
54,1.97,3.20,3.35,2.20,4.15,0.50,1.48,2.30,0.50,2.05,1.59,1.50,1.46,2.35,2.30,0,0
55,2.00,3.20,3.25,2.25,4.20,0.50,1.47,2.30,0.50,2.00,1.61,1.50,1.44,2.40,2.30,0,0
