min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.31,4.20,12.0,1.36,10.1,1,1,1,1,1,1,3.50,1.35,3.10,5.38,0,0
2,1.29,4.30,13.0,1.33,10.7,1,1,1,2.50,1.52,2.45,1.50,4.00,1.21,5.66,0,0
3,1.29,4.30,13.0,1.33,10.7,1,1,1,2.50,1.52,2.45,1.50,4.00,1.21,5.66,0,0
4,1.29,4.30,13.0,1.33,10.7,1,1,1,2.50,1.52,2.45,1.50,4.00,1.21,5.66,0,0
5,1.29,4.30,13.0,1.33,10.7,1,1,1,2.50,1.52,2.45,1.50,4.00,1.21,5.66,0,0
6,1.29,4.30,13.0,1.08,45.5,0.50,1.75,2.00,3.50,1.51,2.50,3.50,2.00,1.76,14.1,0,1
7,1.29,4.30,13.0,1.08,45.8,0.50,1.73,2.00,2.50,2.55,1.49,3.50,1.97,1.78,14.0,0,1
8,1.29,4.30,13.0,1.08,45.4,0.50,1.72,2.05,2.50,2.50,1.50,3.50,1.94,1.81,13.9,0,1
9,1.29,4.30,13.0,1.07,62.4,0.50,1.52,2.45,2.50,2.30,1.58,3.50,1.71,2.05,15.7,0,1
10,1.29,4.30,13.0,1.07,92.9,0.50,1.51,2.50,2.50,2.25,1.60,3.50,1.68,2.10,13.5,0,1
11,1.29,4.30,13.0,1.07,91.7,0.50,1.51,2.50,2.50,2.25,1.61,3.50,1.66,2.15,13.4,0,1
12,1.29,4.30,13.0,1.07,91.0,0.50,1.50,2.50,2.50,2.20,1.63,3.50,1.64,2.20,13.3,0,1
13,1.29,4.30,13.0,1.09,46.3,0.50,1.62,2.20,2.50,2.15,1.65,3.50,1.69,2.10,12.9,0,1
14,1.29,4.30,13.0,1.08,49.1,0.50,1.59,2.30,2.50,2.15,1.65,3.50,1.67,2.10,13.4,0,1
15,1.29,4.30,13.0,1.08,52.5,0.50,1.55,2.40,2.50,2.10,1.67,3.50,1.64,2.20,13.7,0,1
16,1.29,4.30,13.0,1.01,300,0.50,1.54,2.40,3.50,2.10,1.69,4.50,1.61,2.25,27.3,0,2
17,1.29,4.30,13.0,1.01,300,0.50,1.53,2.40,3.50,2.05,1.71,4.50,1.58,2.30,27.5,0,2
18,1.29,4.30,13.0,1.08,72.4,1.50,1.52,2.45,3.50,2.00,1.73,5.50,1.57,2.30,11.8,1,2
19,1.29,4.30,13.0,1.08,47.8,1.50,1.59,2.30,3.50,2.10,1.68,5.50,1.65,2.15,13.0,1,2
20,1.29,4.30,13.0,1.08,48.4,1.50,1.58,2.30,3.50,2.10,1.70,5.50,1.63,2.20,13.0,1,2
21,1.29,4.30,13.0,1.08,48.1,1.50,1.57,2.35,3.50,2.05,1.72,5.50,1.60,2.25,12.9,1,2
22,1.29,4.30,13.0,1.08,38.5,1.50,1.59,2.30,3.50,2.05,1.72,5.50,1.62,2.20,13.9,1,2
23,1.29,4.30,13.0,1.08,40.9,1.50,1.58,2.30,3.50,2.10,1.68,5.50,1.65,2.15,14.7,1,2
24,1.29,4.30,13.0,1.08,40.7,1.50,1.57,2.30,3.50,2.10,1.70,5.50,1.63,2.20,14.6,1,2
25,1.29,4.30,13.0,1.08,41.3,1.50,1.56,2.35,3.50,2.05,1.72,5.50,1.60,2.25,14.5,1,2
26,1.29,4.30,13.0,1.08,37.7,1.50,1.61,2.25,3.50,2.05,1.71,5.50,1.63,2.20,13.8,1,2
27,1.29,4.30,13.0,1.09,39.4,1.50,1.60,2.25,3.50,2.00,1.73,5.50,1.61,2.25,13.3,1,2
