min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
15,2.45,1.61,10.5,3.60,1.84,1.50,1.69,1.88,0.50,2.65,1.38,1,1,1,3.30,0,0
16,2.45,1.61,10.0,3.60,1.84,1.50,1.67,1.91,0.50,2.60,1.39,1,1,1,3.30,0,0
17,2.45,1.62,10.0,3.60,1.85,1.50,1.65,1.94,0.50,2.55,1.40,1,1,1,3.25,0,0
18,2.50,1.62,9.50,3.60,1.85,1.50,1.63,1.97,0.50,2.50,1.41,1,1,1,3.25,0,0
19,2.50,1.63,9.50,3.60,1.86,1.50,1.61,2.00,0.50,2.50,1.42,1,1,1,3.20,0,0
20,2.50,1.63,9.00,3.60,1.87,1.50,1.60,2.00,0.50,2.45,1.43,1,1,1,3.20,0,0
21,2.30,1.67,10.0,3.35,1.97,1.50,1.62,2.00,0.50,2.75,1.35,1,1,1,3.25,0,0
22,2.35,1.68,10.0,3.30,1.98,1.50,1.60,2.00,0.50,2.70,1.36,1,1,1,3.20,0,0
23,2.35,1.68,9.50,3.35,1.99,1.50,1.58,2.05,0.50,2.70,1.37,1,1,1,3.20,0,0
24,2.35,1.69,9.50,8.00,1.29,2.50,1.63,1.98,1.50,1.34,2.80,3.50,1.77,1.79,4.55,1,0
25,2.35,1.69,9.50,3.25,2.00,2.50,1.61,2.00,1.50,2.80,1.34,4.50,1.73,1.84,3.25,1,1
26,2.35,1.69,9.50,3.30,2.00,2.50,1.59,2.00,1.50,2.75,1.35,4.50,1.70,1.88,3.20,1,1
27,2.35,1.69,9.50,3.30,2.00,2.50,1.57,2.05,1.50,2.70,1.36,4.50,1.67,1.92,3.20,1,1
28,2.35,1.69,9.50,3.30,2.00,2.50,1.55,2.10,1.50,2.70,1.37,4.50,1.63,1.97,3.15,1,1
29,2.35,1.69,9.50,3.30,2.00,2.50,1.54,2.15,1.50,2.60,1.38,4.50,1.61,2.00,3.15,1,1
30,2.35,1.69,9.50,3.30,2.00,2.50,1.52,2.20,1.50,2.60,1.39,4.50,1.58,2.05,3.10,1,1
31,2.35,1.69,9.50,3.30,2.00,2.50,1.50,2.20,1.50,2.55,1.40,4.50,1.55,2.10,3.10,1,1
32,2.35,1.69,9.50,3.30,2.00,2.50,1.49,2.30,1.50,2.50,1.42,4.50,1.53,2.15,3.05,1,1
33,2.35,1.69,9.50,3.30,2.05,2.50,1.47,2.30,1.50,2.45,1.43,4.50,1.51,2.20,3.05,1,1
34,2.35,1.69,9.50,3.30,2.05,2.50,1.45,2.40,1.50,2.40,1.44,4.50,1.48,2.30,3.00,1,1
35,2.35,1.69,9.50,3.30,2.10,2.50,1.44,2.40,1.50,2.40,1.45,4.50,1.47,2.35,3.00,1,1
36,2.35,1.69,9.50,3.30,2.10,2.50,1.42,2.50,1.50,2.35,1.47,4.50,1.44,2.40,2.95,1,1
37,2.35,1.69,9.50,3.35,2.10,2.50,1.41,2.50,1.50,2.30,1.48,3.50,2.50,1.42,2.90,1,1
38,2.35,1.69,9.50,3.35,2.10,2.50,1.40,2.60,1.50,2.25,1.49,3.50,2.45,1.43,2.90,1,1
