min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.28,3.75,10.5,1.30,7.50,0.50,1.65,1.85,1.50,2.10,1.51,1,1,1,4.10,0,0
2,1.29,3.80,9.00,1.32,7.50,0.50,1.59,1.95,1.50,1.96,1.58,1,1,1,3.90,0,0
3,1.29,3.80,9.00,1.32,7.50,0.50,1.59,1.95,1.50,1.96,1.58,1,1,1,3.90,0,0
4,1.29,3.80,9.00,1.32,7.50,0.50,1.59,1.95,1.50,1.96,1.58,1,1,1,3.90,0,0
5,1.32,3.70,8.50,1.36,7.00,0.50,1.59,1.95,1.50,1.82,1.67,1,1,1,3.70,0,0
6,1.33,3.70,8.00,1.37,7.00,0.50,1.57,1.97,1.50,1.80,1.69,1,1,1,3.70,0,0
7,1.33,3.75,8.00,1.37,7.00,0.50,1.56,1.99,1.50,1.78,1.71,1,1,1,3.65,0,0
8,1.33,3.75,8.00,1.37,7.00,0.50,1.55,2.00,1.50,1.75,1.73,1,1,1,3.60,0,0
9,1.34,3.75,7.50,1.38,7.00,0.50,1.54,2.00,1.50,1.73,1.75,1,1,1,3.60,0,0
10,1.43,3.50,6.00,1.52,5.50,0.50,1.54,2.00,1.50,1.49,2.10,1.50,2.10,1.49,3.15,0,0
11,1.44,3.50,5.50,1.52,5.50,0.50,1.53,2.05,1.50,1.48,2.15,1.50,2.10,1.51,3.10,0,0
12,1.44,3.50,5.50,1.52,5.50,0.50,1.52,2.05,1.50,1.47,2.20,1.50,2.05,1.52,3.10,0,0
13,1.48,3.50,5.00,1.58,5.50,0.50,1.51,2.10,1.50,1.41,2.35,1.50,1.96,1.58,3.00,0,0
14,1.48,3.50,5.00,1.59,5.50,0.50,1.50,2.10,1.50,1.40,2.40,1.50,1.93,1.60,2.95,0,0
15,1.49,3.50,5.00,1.59,5.00,0.50,1.49,2.10,1.50,1.39,2.40,1.50,1.90,1.62,2.90,0,0
16,1.51,3.30,5.00,1.63,5.00,0.50,1.54,2.00,1.50,1.38,2.45,1.50,1.94,1.59,2.95,0,0
17,1.52,3.30,5.00,1.64,5.00,0.50,1.53,2.05,1.50,1.37,2.50,1.50,1.91,1.61,2.90,0,0
18,1.52,3.35,5.00,1.65,5.00,0.50,1.52,2.05,1.50,1.36,2.55,1.50,1.88,1.63,2.90,0,0
19,1.55,3.20,5.00,1.69,4.70,0.50,1.57,1.97,1.50,1.35,2.55,1.50,1.91,1.61,2.90,0,0
20,1.56,3.20,5.00,1.70,4.70,0.50,1.56,1.99,1.50,1.34,2.60,1.50,1.88,1.63,2.85,0,0
21,1.56,3.20,4.95,1.71,4.70,0.50,1.55,2.00,1.50,1.33,2.65,1.50,1.85,1.65,2.85,0,0
22,1.57,3.20,4.80,1.72,4.70,0.50,1.54,2.00,1.50,1.32,2.70,1.50,1.82,1.68,2.80,0,0
23,1.58,3.25,4.70,1.73,4.70,0.50,1.53,2.05,1.50,1.31,2.75,1.50,1.79,1.70,2.80,0,0
24,1.63,3.05,4.65,1.82,4.35,0.50,1.57,1.97,0.50,2.70,1.32,1.50,1.77,1.72,2.70,0,0
25,1.64,3.10,4.55,1.84,4.35,0.50,1.56,2.00,0.50,2.65,1.33,1.50,1.74,1.74,2.70,0,0
26,1.72,2.90,4.40,1.95,4.00,0.50,1.60,1.92,0.50,2.50,1.37,1.50,1.71,1.78,2.65,0,0
27,1.73,2.95,4.30,1.96,4.00,0.50,1.59,1.94,0.50,2.45,1.38,1.50,1.68,1.81,2.60,0,0
28,1.74,2.95,4.20,1.98,4.00,0.50,1.58,1.96,0.50,2.40,1.39,1.50,1.66,1.84,2.60,0,0
29,1.75,2.95,4.10,1.99,4.00,0.50,1.57,1.98,0.50,2.40,1.40,1.50,1.63,1.87,2.55,0,0
30,1.76,3.00,4.00,2.00,4.00,0.50,1.55,2.00,0.50,2.35,1.41,1.50,1.61,1.91,2.55,0,0
31,1.77,3.00,3.90,2.00,4.00,0.50,1.54,2.00,0.50,2.30,1.43,1.50,1.59,1.95,2.50,0,0
32,1.79,3.00,3.85,2.00,4.05,0.50,1.53,2.05,0.50,2.25,1.44,1.50,1.56,1.99,2.50,0,0
33,1.80,3.05,3.75,2.00,4.00,0.50,1.51,2.05,0.50,2.20,1.45,1.50,1.54,2.00,2.45,0,0
34,1.92,3.25,3.15,2.15,4.20,0.50,1.41,2.35,0.50,1.99,1.56,1.50,1.40,2.40,2.25,0,0
35,1.93,3.25,3.10,2.20,4.25,0.50,1.41,2.35,0.50,1.96,1.58,1.50,1.39,2.45,2.20,0,0
36,1.79,3.40,3.30,2.00,4.60,0.50,1.40,2.40,0.50,2.10,1.49,1.50,1.44,2.30,2.35,0,0
37,1.81,3.45,3.25,2.00,4.65,0.50,1.39,2.45,0.50,2.10,1.50,1.50,1.42,2.30,2.30,0,0
38,1.83,3.45,3.20,2.00,4.65,0.50,1.38,2.45,0.50,2.05,1.52,1.50,1.41,2.35,2.30,0,0
39,1.84,3.50,3.10,5.50,1.53,1.50,1.37,2.50,0.50,2.00,1.54,1,1,1,3.10,1,0
40,1.84,3.50,3.10,5.50,1.52,1.50,1.40,2.40,0.50,2.05,1.52,1,1,1,3.15,1,0
41,1.84,3.50,3.10,5.00,1.55,1.50,1.42,2.30,0.50,2.15,1.47,1,1,1,3.10,1,0
42,1.84,3.50,3.10,5.00,1.54,1.50,1.41,2.35,0.50,2.10,1.49,1,1,1,3.10,1,0
43,1.84,3.50,3.10,5.00,1.53,1.50,1.40,2.40,0.50,2.10,1.51,1,1,1,3.10,1,0
44,1.84,3.50,3.10,2.10,4.45,1.50,1.39,2.40,1.50,2.00,1.56,3.50,1.39,2.40,2.25,1,1
45,1.84,3.50,3.10,2.15,4.50,1.50,1.38,2.45,1.50,1.96,1.58,3.50,1.37,2.50,2.20,1,1
46,1.84,3.50,3.10,2.20,5.00,1.50,1.27,2.95,1.50,1.77,1.71,1,1,1,2.00,1,1
47,1.84,3.50,3.10,2.25,5.00,1.50,1.26,3.00,1.50,1.75,1.74,1,1,1,1.99,1,1
48,1.84,3.50,3.10,2.25,5.00,1.50,1.25,3.05,1.50,1.72,1.77,1,1,1,1.96,1,1
