min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.45,1.47,27.0,3.90,1.51,2.50,1.56,2.10,1.50,1.53,2.15,3.50,1.92,1.67,4.60,0,0
2,2.45,1.47,27.0,3.90,1.51,2.50,1.56,2.10,1.50,1.53,2.15,3.50,1.92,1.67,4.60,0,0
3,2.45,1.47,27.0,3.90,1.51,2.50,1.56,2.10,1.50,1.53,2.15,3.50,1.92,1.67,4.60,0,0
4,2.45,1.47,27.0,3.90,1.51,2.50,1.56,2.10,1.50,1.53,2.15,3.50,1.92,1.67,4.60,0,0
5,2.45,1.47,27.0,3.90,1.51,2.50,1.56,2.10,1.50,1.53,2.15,3.50,1.92,1.67,4.60,0,0
6,2.45,1.47,26.0,3.90,1.52,2.50,1.54,2.10,1.50,1.52,2.20,3.50,1.88,1.70,4.55,0,0
7,2.50,1.47,26.0,3.90,1.52,2.50,1.52,2.20,1.50,1.51,2.20,3.50,1.84,1.73,4.50,0,0
8,2.50,1.47,25.0,3.90,1.52,2.50,1.51,2.20,1.50,1.50,2.25,3.50,1.80,1.76,4.50,0,0
9,2.50,1.47,24.0,3.90,1.53,2.50,1.49,2.25,1.50,1.49,2.30,3.50,1.77,1.79,4.45,0,0
10,2.50,1.47,23.0,3.90,1.54,2.50,1.48,2.30,1.50,1.47,2.30,3.50,1.74,1.83,4.40,0,0
11,2.50,1.48,23.0,3.90,1.54,2.50,1.46,2.35,1.50,1.46,2.35,3.50,1.71,1.87,4.40,0,0
12,2.50,1.48,22.0,3.90,1.55,2.50,1.45,2.40,1.50,1.45,2.40,3.50,1.68,1.91,4.35,0,0
13,2.50,1.48,22.0,3.90,1.55,2.50,1.44,2.45,1.50,1.44,2.40,3.50,1.65,1.94,4.35,0,0
14,2.50,1.48,21.0,3.90,1.55,1.50,2.50,1.42,1.50,1.43,2.45,3.50,1.63,1.99,4.30,0,0
15,2.40,1.51,21.0,3.65,1.61,1.50,2.35,1.46,1.50,1.46,2.35,3.50,1.62,2.00,4.20,0,0
16,2.40,1.52,20.0,3.60,1.62,1.50,2.30,1.47,1.50,1.45,2.40,3.50,1.59,2.00,4.15,0,0
17,2.40,1.52,20.0,3.60,1.63,1.50,2.30,1.49,1.50,1.44,2.40,3.50,1.56,2.10,4.10,0,0
