min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.47,2.90,8.00,1.59,4.75,0.50,1.96,1.58,1.50,1.64,1.87,1,1,1,3.20,0,0
2,1.47,2.90,8.00,1.59,4.75,0.50,1.96,1.58,1.50,1.64,1.87,1,1,1,3.20,0,0
3,1.51,2.85,7.50,1.65,4.50,0.50,1.96,1.58,1.50,1.56,1.99,1,1,1,3.10,0,0
4,1.51,2.85,7.50,1.65,4.50,0.50,1.96,1.58,1.50,1.56,1.99,1,1,1,3.10,0,0
5,1.51,2.85,7.50,1.65,4.50,0.50,1.96,1.58,1.50,1.56,1.99,1,1,1,3.10,0,0
6,1.51,2.85,7.00,1.65,4.50,0.50,1.94,1.59,1.50,1.55,2.00,1,1,1,3.05,0,0
7,1.52,2.85,7.00,1.66,4.50,0.50,1.92,1.60,1.50,1.53,2.00,1,1,1,3.05,0,0
8,1.52,2.85,7.00,1.67,4.50,0.50,1.90,1.62,1.50,1.52,2.05,1,1,1,3.00,0,0
9,1.52,2.90,6.50,1.68,4.50,0.50,1.88,1.63,1.50,1.50,2.10,1,1,1,3.00,0,0
10,1.54,3.10,5.50,1.69,4.80,0.50,1.68,1.81,1.50,1.42,2.30,1.50,2.10,1.51,2.85,0,0
11,1.54,3.10,5.50,1.70,4.80,0.50,1.67,1.82,1.50,1.41,2.35,1.50,2.05,1.53,2.80,0,0
12,1.55,3.10,5.00,1.71,4.80,0.50,1.66,1.84,1.50,1.40,2.40,1.50,2.00,1.54,2.80,0,0
13,1.55,3.10,5.00,1.09,18.0,0.50,1.64,1.86,2.50,1.39,2.40,1,1,1,5.00,0,1
14,1.55,3.10,5.00,1.09,18.0,0.50,1.63,1.88,2.50,1.38,2.45,1,1,1,5.00,0,1
15,1.55,3.10,5.00,1.09,18.0,0.50,1.62,1.89,2.50,1.37,2.50,1,1,1,5.00,0,1
16,1.55,3.10,5.00,1.07,15.0,0.50,1.61,1.91,2.50,1.36,2.55,1,1,1,6.00,0,1
17,1.55,3.10,5.00,1.07,15.0,0.50,1.60,1.93,2.50,1.35,2.60,1,1,1,6.00,0,1
18,1.55,3.10,5.00,1.07,15.0,0.50,1.59,1.95,2.50,1.34,2.60,1,1,1,6.00,0,1
19,1.55,3.10,5.00,1.07,16.0,0.50,1.57,1.97,2.50,1.33,2.65,1,1,1,6.00,0,1
20,1.55,3.10,5.00,1.07,16.0,0.50,1.56,1.99,2.50,1.32,2.70,1,1,1,6.00,0,1
21,1.55,3.10,5.00,1.08,15.0,0.50,1.62,1.89,2.50,1.35,2.60,1,1,1,5.50,0,1
22,1.55,3.10,5.00,1.08,15.0,0.50,1.60,1.93,2.50,1.33,2.70,1,1,1,5.50,0,1
23,1.55,3.10,5.00,1.08,15.0,0.50,1.59,1.95,2.50,1.31,2.70,1,1,1,5.50,0,1
24,1.55,3.10,5.00,1.08,15.0,0.50,1.57,1.97,2.50,1.31,2.75,1,1,1,5.50,0,1
25,1.55,3.10,5.00,1.08,15.0,0.50,1.56,2.00,1.50,2.75,1.31,1,1,1,5.50,0,1
26,1.55,3.10,5.00,1.08,16.0,0.50,1.55,2.00,1.50,2.70,1.32,1,1,1,5.50,0,1
27,1.55,3.10,5.00,1.08,16.0,0.50,1.54,2.00,1.50,2.65,1.33,1,1,1,5.50,0,1
28,1.55,3.10,5.00,1.08,16.0,0.50,1.52,2.05,1.50,2.60,1.34,1,1,1,5.50,0,1
29,1.55,3.10,5.00,1.08,16.0,0.50,1.51,2.10,1.50,2.55,1.35,1,1,1,5.50,0,1
30,1.55,3.10,5.00,1.08,16.0,0.50,1.50,2.10,1.50,2.50,1.36,1,1,1,5.50,0,1
31,1.55,3.10,5.00,1.07,16.0,0.50,1.49,2.10,1.50,2.50,1.37,1,1,1,5.50,0,1
32,1.55,3.10,5.00,1.07,16.0,0.50,1.48,2.15,1.50,2.45,1.39,1,1,1,5.50,0,1
33,1.55,3.10,5.00,1.03,20.0,0.50,1.42,2.30,2.50,1.32,2.70,1,1,1,7.00,0,1
34,1.55,3.10,5.00,1.03,20.0,0.50,1.41,2.35,2.50,1.31,2.75,1,1,1,7.00,0,1
35,1.55,3.10,5.00,1.03,20.0,0.50,1.41,2.35,1.50,2.75,1.31,1,1,1,7.00,0,1
36,1.55,3.10,5.00,1.03,20.0,0.50,1.40,2.40,1.50,2.70,1.32,1,1,1,7.00,0,1
37,1.55,3.10,5.00,1.03,20.0,0.50,1.39,2.45,1.50,2.65,1.33,1,1,1,7.00,0,1
38,1.55,3.10,5.00,1.03,21.0,0.50,1.38,2.45,1.50,2.60,1.34,1,1,1,7.00,0,1
39,1.55,3.10,5.00,1.03,21.0,0.50,1.37,2.50,1.50,2.55,1.36,1,1,1,7.00,0,1
40,1.55,3.10,5.00,1.03,21.0,0.50,1.36,2.55,1.50,2.50,1.37,1,1,1,7.00,0,1
41,1.55,3.10,5.00,1.02,23.0,0.50,1.31,2.75,1.50,2.40,1.40,1,1,1,7.00,0,1
42,1.55,3.10,5.00,1.02,23.0,0.50,1.30,2.80,1.50,2.35,1.42,1,1,1,7.00,0,1
43,1.55,3.10,5.00,1.02,24.0,0.50,1.30,2.80,1.50,2.30,1.43,1,1,1,7.00,0,1
44,1.55,3.10,5.00,1.02,24.0,0.50,1.29,2.85,1.50,2.25,1.45,1,1,1,7.00,0,1
45,1.55,3.10,5.00,1.02,24.0,0.50,1.28,2.90,1.50,2.20,1.46,1,1,1,7.00,0,1
46,1.55,3.10,5.00,1.02,25.0,0.50,1.27,2.95,1.50,2.15,1.47,1,1,1,7.00,0,1
47,1.55,3.10,5.00,1.02,25.0,0.50,1.26,3.00,1.50,2.10,1.49,1,1,1,7.00,0,1
48,1.55,3.10,5.00,1.02,25.0,0.50,1.25,3.05,1.50,2.10,1.51,1,1,1,7.00,0,1
49,1.55,3.10,5.00,1.02,26.0,0.50,1.24,3.10,1.50,2.05,1.53,1,1,1,7.00,0,1
50,1.55,3.10,5.00,1.02,27.0,0.50,1.23,3.15,1.50,2.00,1.55,1,1,1,7.00,0,1
51,1.55,3.10,5.00,1.02,27.0,0.50,1.22,3.20,1.50,1.98,1.57,1.50,2.70,1.31,7.00,0,1
52,1.55,3.10,5.00,1.01,33.0,0.50,1.14,3.70,1.50,1.84,1.66,1.50,2.40,1.39,8.00,0,1
53,1.55,3.10,5.00,1.01,33.0,0.50,1.13,3.80,1.50,1.80,1.69,1.50,2.35,1.41,8.00,0,1
54,1.55,3.10,5.00,1.01,34.0,0.50,1.13,3.85,1.50,1.77,1.71,1.50,2.30,1.43,8.00,0,1
55,1.55,3.10,5.00,1.01,34.0,0.50,1.12,3.90,1.50,1.74,1.75,1.50,2.25,1.45,8.00,0,1
56,1.55,3.10,5.00,1.01,35.0,0.50,1.11,4.00,1.50,1.71,1.78,1.50,2.20,1.47,8.00,0,1
57,1.55,3.10,5.00,1.01,35.0,0.50,1.10,4.10,1.50,1.68,1.81,1.50,2.15,1.49,8.00,0,1
58,1.55,3.10,5.00,1.01,36.0,0.50,1.10,4.20,1.50,1.65,1.85,1.50,2.10,1.51,8.00,0,1
59,1.55,3.10,5.00,1.01,39.0,0.50,1.09,4.30,1.50,1.62,1.89,1.50,2.05,1.53,8.00,0,1
60,1.55,3.10,5.00,1.01,39.0,0.50,1.08,4.40,1.50,1.60,1.93,1.50,2.00,1.56,8.00,0,1
61,1.55,3.10,5.00,2.30,7.00,1.50,1.10,4.20,1.50,1.60,1.93,1,1,1,1.76,1,1
62,1.55,3.10,5.00,2.30,7.00,1.50,1.09,4.30,1.50,1.60,1.93,1,1,1,1.75,1,1
63,1.55,3.10,5.00,2.30,7.00,1.50,1.08,4.40,1.50,1.57,1.97,1,1,1,1.73,1,1
64,1.55,3.10,5.00,2.35,7.50,1.50,1.07,4.50,1.50,1.55,2.00,1,1,1,1.69,1,1
65,1.55,3.10,5.00,2.40,7.50,1.50,1.07,4.65,1.50,1.52,2.05,1,1,1,1.66,1,1
66,1.55,3.10,5.00,2.50,7.50,1.50,1.06,4.80,1.50,1.49,2.10,1,1,1,1.63,1,1
67,1.55,3.10,5.00,2.50,7.50,1.50,1.05,4.95,1.50,1.47,2.20,1,1,1,1.60,1,1
68,1.55,3.10,5.00,2.60,8.00,1.50,1.04,5.00,1.50,1.45,2.25,1,1,1,1.57,1,1
69,1.55,3.10,5.00,2.65,8.00,1.50,1.04,5.00,1.50,1.42,2.30,1,1,1,1.55,1,1
70,1.55,3.10,5.00,2.70,8.00,1.50,1.03,5.00,1.50,1.40,2.40,1,1,1,1.52,1,1
71,1.55,3.10,5.00,2.80,8.50,1.50,1.03,5.50,1.50,1.38,2.45,1,1,1,1.49,1,1
72,1.55,3.10,5.00,2.85,8.50,1.50,1.02,5.50,1.50,1.36,2.55,1,1,1,1.47,1,1
73,1.55,3.10,5.00,2.90,8.00,1.50,1.03,5.50,1.50,1.35,2.55,1,1,1,1.47,1,1
74,1.55,3.10,5.00,3.00,8.50,1.50,1.02,6.00,1.50,1.33,2.65,1,1,1,1.44,1,1
75,1.55,3.10,5.00,3.10,8.50,1.50,1.02,6.00,1.50,1.31,2.75,1,1,1,1.42,1,1
76,1.55,3.10,5.00,3.20,9.00,1.50,1.02,6.50,1.50,1.28,2.90,1,1,1,1.39,1,1
77,1.55,3.10,5.00,3.30,9.00,1.50,1.01,7.00,1.50,1.25,3.00,1,1,1,1.36,1,1
78,1.55,3.10,5.00,3.45,9.50,1.50,1.01,7.00,1.50,1.23,3.15,1,1,1,1.34,1,1
79,1.55,3.10,5.00,3.60,10.0,1.50,1.01,7.50,1.50,1.20,3.30,1,1,1,1.31,1,1
80,1.55,3.10,5.00,3.75,10.0,1.50,1.01,8.00,1.50,1.18,3.45,1,1,1,1.28,1,1
81,1.55,3.10,5.00,3.95,10.5,1.50,1.01,8.50,1.50,1.15,3.65,1,1,1,1.26,1,1
82,1.55,3.10,5.00,4.20,11.0,1.50,1.01,9.00,1.50,1.13,3.85,1,1,1,1.23,1,1
83,1.55,3.10,5.00,4.10,13.0,1,1,1,1.50,1.13,3.80,1,1,1,1.21,1,1
84,1.55,3.10,5.00,4.35,14.0,1,1,1,1.50,1.10,4.10,1,1,1,1.17,1,1
85,1.55,3.10,5.00,4.70,15.0,1,1,1,1.50,1.08,4.45,1,1,1,1.14,1,1
86,1.55,3.10,5.00,5.00,15.0,1,1,1,1.50,1.06,4.85,1,1,1,1.11,1,1
87,1.55,3.10,5.00,5.50,16.0,1,1,1,1.50,1.04,5.00,1,1,1,1.08,1,1
88,1.55,3.10,5.00,6.00,18.0,1,1,1,1.50,1.02,6.00,1,1,1,1.05,1,1
89,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,1
90,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,1
91,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,1
92,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,1
93,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,1
94,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,2
95,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,2
96,1.55,3.10,5.00,7.00,19.0,1,1,1,1,1,1,1,1,1,1.03,1,2
