min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.45,3.00,14.0,1.51,5.00,0.50,2.40,1.49,1.50,2.25,1.55,1,1,1,4.00,0,0
2,1.45,3.00,14.0,1.51,5.00,0.50,2.40,1.49,1.50,2.25,1.55,1,1,1,4.00,0,0
3,1.45,3.00,14.0,1.51,5.00,0.50,2.40,1.49,1.50,2.25,1.55,1,1,1,4.00,0,0
4,1.45,3.00,14.0,1.51,5.00,0.50,2.40,1.49,1.50,2.25,1.55,1,1,1,4.00,0,0
5,1.45,3.00,14.0,1.51,5.00,0.50,2.40,1.49,1.50,2.25,1.55,1,1,1,4.00,0,0
6,1.46,3.00,13.0,1.52,5.00,0.50,2.40,1.50,1.50,2.20,1.56,1,1,1,4.00,0,0
7,1.46,3.00,13.0,1.52,5.00,0.50,2.35,1.51,1.50,2.15,1.58,1,1,1,3.95,0,0
8,1.46,3.00,13.0,1.53,5.00,0.50,2.30,1.52,1.50,2.10,1.60,1,1,1,3.90,0,0
9,1.46,3.00,12.0,1.53,5.00,0.50,2.30,1.53,1.50,2.10,1.61,1,1,1,3.90,0,0
10,1.47,3.00,12.0,1.54,5.00,0.50,2.30,1.54,1.50,2.05,1.63,1,1,1,3.85,0,0
11,1.47,3.00,12.0,1.54,5.00,0.50,2.25,1.55,1.50,2.00,1.65,1,1,1,3.80,0,0
12,1.47,3.05,12.0,1.12,15.0,0.50,2.20,1.56,2.50,2.00,1.67,3.50,1.84,1.80,6.50,0,1
13,1.47,3.05,12.0,1.13,14.0,0.50,2.20,1.57,2.50,1.89,1.76,3.50,1.75,1.91,6.00,0,1
14,1.47,3.05,12.0,1.13,14.0,0.50,2.20,1.58,2.50,1.86,1.79,3.50,1.72,1.94,6.00,0,1
15,1.47,3.05,12.0,1.13,14.0,0.50,2.15,1.59,2.50,1.83,1.81,3.50,1.69,1.98,6.00,0,1
16,1.47,3.05,12.0,1.13,15.0,0.50,2.10,1.60,2.50,1.81,1.84,3.50,1.67,2.00,6.00,0,1
17,1.47,3.05,12.0,1.13,15.0,0.50,2.10,1.61,2.50,1.78,1.86,3.50,1.65,2.00,6.00,0,1
18,1.47,3.05,12.0,1.13,15.0,0.50,2.10,1.62,2.50,1.76,1.89,3.50,1.62,2.10,6.00,0,1
19,1.47,3.05,12.0,1.14,15.0,0.50,2.05,1.63,2.50,1.74,1.92,3.50,1.60,2.10,6.00,0,1
20,1.47,3.05,12.0,1.13,15.0,0.50,2.00,1.65,2.50,1.71,1.95,3.50,1.58,2.15,6.00,0,1
21,1.47,3.05,12.0,1.13,15.0,0.50,2.00,1.66,2.50,1.69,1.98,3.50,1.56,2.20,6.00,0,1
22,1.47,3.05,12.0,1.13,15.0,0.50,2.00,1.68,2.50,1.67,2.00,3.50,1.54,2.25,6.00,0,1
23,1.47,3.05,12.0,1.13,15.0,0.50,1.98,1.69,2.50,1.65,2.05,3.50,1.52,2.30,6.00,0,1
24,1.47,3.05,12.0,1.13,15.0,0.50,1.95,1.71,2.50,1.63,2.05,3.50,1.50,2.35,6.00,0,1
25,1.47,3.05,12.0,1.03,61.0,0.50,1.93,1.73,3.50,1.61,2.10,4.50,1.49,2.40,15.0,0,2
26,1.47,3.05,12.0,1.03,61.0,0.50,1.90,1.75,3.50,1.59,2.15,4.50,1.47,2.50,15.0,0,2
27,1.47,3.05,12.0,1.03,61.0,0.50,1.88,1.76,3.50,1.57,2.20,3.50,2.55,1.45,15.0,0,2
28,1.47,3.05,12.0,1.03,66.0,0.50,1.86,1.78,3.50,1.56,2.20,3.50,2.50,1.47,15.0,0,2
29,1.47,3.05,12.0,1.03,69.0,0.50,1.84,1.80,3.50,1.54,2.25,3.50,2.45,1.48,15.0,0,2
30,1.47,3.05,12.0,1.03,67.0,0.50,1.82,1.82,3.50,1.52,2.30,3.50,2.40,1.50,15.0,0,2
31,1.47,3.05,12.0,1.03,68.0,0.50,1.80,1.84,3.50,1.51,2.35,3.50,2.30,1.52,15.0,0,2
32,1.47,3.05,12.0,1.03,74.0,0.50,1.78,1.87,3.50,1.49,2.40,3.50,2.25,1.54,15.0,0,2
33,1.47,3.05,12.0,1.03,76.0,0.50,1.76,1.89,3.50,1.48,2.45,3.50,2.20,1.56,15.0,0,2
34,1.47,3.05,12.0,1.03,77.0,0.50,1.74,1.91,3.50,1.46,2.50,3.50,2.15,1.58,15.0,0,2
35,1.47,3.05,12.0,1.03,92.0,0.50,1.72,1.94,3.50,1.45,2.55,3.50,2.10,1.60,15.0,0,2
36,1.47,3.05,12.0,1.03,94.0,0.50,1.70,1.97,3.50,1.43,2.60,3.50,2.05,1.63,16.0,0,2
37,1.47,3.05,12.0,1.03,105,0.50,1.68,1.99,3.50,1.42,2.65,3.50,2.00,1.65,16.0,0,2
38,1.47,3.05,12.0,1.03,109,0.50,1.67,2.00,3.50,1.40,2.70,3.50,2.00,1.68,16.0,0,2
39,1.47,3.05,12.0,1.03,114,0.50,1.65,2.00,3.50,1.39,2.80,3.50,1.96,1.71,16.0,0,2
40,1.47,3.05,12.0,1.03,120,0.50,1.63,2.05,3.50,1.38,2.85,3.50,1.92,1.74,16.0,0,2
41,1.47,3.05,12.0,1.03,127,0.50,1.62,2.10,2.50,2.90,1.36,3.50,1.88,1.77,16.0,0,2
42,1.47,3.05,12.0,-,-,0.50,1.60,2.10,3.50,1.39,2.80,3.50,1.91,1.74,-,0,2
43,1.47,3.05,12.0,-,-,0.50,1.59,2.15,3.50,1.37,2.85,3.50,1.87,1.77,-,0,2
44,1.47,3.05,12.0,-,-,0.50,1.57,2.20,2.50,2.90,1.37,3.50,1.83,1.81,-,0,2
45,1.47,3.05,12.0,-,-,0.50,1.56,2.20,3.50,1.37,2.90,3.50,1.83,1.81,-,0,2
46,1.47,3.05,12.0,-,-,0.50,1.54,2.25,2.50,2.85,1.37,3.50,1.79,1.85,-,0,2
47,1.47,3.05,12.0,-,-,0.50,1.53,2.30,2.50,2.80,1.39,3.50,1.75,1.90,-,0,2
48,1.47,3.05,12.0,-,-,0.50,1.51,2.35,2.50,2.70,1.40,3.50,1.71,1.95,-,0,2
49,1.47,3.05,12.0,-,-,0.50,1.50,2.40,2.50,2.65,1.42,3.50,1.68,2.00,-,0,2
52,1.47,3.05,12.0,-,-,0.50,1.46,2.50,2.50,2.50,1.47,3.50,1.58,2.15,-,0,2
53,1.47,3.05,12.0,-,-,0.50,1.45,2.55,2.50,2.40,1.49,3.50,1.55,2.25,-,0,2
54,1.47,3.05,12.0,-,-,0.50,1.46,2.50,3.50,2.50,1.47,4.50,1.58,2.15,-,0,3
55,1.47,3.05,12.0,-,-,0.50,1.44,2.60,3.50,2.40,1.49,4.50,1.55,2.25,-,0,3
56,1.47,3.05,12.0,-,-,0.50,1.43,2.60,3.50,2.35,1.51,4.50,1.52,2.30,-,0,3
57,1.47,3.05,12.0,-,-,0.50,1.42,2.70,3.50,2.30,1.53,4.50,1.50,2.40,-,0,3
58,1.47,3.05,12.0,-,-,0.50,1.40,2.70,3.50,2.25,1.55,4.50,1.47,2.45,-,0,3
59,1.47,3.05,12.0,-,-,0.50,1.39,2.80,3.50,2.20,1.57,4.50,1.45,2.55,-,0,3
60,1.47,3.05,12.0,-,-,0.50,1.37,2.85,3.50,2.10,1.60,4.50,1.42,2.65,-,0,3
61,1.47,3.05,12.0,-,-,0.50,1.36,2.90,3.50,2.05,1.63,4.50,1.40,2.75,-,0,3
62,1.47,3.05,12.0,-,-,0.50,1.35,3.00,3.50,2.00,1.65,4.50,1.38,2.85,-,0,3
63,1.47,3.05,12.0,-,-,0.50,1.33,3.05,3.50,1.98,1.69,3.50,2.85,1.37,-,0,3
64,1.47,3.05,12.0,-,-,0.50,1.32,3.10,3.50,1.93,1.73,3.50,2.75,1.40,-,0,3
65,1.47,3.05,12.0,-,-,0.50,1.30,3.20,3.50,1.88,1.77,3.50,2.65,1.42,-,0,3
66,1.47,3.05,12.0,-,-,0.50,1.29,3.30,3.50,1.83,1.81,3.50,2.60,1.44,-,0,3
67,1.47,3.05,12.0,-,-,0.50,1.27,3.40,3.50,1.78,1.86,3.50,2.50,1.47,-,0,3
68,1.47,3.05,12.0,-,-,0.50,1.26,3.45,3.50,1.74,1.91,3.50,2.40,1.50,-,0,3
69,1.47,3.05,12.0,-,-,0.50,1.24,3.55,3.50,1.70,1.97,3.50,2.30,1.52,-,0,3
70,1.47,3.05,12.0,-,-,0.50,1.22,3.70,3.50,1.66,2.00,3.50,2.20,1.56,-,0,3
71,1.47,3.05,12.0,-,-,0.50,1.21,3.80,3.50,1.62,2.10,3.50,2.15,1.59,-,0,3
72,1.47,3.05,12.0,-,-,0.50,1.19,3.95,3.50,1.59,2.15,3.50,2.05,1.63,-,0,3
73,1.47,3.05,12.0,-,-,0.50,1.18,4.10,3.50,1.55,2.25,3.50,2.00,1.68,-,0,3
74,1.47,3.05,12.0,-,-,0.50,1.16,4.25,3.50,1.52,2.30,3.50,1.93,1.73,-,0,3
75,1.47,3.05,12.0,-,-,0.50,1.15,4.40,3.50,1.49,2.40,3.50,1.85,1.79,-,0,3
76,1.47,3.05,12.0,-,-,0.50,1.13,4.60,3.50,1.46,2.50,3.50,1.78,1.86,-,0,3
77,1.47,3.05,12.0,-,-,0.50,1.12,4.85,3.50,1.43,2.60,3.50,1.72,1.94,-,0,3
78,1.47,3.05,12.0,-,-,0.50,1.10,5.00,3.50,1.40,2.75,3.50,1.66,2.00,-,0,3
79,1.47,3.05,12.0,-,-,0.50,1.09,5.00,3.50,1.37,2.85,3.50,1.61,2.10,-,0,3
80,1.47,3.05,12.0,-,-,0.50,1.08,5.50,3.50,1.34,3.00,3.50,1.56,2.20,-,0,3
81,1.47,3.05,12.0,-,-,0.50,1.07,6.00,3.50,1.31,3.15,3.50,1.51,2.35,-,0,3
82,1.47,3.05,12.0,-,-,0.50,1.06,6.50,3.50,1.28,3.35,3.50,1.46,2.50,-,0,3
83,1.47,3.05,12.0,-,-,0.50,1.05,7.00,3.50,1.24,3.55,3.50,1.42,2.65,-,0,3
84,1.47,3.05,12.0,-,-,0.50,1.05,7.50,3.50,1.21,3.80,3.50,1.38,2.85,-,0,3
85,1.47,3.05,12.0,-,-,0.50,1.04,8.00,3.50,1.18,4.10,3.50,1.33,3.05,-,0,3
86,1.47,3.05,12.0,-,-,0.50,1.04,9.00,3.50,1.14,4.45,3.50,1.29,3.30,-,0,3
87,1.47,3.05,12.0,-,-,0.50,1.04,9.50,3.50,1.11,4.90,3.50,1.24,3.55,-,0,3
88,1.47,3.05,12.0,-,-,1,1,1,3.50,1.09,5.00,3.50,1.19,3.95,-,0,3
89,1.47,3.05,12.0,-,-,1,1,1,1,1,1,1,1,1,-,0,3
90,1.47,3.05,12.0,-,-,1,1,1,1,1,1,1,1,1,-,0,3
91,1.47,3.05,12.0,-,-,1,1,1,1,1,1,1,1,1,-,0,3
92,1.47,3.05,12.0,-,-,1,1,1,1,1,1,1,1,1,-,0,3
93,1.47,3.05,12.0,-,-,1,1,1,1,1,1,1,1,1,-,0,3
