min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1.58,5.00,0.50,2.00,1.66,1.50,1.82,1.82,1,1,1,3.45,0,0
7,1.50,3.15,9.00,1.58,5.00,0.50,2.00,1.67,1.50,1.80,1.84,1,1,1,3.45,0,0
8,1.50,3.20,8.50,1.60,5.00,0.50,1.99,1.69,1.50,1.78,1.87,1,1,1,3.40,0,0
9,1.50,3.20,8.50,1.60,5.00,0.50,1.97,1.70,1.50,1.75,1.89,1,1,1,3.40,0,0
10,1.51,3.20,8.00,1.61,5.00,0.50,1.94,1.72,1.50,1.74,1.92,1,1,1,3.35,0,0
11,1.51,3.30,7.50,1.61,5.50,0.50,1.83,1.81,1.50,1.67,2.00,1,1,1,3.25,0,0
12,1.52,3.30,7.00,1.62,5.50,0.50,1.82,1.82,1.50,1.65,2.00,1,1,1,3.25,0,0
13,1.52,3.30,7.00,1.62,5.50,0.50,1.80,1.84,1.50,1.63,2.05,1,1,1,3.20,0,0
14,1.52,3.35,7.00,1.63,5.50,0.50,1.78,1.86,1.50,1.61,2.10,1.50,2.45,1.48,3.20,0,0
15,1.53,3.35,6.50,1.64,5.50,0.50,1.77,1.88,1.50,1.60,2.10,1.50,2.40,1.49,3.20,0,0
16,1.53,3.35,6.50,1.65,5.50,0.50,1.75,1.90,1.50,1.58,2.15,1.50,2.40,1.50,3.15,0,0
17,1.54,3.35,6.00,1.65,5.50,0.50,1.74,1.92,1.50,1.57,2.20,1.50,2.30,1.52,3.10,0,0
18,1.54,3.40,6.00,1.66,5.50,0.50,1.72,1.93,1.50,1.55,2.25,1.50,2.30,1.53,3.10,0,0
19,1.55,3.40,6.00,1.67,5.50,0.50,1.71,1.95,1.50,1.54,2.25,1.50,2.25,1.55,3.10,0,0
20,1.56,3.40,6.00,1.68,5.50,0.50,1.69,1.98,1.50,1.53,2.30,1.50,2.20,1.57,3.05,0,0
21,1.56,3.40,5.50,1.68,5.50,0.50,1.68,2.00,1.50,1.51,2.35,1.50,2.15,1.58,3.00,0,0
22,1.57,3.40,5.50,1.70,5.50,0.50,1.67,2.00,1.50,1.50,2.40,1.50,2.10,1.60,3.00,0,0
23,1.58,3.45,5.50,1.71,5.50,0.50,1.65,2.00,1.50,1.48,2.45,1.50,2.10,1.62,2.95,0,0
24,1.58,3.45,5.00,1.72,5.50,0.50,1.64,2.05,1.50,1.47,2.50,1.50,2.05,1.64,2.95,0,0
25,1.59,3.50,5.00,1.73,5.50,0.50,1.63,2.05,1.50,1.46,2.50,1.50,2.00,1.67,2.90,0,0
26,1.60,3.50,5.00,1.74,5.50,0.50,1.62,2.10,1.50,1.45,2.55,1.50,1.98,1.69,2.90,0,0
27,1.60,3.50,5.00,1.75,5.50,0.50,1.60,2.10,1.50,1.43,2.60,1.50,1.95,1.71,2.85,0,0
28,1.61,3.50,4.95,1.76,5.50,0.50,1.59,2.15,1.50,1.42,2.65,1.50,1.91,1.74,2.85,0,0
29,1.62,3.55,4.85,1.77,5.50,0.50,1.58,2.20,1.50,1.41,2.70,1.50,1.88,1.77,2.80,0,0
30,1.63,3.55,4.75,1.78,5.50,0.50,1.57,2.20,1.50,1.40,2.75,1.50,1.85,1.79,2.80,0,0
31,1.64,3.55,4.60,1.80,5.50,0.50,1.56,2.20,1.50,1.39,2.80,1.50,1.82,1.82,2.75,0,0
32,1.65,3.60,4.50,1.81,5.50,0.50,1.54,2.25,1.50,1.37,2.85,1.50,1.79,1.86,2.75,0,0
33,1.65,3.60,4.40,1.82,5.50,0.50,1.53,2.30,0.50,2.90,1.37,1.50,1.76,1.89,2.70,0,0
34,1.66,3.60,4.30,1.84,5.50,0.50,1.52,2.30,0.50,2.85,1.37,1.50,1.73,1.92,2.70,0,0
35,1.67,3.65,4.20,1.86,5.50,0.50,1.51,2.35,0.50,2.80,1.38,1.50,1.71,1.96,2.65,0,0
36,1.69,3.70,4.10,1.87,5.50,0.50,1.50,2.40,0.50,2.75,1.40,1.50,1.67,2.00,2.60,0,0
