min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.46,2.75,14.0,1.53,4.90,0.50,2.80,1.34,1.50,2.45,1.44,3.50,1.46,2.35,3.70,0,0
2,1.46,2.75,14.0,1.53,4.90,0.50,2.80,1.34,1.50,2.45,1.44,3.50,1.46,2.35,3.70,0,0
3,1.46,2.75,14.0,1.53,4.90,0.50,2.80,1.34,1.50,2.45,1.44,3.50,1.46,2.35,3.70,0,0
4,1.46,2.75,14.0,1.53,4.90,0.50,2.80,1.34,1.50,2.45,1.44,3.50,1.46,2.35,3.70,0,0
5,1.46,2.75,14.0,1.53,4.90,0.50,2.80,1.34,1.50,2.45,1.44,3.50,1.46,2.35,3.70,0,0
6,1.46,2.75,14.0,1.53,4.95,0.50,2.80,1.35,1.50,2.40,1.45,3.50,1.45,2.40,3.65,0,0
7,1.46,2.75,13.0,1.54,4.90,0.50,2.75,1.35,1.50,2.35,1.46,1,1,1,3.65,0,0
8,1.46,2.80,13.0,1.55,4.90,0.50,2.70,1.36,1.50,2.30,1.47,1,1,1,3.60,0,0
9,1.47,2.80,13.0,1.55,4.90,0.50,2.70,1.37,1.50,2.25,1.49,1,1,1,3.60,0,0
10,1.47,2.80,12.0,1.56,4.90,0.50,2.65,1.38,1.50,2.25,1.50,1,1,1,3.55,0,0
11,1.47,2.80,12.0,1.56,4.85,0.50,2.60,1.39,1.50,2.20,1.52,1,1,1,3.55,0,0
12,1.47,2.80,12.0,1.20,10.0,1.50,1.39,2.45,2.50,2.10,1.50,4.50,1.44,2.30,4.70,0,1
13,1.47,2.80,12.0,1.20,10.0,1.50,1.38,2.45,2.50,2.05,1.51,3.50,2.25,1.44,4.70,0,1
14,1.47,2.80,12.0,1.20,10.0,1.50,1.37,2.50,2.50,2.05,1.53,3.50,2.20,1.46,4.70,0,1
15,1.47,2.80,12.0,1.21,10.0,1.50,1.36,2.55,2.50,2.00,1.55,3.50,2.15,1.48,4.65,0,1
16,1.47,2.80,12.0,1.20,10.0,1.50,1.35,2.60,2.50,1.99,1.56,3.50,2.10,1.50,4.65,0,1
17,1.47,2.80,12.0,1.20,10.0,1.50,1.34,2.60,2.50,1.96,1.58,3.50,2.05,1.51,4.60,0,1
18,1.47,2.80,12.0,1.16,11.5,1.50,1.33,2.65,2.50,2.20,1.47,3.50,2.25,1.44,5.00,0,1
19,1.47,2.80,12.0,1.16,12.0,1.50,1.32,2.70,2.50,2.15,1.48,3.50,2.20,1.46,5.00,0,1
20,1.47,2.80,12.0,1.16,12.0,1.50,1.31,2.75,2.50,2.10,1.50,3.50,2.15,1.48,5.00,0,1
21,1.47,2.80,12.0,1.61,4.20,1.50,2.75,1.31,2.50,2.05,1.52,4.50,2.05,1.52,3.40,1,1
22,1.47,2.80,12.0,1.55,4.75,1.50,2.30,1.43,2.50,1.93,1.60,4.50,1.78,1.71,3.30,1,1
23,1.47,2.80,12.0,1.56,4.80,1.50,2.25,1.44,2.50,1.89,1.62,4.50,1.74,1.75,3.30,1,1
24,1.47,2.80,12.0,1.56,4.80,1.50,2.20,1.45,2.50,1.86,1.64,4.50,1.71,1.78,3.25,1,1
25,1.47,2.80,12.0,1.57,4.80,1.50,2.20,1.46,2.50,1.83,1.67,4.50,1.67,1.82,3.20,1,1
26,1.47,2.80,12.0,1.58,4.75,1.50,2.15,1.47,2.50,1.80,1.69,4.50,1.64,1.86,3.20,1,1
27,1.47,2.80,12.0,1.59,4.75,1.50,2.15,1.48,2.50,1.76,1.72,4.50,1.62,1.90,3.15,1,1
28,1.47,2.80,12.0,1.59,4.75,1.50,2.10,1.50,2.50,1.73,1.75,4.50,1.58,1.95,3.15,1,1
29,1.47,2.80,12.0,1.60,4.75,1.50,2.10,1.51,2.50,1.71,1.78,4.50,1.56,1.99,3.10,1,1
30,1.47,2.80,12.0,1.61,4.70,1.50,2.05,1.52,2.50,1.68,1.81,4.50,1.54,2.00,3.10,1,1
31,1.47,2.80,12.0,1.62,4.80,1.50,2.00,1.54,2.50,1.66,1.84,4.50,1.51,2.05,3.05,1,1
32,1.47,2.80,12.0,1.63,4.75,1.50,2.00,1.55,2.50,1.63,1.88,4.50,1.49,2.10,3.05,1,1
33,1.47,2.80,12.0,1.64,4.75,1.50,1.99,1.56,2.50,1.61,1.91,4.50,1.47,2.20,3.00,1,1
34,1.47,2.80,12.0,1.65,4.75,1.50,1.96,1.58,2.50,1.59,1.95,4.50,1.45,2.20,3.00,1,1
35,1.47,2.80,12.0,1.66,4.75,1.50,1.93,1.60,2.50,1.56,1.99,4.50,1.43,2.30,2.95,1,1
36,1.47,2.80,12.0,1.67,4.75,1.50,1.90,1.61,2.50,1.54,2.00,4.50,1.41,2.35,2.90,1,1
37,1.47,2.80,12.0,1.67,4.70,1.50,1.87,1.63,2.50,1.52,2.05,3.50,2.45,1.39,2.90,1,1
38,1.47,2.80,12.0,1.69,4.75,1.50,1.85,1.65,2.50,1.50,2.10,3.50,2.40,1.40,2.85,1,1
39,1.47,2.80,12.0,1.70,4.70,1.50,1.82,1.67,2.50,1.48,2.15,3.50,2.30,1.42,2.85,1,1
40,1.47,2.80,12.0,1.71,4.70,1.50,1.80,1.69,2.50,1.46,2.20,3.50,2.25,1.44,2.80,1,1
41,1.47,2.80,12.0,1.72,4.75,1.50,1.77,1.72,2.50,1.45,2.25,3.50,2.20,1.46,2.80,1,1
42,1.47,2.80,12.0,1.74,4.70,1.50,1.75,1.74,2.50,1.42,2.30,3.50,2.15,1.49,2.75,1,1
43,1.47,2.80,12.0,1.75,4.70,1.50,1.72,1.76,2.50,1.41,2.35,3.50,2.10,1.51,2.70,1,1
44,1.47,2.80,12.0,1.77,4.75,1.50,1.70,1.79,2.50,1.39,2.40,3.50,2.00,1.53,2.70,1,1
45,1.47,2.80,12.0,1.65,5.00,1.50,1.60,1.92,2.50,1.43,2.30,3.50,2.05,1.53,2.75,1,1
46,1.47,2.80,12.0,1.67,5.00,1.50,1.59,1.94,2.50,1.41,2.35,3.50,2.00,1.56,2.70,1,1
47,1.47,2.80,12.0,1.68,5.00,1.50,1.57,1.98,2.50,1.40,2.40,3.50,1.95,1.59,2.70,1,1
48,1.47,2.80,12.0,1.70,5.00,1.50,1.55,2.00,2.50,1.38,2.45,3.50,1.89,1.62,2.65,1,1
49,1.47,2.80,12.0,1.71,5.00,1.50,1.53,2.05,2.50,1.36,2.55,3.50,1.84,1.66,2.60,1,1
50,1.47,2.80,12.0,1.72,5.00,1.50,1.51,2.05,2.50,1.34,2.60,3.50,1.79,1.70,2.60,1,1
51,1.47,2.80,12.0,1.74,5.50,1.50,1.50,2.10,2.50,1.33,2.65,3.50,1.75,1.73,2.55,1,1
52,1.47,2.80,12.0,1.77,5.50,1.50,1.48,2.15,2.50,1.31,2.75,3.50,1.71,1.78,2.50,1,1
53,1.47,2.80,12.0,1.78,5.50,1.50,1.47,2.20,1.50,2.75,1.31,3.50,1.67,1.82,2.50,1,1
