min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.34,3.60,15.0,1.35,7.00,0.50,1.96,1.71,1.50,2.45,1.48,1,1,1,4.90,0,0
2,1.34,3.60,15.0,1.35,7.00,0.50,1.96,1.71,1.50,2.45,1.48,1,1,1,4.90,0,0
3,1.34,3.60,15.0,1.35,7.00,0.50,1.96,1.71,1.50,2.45,1.48,1,1,1,4.90,0,0
4,1.34,3.60,15.0,1.35,7.00,0.50,1.96,1.71,1.50,2.45,1.48,1,1,1,4.90,0,0
5,1.34,3.60,15.0,1.35,7.00,0.50,1.96,1.71,1.50,2.45,1.48,1,1,1,4.90,0,0
6,1.34,3.60,14.0,1.35,6.50,0.50,1.94,1.72,1.50,2.40,1.49,1,1,1,4.80,0,0
7,1.34,3.60,14.0,1.05,18.0,0.50,1.92,1.73,2.50,2.35,1.51,3.50,1.96,1.70,10.5,0,1
8,1.34,3.60,14.0,1.05,18.0,0.50,1.90,1.75,2.50,2.30,1.52,3.50,1.92,1.73,10.5,0,1
9,1.34,3.60,14.0,1.05,18.0,0.50,1.88,1.76,2.50,2.30,1.53,3.50,1.89,1.76,10.5,0,1
10,1.34,3.60,14.0,1.05,18.0,0.50,1.87,1.78,2.50,2.25,1.55,3.50,1.85,1.79,10.5,0,1
11,1.34,3.60,14.0,1.05,18.0,0.50,1.85,1.79,2.50,2.20,1.56,3.50,1.82,1.82,10.5,0,1
12,1.34,3.60,14.0,1.05,18.0,0.50,1.83,1.81,2.50,2.15,1.58,3.50,1.79,1.85,10.5,0,1
13,1.34,3.60,14.0,1.05,18.0,0.50,1.82,1.82,2.50,2.10,1.60,3.50,1.77,1.88,10.0,0,1
14,1.34,3.60,14.0,1.05,18.0,0.50,1.80,1.84,2.50,2.10,1.61,3.50,1.74,1.91,10.0,0,1
15,1.34,3.60,14.0,1.05,18.0,0.50,1.78,1.86,2.50,2.05,1.63,3.50,1.71,1.95,10.0,0,1
16,1.34,3.60,14.0,1.05,19.0,0.50,1.77,1.88,2.50,2.00,1.65,3.50,1.69,1.99,10.0,0,1
17,1.34,3.60,14.0,1.05,18.0,0.50,1.75,1.89,2.50,2.00,1.67,3.50,1.66,2.00,10.0,0,1
18,1.34,3.60,14.0,1.05,19.0,0.50,1.74,1.92,2.50,1.98,1.69,3.50,1.64,2.05,10.0,0,1
19,1.34,3.60,14.0,1.05,19.0,0.50,1.72,1.93,2.50,1.94,1.72,3.50,1.62,2.10,10.0,0,1
20,1.34,3.60,14.0,1.05,19.0,0.50,1.71,1.95,2.50,1.91,1.74,3.50,1.60,2.15,10.0,0,1
21,1.34,3.60,14.0,1.05,19.0,0.50,1.69,1.98,2.50,1.88,1.76,3.50,1.57,2.20,10.0,0,1
22,1.34,3.60,14.0,1.05,19.0,0.50,1.68,2.00,2.50,1.85,1.79,3.50,1.55,2.20,10.0,0,1
23,1.34,3.60,14.0,1.05,19.0,0.50,1.67,2.00,2.50,1.82,1.82,3.50,1.53,2.30,9.50,0,1
24,1.34,3.60,14.0,1.05,19.0,0.50,1.65,2.00,2.50,1.79,1.85,3.50,1.52,2.35,9.50,0,1
25,1.34,3.60,14.0,1.05,19.0,0.50,1.64,2.05,2.50,1.76,1.88,3.50,1.50,2.40,9.50,0,1
26,1.34,3.60,14.0,1.05,19.0,0.50,1.63,2.05,2.50,1.74,1.91,3.50,1.48,2.45,9.50,0,1
27,1.34,3.60,14.0,1.05,19.0,0.50,1.61,2.10,2.50,1.72,1.94,3.50,1.46,2.50,9.50,0,1
28,1.34,3.60,14.0,1.05,19.0,0.50,1.60,2.10,2.50,1.69,1.98,1,1,1,9.50,0,1
29,1.34,3.60,14.0,1.05,19.0,0.50,1.59,2.15,2.50,1.67,2.00,1,1,1,9.50,0,1
30,1.34,3.60,14.0,1.05,20.0,0.50,1.58,2.20,2.50,1.65,2.05,1,1,1,9.50,0,1
31,1.34,3.60,14.0,1.05,20.0,0.50,1.56,2.20,2.50,1.63,2.05,1,1,1,9.00,0,1
32,1.34,3.60,14.0,1.05,20.0,0.50,1.55,2.25,2.50,1.60,2.10,1,1,1,9.00,0,1
33,1.34,3.60,14.0,1.06,20.0,0.50,1.54,2.25,2.50,1.58,2.15,1,1,1,9.00,0,1
34,1.34,3.60,14.0,1.05,20.0,0.50,1.53,2.30,2.50,1.56,2.20,1,1,1,9.00,0,1
35,1.34,3.60,14.0,1.05,20.0,0.50,1.52,2.30,2.50,1.55,2.25,1,1,1,9.00,0,1
36,1.34,3.60,14.0,1.06,20.0,0.50,1.51,2.35,2.50,1.53,2.30,1,1,1,9.00,0,1
37,1.34,3.60,14.0,1.05,20.0,0.50,1.50,2.40,2.50,1.51,2.35,1,1,1,9.00,0,1
38,1.34,3.60,14.0,-,-,0.50,1.66,2.00,3.50,1.51,2.35,3.50,2.20,1.56,-,0,2
39,1.34,3.60,14.0,-,-,0.50,1.64,2.05,3.50,1.50,2.40,3.50,2.15,1.59,-,0,2
40,1.34,3.60,14.0,-,-,0.50,1.62,2.10,3.50,1.48,2.45,3.50,2.10,1.61,-,0,2
41,1.34,3.60,14.0,-,-,0.50,1.61,2.10,3.50,1.46,2.50,3.50,2.05,1.64,-,0,2
42,1.34,3.60,14.0,-,-,0.50,1.59,2.15,3.50,1.45,2.55,3.50,2.00,1.67,-,0,2
43,1.34,3.60,14.0,-,-,0.50,1.58,2.15,3.50,1.43,2.60,3.50,1.98,1.69,-,0,2
44,1.34,3.60,14.0,-,-,0.50,1.56,2.20,3.50,1.42,2.65,3.50,1.93,1.72,-,0,2
45,1.34,3.60,14.0,-,-,0.50,1.55,2.25,3.50,1.40,2.75,3.50,1.89,1.76,-,0,2
46,1.34,3.60,14.0,-,-,0.50,1.53,2.30,3.50,1.39,2.80,3.50,1.84,1.80,-,0,2
47,1.34,3.60,14.0,-,-,0.50,1.52,2.30,3.50,1.37,2.85,3.50,1.80,1.84,-,0,2
48,1.34,3.60,14.0,-,-,0.50,1.51,2.35,2.50,2.85,1.37,3.50,1.76,1.88,-,0,2
49,1.34,3.60,14.0,-,-,0.50,1.49,2.40,2.50,2.80,1.38,3.50,1.73,1.93,-,0,2
50,1.34,3.60,14.0,-,-,0.50,1.48,2.45,2.50,2.75,1.40,3.50,1.69,1.98,-,0,2
51,1.34,3.60,14.0,-,-,0.50,1.47,2.50,2.50,2.65,1.42,3.50,1.65,2.00,-,0,2
52,1.34,3.60,14.0,-,-,0.50,1.45,2.55,2.50,2.60,1.44,3.50,1.62,2.10,-,0,2
53,1.34,3.60,14.0,-,-,0.50,1.44,2.60,2.50,2.55,1.45,3.50,1.59,2.15,-,0,2
