min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.25,3.65,41.0,1.11,10.0,0.50,2.85,1.37,3.50,1.60,2.10,4.50,1.70,1.97,7.50,0,0
2,1.25,3.65,41.0,1.11,10.0,0.50,2.85,1.37,3.50,1.60,2.10,4.50,1.70,1.97,7.50,0,0
3,1.25,3.65,41.0,1.11,10.0,0.50,2.85,1.37,3.50,1.60,2.10,4.50,1.70,1.97,7.50,0,0
4,1.25,3.65,41.0,1.11,10.0,0.50,2.85,1.37,3.50,1.60,2.10,4.50,1.70,1.97,7.50,0,0
5,1.25,3.65,41.0,1.11,10.0,0.50,2.85,1.37,3.50,1.60,2.10,4.50,1.70,1.97,7.50,0,0
6,1.25,3.65,40.0,1.11,10.0,0.50,2.80,1.38,3.50,1.58,2.20,4.50,1.66,2.00,7.50,0,0
7,1.25,3.65,38.0,1.12,10.0,0.50,2.80,1.39,3.50,1.56,2.20,4.50,1.64,2.05,7.00,0,0
8,1.25,3.65,37.0,1.13,9.50,0.50,2.75,1.40,3.50,1.54,2.30,4.50,1.61,2.10,7.00,0,0
9,1.25,3.65,37.0,1.04,22.0,0.50,2.70,1.41,3.50,2.45,1.48,5.50,1.58,2.15,13.0,0,1
10,1.25,3.65,37.0,1.04,21.0,0.50,2.70,1.42,3.50,2.40,1.50,5.50,1.56,2.20,13.0,0,1
11,1.25,3.65,37.0,1.04,22.0,0.50,2.65,1.43,3.50,2.35,1.51,5.50,1.54,2.25,13.0,0,1
12,1.25,3.65,37.0,1.04,22.0,0.50,2.60,1.44,3.50,2.30,1.53,4.50,2.25,1.55,13.0,0,1
13,1.25,3.65,37.0,1.04,22.0,0.50,2.60,1.44,3.50,2.25,1.55,4.50,2.20,1.57,13.0,0,1
14,1.25,3.65,37.0,1.04,22.0,0.50,2.55,1.45,3.50,2.20,1.57,4.50,2.15,1.59,13.0,0,1
15,1.25,3.65,37.0,1.04,21.0,0.50,2.50,1.46,3.50,2.15,1.59,4.50,2.10,1.62,13.0,0,1
16,1.25,3.65,37.0,1.04,21.0,0.50,2.50,1.47,3.50,2.10,1.61,4.50,2.00,1.65,13.0,0,1
17,1.25,3.65,37.0,1.04,21.0,0.50,2.45,1.48,3.50,2.05,1.64,4.50,2.00,1.68,12.0,0,1
18,1.25,3.65,37.0,1.04,21.0,0.50,2.40,1.49,3.50,2.00,1.66,4.50,1.96,1.71,12.0,0,1
19,1.25,3.65,37.0,1.04,22.0,0.50,2.40,1.50,3.50,1.99,1.69,4.50,1.91,1.74,12.0,0,1
20,1.25,3.65,37.0,1.04,22.0,0.50,2.35,1.51,3.50,1.95,1.71,4.50,1.87,1.78,12.0,0,1
21,1.25,3.65,37.0,1.04,22.0,0.50,2.30,1.52,3.50,1.90,1.75,4.50,1.82,1.82,12.0,0,1
22,1.25,3.65,37.0,1.04,22.0,0.50,2.30,1.53,3.50,1.87,1.78,4.50,1.79,1.86,12.0,0,1
23,1.25,3.65,37.0,1.04,22.0,0.50,2.25,1.55,3.50,1.83,1.81,4.50,1.75,1.90,12.0,0,1
24,1.25,3.65,37.0,1.04,21.0,0.50,2.20,1.56,3.50,1.79,1.85,4.50,1.71,1.95,12.0,0,1
25,1.25,3.65,37.0,1.04,21.0,0.50,2.20,1.57,3.50,1.76,1.89,4.50,1.68,2.00,12.0,0,1
26,1.25,3.65,37.0,1.04,21.0,0.50,2.15,1.58,3.50,1.73,1.93,4.50,1.65,2.00,11.5,0,1
27,1.25,3.65,37.0,1.04,22.0,0.50,2.15,1.59,3.50,1.70,1.97,4.50,1.62,2.10,11.5,0,1
28,1.25,3.65,37.0,1.04,22.0,0.50,2.10,1.61,3.50,1.67,2.00,4.50,1.59,2.15,11.5,0,1
30,1.25,3.65,37.0,-,-,0.50,2.05,1.64,3.50,3.00,1.34,5.50,1.54,2.30,-,0,2
31,1.25,3.65,37.0,-,-,0.50,2.00,1.65,3.50,2.95,1.35,5.50,1.51,2.35,-,0,2
32,1.25,3.65,37.0,-,-,0.50,2.00,1.67,3.50,2.90,1.37,4.50,2.35,1.51,-,0,2
33,1.25,3.65,37.0,-,-,0.50,1.99,1.69,3.50,2.80,1.38,4.50,2.30,1.54,-,0,2
34,1.25,3.65,37.0,-,-,0.50,1.96,1.71,3.50,2.75,1.40,4.50,2.20,1.56,-,0,2
35,1.25,3.65,37.0,-,-,0.50,1.93,1.73,3.50,2.70,1.42,4.50,2.15,1.59,-,0,2
36,1.25,3.65,37.0,1.04,22.0,1.50,1.90,1.75,3.50,2.60,1.43,5.50,2.10,1.62,10.5,1,2
37,1.25,3.65,37.0,1.04,22.0,1.50,1.88,1.77,3.50,2.55,1.45,5.50,2.00,1.65,10.5,1,2
38,1.25,3.65,37.0,1.04,22.0,1.50,1.85,1.79,3.50,2.50,1.47,5.50,1.99,1.69,10.5,1,2
39,1.25,3.65,37.0,1.04,22.0,1.50,1.83,1.81,3.50,2.40,1.49,5.50,1.93,1.72,10.5,1,2
40,1.25,3.65,37.0,1.04,22.0,1.50,1.80,1.84,3.50,2.35,1.51,5.50,1.88,1.76,10.0,1,2
41,1.25,3.65,37.0,-,-,1.50,1.78,1.87,3.50,6.50,1.06,6.50,1.83,1.81,-,1,3
42,1.25,3.65,37.0,-,-,1.50,1.76,1.89,3.50,6.00,1.06,6.50,1.78,1.86,-,1,3
43,1.25,3.65,37.0,-,-,1.50,1.72,1.94,3.50,6.50,1.06,6.50,1.81,1.83,-,1,3
44,1.25,3.65,37.0,-,-,1.50,1.69,1.98,3.50,6.50,1.06,6.50,1.77,1.88,-,1,3
45,1.25,3.65,37.0,-,-,1.50,1.68,2.00,3.50,6.00,1.07,6.50,1.72,1.94,-,1,3
46,1.25,3.65,37.0,-,-,1.50,1.66,2.00,3.50,6.00,1.07,6.50,1.68,1.99,-,1,3
47,1.25,3.65,37.0,-,-,1.50,1.64,2.05,3.50,5.50,1.08,6.50,1.64,2.05,-,1,3
48,1.25,3.65,37.0,-,-,1.50,1.62,2.10,3.50,5.00,1.09,6.50,1.60,2.10,-,1,3
49,1.25,3.65,37.0,-,-,1.50,1.60,2.10,3.50,5.00,1.09,6.50,1.57,2.20,-,1,3
50,1.25,3.65,37.0,-,-,1.50,1.58,2.15,3.50,5.00,1.10,6.50,1.54,2.30,-,1,3
51,1.25,3.65,37.0,-,-,1.50,1.56,2.20,3.50,4.90,1.11,6.50,1.51,2.35,-,1,3
52,1.25,3.65,37.0,-,-,1.50,1.55,2.25,3.50,4.75,1.12,6.50,1.48,2.45,-,1,3
53,1.25,3.65,37.0,-,-,1.50,1.53,2.30,3.50,4.60,1.13,5.50,2.55,1.45,-,1,3
54,1.25,3.65,37.0,-,-,1.50,1.51,2.35,3.50,4.40,1.15,5.50,2.45,1.48,-,1,3
55,1.25,3.65,37.0,-,-,1.50,1.50,2.40,3.50,4.25,1.16,5.50,2.35,1.51,-,1,3
56,1.25,3.65,37.0,-,-,1.50,1.48,2.45,3.50,4.10,1.18,5.50,2.25,1.54,-,1,3
57,1.25,3.65,37.0,-,-,1.50,1.47,2.50,3.50,3.95,1.19,5.50,2.20,1.57,-,1,3
58,1.25,3.65,37.0,-,-,1.50,1.45,2.55,3.50,3.80,1.21,5.50,2.10,1.60,-,1,3
59,1.25,3.65,37.0,-,-,1.50,1.44,2.60,3.50,3.70,1.22,5.50,2.05,1.64,-,1,3
60,1.25,3.65,37.0,-,-,1.50,1.42,2.65,3.50,3.55,1.24,5.50,1.98,1.69,-,1,3
61,1.25,3.65,37.0,-,-,1.50,1.41,2.70,3.50,3.45,1.26,5.50,1.92,1.74,-,1,3
62,1.25,3.65,37.0,-,-,1.50,1.39,2.75,3.50,3.30,1.28,5.50,1.85,1.79,-,1,3
63,1.25,3.65,37.0,-,-,1.50,1.38,2.85,3.50,3.20,1.30,5.50,1.79,1.85,-,1,3
64,1.25,3.65,37.0,-,-,1.50,1.36,2.90,3.50,3.10,1.32,5.50,1.73,1.92,-,1,3
65,1.25,3.65,37.0,-,-,1.50,1.34,3.00,1,1,1,5.50,4.20,1.17,-,1,4
66,1.25,3.65,37.0,-,-,1.50,1.33,3.05,1,1,1,5.50,4.00,1.18,-,1,4
67,1.25,3.65,37.0,-,-,1.50,1.31,3.15,1,1,1,5.50,3.80,1.20,-,1,4
68,1.25,3.65,37.0,-,-,1.50,1.30,3.20,1,1,1,5.50,3.65,1.23,-,1,4
69,1.25,3.65,37.0,-,-,1.50,1.28,3.30,1,1,1,5.50,3.45,1.26,-,1,4
70,1.25,3.65,37.0,-,-,1.50,1.26,3.40,1,1,1,5.50,3.30,1.28,-,1,4
71,1.25,3.65,37.0,-,-,1.50,1.25,3.50,1,1,1,5.50,3.15,1.31,-,1,4
72,1.25,3.65,37.0,-,-,1.50,1.23,3.65,1,1,1,5.50,3.00,1.34,-,1,4
73,1.25,3.65,37.0,-,-,1.50,1.21,3.75,1,1,1,6.50,1.36,2.90,-,1,4
74,1.25,3.65,37.0,-,-,1.50,1.19,3.90,1,1,1,6.50,1.32,3.10,-,1,4
75,1.25,3.65,37.0,-,-,1.50,1.18,4.05,1,1,1,6.50,1.29,3.25,-,1,4
76,1.25,3.65,37.0,-,-,1.50,1.16,4.25,1,1,1,6.50,1.25,3.50,-,1,4
77,1.25,3.65,37.0,-,-,1.50,1.14,4.45,1,1,1,6.50,1.21,3.75,-,1,4
78,1.25,3.65,37.0,-,-,1.50,1.13,4.65,1,1,1,6.50,1.18,4.05,-,1,4
79,1.25,3.65,37.0,-,-,1.50,1.11,4.90,1,1,1,6.50,1.15,4.40,-,1,4
80,1.25,3.65,37.0,-,-,1.50,1.07,6.00,1,1,1,6.50,1.07,5.50,-,1,4
81,1.25,3.65,37.0,-,-,1.50,1.06,6.50,1,1,1,6.50,1.06,6.50,-,1,4
82,1.25,3.65,37.0,-,-,1.50,1.05,7.00,1,1,1,6.50,1.05,7.00,-,1,4
