min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.90,1.44,19.0,5.00,1.47,2.50,1.52,2.30,0.50,2.90,1.37,3.50,1.61,2.10,4.40,0,0
2,3.50,1.28,39.0,7.50,1.21,2.50,1.95,1.71,0.50,2.50,1.46,3.50,2.00,1.67,7.00,0,0
3,3.50,1.28,39.0,7.50,1.21,2.50,1.95,1.71,0.50,2.50,1.46,3.50,2.00,1.67,7.00,0,0
4,3.50,1.28,39.0,7.50,1.21,2.50,1.95,1.71,0.50,2.50,1.46,3.50,2.00,1.67,7.00,0,0
5,3.50,1.28,39.0,16.0,1.04,3.50,1.95,1.71,0.50,2.50,1.46,4.50,1.98,1.69,15.0,1,0
6,3.50,1.28,39.0,15.0,1.04,3.50,1.77,1.87,0.50,2.50,1.47,4.50,1.81,1.83,13.0,1,0
7,3.50,1.28,39.0,15.0,1.04,3.50,1.75,1.90,0.50,2.45,1.48,4.50,1.77,1.87,13.0,1,0
8,3.50,1.28,39.0,15.0,1.04,3.50,1.72,1.94,0.50,2.40,1.49,4.50,1.75,1.91,13.0,1,0
9,3.50,1.28,39.0,15.0,1.04,3.50,1.69,1.98,0.50,2.40,1.50,4.50,1.71,1.95,13.0,1,0
10,3.50,1.28,39.0,16.0,1.04,3.50,1.67,2.00,0.50,2.35,1.50,4.50,1.68,1.99,13.0,1,0
11,3.50,1.28,39.0,16.0,1.04,3.50,1.65,2.00,0.50,2.35,1.51,4.50,1.66,2.00,13.0,1,0
12,3.50,1.28,39.0,16.0,1.05,3.50,1.63,2.05,0.50,2.30,1.52,4.50,1.64,2.05,13.0,1,0
13,3.50,1.28,39.0,16.0,1.04,3.50,1.61,2.10,0.50,2.30,1.53,4.50,1.61,2.10,13.0,1,0
14,3.50,1.28,39.0,16.0,1.04,3.50,1.59,2.15,0.50,2.25,1.54,4.50,1.59,2.15,12.0,1,0
15,3.50,1.28,39.0,16.0,1.05,3.50,1.57,2.20,0.50,2.25,1.55,4.50,1.56,2.20,12.0,1,0
16,3.50,1.28,39.0,16.0,1.05,3.50,1.55,2.25,0.50,2.20,1.56,4.50,1.54,2.25,12.0,1,0
17,3.50,1.28,39.0,16.0,1.05,3.50,1.53,2.30,0.50,2.20,1.57,4.50,1.53,2.30,12.0,1,0
18,3.50,1.28,39.0,16.0,1.05,3.50,1.52,2.30,0.50,2.15,1.58,4.50,1.51,2.35,12.0,1,0
19,3.50,1.28,39.0,16.0,1.05,3.50,1.50,2.40,0.50,2.10,1.60,3.50,2.30,1.52,12.0,1,0
20,3.50,1.28,39.0,16.0,1.05,3.50,1.48,2.45,0.50,2.10,1.61,3.50,2.25,1.54,12.0,1,0
21,3.50,1.28,39.0,16.0,1.05,3.50,1.47,2.50,0.50,2.10,1.62,3.50,2.20,1.56,12.0,1,0
22,3.50,1.28,39.0,16.0,1.05,2.50,2.50,1.45,0.50,2.05,1.63,3.50,2.15,1.58,12.0,1,0
23,3.50,1.28,39.0,16.0,1.05,2.50,2.50,1.47,0.50,2.00,1.65,3.50,2.10,1.61,12.0,1,0
24,3.50,1.28,39.0,16.0,1.05,2.50,2.40,1.49,0.50,2.00,1.66,3.50,2.05,1.63,11.5,1,0
25,3.50,1.28,39.0,16.0,1.05,2.50,2.40,1.50,0.50,2.00,1.68,3.50,2.00,1.66,11.5,1,0
26,3.50,1.28,39.0,16.0,1.05,2.50,2.30,1.52,0.50,1.97,1.70,3.50,1.98,1.69,11.5,1,0
27,3.50,1.28,39.0,16.0,1.05,2.50,2.25,1.54,0.50,1.95,1.71,3.50,1.93,1.73,11.5,1,0
28,3.50,1.28,39.0,16.0,1.05,2.50,2.20,1.56,0.50,1.93,1.73,3.50,1.89,1.76,11.0,1,0
29,3.50,1.28,39.0,16.0,1.05,2.50,2.20,1.57,0.50,1.90,1.75,3.50,1.85,1.79,11.0,1,0
30,3.50,1.28,39.0,16.0,1.05,2.50,2.10,1.60,0.50,1.88,1.77,3.50,1.81,1.84,11.0,1,0
31,3.50,1.28,39.0,16.0,1.05,2.50,2.10,1.62,0.50,1.86,1.79,3.50,1.77,1.88,11.0,1,0
32,3.50,1.28,39.0,16.0,1.05,2.50,2.05,1.64,0.50,1.83,1.81,3.50,1.73,1.92,11.0,1,0
33,3.50,1.28,39.0,16.0,1.05,2.50,2.00,1.67,0.50,1.81,1.83,3.50,1.70,1.97,11.0,1,0
34,3.50,1.28,39.0,16.0,1.05,2.50,1.98,1.69,0.50,1.79,1.85,3.50,1.67,2.00,11.0,1,0
35,3.50,1.28,39.0,17.0,1.05,2.50,1.94,1.72,0.50,1.77,1.88,3.50,1.64,2.05,10.5,1,0
36,3.50,1.28,39.0,17.0,1.05,2.50,1.89,1.75,0.50,1.75,1.90,3.50,1.61,2.10,10.5,1,0
37,3.50,1.28,39.0,17.0,1.05,2.50,1.86,1.79,0.50,1.73,1.93,3.50,1.58,2.15,10.5,1,0
38,3.50,1.28,39.0,17.0,1.05,2.50,1.82,1.82,0.50,1.71,1.95,3.50,1.56,2.20,10.5,1,0
39,3.50,1.28,39.0,17.0,1.05,2.50,1.79,1.86,0.50,1.69,1.98,3.50,1.53,2.30,10.5,1,0
40,3.50,1.28,39.0,17.0,1.05,2.50,1.75,1.89,0.50,1.67,2.00,3.50,1.51,2.35,10.0,1,0
41,3.50,1.28,39.0,17.0,1.06,2.50,1.72,1.94,0.50,1.66,2.00,3.50,1.49,2.40,10.0,1,0
42,3.50,1.28,39.0,17.0,1.05,2.50,1.69,1.98,0.50,1.64,2.05,1,1,1,10.0,1,0
43,3.50,1.28,39.0,17.0,1.05,2.50,1.66,2.00,0.50,1.62,2.10,1,1,1,10.0,1,0
44,3.50,1.28,39.0,17.0,1.05,2.50,1.64,2.05,0.50,1.60,2.10,1,1,1,10.0,1,0
45,3.50,1.28,39.0,19.0,1.05,2.50,1.54,2.25,0.50,1.48,2.45,1,1,1,10.5,1,0
46,3.50,1.28,39.0,19.0,1.05,2.50,1.52,2.30,0.50,1.46,2.50,1,1,1,10.5,1,0
47,3.50,1.28,39.0,20.0,1.05,2.50,1.50,2.40,0.50,1.45,2.55,1,1,1,10.5,1,0
48,3.50,1.28,39.0,20.0,1.05,2.50,1.48,2.45,0.50,1.44,2.60,1,1,1,10.5,1,0
49,3.50,1.28,39.0,20.0,1.05,2.50,1.46,2.50,0.50,1.43,2.60,1,1,1,10.5,1,0
50,3.50,1.28,39.0,20.0,1.05,2.50,1.44,2.60,0.50,1.42,2.65,1,1,1,10.5,1,0
51,3.50,1.28,39.0,20.0,1.05,2.50,1.42,2.65,0.50,1.41,2.70,1,1,1,10.5,1,0
52,3.50,1.28,39.0,21.0,1.05,2.50,1.40,2.75,0.50,1.40,2.75,1,1,1,10.0,1,0
