min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.77,2.60,7.00,2.03,3.75,1,1,1,1,1,1,0.50,7.00,1.06,3.19,0,0
2,1.81,2.50,7.00,2.10,3.49,0.50,2.25,1.57,1,1,1,1,1,1,3.21,0,0
3,1.81,2.50,7.00,2.10,3.49,0.50,2.25,1.57,1,1,1,1,1,1,3.21,0,0
4,1.80,2.75,5.50,2.06,3.89,0.50,1.96,1.76,1.50,1.38,2.85,1.50,2.10,1.64,3.02,0,0
5,1.80,2.75,5.50,2.06,3.89,0.50,1.96,1.76,1.50,1.38,2.85,1.50,2.10,1.64,3.02,0,0
6,1.81,2.75,5.50,2.07,3.92,0.50,1.95,1.77,0.50,2.85,1.38,1.50,2.10,1.65,3.00,0,0
7,1.81,2.75,5.50,2.08,3.93,0.50,1.93,1.79,0.50,2.85,1.38,1.50,2.05,1.67,2.97,0,0
8,1.82,2.75,5.50,2.09,3.94,0.50,1.91,1.80,0.50,2.80,1.39,1.50,2.05,1.69,2.95,0,0
9,1.83,2.80,5.00,2.09,3.93,0.50,1.90,1.82,0.50,2.80,1.40,1.50,2.00,1.71,2.93,0,0
10,1.84,2.80,5.00,2.11,3.94,0.50,1.88,1.83,0.50,2.75,1.41,1.50,2.00,1.73,2.91,0,0
11,1.84,2.80,5.00,2.12,3.95,0.50,1.87,1.84,0.50,2.70,1.42,1.50,1.98,1.75,2.88,0,0
12,1.85,2.80,5.00,2.12,3.96,0.50,1.85,1.86,0.50,2.65,1.43,1.50,1.95,1.77,2.86,0,0
13,1.86,2.80,5.00,2.14,3.94,0.50,1.83,1.88,0.50,2.60,1.44,1.50,1.92,1.80,2.83,0,0
14,1.87,2.85,4.90,2.14,3.96,0.50,1.82,1.89,0.50,2.60,1.45,1.50,1.89,1.82,2.81,0,0
15,1.88,2.85,4.80,2.15,3.98,0.50,1.80,1.91,0.50,2.55,1.46,1.50,1.87,1.85,2.78,0,0
16,1.89,2.85,4.70,2.16,3.98,0.50,1.79,1.93,0.50,2.50,1.47,1.50,1.84,1.87,2.76,0,0
17,1.90,2.90,4.60,2.17,3.98,0.50,1.77,1.95,0.50,2.50,1.48,1.50,1.82,1.90,2.74,0,0
18,1.91,2.90,4.50,2.18,4.01,0.50,1.76,1.96,0.50,2.45,1.49,1.50,1.79,1.92,2.72,0,0
19,1.92,2.90,4.45,2.19,4.01,0.50,1.75,1.98,0.50,2.40,1.50,1.50,1.77,1.95,2.70,0,0
20,1.93,2.90,4.35,2.21,4.02,0.50,1.73,2.00,0.50,2.40,1.51,1.50,1.75,1.98,2.67,0,0
21,1.94,2.95,4.25,2.22,4.05,0.50,1.72,2.00,0.50,2.35,1.53,1.50,1.73,2.00,2.65,0,0
22,1.95,2.95,4.20,2.24,4.05,0.50,1.71,2.00,0.50,2.35,1.54,1.50,1.70,2.00,2.63,0,0
23,1.97,2.95,4.10,2.25,4.07,0.50,1.69,2.05,0.50,2.30,1.55,1.50,1.68,2.05,2.60,0,0
24,1.98,3.00,4.00,2.26,4.09,0.50,1.68,2.05,0.50,2.30,1.56,1.50,1.66,2.10,2.58,0,0
25,1.99,3.00,3.90,2.27,4.09,0.50,1.66,2.10,0.50,2.25,1.57,1.50,1.64,2.10,2.55,0,0
26,2.00,3.00,3.85,2.29,4.11,0.50,1.65,2.10,0.50,2.20,1.59,1.50,1.62,2.15,2.53,0,0
27,2.00,3.05,3.75,2.30,4.12,0.50,1.64,2.10,0.50,2.20,1.60,1.50,1.60,2.20,2.51,0,0
28,2.00,3.05,3.70,2.31,4.13,0.50,1.62,2.15,0.50,2.15,1.62,1.50,1.59,2.20,2.49,0,0
29,2.00,3.25,3.50,2.28,4.43,0.50,1.55,2.30,0.50,2.15,1.63,1.50,1.54,2.35,2.44,0,0
30,2.00,3.25,3.45,2.30,4.46,0.50,1.54,2.30,0.50,2.10,1.65,1.50,1.52,2.40,2.41,0,0
31,2.00,3.30,3.40,2.31,4.46,0.50,1.53,2.35,0.50,2.10,1.66,1.50,1.50,2.40,2.39,0,0
32,2.05,3.30,3.30,2.33,4.50,0.50,1.52,2.40,0.50,2.05,1.68,1.50,1.49,2.50,2.37,0,0
33,2.05,3.30,3.25,2.34,4.52,0.50,1.51,2.40,0.50,2.05,1.69,1.50,1.47,2.50,2.35,0,0
34,2.05,3.35,3.20,2.36,4.52,0.50,1.50,2.45,0.50,2.00,1.71,1.50,1.46,2.60,2.32,0,0
35,2.10,3.40,3.10,2.37,4.55,0.50,1.49,2.45,0.50,2.00,1.73,1.50,1.44,2.60,2.30,0,0
36,2.10,3.40,3.05,2.40,4.56,0.50,1.48,2.50,0.50,1.97,1.75,1.50,1.42,2.70,2.27,0,0
37,2.10,3.45,3.00,2.42,4.60,0.50,1.46,2.55,0.50,1.95,1.77,1.50,1.41,2.75,2.25,0,0
38,2.15,3.45,2.95,2.44,4.63,0.50,1.46,2.55,0.50,1.92,1.79,1.50,1.39,2.80,2.23,0,0
39,2.15,3.50,2.90,2.45,4.67,0.50,1.45,2.60,0.50,1.90,1.82,1.50,1.38,2.85,2.20,0,0
40,2.20,3.50,2.85,2.48,4.70,0.50,1.43,2.65,0.50,1.87,1.84,0.50,2.85,1.38,2.18,0,0
