min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
6,1.61,3.00,6.50,3.79,1.92,1.50,1.88,1.77,1.50,1.50,2.40,1,1,1,3.32,1,0
7,1.61,3.00,6.50,3.82,1.92,1.50,1.86,1.78,1.50,1.49,2.40,1,1,1,3.31,1,0
8,1.61,3.00,6.50,3.87,1.90,1.50,1.84,1.80,1.50,1.48,2.45,1,1,1,3.29,1,0
9,1.61,3.00,6.50,3.92,1.90,1.50,1.83,1.81,1.50,1.47,2.50,1,1,1,3.30,1,0
10,1.61,3.00,6.50,3.95,1.88,1.50,1.81,1.83,1.50,1.46,2.50,1,1,1,3.29,1,0
11,1.61,3.00,6.50,4.01,1.88,1.50,1.79,1.85,1.50,1.45,2.55,1,1,1,3.28,1,0
12,1.61,3.00,6.50,4.06,1.87,1.50,1.78,1.87,1.50,1.44,2.60,1,1,1,3.27,1,0
13,1.61,3.00,6.50,4.12,1.86,1.50,1.76,1.88,1.50,1.43,2.65,1,1,1,3.27,1,0
14,1.61,3.00,6.50,4.19,1.85,1.50,1.75,1.90,1.50,1.42,2.65,1,1,1,3.26,1,0
15,1.61,3.00,6.50,4.21,1.85,1.50,1.73,1.92,1.50,1.41,2.70,1,1,1,3.25,1,0
16,1.61,3.00,6.50,4.26,1.84,1.50,1.72,1.94,1.50,1.40,2.75,1,1,1,3.25,1,0
17,1.61,3.00,6.50,4.32,1.83,1.50,1.71,1.96,1.50,1.39,2.80,1,1,1,3.24,1,0
18,1.61,3.00,6.50,4.41,1.83,1.50,1.69,1.98,1.50,1.38,2.85,1,1,1,3.24,1,0
19,1.61,3.00,6.50,4.47,1.82,1.50,1.68,2.00,1.50,1.37,2.90,1,1,1,3.23,1,0
20,1.61,3.00,6.50,4.54,1.81,1.50,1.67,2.00,0.50,2.90,1.37,1,1,1,3.23,1,0
21,1.61,3.00,6.50,4.60,1.80,1.50,1.65,2.00,0.50,2.85,1.37,1,1,1,3.22,1,0
22,1.61,3.00,6.50,4.66,1.79,1.50,1.64,2.05,0.50,2.80,1.38,1,1,1,3.22,1,0
23,1.61,3.00,6.50,4.76,1.78,1.50,1.63,2.05,0.50,2.75,1.40,1,1,1,3.22,1,0
24,1.61,3.00,6.50,4.82,1.77,1.50,1.62,2.10,0.50,2.70,1.40,1,1,1,3.21,1,0
25,1.61,3.00,6.50,4.86,1.75,1.50,1.60,2.10,0.50,2.70,1.42,1,1,1,3.20,1,0
26,1.61,3.00,6.50,4.98,1.75,1.50,1.59,2.15,0.50,2.65,1.43,1,1,1,3.20,1,0
27,1.61,3.00,6.50,5.06,1.74,1.50,1.58,2.15,0.50,2.60,1.44,1,1,1,3.20,1,0
28,1.61,3.00,6.50,5.13,1.73,1.50,1.57,2.20,0.50,2.55,1.45,1,1,1,3.19,1,0
29,1.61,3.00,6.50,5.22,1.72,1.50,1.56,2.20,0.50,2.50,1.46,1,1,1,3.19,1,0
30,1,1,1,5.32,1.71,1.50,1.55,2.25,0.50,2.45,1.47,1,1,1,3.19,1,0
31,1.61,3.00,6.50,5.40,1.70,1.50,1.53,2.30,0.50,2.45,1.48,1,1,1,3.19,1,0
32,1.61,3.00,6.50,5.52,1.68,1.50,1.53,2.30,0.50,2.40,1.50,1,1,1,3.19,1,0
33,1.61,3.00,6.50,5.65,1.67,1.50,1.51,2.35,0.50,2.35,1.51,1,1,1,3.19,1,0
34,1.61,3.00,6.50,5.78,1.67,1.50,1.50,2.35,0.50,2.30,1.52,1,1,1,3.19,1,0
35,1.61,3.00,6.50,5.89,1.65,1.50,1.49,2.40,0.50,2.30,1.53,1,1,1,3.19,1,0
36,1.61,3.00,6.50,6.02,1.65,1.50,1.48,2.45,0.50,2.25,1.55,1,1,1,3.19,1,0
37,1.61,3.00,6.50,6.17,1.63,1.50,1.47,2.45,0.50,2.20,1.56,1,1,1,3.20,1,0
38,1.61,3.00,6.50,6.25,1.62,1.50,1.46,2.50,0.50,2.15,1.58,1,1,1,3.20,1,0
39,1.61,3.00,6.50,6.46,1.62,1.50,1.45,2.55,0.50,2.15,1.59,1,1,1,3.21,1,0
40,1.61,3.00,6.50,6.55,1.61,1.50,1.44,2.60,0.50,2.10,1.61,1,1,1,3.20,1,0
41,1.61,3.00,6.50,6.68,1.60,1.50,1.43,2.60,0.50,2.05,1.63,1,1,1,3.21,1,0
42,1.61,3.00,6.50,6.88,1.59,1.50,1.42,2.65,0.50,2.05,1.65,1,1,1,3.21,1,0
43,1.61,3.00,6.50,7.00,1.58,1.50,1.41,2.70,0.50,2.00,1.66,1,1,1,3.22,1,0
44,1.61,3.00,6.50,7.26,1.57,1.50,1.40,2.70,0.50,1.99,1.69,1,1,1,3.23,1,0
45,1.61,3.00,6.50,5.40,1.79,1.50,1.30,3.20,0.50,2.25,1.55,1,1,1,2.95,1,0
46,1.61,3.00,6.50,5.53,1.77,1.50,1.29,3.25,0.50,2.20,1.56,1,1,1,2.95,1,0
47,1.61,3.00,6.50,5.67,1.75,1.50,1.28,3.30,0.50,2.15,1.58,1,1,1,2.95,1,0
48,1.61,3.00,6.50,5.88,1.73,1.50,1.27,3.40,0.50,2.10,1.60,1,1,1,2.96,1,0
49,1.61,3.00,6.50,6.05,1.72,1.50,1.26,3.40,0.50,2.10,1.62,1.50,2.85,1.37,2.97,1,0
50,1.61,3.00,6.50,6.22,1.70,1.50,1.25,3.50,0.50,2.05,1.65,1.50,2.80,1.39,2.97,1,0
51,1.61,3.00,6.50,6.36,1.68,1.50,1.24,3.55,0.50,2.00,1.67,1.50,2.70,1.40,2.99,1,0
52,1.61,3.00,6.50,6.60,1.67,1.50,1.23,3.60,0.50,1.98,1.69,1.50,2.65,1.42,3.00,1,0
53,1.61,3.00,6.50,6.79,1.65,1.50,1.22,3.70,0.50,1.93,1.72,1.50,2.60,1.44,3.00,1,0
54,1.61,3.00,6.50,7.07,1.63,1.50,1.21,3.75,0.50,1.90,1.75,1.50,2.50,1.46,3.01,1,0
55,1.61,3.00,6.50,7.31,1.61,1.50,1.20,3.80,0.50,1.86,1.78,1.50,2.45,1.47,3.02,1,0
56,1.61,3.00,6.50,7.57,1.60,1.50,1.20,3.90,0.50,1.83,1.81,1.50,2.40,1.49,3.03,1,0
57,1.61,3.00,6.50,7.86,1.58,1.50,1.19,4.00,0.50,1.79,1.85,1.50,2.35,1.51,3.06,1,0
58,1.61,3.00,6.50,8.17,1.56,1.50,1.18,4.05,0.50,1.76,1.89,1.50,2.30,1.53,3.08,1,0
59,1.61,3.00,6.50,8.52,1.55,1.50,1.17,4.15,0.50,1.73,1.93,1.50,2.20,1.56,3.10,1,0
60,1.61,3.00,6.50,8.88,1.53,1.50,1.16,4.30,0.50,1.70,1.97,1.50,2.15,1.58,3.13,1,0
61,1.61,3.00,6.50,9.29,1.51,1.50,1.15,4.40,0.50,1.67,2.00,1.50,2.10,1.61,3.14,1,0
62,1.61,3.00,6.50,9.75,1.49,1.50,1.14,4.50,0.50,1.64,2.05,1.50,2.05,1.64,3.17,1,0
63,1.61,3.00,6.50,10.1,1.48,1.50,1.13,4.60,0.50,1.61,2.10,1.50,2.00,1.67,3.21,1,0
64,1.61,3.00,6.50,10.6,1.46,1.50,1.12,4.70,0.50,1.59,2.15,1.50,1.97,1.70,3.24,1,0
65,1.61,3.00,6.50,11.2,1.44,1.50,1.12,4.90,0.50,1.56,2.20,1.50,1.91,1.74,3.28,1,0
66,1.61,3.00,6.50,11.9,1.43,1.50,1.11,5.00,0.50,1.54,2.30,1.50,1.86,1.78,3.33,1,0
67,1.61,3.00,6.50,12.5,1.41,1.50,1.10,5.00,0.50,1.51,2.35,1.50,1.81,1.83,3.36,1,0
68,1.61,3.00,6.50,13.2,1.39,1.50,1.09,5.00,0.50,1.49,2.40,1.50,1.76,1.88,3.41,1,0
69,1.61,3.00,6.50,14.0,1.37,1.50,1.09,5.00,0.50,1.47,2.50,1.50,1.72,1.94,3.47,1,0
70,1.61,3.00,6.50,15.1,1.36,1.50,1.08,5.50,0.50,1.45,2.55,1.50,1.68,2.00,3.53,1,0
71,1.61,3.00,6.50,16.2,1.34,1.50,1.07,6.00,0.50,1.42,2.65,1.50,1.64,2.05,3.59,1,0
72,1.61,3.00,6.50,17.4,1.32,1.50,1.07,6.00,0.50,1.40,2.70,1.50,1.61,2.10,3.66,1,0
73,1.61,3.00,6.50,18.9,1.31,1.50,1.06,6.00,0.50,1.38,2.80,1.50,1.57,2.20,3.72,1,0
74,1.61,3.00,6.50,20.3,1.29,1.50,1.06,6.50,0.50,1.36,2.90,1.50,1.54,2.30,3.83,1,0
75,1.61,3.00,6.50,22.9,1.27,1.50,1.05,7.00,0.50,1.34,3.05,1.50,1.51,2.35,3.93,1,0
76,1.61,3.00,6.50,24.9,1.25,1.50,1.05,7.00,0.50,1.31,3.15,1.50,1.47,2.50,4.04,1,0
77,1.61,3.00,6.50,28.2,1.24,1.50,1.05,7.50,0.50,1.29,3.30,1.50,1.44,2.60,4.17,1,0
78,1.61,3.00,6.50,31.5,1.22,1.50,1.04,8.00,0.50,1.26,3.45,1.50,1.41,2.70,4.29,1,0
79,1.61,3.00,6.50,35.6,1.20,1.50,1.04,8.50,0.50,1.24,3.60,1.50,1.38,2.80,4.45,1,0
80,1.61,3.00,6.50,34.8,1.17,1.50,1.05,7.00,0.50,1.21,3.80,1.50,1.39,2.80,5.02,1,0
81,1.61,3.00,6.50,38.3,1.15,1.50,1.05,7.50,0.50,1.18,4.00,1.50,1.36,2.90,5.24,1,0
82,1.61,3.00,6.50,42.7,1.13,1.50,1.04,8.00,0.50,1.16,4.25,1.50,1.33,3.10,5.52,1,0
83,1.61,3.00,6.50,51.0,1.12,1.50,1.04,8.50,0.50,1.14,4.50,1.50,1.29,3.25,5.79,1,0
84,1.61,3.00,6.50,59.5,1.10,1.50,1.04,9.00,0.50,1.12,4.90,1.50,1.25,3.50,6.11,1,0
85,1.61,3.00,6.50,67.2,1.08,1.50,1.04,9.00,0.50,1.09,5.00,1.50,1.22,3.75,6.79,1,0
86,1.61,3.00,6.50,83.7,1.07,1.50,1.04,10.0,0.50,1.07,6.00,1.50,1.18,4.05,7.38,1,0
87,1.61,3.00,6.50,99.6,1.05,1,1,1,0.50,1.06,6.50,1.50,1.14,4.45,8.04,1,0
88,1.61,3.00,6.50,123,1.03,1,1,1,0.50,1.05,7.50,1.50,1.11,5.00,8.92,1,0
89,1.61,3.00,6.50,163,1.02,1,1,1,1,1,1,1,1,1,10.0,1,0
90,1.61,3.00,6.50,163,1.02,1,1,1,1,1,1,1,1,1,10.0,1,0
