min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.83,14.0,2.78,2.29,1.50,1.93,1.73,1.50,1.72,1.94,3.50,1.52,2.30,3.44,0,0
2,2.00,1.83,14.0,2.78,2.29,1.50,1.93,1.73,1.50,1.72,1.94,3.50,1.52,2.30,3.44,0,0
3,2.00,1.83,14.0,2.78,2.29,1.50,1.93,1.73,1.50,1.72,1.94,3.50,1.52,2.30,3.44,0,0
4,2.00,1.83,14.0,2.78,2.29,1.50,1.93,1.73,1.50,1.72,1.94,3.50,1.52,2.30,3.44,0,0
5,2.00,1.83,14.0,2.78,2.29,1.50,1.93,1.73,1.50,1.72,1.94,3.50,1.52,2.30,3.44,0,0
6,2.05,1.84,14.0,2.77,2.29,1.50,1.89,1.75,1.50,1.70,1.97,3.50,1.50,2.40,3.42,0,0
7,2.05,1.84,14.0,2.78,2.30,1.50,1.87,1.77,1.50,1.68,1.99,3.50,1.49,2.40,3.40,0,0
8,2.05,1.84,13.0,2.79,2.30,1.50,1.84,1.80,1.50,1.66,2.00,1,1,1,3.38,0,0
9,2.10,1.84,12.0,2.88,2.29,1.50,1.75,1.89,1.50,1.57,2.20,1,1,1,3.29,0,0
10,2.10,1.86,11.0,2.94,2.31,1.50,1.64,2.05,1.50,1.49,2.40,1,1,1,3.17,0,0
11,2.15,1.86,10.5,2.96,2.32,1.50,1.62,2.10,1.50,1.47,2.45,1,1,1,3.16,0,0
12,2.15,1.87,10.0,2.96,2.32,1.50,1.61,2.10,1.50,1.46,2.50,1,1,1,3.13,0,0
13,2.15,1.87,10.0,2.96,2.33,1.50,1.59,2.15,1.50,1.45,2.55,1,1,1,3.12,0,0
14,2.15,1.87,10.0,2.97,2.34,1.50,1.58,2.20,1.50,1.44,2.60,1,1,1,3.10,0,0
15,2.15,1.88,9.50,2.97,2.34,1.50,1.56,2.20,1.50,1.43,2.60,1,1,1,3.07,0,0
16,2.15,1.89,9.50,2.98,2.35,1.50,1.55,2.25,1.50,1.42,2.65,1,1,1,3.06,0,0
17,2.15,1.89,9.00,2.99,2.36,1.50,1.53,2.30,1.50,1.41,2.70,1,1,1,3.04,0,0
18,2.20,1.90,9.00,2.99,2.37,1.50,1.52,2.30,1.50,1.40,2.75,1,1,1,3.02,0,0
19,2.20,1.90,9.00,3.00,2.37,1.50,1.51,2.35,1.50,1.39,2.80,1,1,1,3.01,0,0
20,2.20,1.91,8.50,3.01,2.41,1.50,1.49,2.40,1.50,1.38,2.80,1,1,1,2.98,0,0
21,2.20,1.91,8.00,3.02,2.41,1.50,1.48,2.45,1.50,1.37,2.85,1,1,1,2.97,0,0
22,2.20,1.92,8.00,3.03,2.42,1.50,1.47,2.50,0.50,2.90,1.37,1,1,1,2.95,0,0
23,2.20,1.93,8.00,3.04,2.43,1.50,1.45,2.50,0.50,2.85,1.37,1,1,1,2.93,0,0
24,2.20,1.94,7.50,3.04,2.44,1.50,1.44,2.60,0.50,2.80,1.38,1,1,1,2.90,0,0
25,2.20,1.94,7.50,3.06,2.45,1.50,1.43,2.60,0.50,2.75,1.39,1,1,1,2.88,0,0
26,2.25,1.95,7.00,3.05,2.45,1.50,1.42,2.65,0.50,2.70,1.40,1,1,1,2.86,0,0
27,2.25,1.96,7.00,3.07,2.47,1.50,1.41,2.70,0.50,2.70,1.42,1,1,1,2.84,0,0
28,2.25,1.97,7.00,3.09,2.47,1.50,1.40,2.75,0.50,2.65,1.43,1,1,1,2.82,0,0
29,2.25,1.98,6.50,3.10,2.48,1.50,1.39,2.80,0.50,2.60,1.44,1,1,1,2.79,0,0
30,2.30,1.99,6.50,3.10,2.50,1.50,1.37,2.85,0.50,2.55,1.45,1.50,2.40,1.49,2.77,0,0
31,2.35,1.92,6.50,3.26,2.37,1.50,1.41,2.70,0.50,2.50,1.46,1,1,1,2.80,0,0
32,2.35,1.93,6.50,3.28,2.37,1.50,1.40,2.75,0.50,2.45,1.47,1.50,2.40,1.48,2.78,0,0
33,2.40,1.94,6.00,3.28,2.40,1.50,1.38,2.80,0.50,2.40,1.49,1.50,2.40,1.50,2.76,0,0
34,2.40,1.94,6.00,3.30,2.40,1.50,1.37,2.85,0.50,2.40,1.50,1.50,2.30,1.52,2.74,0,0
35,2.40,1.96,6.00,3.33,2.41,0.50,2.90,1.37,0.50,2.35,1.51,1.50,2.25,1.54,2.71,0,0
36,2.40,1.97,5.50,3.35,2.43,0.50,2.85,1.38,0.50,2.30,1.53,1.50,2.20,1.56,2.69,0,0
37,2.40,1.98,5.50,3.36,2.44,0.50,2.80,1.39,0.50,2.25,1.54,1.50,2.15,1.58,2.66,0,0
38,2.45,1.99,5.50,3.37,2.46,0.50,2.75,1.40,0.50,2.25,1.55,1.50,2.10,1.61,2.64,0,0
39,2.45,2.00,5.00,3.37,2.46,0.50,2.70,1.42,0.50,2.20,1.57,1.50,2.05,1.64,2.61,0,0
40,2.45,2.00,5.00,11.8,1.34,1.50,2.60,1.43,0.50,2.15,1.58,1,1,1,3.92,1,0
41,2.45,2.00,5.00,12.2,1.34,1.50,2.60,1.44,0.50,2.10,1.60,1,1,1,3.91,1,0
42,2.45,2.00,5.00,9.86,1.41,1.50,2.30,1.53,0.50,2.20,1.56,1,1,1,3.62,1,0
43,2.45,2.00,5.00,10.0,1.40,1.50,2.25,1.54,0.50,2.20,1.57,1,1,1,3.62,1,0
44,2.45,2.00,5.00,10.2,1.40,1.50,2.20,1.56,0.50,2.15,1.59,1,1,1,3.61,1,0
45,2.45,2.00,5.00,29.9,1.04,2.50,2.20,1.58,0.50,2.25,1.55,3.50,1.92,1.73,10.4,2,0
46,2.45,2.00,5.00,31.2,1.04,2.50,2.15,1.59,0.50,2.20,1.56,3.50,1.88,1.77,10.6,2,0
47,2.45,2.00,5.00,31.7,1.04,2.50,2.10,1.61,0.50,2.15,1.58,3.50,1.83,1.81,10.8,2,0
48,2.45,2.00,5.00,34.3,1.04,2.50,2.05,1.63,0.50,2.10,1.60,3.50,1.79,1.86,11.0,2,0
49,2.45,2.00,5.00,35.0,1.04,2.50,2.00,1.65,0.50,2.10,1.62,3.50,1.75,1.90,11.2,2,0
50,2.45,2.00,5.00,36.8,1.03,2.50,2.00,1.68,0.50,2.05,1.65,3.50,1.71,1.95,11.3,2,0
51,2.45,2.00,5.00,37.0,1.03,2.50,1.96,1.71,0.50,2.00,1.67,3.50,1.67,2.00,11.5,2,0
52,2.45,2.00,5.00,39.3,1.03,2.50,1.92,1.73,0.50,1.98,1.69,3.50,1.64,2.05,11.7,2,0
53,2.45,2.00,5.00,40.4,1.02,2.50,1.89,1.76,0.50,1.93,1.72,3.50,1.61,2.10,12.0,2,0
54,2.45,2.00,5.00,43.3,1.02,2.50,1.85,1.79,0.50,1.90,1.75,3.50,1.58,2.15,12.3,2,0
55,2.45,2.00,5.00,45.5,1.01,2.50,1.82,1.82,0.50,1.86,1.78,3.50,1.55,2.25,12.5,2,0
56,2.45,2.00,5.00,47.2,1.01,2.50,1.78,1.86,0.50,1.83,1.81,3.50,1.52,2.30,12.8,2,0
57,2.45,2.00,5.00,49.1,1.01,2.50,1.75,1.89,0.50,1.79,1.85,3.50,1.50,2.40,13.1,2,0
58,2.45,2.00,5.00,52.3,1.01,2.50,1.72,1.93,0.50,1.76,1.89,3.50,1.47,2.50,13.4,2,0
59,2.45,2.00,5.00,56.3,-,2.50,1.69,1.98,0.50,1.73,1.93,3.50,1.45,2.55,13.8,2,0
60,2.45,2.00,5.00,59.4,-,2.50,1.67,2.00,0.50,1.70,1.97,3.50,1.42,2.65,14.2,2,0
61,2.45,2.00,5.00,64.4,-,2.50,1.64,2.05,0.50,1.67,2.00,3.50,1.40,2.75,14.6,2,0
62,2.45,2.00,5.00,59.5,-,2.50,1.67,2.00,0.50,1.70,1.97,3.50,1.42,2.65,14.1,2,0
63,2.45,2.00,5.00,64.6,-,2.50,1.64,2.05,0.50,1.67,2.00,3.50,1.40,2.75,14.6,2,0
64,2.45,2.00,5.00,68.8,-,2.50,1.61,2.10,0.50,1.64,2.05,3.50,1.38,2.85,15.1,2,0
65,2.45,2.00,5.00,70.6,-,2.50,1.58,2.15,0.50,1.61,2.10,1,1,1,15.6,2,0
