min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.73,2.50,8.50,2.03,3.49,0.50,2.45,1.47,1.50,1.52,2.30,1,1,1,3.22,0,0
2,1.73,2.50,8.50,2.03,3.49,0.50,2.45,1.47,1.50,1.52,2.30,1,1,1,3.22,0,0
3,1.73,2.50,8.50,1.30,9.27,0.50,2.50,1.46,2.50,1.47,2.50,3.50,1.53,2.30,4.76,0,1
4,1.73,2.50,8.50,1.30,9.27,0.50,2.50,1.46,2.50,1.47,2.50,3.50,1.53,2.30,4.76,0,1
5,1.73,2.50,8.50,1.30,9.27,0.50,2.50,1.46,2.50,1.47,2.50,3.50,1.53,2.30,4.76,0,1
6,1.73,2.50,8.50,1.30,9.28,0.50,2.50,1.47,2.50,1.46,2.50,3.50,1.51,2.35,4.75,0,1
7,1.73,2.50,8.50,1.30,9.44,0.50,2.45,1.48,2.50,1.45,2.55,3.50,1.50,2.40,4.74,0,1
8,1.73,2.50,8.50,1.30,9.45,0.50,2.40,1.49,2.50,1.44,2.60,3.50,1.48,2.45,4.73,0,1
9,1.73,2.50,8.50,1.30,9.59,0.50,2.40,1.50,2.50,1.43,2.60,3.50,1.47,2.50,4.73,0,1
10,1.73,2.50,8.50,1.03,45.9,0.50,2.35,1.50,3.50,1.42,2.65,4.50,1.46,2.50,10.8,0,2
11,1.73,2.50,8.50,1.03,47.5,0.50,2.35,1.51,3.50,1.41,2.70,3.50,2.50,1.46,10.9,0,2
12,1.73,2.50,8.50,1.03,47.5,0.50,2.30,1.52,3.50,1.40,2.75,3.50,2.50,1.47,10.9,0,2
13,1.73,2.50,8.50,1.29,10.2,1.50,2.30,1.53,3.50,1.39,2.80,4.50,2.40,1.49,4.69,1,2
14,1.73,2.50,8.50,1.29,10.3,1.50,2.25,1.54,3.50,1.38,2.80,4.50,2.40,1.50,4.68,1,2
15,1.73,2.50,8.50,1.29,10.3,1.50,2.25,1.55,3.50,1.37,2.85,4.50,2.30,1.52,4.67,1,2
16,1.73,2.50,8.50,1.29,10.5,1.50,2.20,1.56,2.50,2.90,1.36,4.50,2.30,1.53,4.68,1,2
17,1.73,2.50,8.50,1.29,10.6,1.50,2.20,1.57,2.50,2.85,1.37,4.50,2.25,1.55,4.67,1,2
18,1.73,2.50,8.50,1.29,10.7,1.50,2.15,1.58,2.50,2.85,1.38,4.50,2.20,1.56,4.67,1,2
19,1.73,2.50,8.50,1.29,11.0,1.50,2.10,1.60,2.50,2.80,1.39,4.50,2.20,1.58,4.67,1,2
20,1.73,2.50,8.50,1.29,11.1,1.50,2.10,1.61,2.50,2.75,1.40,4.50,2.15,1.59,4.66,1,2
21,1.73,2.50,8.50,1.29,11.1,1.50,2.10,1.62,2.50,2.70,1.41,4.50,2.10,1.61,4.64,1,2
22,1.73,2.50,8.50,1.28,11.4,1.50,2.05,1.63,2.50,2.65,1.42,4.50,2.05,1.64,4.62,1,2
23,1.73,2.50,8.50,1.28,11.4,1.50,2.00,1.65,2.50,2.60,1.43,4.50,2.00,1.66,4.61,1,2
24,1.73,2.50,8.50,1.28,11.5,1.50,2.00,1.66,2.50,2.60,1.44,4.50,2.00,1.68,4.61,1,2
25,1.73,2.50,8.50,1.28,11.7,1.50,2.00,1.68,2.50,2.55,1.45,4.50,1.95,1.71,4.59,1,2
26,1.73,2.50,8.50,1.27,11.8,1.50,1.97,1.70,2.50,2.50,1.46,4.50,1.92,1.73,4.59,1,2
27,1.73,2.50,8.50,1.27,12.0,1.50,1.95,1.71,2.50,2.45,1.47,4.50,1.88,1.76,4.59,1,2
28,1.73,2.50,8.50,1.27,12.3,1.50,1.93,1.73,2.50,2.45,1.48,4.50,1.86,1.79,4.59,1,2
29,1.73,2.50,8.50,1.27,12.5,1.50,1.90,1.75,2.50,2.40,1.50,4.50,1.82,1.82,4.58,1,2
30,1.73,2.50,8.50,1.27,12.6,1.50,1.88,1.77,2.50,2.35,1.51,4.50,1.79,1.85,4.57,1,2
31,1.73,2.50,8.50,1.27,12.9,1.50,1.86,1.79,2.50,2.30,1.52,4.50,1.76,1.89,4.56,1,2
32,1.73,2.50,8.50,1.26,13.1,1.50,1.83,1.81,2.50,2.30,1.53,4.50,1.73,1.92,4.56,1,2
33,1.73,2.50,8.50,1.26,13.2,1.50,1.81,1.83,2.50,2.25,1.54,4.50,1.71,1.96,4.56,1,2
34,1.73,2.50,8.50,1.26,13.5,1.50,1.79,1.85,2.50,2.20,1.56,4.50,1.68,2.00,4.56,1,2
35,1.73,2.50,8.50,1.26,13.8,1.50,1.77,1.88,2.50,2.20,1.57,4.50,1.65,2.00,4.56,1,2
36,1.73,2.50,8.50,1.25,14.0,1.50,1.75,1.90,2.50,2.15,1.59,4.50,1.63,2.05,4.56,1,2
37,1.73,2.50,8.50,1.25,14.4,1.50,1.73,1.93,2.50,2.10,1.60,4.50,1.61,2.10,4.56,1,2
38,1.73,2.50,8.50,1.25,14.6,1.50,1.71,1.95,2.50,2.10,1.62,4.50,1.59,2.15,4.57,1,2
39,1.73,2.50,8.50,1.25,15.1,1.50,1.69,1.98,2.50,2.05,1.64,4.50,1.57,2.20,4.58,1,2
40,1.73,2.50,8.50,1.24,15.4,1.50,1.67,2.00,2.50,2.00,1.65,4.50,1.54,2.25,4.58,1,2
41,1.73,2.50,8.50,1.25,15.7,1.50,1.66,2.00,2.50,2.00,1.68,4.50,1.53,2.30,4.58,1,2
42,1.73,2.50,8.50,1.24,16.0,1.50,1.64,2.05,2.50,1.97,1.70,4.50,1.51,2.35,4.58,1,2
43,1.73,2.50,8.50,1.24,16.2,1.50,1.62,2.10,2.50,1.94,1.72,4.50,1.49,2.40,4.59,1,2
44,1.73,2.50,8.50,1.24,16.5,1.50,1.60,2.10,2.50,1.91,1.74,4.50,1.47,2.50,4.59,1,2
45,1.73,2.50,8.50,1.27,14.7,1.50,1.63,2.05,2.50,1.77,1.87,4.50,1.43,2.60,4.30,1,2
