min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.72,10.0,3.64,2.05,1.50,1.70,1.97,0.50,2.90,1.36,1,1,1,3.12,0,0
2,2.40,1.72,10.0,3.64,2.05,1.50,1.70,1.97,0.50,2.90,1.36,1,1,1,3.12,0,0
3,2.40,1.72,10.0,3.64,2.05,1.50,1.70,1.97,0.50,2.90,1.36,1,1,1,3.12,0,0
4,2.40,1.72,10.0,3.64,2.05,1.50,1.70,1.97,0.50,2.90,1.36,1,1,1,3.12,0,0
5,2.40,1.72,10.0,3.64,2.05,1.50,1.70,1.97,0.50,2.90,1.36,1,1,1,3.12,0,0
6,2.40,1.72,9.50,3.62,2.05,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.10,0,0
7,2.40,1.73,9.00,3.64,2.07,1.50,1.66,2.00,0.50,2.85,1.38,1,1,1,3.08,0,0
8,2.40,1.73,9.00,3.65,2.07,1.50,1.64,2.05,0.50,2.80,1.39,1,1,1,3.06,0,0
9,2.45,1.79,8.50,3.73,2.12,1.50,1.68,2.10,0.50,2.80,1.42,1,1,1,3.11,0,0
10,2.45,1.80,8.50,3.73,2.13,1.50,1.66,2.15,0.50,2.75,1.43,1,1,1,3.09,0,0
11,2.45,1.80,8.00,3.73,2.13,1.50,1.65,2.15,0.50,2.70,1.44,1,1,1,3.07,0,0
12,2.50,1.81,8.00,3.71,2.14,1.50,1.63,2.20,0.50,2.65,1.46,1,1,1,3.05,0,0
13,2.50,1.81,8.00,3.74,2.15,1.50,1.62,2.20,0.50,2.65,1.46,1,1,1,3.03,0,0
14,2.50,1.82,7.50,3.76,2.16,1.50,1.60,2.25,0.50,2.60,1.47,1,1,1,3.01,0,0
15,2.50,1.82,7.50,3.75,2.16,1.50,1.59,2.30,0.50,2.55,1.49,1,1,1,2.99,0,0
16,2.50,1.83,7.50,3.75,2.17,1.50,1.57,2.30,0.50,2.50,1.50,1,1,1,2.96,0,0
17,2.50,1.83,7.00,3.75,2.18,1.50,1.56,2.35,0.50,2.50,1.51,1,1,1,2.95,0,0
18,2.50,1.84,7.00,3.76,2.20,1.50,1.54,2.40,0.50,2.45,1.52,1,1,1,2.93,0,0
19,2.50,1.85,7.00,3.76,2.21,1.50,1.53,2.45,0.50,2.45,1.53,1,1,1,2.91,0,0
20,2.55,1.85,6.50,3.77,2.21,1.50,1.51,2.50,0.50,2.40,1.54,1,1,1,2.88,0,0
21,2.55,1.86,6.50,3.80,2.22,1.50,1.50,2.50,0.50,2.40,1.55,1,1,1,2.86,0,0
22,2.55,1.87,6.50,3.81,2.23,1.50,1.49,2.55,0.50,2.35,1.56,1.50,2.45,1.52,2.84,0,0
23,2.55,1.87,6.00,3.84,2.25,1.50,1.47,2.60,0.50,2.30,1.58,1.50,2.40,1.53,2.83,0,0
24,2.60,1.88,6.00,3.82,2.26,1.50,1.46,2.65,0.50,2.30,1.59,1.50,2.40,1.55,2.80,0,0
25,2.60,1.89,6.00,3.83,2.27,1.50,1.45,2.70,0.50,2.25,1.60,1.50,2.30,1.57,2.78,0,0
26,2.75,1.83,5.50,4.27,2.14,1.50,1.45,2.65,0.50,2.10,1.70,1.50,2.20,1.62,2.76,0,0
27,2.70,1.79,6.00,3.89,2.06,1.50,1.44,2.70,0.50,2.05,1.71,1.50,2.30,1.58,3.15,0,0
