min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.89,2.20,9.00,2.34,2.93,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.16,0,0
2,1.89,2.20,9.00,2.34,2.93,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.16,0,0
3,1.89,2.20,9.00,2.34,2.93,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.16,0,0
4,1.89,2.20,9.00,2.34,2.93,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.16,0,0
5,1.89,2.20,9.00,2.34,2.93,0.50,2.90,1.37,1.50,1.47,2.50,1,1,1,3.16,0,0
6,1.89,2.20,9.00,2.35,2.95,0.50,2.85,1.38,1.50,1.46,2.50,1,1,1,3.15,0,0
7,1.90,2.20,8.50,2.36,2.95,0.50,2.80,1.38,1.50,1.45,2.55,1,1,1,3.13,0,0
8,1.91,2.20,8.50,2.37,2.96,0.50,2.80,1.39,1.50,1.44,2.60,1,1,1,3.11,0,0
9,1.91,2.20,8.00,2.38,2.98,0.50,2.75,1.40,1.50,1.43,2.60,1,1,1,3.09,0,0
10,1.92,2.20,8.00,2.37,2.98,0.50,2.70,1.41,1.50,1.42,2.65,1,1,1,3.06,0,0
11,1.93,2.20,8.00,2.38,2.98,0.50,2.65,1.42,1.50,1.41,2.70,1,1,1,3.05,0,0
12,1.93,2.25,7.50,2.39,3.00,0.50,2.65,1.43,1.50,1.40,2.75,1,1,1,3.03,0,0
13,1.94,2.25,7.50,2.39,3.00,0.50,2.60,1.44,1.50,1.39,2.80,1,1,1,3.00,0,0
14,1.95,2.25,7.00,2.41,3.01,0.50,2.55,1.45,1.50,1.38,2.80,1,1,1,2.98,0,0
15,1.95,2.25,7.00,2.41,3.01,0.50,2.50,1.45,1.50,1.37,2.85,1.50,2.50,1.47,2.96,0,0
16,1.96,2.25,7.00,2.42,3.02,0.50,2.50,1.46,0.50,2.90,1.36,1.50,2.45,1.48,2.94,0,0
17,1.97,2.30,6.50,2.42,3.03,0.50,2.45,1.47,0.50,2.85,1.37,1.50,2.40,1.50,2.92,0,0
18,1.98,2.30,6.50,2.43,3.04,0.50,2.40,1.49,0.50,2.85,1.38,1.50,2.35,1.51,2.90,0,0
19,1.77,2.60,6.50,2.07,3.70,0.50,2.10,1.60,1.50,1.42,2.65,1.50,2.35,1.51,3.02,0,0
20,1.77,2.60,6.50,2.08,3.70,0.50,2.10,1.61,1.50,1.41,2.70,1.50,2.30,1.52,3.00,0,0
21,1.78,2.65,6.00,2.09,3.69,0.50,2.10,1.62,1.50,1.40,2.75,1.50,2.25,1.54,2.97,0,0
22,1.79,2.65,6.00,2.10,3.72,0.50,2.05,1.63,1.50,1.39,2.80,1.50,2.20,1.56,2.95,0,0
23,1.80,2.65,6.00,2.11,3.72,0.50,2.00,1.65,1.50,1.37,2.85,1.50,2.20,1.57,2.92,0,0
24,1.81,2.65,6.00,2.12,3.73,0.50,2.00,1.66,1.50,1.37,2.90,1.50,2.15,1.59,2.90,0,0
25,1.82,2.70,5.50,2.13,3.75,0.50,2.00,1.68,0.50,2.85,1.37,1.50,2.10,1.61,2.88,0,0
26,1.82,2.70,5.50,2.14,3.76,0.50,1.97,1.70,0.50,2.85,1.38,1.50,2.05,1.63,2.86,0,0
27,1.83,2.70,5.00,2.15,3.77,0.50,1.95,1.71,0.50,2.80,1.39,1.50,2.00,1.65,2.83,0,0
28,1.85,2.70,5.00,2.17,3.77,0.50,1.93,1.73,0.50,2.75,1.40,1.50,2.00,1.68,2.80,0,0
