min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.50,1.63,11.5,3.88,1.87,1.50,1.89,1.75,1.50,1.37,2.85,1,1,1,3.39,0,0
2,2.50,1.63,11.5,3.88,1.87,1.50,1.89,1.75,1.50,1.37,2.85,1,1,1,3.39,0,0
3,2.50,1.63,11.5,3.88,1.87,1.50,1.89,1.75,1.50,1.37,2.85,1,1,1,3.39,0,0
4,2.50,1.63,11.5,3.88,1.87,1.50,1.89,1.75,1.50,1.37,2.85,1,1,1,3.39,0,0
5,2.50,1.63,11.5,3.88,1.87,1.50,1.89,1.75,1.50,1.37,2.85,1,1,1,3.39,0,0
6,2.50,1.64,11.5,3.89,1.88,1.50,1.87,1.77,1.50,1.37,2.90,1,1,1,3.37,0,0
7,2.50,1.64,11.0,3.89,1.89,1.50,1.84,1.80,0.50,2.90,1.37,1,1,1,3.35,0,0
8,2.50,1.64,11.0,3.91,1.89,1.50,1.82,1.82,0.50,2.85,1.37,1,1,1,3.33,0,0
9,2.50,1.65,10.5,3.91,1.90,1.50,1.80,1.84,0.50,2.80,1.38,1,1,1,3.31,0,0
10,2.50,1.65,10.5,3.91,1.91,1.50,1.78,1.87,0.50,2.80,1.39,1,1,1,3.29,0,0
11,2.50,1.65,10.0,3.90,1.92,1.50,1.75,1.89,0.50,2.75,1.40,1,1,1,3.27,0,0
12,2.55,1.66,10.0,3.92,1.92,1.50,1.74,1.92,0.50,2.70,1.41,1,1,1,3.25,0,0
13,2.55,1.66,10.0,3.91,1.93,1.50,1.71,1.95,0.50,2.70,1.42,1,1,1,3.22,0,0
14,2.55,1.67,9.50,3.93,1.93,1.50,1.69,1.98,0.50,2.65,1.43,1,1,1,3.20,0,0
15,2.55,1.67,9.00,3.92,1.94,1.50,1.68,2.00,0.50,2.60,1.44,1,1,1,3.18,0,0
16,2.55,1.67,9.00,3.93,1.95,1.50,1.65,2.00,0.50,2.55,1.45,1,1,1,3.15,0,0
17,2.55,1.68,9.00,3.92,1.95,1.50,1.64,2.05,0.50,2.50,1.45,1,1,1,3.13,0,0
18,2.60,1.68,8.50,3.91,1.95,1.50,1.62,2.10,0.50,2.50,1.46,1,1,1,3.10,0,0
19,2.60,1.69,8.50,3.92,1.96,1.50,1.60,2.10,0.50,2.45,1.47,1,1,1,3.08,0,0
20,2.60,1.69,8.00,1.84,4.11,1.50,1.58,2.15,1.50,2.40,1.49,3.50,1.58,2.15,3.30,0,1
21,2.60,1.69,8.00,1.83,4.18,1.50,1.57,2.20,1.50,2.40,1.50,3.50,1.56,2.20,3.29,0,1
22,2.60,1.69,8.00,1.83,4.24,1.50,1.55,2.25,1.50,2.35,1.51,3.50,1.54,2.25,3.28,0,1
