min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.00,1.47,13.0,5.44,1.55,1.50,2.20,1.56,0.50,2.45,1.48,1,1,1,3.90,0,0
2,3.00,1.47,13.0,5.44,1.55,1.50,2.20,1.56,0.50,2.45,1.48,1,1,1,3.90,0,0
3,3.00,1.47,13.0,5.44,1.55,1.50,2.20,1.56,0.50,2.45,1.48,1,1,1,3.90,0,0
4,3.00,1.47,13.0,5.44,1.55,1.50,2.20,1.56,0.50,2.45,1.48,1,1,1,3.90,0,0
5,3.00,1.47,13.0,5.44,1.55,1.50,2.20,1.56,0.50,2.45,1.48,1,1,1,3.90,0,0
6,3.00,1.47,12.0,5.43,1.56,1.50,2.20,1.57,0.50,2.40,1.49,1,1,1,3.87,0,0
7,3.00,1.47,12.0,5.46,1.56,1.50,2.15,1.59,0.50,2.40,1.50,1,1,1,3.84,0,0
8,3.00,1.48,12.0,5.46,1.56,1.50,2.10,1.61,0.50,2.35,1.51,1,1,1,3.81,0,0
9,3.00,1.48,12.0,5.43,1.56,1.50,2.10,1.62,0.50,2.30,1.52,1,1,1,3.77,0,0
10,3.00,1.48,11.5,5.41,1.57,1.50,2.05,1.64,0.50,2.30,1.53,1,1,1,3.75,0,0
11,3.00,1.48,11.0,2.33,2.75,1.50,2.00,1.66,1.50,2.30,1.54,3.50,1.86,1.78,3.40,0,1
12,3.00,1.48,11.0,1.49,5.72,1.50,1.53,2.30,2.50,1.53,2.30,3.50,1.88,1.76,4.11,0,1
13,3.00,1.48,11.0,1.49,5.74,1.50,1.52,2.30,2.50,1.52,2.30,3.50,1.85,1.79,4.10,0,1
14,3.00,1.48,11.0,1.48,5.77,1.50,1.50,2.35,2.50,1.50,2.35,3.50,1.82,1.83,4.09,0,1
15,3.00,1.48,11.0,1.49,5.97,1.50,1.49,2.40,2.50,1.49,2.40,3.50,1.79,1.85,4.09,0,1
