min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.10,2.10,6.50,2.72,2.72,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.50,2.85,0,0
2,2.10,2.10,6.50,2.72,2.72,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.50,2.85,0,0
3,2.10,2.10,6.50,2.72,2.72,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.50,2.85,0,0
4,2.10,2.10,6.50,2.72,2.72,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.50,2.85,0,0
5,2.10,2.10,6.50,2.72,2.72,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.50,2.85,0,0
6,2.10,2.10,6.00,2.74,2.74,0.50,2.60,1.43,0.50,2.60,1.43,1.50,2.35,1.52,2.84,0,0
7,2.10,2.10,6.00,2.75,2.75,0.50,2.60,1.44,0.50,2.60,1.44,1.50,2.30,1.53,2.81,0,0
8,2.15,2.15,6.00,2.75,2.75,0.50,2.55,1.45,0.50,2.55,1.45,1.50,2.25,1.55,2.79,0,0
9,2.15,2.15,6.00,1.43,7.51,0.50,2.50,1.46,1.50,2.50,1.46,1,1,1,4.00,0,1
10,2.15,2.15,6.00,1.42,7.53,0.50,2.50,1.46,1.50,2.50,1.46,1,1,1,3.99,0,1
11,2.15,2.15,6.00,1.42,7.61,0.50,2.45,1.47,1.50,2.45,1.47,1,1,1,3.98,0,1
12,2.15,2.15,6.00,1.42,7.69,0.50,2.45,1.48,1.50,2.45,1.48,1,1,1,3.99,0,1
13,2.15,2.15,6.00,1.41,7.77,0.50,2.40,1.49,1.50,2.40,1.49,1,1,1,3.97,0,1
14,2.15,2.15,6.00,1.41,8.00,0.50,2.40,1.50,1.50,2.40,1.50,1,1,1,3.97,0,1
15,2.15,2.15,6.00,1.41,8.12,0.50,2.35,1.51,1.50,2.35,1.51,1,1,1,3.96,0,1
16,2.15,2.15,6.00,1.41,8.17,0.50,2.30,1.52,1.50,2.30,1.52,1,1,1,3.97,0,1
17,2.15,2.15,6.00,1.40,8.32,0.50,2.30,1.53,1.50,2.30,1.53,1,1,1,3.96,0,1
18,2.15,2.15,6.00,1.40,8.36,0.50,2.25,1.54,1.50,2.25,1.54,1,1,1,3.94,0,1
19,2.15,2.15,6.00,1.40,8.45,0.50,2.25,1.55,1.50,2.25,1.55,1,1,1,3.95,0,1
20,2.15,2.15,6.00,1.40,8.64,0.50,2.20,1.56,1.50,2.20,1.56,1,1,1,3.95,0,1
21,2.15,2.15,6.00,1.39,8.72,0.50,2.20,1.58,1.50,2.20,1.58,1,1,1,3.95,0,1
22,2.15,2.15,6.00,1.39,8.77,0.50,2.15,1.59,1.50,2.15,1.59,1,1,1,3.94,0,1
23,2.15,2.15,6.00,1.39,9.11,0.50,2.10,1.60,1.50,2.10,1.60,1,1,1,3.95,0,1
24,2.15,2.15,6.00,1.38,9.17,0.50,2.10,1.62,1.50,2.10,1.62,1,1,1,3.94,0,1
25,2.15,2.15,6.00,1.38,9.24,0.50,2.05,1.63,1.50,2.05,1.63,1,1,1,3.94,0,1
26,2.15,2.15,6.00,1.38,9.45,0.50,2.05,1.64,1.50,2.05,1.64,1,1,1,3.94,0,1
27,2.15,2.15,6.00,1.38,9.61,0.50,2.00,1.66,1.50,2.00,1.66,1,1,1,3.94,0,1
28,2.15,2.15,6.00,1.37,9.83,0.50,2.00,1.68,1.50,2.00,1.68,1,1,1,3.94,0,1
