min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.31,4.30,10.5,1.30,10.8,0.50,1.65,2.00,1.50,2.35,1.50,1,1,1,4.40,0,0
2,1.31,4.30,10.5,1.30,10.8,0.50,1.65,2.00,1.50,2.35,1.50,1,1,1,4.40,0,0
3,1.31,4.30,10.5,1.30,10.8,0.50,1.65,2.00,1.50,2.35,1.50,1,1,1,4.40,0,0
4,1.31,4.30,10.5,1.30,10.8,0.50,1.65,2.00,1.50,2.35,1.50,1,1,1,4.40,0,0
5,1.31,4.30,10.5,1.30,10.8,0.50,1.65,2.00,1.50,2.35,1.50,1,1,1,4.40,0,0
6,1.31,4.30,10.5,1.31,10.7,0.50,1.64,2.05,1.50,2.30,1.52,1,1,1,4.36,0,0
7,1.31,4.30,10.0,1.32,10.7,0.50,1.63,2.05,1.50,2.30,1.53,1,1,1,4.31,0,0
8,1.32,4.30,10.0,1.32,10.5,0.50,1.62,2.10,1.50,2.25,1.55,1,1,1,4.26,0,0
9,1.32,4.30,9.50,1.33,10.5,0.50,1.61,2.10,1.50,2.20,1.56,1,1,1,4.21,0,0
10,1.32,4.35,9.50,1.33,10.4,0.50,1.60,2.10,1.50,2.20,1.57,1,1,1,4.18,0,0
11,1.33,4.35,9.00,1.34,10.4,0.50,1.59,2.15,1.50,2.15,1.59,1,1,1,4.12,0,0
12,1.33,4.35,9.00,1.34,10.3,0.50,1.58,2.15,1.50,2.10,1.61,1,1,1,4.08,0,0
13,1.34,4.40,8.50,1.34,10.3,0.50,1.57,2.20,1.50,2.05,1.63,1,1,1,4.03,0,0
14,1.34,4.40,8.50,1.35,10.3,0.50,1.56,2.20,1.50,2.05,1.64,1,1,1,4.00,0,0
15,1.34,4.40,8.00,1.35,10.3,0.50,1.55,2.25,1.50,2.00,1.66,1,1,1,3.95,0,0
16,1.35,4.40,8.00,1.36,10.2,0.50,1.55,2.25,1.50,1.99,1.68,1,1,1,3.91,0,0
17,1.35,4.40,8.00,1.37,10.1,0.50,1.54,2.30,1.50,1.96,1.71,1,1,1,3.86,0,0
18,1.36,4.45,7.50,1.37,10.1,0.50,1.53,2.30,1.50,1.93,1.73,1,1,1,3.81,0,0
19,1.36,4.45,7.50,1.38,10.0,0.50,1.52,2.30,1.50,1.89,1.75,1,1,1,3.77,0,0
20,1.36,4.50,7.00,1.39,9.97,0.50,1.51,2.35,1.50,1.87,1.78,1,1,1,3.72,0,0
21,1.37,4.50,7.00,1.39,9.86,0.50,1.50,2.40,1.50,1.84,1.81,1,1,1,3.68,0,0
22,1.37,4.50,7.00,1.08,24.7,0.50,1.74,1.92,2.50,1.76,1.89,3.50,1.52,2.30,8.47,0,1
23,1.37,4.50,7.00,1.08,24.9,0.50,1.72,1.94,2.50,1.73,1.93,3.50,1.50,2.40,8.41,0,1
24,1.37,4.50,7.00,1.08,25.0,0.50,1.70,1.96,2.50,1.70,1.96,3.50,1.48,2.45,8.36,0,1
25,1.37,4.50,7.00,1.08,25.4,0.50,1.69,1.98,2.50,1.68,1.99,3.50,1.47,2.50,8.33,0,1
26,1.37,4.50,7.00,1.08,25.6,0.50,1.68,2.00,2.50,1.66,2.00,1,1,1,8.28,0,1
27,1.37,4.50,7.00,1.08,25.9,0.50,1.66,2.00,2.50,1.64,2.05,1,1,1,8.26,0,1
28,1.37,4.50,7.00,1.08,25.8,0.50,1.65,2.00,2.50,1.62,2.10,1,1,1,8.21,0,1
29,1.37,4.50,7.00,1.08,26.0,0.50,1.63,2.05,2.50,1.60,2.10,1,1,1,8.15,0,1
30,1.37,4.50,7.00,1.08,26.3,0.50,1.62,2.10,2.50,1.58,2.15,1,1,1,8.14,0,1
31,1.37,4.50,7.00,1.08,26.2,0.50,1.60,2.10,2.50,1.56,2.20,1,1,1,8.09,0,1
32,1.37,4.50,7.00,1.08,26.4,0.50,1.59,2.15,2.50,1.54,2.25,1,1,1,8.05,0,1
33,1.37,4.50,7.00,1.08,26.4,0.50,1.58,2.15,2.50,1.53,2.30,1,1,1,8.01,0,1
34,1.37,4.50,7.00,1.08,27.4,0.50,1.57,2.20,2.50,1.51,2.35,1,1,1,8.00,0,1
35,1.37,4.50,7.00,1.08,27.8,0.50,1.56,2.20,2.50,1.49,2.40,1,1,1,7.96,0,1
36,1.37,4.50,7.00,1.08,27.7,0.50,1.54,2.25,2.50,1.48,2.45,1,1,1,7.93,0,1
37,1.37,4.50,7.00,1.08,28.2,0.50,1.53,2.30,2.50,1.46,2.50,1,1,1,7.89,0,1
38,1.37,4.50,7.00,-,176,0.50,1.52,2.30,3.50,1.45,2.55,3.50,1.94,1.72,33.5,0,2
39,1.37,4.50,7.00,-,178,0.50,1.55,2.25,3.50,1.50,2.40,3.50,2.05,1.63,33.4,0,2
40,1.37,4.50,7.00,-,184,0.50,1.54,2.30,3.50,1.48,2.45,3.50,2.00,1.66,33.8,0,2
41,1.37,4.50,7.00,-,180,0.50,1.52,2.30,3.50,1.46,2.50,3.50,1.98,1.69,34.2,0,2
42,1.37,4.50,7.00,-,186,0.50,1.51,2.35,3.50,1.45,2.55,3.50,1.94,1.72,34.7,0,2
43,1.37,4.50,7.00,-,183,0.50,1.50,2.40,3.50,1.43,2.60,3.50,1.90,1.75,34.8,0,2
44,1.37,4.50,7.00,-,190,0.50,1.49,2.40,3.50,1.42,2.65,3.50,1.86,1.78,35.5,0,2
45,1.37,4.50,7.00,-,251,0.50,1.44,2.60,3.50,1.40,2.75,3.50,1.78,1.86,39.8,0,2
46,1.37,4.50,7.00,-,267,0.50,1.43,2.60,3.50,1.39,2.80,3.50,1.75,1.90,40.8,0,2
47,1.37,4.50,7.00,-,262,0.50,1.42,2.65,3.50,1.37,2.85,3.50,1.71,1.95,41.1,0,2
48,1.37,4.50,7.00,-,282,0.50,1.41,2.70,2.50,2.85,1.37,3.50,1.68,2.00,42.2,0,2
49,1.37,4.50,7.00,-,277,0.50,1.40,2.75,2.50,2.80,1.38,3.50,1.65,2.00,42.7,0,2
50,1.37,4.50,7.00,-,300,0.50,1.39,2.80,2.50,2.75,1.40,3.50,1.62,2.10,43.8,0,2
51,1.37,4.50,7.00,-,293,0.50,1.38,2.85,2.50,2.65,1.42,3.50,1.59,2.15,44.2,0,2
52,1.37,4.50,7.00,-,300,0.50,1.37,2.90,2.50,2.60,1.44,3.50,1.56,2.20,44.8,0,2
53,1.37,4.50,7.00,-,300,0.50,1.35,2.95,2.50,2.55,1.45,3.50,1.53,2.30,45.4,0,2
54,1.37,4.50,7.00,-,300,0.50,1.34,3.00,2.50,2.50,1.47,3.50,1.50,2.35,46.5,0,2
55,1.37,4.50,7.00,-,300,0.50,1.33,3.05,2.50,2.40,1.49,3.50,1.48,2.45,48.2,0,2
56,1.37,4.50,7.00,-,300,0.50,1.32,3.10,2.50,2.35,1.51,3.50,1.46,2.50,49.2,0,2
57,1.37,4.50,7.00,-,300,0.50,1.30,3.20,2.50,2.30,1.53,3.50,1.44,2.60,50.2,0,2
58,1.37,4.50,7.00,-,300,0.50,1.29,3.25,2.50,2.25,1.55,3.50,1.41,2.70,51.4,0,2
59,1.37,4.50,7.00,-,300,0.50,1.28,3.30,2.50,2.20,1.57,3.50,1.39,2.80,52.7,0,2
60,1.37,4.50,7.00,-,300,0.50,1.27,3.40,2.50,2.10,1.60,3.50,1.37,2.85,54.2,0,2
61,1.37,4.50,7.00,-,300,0.50,1.26,3.45,2.50,2.05,1.63,1,1,1,57.2,0,2
62,1.37,4.50,7.00,-,300,0.50,1.25,3.50,2.50,2.00,1.65,1,1,1,59.3,0,2
63,1.37,4.50,7.00,-,300,0.50,1.23,3.60,2.50,1.98,1.69,1,1,1,59.7,0,2
64,1.37,4.50,7.00,-,300,0.50,1.22,3.70,2.50,1.93,1.73,1,1,1,62.1,0,2
65,1.37,4.50,7.00,-,300,0.50,1.21,3.80,2.50,1.88,1.77,1,1,1,64.3,0,2
66,1.37,4.50,7.00,-,300,0.50,1.19,3.90,2.50,1.83,1.81,1,1,1,67.4,0,2
67,1.37,4.50,7.00,-,300,0.50,1.18,4.05,2.50,1.78,1.86,1,1,1,68.5,0,2
68,1.37,4.50,7.00,-,300,0.50,1.17,4.15,2.50,1.74,1.91,1,1,1,72.5,0,2
69,1.37,4.50,7.00,-,300,0.50,1.16,4.30,2.50,1.70,1.97,1,1,1,74.0,0,2
70,1.37,4.50,7.00,-,300,0.50,1.14,4.45,2.50,1.66,2.00,1,1,1,81.6,0,2
71,1.37,4.50,7.00,-,300,0.50,1.13,4.60,2.50,1.62,2.10,1,1,1,83.9,0,2
72,1.37,4.50,7.00,-,300,0.50,1.12,4.75,2.50,1.59,2.15,1,1,1,91.3,0,2
73,1.37,4.50,7.00,-,300,0.50,1.11,4.90,2.50,1.55,2.25,1,1,1,94.7,0,2
74,1.37,4.50,7.00,-,300,0.50,1.10,5.00,2.50,1.52,2.30,1,1,1,98.7,0,2
75,1.37,4.50,7.00,-,300,0.50,1.09,5.00,2.50,1.49,2.40,1,1,1,103,0,2
