min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.07,7.00,31.0,1.04,18.0,0.50,1.45,2.55,2.50,2.30,1.53,3.50,1.79,1.86,13.0,0,0
2,1.06,7.50,27.0,1.04,19.0,0.50,1.39,2.80,2.50,2.20,1.56,3.50,1.71,1.95,13.0,0,0
3,1.06,7.50,27.0,1.04,19.0,0.50,1.39,2.80,2.50,2.20,1.56,3.50,1.71,1.95,13.0,0,0
4,1.06,7.50,27.0,1.04,19.0,0.50,1.39,2.80,2.50,2.20,1.56,3.50,1.71,1.95,13.0,0,0
5,1.06,7.50,27.0,1.04,19.0,0.50,1.39,2.80,2.50,2.20,1.56,3.50,1.71,1.95,13.0,0,0
6,1.06,7.50,27.0,1.04,19.0,0.50,1.38,2.80,2.50,2.20,1.57,3.50,1.69,1.99,13.0,0,0
7,1.06,7.50,26.0,1.04,18.0,0.50,1.37,2.85,2.50,2.15,1.59,3.50,1.66,2.00,12.0,0,0
8,1.06,7.50,24.0,1.04,18.0,0.50,1.37,2.90,2.50,2.10,1.61,3.50,1.63,2.05,12.0,0,0
9,1.06,7.50,24.0,1.04,18.0,0.50,1.36,2.90,2.50,2.05,1.63,3.50,1.61,2.10,12.0,0,0
10,1.06,7.50,23.0,-,-,0.50,1.36,2.95,3.50,2.00,1.65,4.50,1.58,2.20,-,0,1
11,1.06,7.50,23.0,-,-,0.50,1.35,2.95,3.50,2.00,1.68,4.50,1.56,2.20,-,0,1
12,1.06,7.50,23.0,-,-,0.50,1.34,3.00,3.50,1.97,1.70,4.50,1.54,2.25,-,0,1
13,1.06,7.50,23.0,-,-,0.50,1.34,3.00,3.50,1.93,1.73,4.50,1.52,2.30,-,0,1
14,1.06,7.50,23.0,-,-,0.50,1.33,3.05,3.50,1.89,1.75,3.50,2.35,1.51,-,0,1
15,1.06,7.50,23.0,-,-,0.50,1.33,3.10,3.50,1.86,1.78,3.50,2.30,1.53,-,0,1
16,1.06,7.50,23.0,-,-,0.50,1.32,3.10,3.50,1.82,1.82,3.50,2.25,1.55,-,0,1
17,1.06,7.50,23.0,-,-,0.50,1.31,3.15,3.50,1.79,1.85,3.50,2.20,1.57,-,0,1
18,1.06,7.50,23.0,-,-,0.50,1.31,3.15,3.50,1.76,1.88,3.50,2.15,1.59,-,0,1
19,1.06,7.50,23.0,-,-,0.50,1.30,3.20,3.50,1.73,1.92,3.50,2.10,1.61,-,0,1
20,1.06,7.50,23.0,-,-,0.50,1.30,3.20,3.50,1.70,1.96,3.50,2.05,1.64,-,0,1
21,1.06,7.50,23.0,-,-,0.50,1.29,3.25,3.50,1.68,2.00,3.50,2.00,1.66,-,0,1
22,1.06,7.50,23.0,-,-,0.50,1.29,3.30,3.50,1.65,2.00,3.50,1.98,1.69,-,0,1
23,1.06,7.50,23.0,-,-,0.50,1.28,3.30,3.50,1.63,2.05,3.50,1.94,1.72,-,0,1
24,1.06,7.50,23.0,-,-,0.50,1.27,3.35,3.50,1.60,2.10,3.50,1.90,1.75,-,0,1
25,1.06,7.50,23.0,-,-,0.50,1.27,3.40,3.50,1.58,2.15,3.50,1.86,1.79,-,0,1
26,1.06,7.50,23.0,-,-,0.50,1.26,3.45,3.50,1.56,2.20,3.50,1.82,1.82,-,0,1
27,1.06,7.50,23.0,-,-,0.50,1.26,3.45,2.50,2.40,1.49,3.50,1.60,2.10,-,0,1
28,1.06,7.50,23.0,-,-,0.50,1.25,3.50,2.50,2.35,1.51,3.50,1.58,2.20,-,0,1
