min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.25,1.69,21.0,3.52,1.91,2.50,1.58,2.30,1.50,1.90,1.85,3.50,2.05,1.72,4.22,0,0
2,2.25,1.69,21.0,3.52,1.91,2.50,1.58,2.30,1.50,1.90,1.85,3.50,2.05,1.72,4.22,0,0
3,2.25,1.69,21.0,3.52,1.91,2.50,1.58,2.30,1.50,1.90,1.85,3.50,2.05,1.72,4.22,0,0
4,2.25,1.69,21.0,3.52,1.91,2.50,1.58,2.30,1.50,1.90,1.85,3.50,2.05,1.72,4.22,0,0
5,2.25,1.69,21.0,3.52,1.91,2.50,1.58,2.30,1.50,1.90,1.85,3.50,2.05,1.72,4.22,0,0
6,2.25,1.69,21.0,2.03,3.19,2.50,1.56,2.35,2.50,1.87,1.87,4.50,2.00,1.73,4.20,0,1
7,2.25,1.69,21.0,2.01,3.21,2.50,1.54,2.40,2.50,1.85,1.89,4.50,2.00,1.76,4.18,0,1
8,2.25,1.69,21.0,1.72,4.40,1.50,2.05,1.71,2.50,1.83,1.92,4.50,1.69,2.10,4.25,0,1
9,2.25,1.69,21.0,1.72,4.46,1.50,2.00,1.73,2.50,1.81,1.94,4.50,1.66,2.15,4.24,0,1
10,2.25,1.69,21.0,1.72,4.49,1.50,2.00,1.75,2.50,1.79,1.97,4.50,1.64,2.20,4.23,0,1
11,2.25,1.69,21.0,1.71,4.52,1.50,1.99,1.77,2.50,1.77,2.00,4.50,1.61,2.20,4.21,0,1
12,2.25,1.69,21.0,1.71,4.55,1.50,1.96,1.79,2.50,1.75,2.00,4.50,1.59,2.30,4.19,0,1
13,2.25,1.69,21.0,1.71,4.61,1.50,1.94,1.82,2.50,1.73,2.00,4.50,1.57,2.30,4.18,0,1
14,2.25,1.69,21.0,1.70,4.65,1.50,1.91,1.84,2.50,1.71,2.05,4.50,1.55,2.40,4.17,0,1
15,2.25,1.69,21.0,1.70,4.66,1.50,1.88,1.86,2.50,1.69,2.10,3.50,2.40,1.54,4.15,0,1
16,2.25,1.69,21.0,1.69,4.71,1.50,1.86,1.89,2.50,1.67,2.10,3.50,2.35,1.56,4.14,0,1
17,2.25,1.69,21.0,1.69,4.79,1.50,1.84,1.91,2.50,1.66,2.15,3.50,2.30,1.58,4.12,0,1
18,2.25,1.69,21.0,1.69,4.84,1.50,1.81,1.94,2.50,1.64,2.20,3.50,2.25,1.61,4.11,0,1
19,2.25,1.69,21.0,1.69,4.90,1.50,1.79,1.97,2.50,1.62,2.20,3.50,2.20,1.63,4.10,0,1
20,2.25,1.69,21.0,1.68,4.92,1.50,1.77,2.00,2.50,1.61,2.25,3.50,2.15,1.65,4.08,0,1
21,2.25,1.69,21.0,1.68,4.96,1.50,1.75,2.00,2.50,1.59,2.30,3.50,2.10,1.68,4.07,0,1
22,2.25,1.69,21.0,1.67,5.04,1.50,1.72,2.05,2.50,1.57,2.30,3.50,2.05,1.70,4.05,0,1
23,2.25,1.69,21.0,1.67,5.08,1.50,1.70,2.10,2.50,1.56,2.35,3.50,2.00,1.73,4.04,0,1
24,2.25,1.69,21.0,1.67,5.13,1.50,1.68,2.10,2.50,1.54,2.40,3.50,2.00,1.76,4.02,0,1
25,2.25,1.69,21.0,1.67,5.21,1.50,1.66,2.15,2.50,1.53,2.45,3.50,1.96,1.79,4.01,0,1
26,2.25,1.69,21.0,1.67,5.24,1.50,1.64,2.20,2.50,1.51,2.50,3.50,1.92,1.83,4.00,0,1
27,2.25,1.69,21.0,1.66,5.33,1.50,1.62,2.20,2.50,1.50,2.50,3.50,1.89,1.86,3.99,0,1
28,2.25,1.69,21.0,1.66,5.42,1.50,1.61,2.25,2.50,1.48,2.55,3.50,1.85,1.90,3.98,0,1
29,2.25,1.69,21.0,1.65,5.45,1.50,1.59,2.30,2.50,1.47,2.60,3.50,1.81,1.94,3.96,0,1
30,2.25,1.69,21.0,1.64,5.53,1.50,1.57,2.35,2.50,1.45,2.65,3.50,1.78,1.98,3.94,0,1
31,2.25,1.69,21.0,1.65,5.59,1.50,1.55,2.40,2.50,1.44,2.70,3.50,1.75,2.00,3.94,0,1
32,2.25,1.69,21.0,1.64,5.76,1.50,1.53,2.40,2.50,1.43,2.75,3.50,1.72,2.05,3.93,0,1
33,2.25,1.69,21.0,1.64,5.85,1.50,1.52,2.45,2.50,1.41,2.80,3.50,1.69,2.10,3.92,0,1
34,2.25,1.69,21.0,1.63,5.92,1.50,1.50,2.50,2.50,1.40,2.85,3.50,1.66,2.15,3.90,0,1
35,2.25,1.69,21.0,3.04,2.54,2.50,1.48,2.55,1.50,2.90,1.39,4.50,1.62,2.20,3.17,1,1
36,2.25,1.69,21.0,3.06,2.55,2.50,1.47,2.60,1.50,2.85,1.41,4.50,1.59,2.30,3.14,1,1
37,2.25,1.69,21.0,3.39,2.48,1.50,2.90,1.40,1.50,2.35,1.55,3.50,2.35,1.56,2.92,1,1
38,2.25,1.69,21.0,3.40,2.51,1.50,2.85,1.41,1.50,2.35,1.57,3.50,2.30,1.58,2.90,1,1
39,2.25,1.69,21.0,3.41,2.52,1.50,2.80,1.42,1.50,2.30,1.59,3.50,2.25,1.61,2.87,1,1
40,2.25,1.69,21.0,3.41,2.53,1.50,2.70,1.44,1.50,2.25,1.60,3.50,2.20,1.63,2.84,1,1
41,2.25,1.69,21.0,3.43,2.54,1.50,2.65,1.45,1.50,2.20,1.62,3.50,2.15,1.66,2.81,1,1
42,2.25,1.69,21.0,3.78,2.37,1.50,2.85,1.41,1.50,2.10,1.67,3.50,2.15,1.65,2.85,1,1
43,2.25,1.69,21.0,3.79,2.38,1.50,2.80,1.42,1.50,2.10,1.69,3.50,2.10,1.67,2.82,1,1
44,2.25,1.69,21.0,3.79,2.40,1.50,2.70,1.44,1.50,2.05,1.71,3.50,2.05,1.71,2.78,1,1
45,2.25,1.69,21.0,4.94,1.96,2.50,1.45,2.65,1.50,1.83,1.92,3.50,2.10,1.68,3.02,1,1
46,2.25,1.69,21.0,4.94,1.99,2.50,1.43,2.75,1.50,1.80,1.95,3.50,2.05,1.71,2.98,1,1
47,2.25,1.69,21.0,5.00,2.00,2.50,1.42,2.80,1.50,1.78,1.98,3.50,2.00,1.74,2.94,1,1
