min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.12,1.95,8.00,2.83,2.48,1.50,1.41,2.61,0.50,2.82,1.35,1,1,1,3.10,0,0
2,2.12,1.95,8.00,2.83,2.48,1.50,1.41,2.61,0.50,2.82,1.35,1,1,1,3.10,0,0
3,2.12,1.95,8.00,2.83,2.48,1.50,1.41,2.61,0.50,2.82,1.35,1,1,1,3.10,0,0
4,2.13,2.13,5.50,2.76,2.76,0.50,2.47,1.45,0.50,2.47,1.45,1.50,2.19,1.56,2.81,0,0
5,2.13,2.13,5.50,2.76,2.76,0.50,2.47,1.45,0.50,2.47,1.45,1.50,2.19,1.56,2.81,0,0
6,2.14,2.14,5.50,2.76,2.76,0.50,2.45,1.46,0.50,2.45,1.46,1.50,2.16,1.57,2.80,0,0
7,2.15,2.15,5.50,2.77,2.77,0.50,2.42,1.47,0.50,2.42,1.47,1.50,2.12,1.59,2.77,0,0
8,2.16,2.16,5.50,2.77,2.77,0.50,2.39,1.48,0.50,2.39,1.48,1.50,2.09,1.61,2.76,0,0
9,2.17,2.17,5.00,7.50,1.42,1.50,2.36,1.49,0.50,2.36,1.49,1,1,1,3.90,1,0
10,2.17,2.17,5.00,8.00,1.43,1.50,2.34,1.50,0.50,2.34,1.50,1,1,1,3.90,1,0
11,2.17,2.17,5.00,7.50,1.41,1.50,2.31,1.51,0.50,2.31,1.51,1,1,1,4.05,1,0
12,2.17,2.17,5.00,8.00,1.41,1.50,2.29,1.51,0.50,2.29,1.51,1,1,1,4.05,1,0
13,2.17,2.17,5.00,8.00,1.41,1.50,2.26,1.53,0.50,2.26,1.53,1,1,1,4.05,1,0
14,2.17,2.17,5.00,8.00,1.40,1.50,2.24,1.54,0.50,2.24,1.54,1,1,1,4.05,1,0
15,2.17,2.17,5.00,8.00,1.40,1.50,2.21,1.55,0.50,2.21,1.55,1,1,1,4.00,1,0
16,2.17,2.17,5.00,8.00,1.40,1.50,2.19,1.56,0.50,2.19,1.56,1,1,1,4.05,1,0
17,2.17,2.17,5.00,8.00,1.39,1.50,2.16,1.57,0.50,2.16,1.57,1,1,1,4.00,1,0
18,2.17,2.17,5.00,8.50,1.39,1.50,2.14,1.58,0.50,2.14,1.58,1,1,1,4.00,1,0
19,2.17,2.17,5.00,8.50,1.39,1.50,2.12,1.60,0.50,2.12,1.60,1,1,1,4.05,1,0
20,2.17,2.17,5.00,7.50,1.44,1.50,2.09,1.61,0.50,2.24,1.54,1,1,1,3.90,1,0
21,2.17,2.17,5.00,7.50,1.43,1.50,2.07,1.62,0.50,2.21,1.55,1,1,1,3.90,1,0
22,2.17,2.17,5.00,8.00,1.43,1.50,2.05,1.63,0.50,2.18,1.56,1,1,1,3.90,1,0
23,2.17,2.17,5.00,8.00,1.43,1.50,2.03,1.65,0.50,2.16,1.57,1,1,1,3.90,1,0
24,2.17,2.17,5.00,8.00,1.42,1.50,2.00,1.66,0.50,2.13,1.59,1,1,1,3.90,1,0
25,2.17,2.17,5.00,8.00,1.42,1.50,1.98,1.68,0.50,2.11,1.60,1,1,1,3.90,1,0
26,2.17,2.17,5.00,8.00,1.41,1.50,1.95,1.70,0.50,2.08,1.61,1,1,1,3.90,1,0
27,2.17,2.17,5.00,8.50,1.41,1.50,1.93,1.71,0.50,2.06,1.63,1,1,1,3.90,1,0
28,2.17,2.17,5.00,8.50,1.41,1.50,1.91,1.73,0.50,2.03,1.64,1,1,1,3.90,1,0
29,2.17,2.17,5.00,9.00,1.41,1.50,1.89,1.75,0.50,2.01,1.66,1,1,1,3.90,1,0
30,2.17,2.17,5.00,2.82,3.10,1.50,1.87,1.76,1.50,1.98,1.67,3.50,1.62,2.07,2.45,1,1
31,2.17,2.17,5.00,3.40,2.62,1.50,2.06,1.63,1.50,1.78,1.85,3.50,1.62,2.08,2.46,1,1
32,2.17,2.17,5.00,3.40,2.64,1.50,2.04,1.64,1.50,1.76,1.87,3.50,1.59,2.12,2.43,1,1
33,2.17,2.17,5.00,3.45,2.65,1.50,2.01,1.66,1.50,1.74,1.89,3.50,1.57,2.16,2.41,1,1
34,2.17,2.17,5.00,3.45,2.67,1.50,1.98,1.67,1.50,1.72,1.92,3.50,1.55,2.20,2.39,1,1
35,2.17,2.17,5.00,3.50,2.68,1.50,1.96,1.69,1.50,1.71,1.94,3.50,1.53,2.25,2.36,1,1
36,2.17,2.17,5.00,3.50,2.71,1.50,1.93,1.72,1.50,1.69,1.96,3.50,1.51,2.29,2.34,1,1
37,2.17,2.17,5.00,3.50,2.73,1.50,1.90,1.73,1.50,1.67,1.98,3.50,1.49,2.34,2.32,1,1
38,2.17,2.17,5.00,3.55,2.75,1.50,1.88,1.75,1.50,1.66,2.01,3.50,1.48,2.39,2.29,1,1
39,2.17,2.17,5.00,3.55,2.76,1.50,1.86,1.78,1.50,1.64,2.04,3.50,1.46,2.45,2.27,1,1
40,2.17,2.17,5.00,3.60,2.79,1.50,1.83,1.80,1.50,1.62,2.07,3.50,1.44,2.50,2.24,1,1
41,2.17,2.17,5.00,3.60,2.81,1.50,1.81,1.82,1.50,1.61,2.10,3.50,1.42,2.55,2.22,1,1
42,2.17,2.17,5.00,3.60,2.82,1.50,1.79,1.84,1.50,1.59,2.13,3.50,1.40,2.61,2.20,1,1
43,2.17,2.17,5.00,3.65,2.86,1.50,1.76,1.87,1.50,1.58,2.15,3.50,1.39,2.66,2.18,1,1
44,2.17,2.17,5.00,3.70,2.88,1.50,1.74,1.90,1.50,1.56,2.18,3.50,1.37,2.73,2.15,1,1
45,2.17,2.17,5.00,3.60,2.72,1.50,1.82,1.81,1.50,1.59,2.13,3.50,1.42,2.55,2.27,1,1
46,2.17,2.17,5.00,3.65,2.73,1.50,1.80,1.83,1.50,1.57,2.17,3.50,1.41,2.61,2.24,1,1
47,2.17,2.17,5.00,3.70,2.77,1.50,1.77,1.86,1.50,1.55,2.20,3.50,1.39,2.68,2.22,1,1
48,2.17,2.17,5.00,3.70,2.80,1.50,1.74,1.89,1.50,1.54,2.24,3.50,1.37,2.75,2.19,1,1
49,2.17,2.17,5.00,3.75,2.84,1.50,1.72,1.92,1.50,1.52,2.27,3.50,1.35,2.82,2.16,1,1
50,2.17,2.17,5.00,3.80,2.86,1.50,1.70,1.95,1.50,1.51,2.31,1,1,1,2.13,1,1
51,2.17,2.17,5.00,3.80,2.89,1.50,1.67,1.98,1.50,1.49,2.35,1,1,1,2.10,1,1
52,2.17,2.17,5.00,3.85,2.91,1.50,1.65,2.02,1.50,1.47,2.40,1,1,1,2.08,1,1
53,2.17,2.17,5.00,3.90,2.95,1.50,1.63,2.05,1.50,1.46,2.44,1,1,1,2.05,1,1
54,2.17,2.17,5.00,3.90,2.98,1.50,1.61,2.09,1.50,1.45,2.48,1,1,1,2.02,1,1
55,2.17,2.17,5.00,4.00,3.00,1.50,1.59,2.13,1.50,1.43,2.53,1,1,1,2.00,1,1
