min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.95,2.26,6.50,2.48,3.15,0.50,2.53,1.43,1,1,1,0.50,6.50,1.04,2.79,0,0
2,1.95,2.26,6.50,2.48,3.15,0.50,2.53,1.43,1,1,1,0.50,6.50,1.04,2.79,0,0
3,1.94,2.25,6.50,2.44,3.05,0.50,2.53,1.43,1,1,1,0.50,6.50,1.04,2.89,0,0
4,1.94,2.25,6.50,2.44,3.05,0.50,2.53,1.43,1,1,1,0.50,6.50,1.04,2.89,0,0
5,1.94,2.25,6.50,2.44,3.05,0.50,2.53,1.43,1,1,1,0.50,6.50,1.04,2.89,0,0
6,1.94,2.25,6.50,2.44,3.10,0.50,2.49,1.44,1.50,1.36,2.78,1.50,2.43,1.46,2.87,0,0
7,1.95,2.26,6.50,2.45,3.10,0.50,2.47,1.45,1.50,1.36,2.80,1.50,2.39,1.47,2.86,0,0
8,1.96,2.27,6.00,2.47,3.10,0.50,2.43,1.46,0.50,2.84,1.35,1.50,2.35,1.49,2.84,0,0
9,1.96,2.28,6.00,2.47,3.10,0.50,2.41,1.47,0.50,2.81,1.35,1.50,2.32,1.50,2.83,0,0
10,1.97,2.28,6.00,2.48,3.10,0.50,2.38,1.48,0.50,2.78,1.36,1.50,2.29,1.52,2.81,0,0
11,1.98,2.29,6.00,2.49,3.10,0.50,2.35,1.49,0.50,2.74,1.37,1.50,2.25,1.53,2.79,0,0
12,1.98,2.30,5.50,2.50,3.15,0.50,2.33,1.50,0.50,2.71,1.38,1.50,2.21,1.55,2.77,0,0
13,1.99,2.31,5.50,2.50,3.15,0.50,2.30,1.51,0.50,2.67,1.39,1.50,2.17,1.57,2.74,0,0
14,2.00,2.32,5.50,2.51,3.15,0.50,2.28,1.52,0.50,2.64,1.40,1.50,2.14,1.58,2.73,0,0
15,2.01,2.33,5.00,2.54,3.15,0.50,2.26,1.53,0.50,2.60,1.41,1.50,2.11,1.60,2.71,0,0
16,2.02,2.34,5.00,2.53,3.15,0.50,2.23,1.54,0.50,2.57,1.42,1.50,2.07,1.62,2.69,0,0
17,2.03,2.35,5.00,2.54,3.15,0.50,2.20,1.55,0.50,2.53,1.43,1.50,2.03,1.64,2.67,0,0
18,2.04,2.36,5.00,2.55,3.20,0.50,2.18,1.56,0.50,2.50,1.44,1.50,2.01,1.66,2.65,0,0
19,2.05,2.37,5.00,2.56,3.20,0.50,2.15,1.58,0.50,2.47,1.45,1.50,1.97,1.68,2.63,0,0
20,2.06,2.38,5.00,2.57,3.20,0.50,2.13,1.59,0.50,2.43,1.46,1.50,1.94,1.71,2.61,0,0
21,2.07,2.39,4.85,2.58,3.20,0.50,2.11,1.60,0.50,2.40,1.47,1.50,1.91,1.73,2.60,0,0
22,2.08,2.40,4.75,2.60,3.25,0.50,2.08,1.61,0.50,2.37,1.48,1.50,1.88,1.75,2.58,0,0
