min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.61,2.46,10.5,1.85,3.70,0.50,2.58,1.39,1.50,1.71,1.89,1,1,1,3.50,0,0
2,1.61,2.46,10.5,1.85,3.70,0.50,2.58,1.39,1.50,1.71,1.89,1,1,1,3.50,0,0
3,1.61,2.46,10.5,1.85,3.70,0.50,2.58,1.39,1.50,1.71,1.89,1,1,1,3.50,0,0
4,1.61,2.46,10.5,1.85,3.70,0.50,2.58,1.39,1.50,1.71,1.89,1,1,1,3.50,0,0
5,1.61,2.46,10.5,1.85,3.70,0.50,2.58,1.39,1.50,1.71,1.89,1,1,1,3.50,0,0
6,1.61,2.47,10.0,1.85,3.75,0.50,2.55,1.40,1.50,1.69,1.92,1,1,1,3.45,0,0
7,1.62,2.47,10.0,1.86,3.75,0.50,2.51,1.41,1.50,1.67,1.94,1,1,1,3.45,0,0
8,1.62,2.48,10.0,1.87,3.75,0.50,2.48,1.42,1.50,1.65,1.97,1,1,1,3.40,0,0
9,1.63,2.48,9.50,1.87,3.75,0.50,2.45,1.43,1.50,1.64,1.99,1,1,1,3.40,0,0
10,1.63,2.49,9.00,1.88,3.75,0.50,2.43,1.44,1.50,1.62,2.02,1,1,1,3.35,0,0
11,1.63,2.50,9.00,1.88,3.75,0.50,2.40,1.45,1.50,1.60,2.05,1,1,1,3.30,0,0
12,1.64,2.50,9.00,1.89,3.75,0.50,2.37,1.46,1.50,1.59,2.07,1,1,1,3.30,0,0
13,1.64,2.51,8.50,1.89,3.75,0.50,2.34,1.47,1.50,1.57,2.10,1,1,1,3.30,0,0
14,1.65,2.52,8.50,1.91,3.80,0.50,2.32,1.48,1.50,1.56,2.13,1,1,1,3.25,0,0
15,1.65,2.53,8.00,1.91,3.80,0.50,2.29,1.49,1.50,1.54,2.17,1,1,1,3.20,0,0
16,1.66,2.53,8.00,1.92,3.80,0.50,2.26,1.50,1.50,1.52,2.20,1,1,1,3.20,0,0
17,1.66,2.54,8.00,1.93,3.80,0.50,2.24,1.51,1.50,1.51,2.23,1,1,1,3.20,0,0
18,1.67,2.55,7.50,1.93,3.80,0.50,2.21,1.52,1.50,1.50,2.27,1,1,1,3.15,0,0
19,1.67,2.56,7.50,1.94,3.80,0.50,2.19,1.53,1.50,1.48,2.30,1,1,1,3.15,0,0
20,1.68,2.57,7.00,1.97,3.80,0.50,2.16,1.54,1.50,1.47,2.34,1,1,1,3.10,0,0
21,1.69,2.58,7.00,1.97,3.80,0.50,2.13,1.56,1.50,1.46,2.38,1,1,1,3.10,0,0
22,1.69,2.58,7.00,1.98,3.80,0.50,2.11,1.57,1.50,1.44,2.41,1.50,2.42,1.44,3.05,0,0
23,1.70,2.60,6.50,1.99,3.85,0.50,2.08,1.58,1.50,1.43,2.46,1.50,2.37,1.46,3.00,0,0
24,1.71,2.61,6.50,2.00,3.80,0.50,2.06,1.60,1.50,1.41,2.51,1.50,2.32,1.48,3.00,0,0
25,1.71,2.61,6.00,2.01,3.80,0.50,2.04,1.61,1.50,1.40,2.54,1.50,2.28,1.49,3.00,0,0
26,1.72,2.63,6.00,2.01,3.85,0.50,2.01,1.62,1.50,1.39,2.58,1.50,2.24,1.51,2.97,0,0
27,1.73,2.64,6.00,2.03,3.85,0.50,1.99,1.64,1.50,1.38,2.63,1.50,2.20,1.53,2.95,0,0
28,1.77,2.62,5.50,2.09,3.80,0.50,1.96,1.66,1.50,1.34,2.77,1.50,2.10,1.57,2.88,0,0
29,1.78,2.63,5.50,2.10,3.80,0.50,1.94,1.67,0.50,2.80,1.33,1.50,2.07,1.59,2.85,0,0
30,1.79,2.64,5.00,2.11,3.80,0.50,1.92,1.69,0.50,2.76,1.34,1.50,2.03,1.62,2.83,0,0
31,1.80,2.65,5.00,2.13,3.80,0.50,1.89,1.70,0.50,2.72,1.35,1.50,1.99,1.64,2.80,0,0
32,1.81,2.67,5.00,2.14,3.80,0.50,1.87,1.72,0.50,2.68,1.36,1.50,1.95,1.66,2.77,0,0
33,1.82,2.68,5.00,2.15,3.80,0.50,1.85,1.74,0.50,2.63,1.38,1.50,1.91,1.69,2.74,0,0
34,1.83,2.70,4.85,2.15,3.85,0.50,1.83,1.76,0.50,2.58,1.39,1.50,1.88,1.72,2.71,0,0
35,1.84,2.71,4.70,2.17,3.85,0.50,1.81,1.78,0.50,2.53,1.41,1.50,1.84,1.75,2.68,0,0
36,1.85,2.73,4.60,2.18,3.85,0.50,1.78,1.80,0.50,2.49,1.42,1.50,1.80,1.79,2.65,0,0
37,1.87,2.75,4.45,2.20,3.85,0.50,1.76,1.83,0.50,2.45,1.43,1.50,1.77,1.82,2.62,0,0
38,1.88,2.77,4.30,2.21,3.90,0.50,1.74,1.85,0.50,2.40,1.45,1.50,1.74,1.86,2.59,0,0
39,1.89,2.78,4.20,2.23,3.90,0.50,1.72,1.87,0.50,2.37,1.46,1.50,1.71,1.89,2.57,0,0
40,1.91,2.80,4.10,2.25,3.90,0.50,1.70,1.90,0.50,2.32,1.48,1.50,1.68,1.93,2.54,0,0
41,1.92,2.82,4.00,2.27,3.90,0.50,1.68,1.92,0.50,2.28,1.49,1.50,1.65,1.97,2.51,0,0
42,1.94,2.84,3.90,2.28,3.95,0.50,1.66,1.95,0.50,2.25,1.51,1.50,1.62,2.01,2.48,0,0
43,1.95,2.86,3.80,2.30,3.95,0.50,1.65,1.97,0.50,2.21,1.52,1.50,1.60,2.05,2.46,0,0
44,1.97,2.88,3.70,2.32,4.00,0.50,1.63,2.00,0.50,2.17,1.54,1.50,1.57,2.10,2.43,0,0
45,1.99,2.91,3.60,2.33,4.00,0.50,1.61,2.03,0.50,2.13,1.56,1.50,1.55,2.15,2.40,0,0
46,2.01,2.93,3.50,7.00,1.53,1.50,1.59,2.06,0.50,2.10,1.57,1,1,1,3.35,1,0
47,2.01,2.93,3.50,7.00,1.52,1.50,1.57,2.10,0.50,2.06,1.59,1,1,1,3.35,1,0
48,2.01,2.93,3.50,6.50,1.55,1.50,1.52,2.21,0.50,2.08,1.59,1,1,1,3.30,1,0
49,2.01,2.93,3.50,7.00,1.54,1.50,1.51,2.25,0.50,2.05,1.60,1,1,1,3.30,1,0
50,2.01,2.93,3.50,7.00,1.53,1.50,1.49,2.29,0.50,2.01,1.63,1,1,1,3.30,1,0
51,2.01,2.93,3.50,7.00,1.52,1.50,1.47,2.33,0.50,1.97,1.65,1,1,1,3.30,1,0
52,2.01,2.93,3.50,7.50,1.51,1.50,1.46,2.37,0.50,1.94,1.67,1,1,1,3.30,1,0
53,2.01,2.93,3.50,7.50,1.50,1.50,1.44,2.41,0.50,1.90,1.70,1,1,1,3.30,1,0
54,2.01,2.93,3.50,8.00,1.49,1.50,1.43,2.45,0.50,1.87,1.73,1,1,1,3.30,1,0
55,2.01,2.93,3.50,8.00,1.48,1.50,1.42,2.50,0.50,1.83,1.76,1,1,1,3.30,1,0
56,2.01,2.93,3.50,8.50,1.47,1.50,1.40,2.55,0.50,1.80,1.79,1.50,2.78,1.34,3.30,1,0
57,2.01,2.93,3.50,9.00,1.45,1.50,1.39,2.60,0.50,1.77,1.82,1.50,2.70,1.36,3.35,1,0
58,2.01,2.93,3.50,9.00,1.44,1.50,1.37,2.65,0.50,1.73,1.86,1.50,2.63,1.38,3.35,1,0
61,2.01,2.93,3.50,10.5,1.41,1.50,1.33,2.82,0.50,1.65,1.97,1.50,2.42,1.44,3.40,1,0
62,2.01,2.93,3.50,10.5,1.42,1.50,1.26,3.10,0.50,1.62,2.02,1.50,2.27,1.50,3.35,1,0
63,2.01,2.93,3.50,11.0,1.41,1.50,1.25,3.20,0.50,1.59,2.06,1.50,2.20,1.52,3.40,1,0
64,2.01,2.93,3.50,11.5,1.39,1.50,1.24,3.25,0.50,1.57,2.11,1.50,2.14,1.55,3.40,1,0
65,2.01,2.93,3.50,10.5,1.44,1.50,1.18,3.70,0.50,1.59,2.07,1.50,2.08,1.59,3.30,1,0
66,2.01,2.93,3.50,10.0,1.47,1.50,1.14,4.00,0.50,1.61,2.04,1.50,2.05,1.60,3.20,1,0
67,2.01,2.93,3.50,10.0,1.45,1.50,1.13,4.15,0.50,1.58,2.09,1.50,2.00,1.63,3.20,1,0
68,2.01,2.93,3.50,2.86,6.00,1.50,1.14,4.05,1.50,1.46,2.35,1,1,1,1.69,1,1
69,2.01,2.93,3.50,2.93,6.50,1.50,1.13,4.15,1.50,1.44,2.42,1,1,1,1.65,1,1
70,2.01,2.93,3.50,3.00,6.50,1.50,1.12,4.30,1.50,1.42,2.49,1,1,1,1.62,1,1
71,2.01,2.93,3.50,3.10,6.50,1.50,1.11,4.45,1.50,1.39,2.57,1,1,1,1.59,1,1
72,2.01,2.93,3.50,3.15,7.00,1.50,1.10,4.60,1.50,1.37,2.65,1,1,1,1.57,1,1
73,2.01,2.93,3.50,3.25,7.00,1.50,1.09,4.80,1.50,1.35,2.73,1,1,1,1.54,1,1
74,2.01,2.93,3.50,3.35,7.00,1.50,1.08,5.00,1.50,1.33,2.84,1,1,1,1.50,1,1
75,2.01,2.93,3.50,3.50,7.50,1.50,1.07,5.00,1.50,1.30,2.94,1,1,1,1.47,1,1
76,2.01,2.93,3.50,3.60,8.00,1.50,1.06,5.00,1.50,1.28,3.05,1,1,1,1.44,1,1
77,2.01,2.93,3.50,3.80,8.00,1.50,1.05,5.50,1.50,1.25,3.15,1,1,1,1.41,1,1
78,2.01,2.93,3.50,3.65,7.50,1.50,1.04,6.00,1.50,1.24,3.25,1,1,1,1.44,1,1
79,2.01,2.93,3.50,3.85,8.00,1.50,1.03,6.00,1.50,1.22,3.40,1,1,1,1.41,1,1
80,2.01,2.93,3.50,4.00,8.00,1.50,1.03,6.50,1.50,1.19,3.55,1,1,1,1.37,1,1
81,2.01,2.93,3.50,4.20,8.50,1.50,1.02,7.00,1.50,1.17,3.75,1,1,1,1.34,1,1
82,2.01,2.93,3.50,4.45,9.00,1.50,1.02,7.50,1.50,1.14,4.00,1,1,1,1.31,1,1
83,2.01,2.93,3.50,5.00,8.00,1.50,1.02,7.00,1.50,1.10,4.65,1,1,1,1.29,1,1
84,2.01,2.93,3.50,5.00,8.50,1.50,1.02,7.50,1.50,1.08,5.00,1,1,1,1.26,1,1
