min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.26,1.81,9.50,3.10,2.14,1.50,1.57,2.22,0.50,2.87,1.36,1,1,1,3.30,0,0
2,2.26,1.81,9.50,3.10,2.14,1.50,1.57,2.22,0.50,2.87,1.36,1,1,1,3.30,0,0
3,2.15,1.87,10.0,2.87,2.26,1.50,1.56,2.26,1.50,1.41,2.66,1,1,1,3.30,0,0
4,2.15,1.87,10.0,2.87,2.26,1.50,1.56,2.26,1.50,1.41,2.66,1,1,1,3.30,0,0
5,2.15,1.87,10.0,2.87,2.26,1.50,1.56,2.26,1.50,1.41,2.66,1,1,1,3.30,0,0
6,2.15,1.87,10.0,2.87,2.27,1.50,1.54,2.28,1.50,1.40,2.70,1,1,1,3.25,0,0
7,2.16,1.88,9.50,2.87,2.28,1.50,1.53,2.32,1.50,1.40,2.73,1,1,1,3.25,0,0
8,2.17,1.88,9.50,2.88,2.28,1.50,1.52,2.35,1.50,1.39,2.77,1,1,1,3.20,0,0
9,2.17,1.89,9.00,2.90,2.30,1.50,1.50,2.38,1.50,1.38,2.81,1,1,1,3.20,0,0
10,2.18,1.89,9.00,2.90,2.31,1.50,1.49,2.42,1.50,1.37,2.84,1,1,1,3.20,0,0
11,2.18,1.90,9.00,2.91,2.32,1.50,1.48,2.45,0.50,2.86,1.36,1,1,1,3.15,0,0
12,2.19,1.90,8.50,2.91,2.33,1.50,1.46,2.49,0.50,2.83,1.37,1,1,1,3.15,0,0
13,2.19,1.91,8.50,2.92,2.33,1.50,1.45,2.53,0.50,2.80,1.38,1,1,1,3.10,0,0
14,2.20,1.91,8.00,2.92,2.34,1.50,1.44,2.56,0.50,2.77,1.39,1,1,1,3.10,0,0
15,2.21,1.92,8.00,2.93,2.35,1.50,1.43,2.60,0.50,2.73,1.40,1,1,1,3.10,0,0
16,2.22,1.93,8.00,2.93,2.35,1.50,1.42,2.64,0.50,2.69,1.41,1,1,1,3.05,0,0
17,2.22,1.93,7.50,2.94,2.36,1.50,1.41,2.67,0.50,2.65,1.42,1,1,1,3.05,0,0
18,2.23,1.94,7.50,2.96,2.37,1.50,1.40,2.71,0.50,2.62,1.43,1,1,1,3.00,0,0
19,2.24,1.95,7.00,2.96,2.38,1.50,1.39,2.76,0.50,2.58,1.44,1,1,1,3.00,0,0
20,2.25,1.95,7.00,2.97,2.39,1.50,1.38,2.80,0.50,2.55,1.45,1,1,1,2.99,0,0
21,2.16,2.00,7.00,2.81,2.50,1.50,1.37,2.84,0.50,2.69,1.41,1,1,1,3.00,0,0
22,2.17,2.01,7.00,2.82,2.50,0.50,2.86,1.36,0.50,2.64,1.42,1,1,1,3.00,0,0
23,2.18,2.02,7.00,2.84,2.51,0.50,2.82,1.37,0.50,2.60,1.43,1,1,1,2.97,0,0
24,2.19,2.03,6.50,2.85,2.52,0.50,2.78,1.38,0.50,2.57,1.44,1.50,2.44,1.48,2.95,0,0
25,2.20,2.04,6.50,2.85,2.53,0.50,2.74,1.39,0.50,2.53,1.45,1.50,2.39,1.50,2.92,0,0
26,2.21,2.05,6.00,2.85,2.53,0.50,2.70,1.40,0.50,2.49,1.46,1.50,2.34,1.52,2.89,0,0
27,2.22,2.06,6.00,2.86,2.54,0.50,2.65,1.42,0.50,2.45,1.48,1.50,2.29,1.54,2.87,0,0
28,2.23,2.07,6.00,2.87,2.56,0.50,2.61,1.43,0.50,2.42,1.49,1.50,2.25,1.56,2.85,0,0
29,2.24,2.08,6.00,2.87,2.57,0.50,2.57,1.44,0.50,2.38,1.50,1.50,2.20,1.58,2.82,0,0
30,2.25,2.09,5.50,2.89,2.57,0.50,2.53,1.45,0.50,2.35,1.51,1.50,2.16,1.60,2.79,0,0
31,2.26,2.10,5.50,2.91,2.58,0.50,2.49,1.46,0.50,2.32,1.53,1.50,2.11,1.63,2.76,0,0
32,2.27,2.11,5.00,2.93,2.60,0.50,2.45,1.48,0.50,2.28,1.54,1.50,2.07,1.65,2.74,0,0
33,2.28,2.12,5.00,2.93,2.60,0.50,2.42,1.49,0.50,2.26,1.56,1.50,2.03,1.68,2.72,0,0
34,2.28,2.12,5.00,1.49,6.50,0.50,2.55,1.45,1.50,2.22,1.57,1,1,1,3.70,0,1
35,2.28,2.12,5.00,1.48,6.50,0.50,2.51,1.46,1.50,2.19,1.59,1,1,1,3.70,0,1
36,2.28,2.12,5.00,1.48,6.50,0.50,2.46,1.48,1.50,2.16,1.60,1,1,1,3.65,0,1
37,2.28,2.12,5.00,1.48,6.50,0.50,2.42,1.49,1.50,2.13,1.62,1,1,1,3.70,0,1
38,2.28,2.12,5.00,1.47,7.00,0.50,2.38,1.51,1.50,2.10,1.64,1,1,1,3.65,0,1
39,2.28,2.12,5.00,1.46,7.00,0.50,2.34,1.52,1.50,2.07,1.65,1,1,1,3.65,0,1
40,2.28,2.12,5.00,1.46,7.00,0.50,2.30,1.54,1.50,2.04,1.67,1,1,1,3.65,0,1
41,2.28,2.12,5.00,1.46,7.00,0.50,2.27,1.55,1.50,2.01,1.69,1,1,1,3.65,0,1
42,2.28,2.12,5.00,1.45,7.50,0.50,2.23,1.57,1.50,1.98,1.72,1,1,1,3.65,0,1
43,2.28,2.12,5.00,1.44,7.50,0.50,2.19,1.59,1.50,1.95,1.73,1,1,1,3.65,0,1
44,2.28,2.12,5.00,1.44,7.50,0.50,2.16,1.60,1.50,1.92,1.76,1,1,1,3.65,0,1
45,2.28,2.12,5.00,1.19,15.0,0.50,1.69,2.01,1.50,2.37,1.51,1,1,1,5.00,0,1
46,2.28,2.12,5.00,1.19,16.0,0.50,1.68,2.03,1.50,2.33,1.52,1,1,1,5.00,0,1
47,2.28,2.12,5.00,1.18,16.0,0.50,1.65,2.07,1.50,2.28,1.54,1,1,1,5.00,0,1
