min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.24,3.85,20.0,1.22,10.0,0.50,2.03,1.65,2.50,1.75,1.88,3.50,1.63,2.06,6.00,0,0
2,1.24,3.85,20.0,1.22,10.0,0.50,2.03,1.65,2.50,1.75,1.88,3.50,1.63,2.06,6.00,0,0
3,1.24,3.85,20.0,1.22,10.0,0.50,2.03,1.65,2.50,1.75,1.88,3.50,1.63,2.06,6.00,0,0
4,1.28,3.55,20.0,1.27,8.50,0.50,2.19,1.56,2.50,1.70,1.95,3.50,1.64,2.04,5.50,0,0
5,1.28,3.55,20.0,1.27,8.50,0.50,2.19,1.56,2.50,1.70,1.95,3.50,1.64,2.04,5.50,0,0
6,1.28,3.55,20.0,1.28,8.00,0.50,2.17,1.57,2.50,1.68,1.98,3.50,1.62,2.08,5.50,0,0
7,1.28,3.55,19.0,1.28,8.00,0.50,2.15,1.58,2.50,1.66,2.01,3.50,1.59,2.12,5.50,0,0
8,1.28,3.55,18.0,1.28,8.00,0.50,2.13,1.59,2.50,1.63,2.05,3.50,1.57,2.17,5.50,0,0
9,1.28,3.55,18.0,1.29,8.00,0.50,2.11,1.60,2.50,1.61,2.09,3.50,1.55,2.21,5.50,0,0
10,1.29,3.55,17.0,1.29,8.00,0.50,2.09,1.61,2.50,1.60,2.12,3.50,1.53,2.25,5.00,0,0
11,1.29,3.55,17.0,1.30,8.00,0.50,2.07,1.62,2.50,1.57,2.16,3.50,1.51,2.30,5.00,0,0
12,1.29,3.60,16.0,1.30,8.00,0.50,2.05,1.63,2.50,1.56,2.19,1,1,1,5.00,0,0
13,1.29,3.60,16.0,1.31,8.00,0.50,2.03,1.65,2.50,1.54,2.23,1,1,1,5.00,0,0
14,1.29,3.60,16.0,1.31,8.00,0.50,2.01,1.66,2.50,1.52,2.28,1,1,1,5.00,0,0
15,1.30,3.60,15.0,1.32,8.00,0.50,1.99,1.67,2.50,1.50,2.32,1,1,1,5.00,0,0
16,1.30,3.60,15.0,1.32,8.00,0.50,1.97,1.69,2.50,1.48,2.37,1,1,1,5.00,0,0
17,1.30,3.60,14.0,1.33,8.00,0.50,1.95,1.70,2.50,1.47,2.42,1,1,1,5.00,0,0
18,1.31,3.60,14.0,1.33,8.00,0.50,1.93,1.72,2.50,1.45,2.46,1,1,1,5.00,0,0
19,1.31,3.60,13.0,1.34,8.00,0.50,1.91,1.73,1.50,2.47,1.45,1,1,1,5.00,0,0
20,1.31,3.60,13.0,1.34,8.00,0.50,1.89,1.75,1.50,2.43,1.46,1,1,1,4.90,0,0
21,1.31,3.65,13.0,1.35,7.50,0.50,1.87,1.76,1.50,2.39,1.48,1,1,1,4.90,0,0
22,1.32,3.65,12.0,1.35,7.50,0.50,1.85,1.78,1.50,2.34,1.49,1,1,1,4.80,0,0
23,1.32,3.65,12.0,1.36,7.50,0.50,1.83,1.80,1.50,2.29,1.51,1,1,1,4.70,0,0
24,1.32,3.65,12.0,1.37,7.50,0.50,1.81,1.81,1.50,2.26,1.53,1,1,1,4.70,0,0
25,1.33,3.70,11.0,1.38,7.50,0.50,1.80,1.83,1.50,2.21,1.55,1,1,1,4.60,0,0
26,1.33,3.70,11.0,1.39,7.50,0.50,1.78,1.85,1.50,2.16,1.57,1,1,1,4.55,0,0
27,1.34,3.70,10.5,1.39,7.50,0.50,1.76,1.87,1.50,2.13,1.59,1,1,1,4.50,0,0
28,1.35,3.85,9.00,1.41,7.50,0.50,1.65,2.03,1.50,1.95,1.70,1,1,1,4.20,0,0
29,1.35,3.90,8.50,1.42,7.50,0.50,1.63,2.05,1.50,1.91,1.73,1,1,1,4.15,0,0
30,1.36,3.90,8.00,1.43,7.50,0.50,1.62,2.08,1.50,1.88,1.75,1,1,1,4.10,0,0
31,1.36,3.90,8.00,1.43,7.50,0.50,1.60,2.10,1.50,1.85,1.78,1,1,1,4.05,0,0
32,1.37,3.90,8.00,1.44,7.50,0.50,1.59,2.13,1.50,1.82,1.81,1,1,1,4.00,0,0
33,1.37,3.95,7.50,1.45,7.50,0.50,1.58,2.15,1.50,1.79,1.84,1,1,1,3.95,0,0
34,1.38,3.95,7.00,1.46,7.50,0.50,1.56,2.18,1.50,1.76,1.87,1,1,1,3.90,0,0
35,1.39,3.95,7.00,1.47,7.50,0.50,1.55,2.21,1.50,1.73,1.91,1.50,2.46,1.45,3.80,0,0
36,1.39,4.00,7.00,1.48,7.50,0.50,1.54,2.24,1.50,1.70,1.95,1.50,2.40,1.47,3.75,0,0
37,1.40,4.00,6.50,1.49,7.50,0.50,1.52,2.27,1.50,1.67,1.98,1.50,2.34,1.50,3.70,0,0
38,1.41,4.00,6.50,1.49,7.50,0.50,1.51,2.29,1.50,1.65,2.02,1.50,2.29,1.52,3.65,0,0
39,1.41,4.05,6.00,1.50,7.50,0.50,1.50,2.32,1.50,1.63,2.06,1.50,2.24,1.54,3.60,0,0
40,1.42,3.90,6.00,1.52,7.00,0.50,1.53,2.25,1.50,1.63,2.06,1.50,2.27,1.52,3.60,0,0
41,1.43,3.95,6.00,1.53,7.00,0.50,1.52,2.28,1.50,1.60,2.11,1.50,2.21,1.55,3.55,0,0
42,1.44,3.95,6.00,1.54,7.00,0.50,1.51,2.31,1.50,1.58,2.15,1.50,2.17,1.57,3.50,0,0
43,1.45,4.00,5.50,1.55,7.00,0.50,1.49,2.34,1.50,1.56,2.19,1.50,2.12,1.60,3.40,0,0
44,1.46,4.00,5.50,1.56,7.00,0.50,1.48,2.38,1.50,1.53,2.25,1.50,2.06,1.63,3.40,0,0
45,1.46,4.05,5.00,1.58,7.00,0.50,1.47,2.42,1.50,1.51,2.30,1.50,2.01,1.66,3.30,0,0
46,1.47,4.05,5.00,1.60,7.00,0.50,1.45,2.45,1.50,1.49,2.35,1.50,1.97,1.69,3.25,0,0
47,1.48,4.10,5.00,1.61,7.00,0.50,1.44,2.49,1.50,1.47,2.42,1.50,1.92,1.72,3.20,0,0
48,1.48,4.10,5.00,1.08,33.0,0.50,1.46,2.43,2.50,1.45,2.48,1,1,1,8.00,0,1
49,1.48,4.10,5.00,1.08,33.0,0.50,1.45,2.47,2.50,1.43,2.54,1,1,1,8.00,0,1
50,1.48,4.10,5.00,1.08,34.0,0.50,1.44,2.51,2.50,1.41,2.61,1,1,1,8.00,0,1
51,1.48,4.10,5.00,1.08,35.0,0.50,1.42,2.55,2.50,1.39,2.68,1,1,1,8.00,0,1
52,1.48,4.10,5.00,1.08,36.0,0.50,1.41,2.60,2.50,1.37,2.74,1,1,1,8.00,0,1
53,1.48,4.10,5.00,1.08,37.0,0.50,1.40,2.64,2.50,1.35,2.82,1,1,1,8.00,0,1
54,1.48,4.10,5.00,1.09,35.0,0.50,1.39,2.68,1.50,2.61,1.41,1,1,1,7.50,0,1
55,1.48,4.10,5.00,1.09,36.0,0.50,1.37,2.74,1.50,2.55,1.42,1,1,1,7.50,0,1
56,1.48,4.10,5.00,1.09,37.0,0.50,1.36,2.78,1.50,2.48,1.45,1,1,1,7.50,0,1
57,1.48,4.10,5.00,1.09,38.0,0.50,1.35,2.84,1.50,2.42,1.47,1,1,1,7.50,0,1
58,1.48,4.10,5.00,1.09,40.0,0.50,1.33,2.90,1.50,2.35,1.49,1,1,1,7.50,0,1
59,1.48,4.10,5.00,1.09,40.0,0.50,1.32,2.96,1.50,2.29,1.51,1,1,1,7.50,0,1
60,1.48,4.10,5.00,1.11,34.0,0.50,1.36,2.79,1.50,2.24,1.53,1,1,1,7.00,0,1
61,1.48,4.10,5.00,1.11,35.0,0.50,1.34,2.85,1.50,2.18,1.56,1,1,1,7.00,0,1
62,1.48,4.10,5.00,-,200,0.50,1.28,3.15,2.50,2.05,1.63,1,1,1,48.0,0,2
63,1.48,4.10,5.00,-,200,0.50,1.26,3.20,2.50,2.00,1.66,1,1,1,50.0,0,2
64,1.48,4.10,5.00,-,200,0.50,1.25,3.30,2.50,1.95,1.70,1,1,1,51.0,0,2
65,1.48,4.10,5.00,-,200,0.50,1.28,3.10,2.50,1.90,1.74,1,1,1,44.0,0,2
66,1.48,4.10,5.00,-,200,0.50,1.27,3.20,2.50,1.85,1.78,1,1,1,46.0,0,2
67,1.48,4.10,5.00,-,200,0.50,1.25,3.30,2.50,1.81,1.82,1,1,1,48.0,0,2
68,1.48,4.10,5.00,-,200,0.50,1.24,3.40,2.50,1.76,1.87,1,1,1,50.0,0,2
69,1.48,4.10,5.00,-,200,0.50,1.22,3.50,2.50,1.72,1.92,1,1,1,52.0,0,2
70,1.48,4.10,5.00,-,200,0.50,1.21,3.60,2.50,1.68,1.98,1,1,1,54.0,0,2
71,1.48,4.10,5.00,-,200,0.50,1.22,3.50,2.50,1.65,2.03,1,1,1,50.0,0,2
72,1.48,4.10,5.00,-,200,0.50,1.20,3.60,2.50,1.60,2.10,1,1,1,52.0,0,2
73,1.48,4.10,5.00,-,200,0.50,1.19,3.75,2.50,1.57,2.17,1,1,1,55.0,0,2
74,1.48,4.10,5.00,-,200,0.50,1.15,4.15,2.50,1.57,2.17,1,1,1,69.0,0,2
75,1.48,4.10,5.00,-,200,0.50,1.13,4.35,2.50,1.53,2.26,1,1,1,74.0,0,2
76,1.48,4.10,5.00,-,200,0.50,1.12,4.55,2.50,1.49,2.35,1,1,1,82.0,0,2
77,1.48,4.10,5.00,-,200,0.50,1.11,4.75,2.50,1.40,2.62,1,1,1,82.0,0,2
78,1.48,4.10,5.00,-,200,0.50,1.19,3.75,2.50,1.37,2.73,1,1,1,48.0,0,2
79,1.48,4.10,5.00,-,200,0.50,1.17,3.90,2.50,1.34,2.86,1,1,1,53.0,0,2
80,1.48,4.10,5.00,-,200,0.50,1.15,4.15,2.50,1.31,3.00,1,1,1,58.0,0,2
81,1.48,4.10,5.00,-,200,0.50,1.13,4.40,2.50,1.28,3.15,1,1,1,64.0,0,2
82,1.48,4.10,5.00,-,200,0.50,1.11,4.65,2.50,1.25,3.30,1,1,1,73.0,0,2
83,1.48,4.10,5.00,-,200,0.50,1.09,5.00,2.50,1.22,3.55,1,1,1,81.0,0,2
84,1.48,4.10,5.00,-,200,0.50,1.08,5.00,2.50,1.18,3.80,1,1,1,91.0,0,2
85,1.48,4.10,5.00,-,200,0.50,1.06,5.50,2.50,1.15,4.10,1,1,1,99.0,0,2
86,1.48,4.10,5.00,-,200,0.50,1.05,6.00,2.50,1.09,5.00,1,1,1,112,0,2
87,1.48,4.10,5.00,-,200,0.50,1.03,7.00,2.50,1.07,5.50,1,1,1,137,0,2
88,1.48,4.10,5.00,-,200,0.50,1.03,7.50,2.50,1.05,6.00,1,1,1,154,0,2
89,1.48,4.10,5.00,-,200,0.50,1.02,9.00,2.50,1.03,7.00,1,1,1,200,0,2
90,1.48,4.10,5.00,-,200,1,1,1,1,1,1,1,1,1,200,0,2
