min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.62,2.37,16.0,1.78,3.60,1.50,1.54,2.30,1.50,2.30,1.54,1,1,1,3.85,0,0
2,1.62,2.37,16.0,1.78,3.60,1.50,1.54,2.30,1.50,2.30,1.54,1,1,1,3.85,0,0
3,1.62,2.37,16.0,1.78,3.60,1.50,1.54,2.30,1.50,2.30,1.54,1,1,1,3.85,0,0
4,1.62,2.37,16.0,1.78,3.60,1.50,1.54,2.30,1.50,2.30,1.54,1,1,1,3.85,0,0
5,1.62,2.37,16.0,1.78,3.60,1.50,1.54,2.30,1.50,2.30,1.54,1,1,1,3.85,0,0
6,1.58,2.54,13.0,1.72,4.05,1.50,1.40,2.72,1.50,2.16,1.60,1,1,1,3.75,0,0
7,1.58,2.54,13.0,1.72,4.05,1.50,1.39,2.76,1.50,2.13,1.62,1,1,1,3.70,0,0
8,1.58,2.55,13.0,1.73,4.10,1.50,1.38,2.80,1.50,2.10,1.63,1,1,1,3.70,0,0
9,1.59,2.55,13.0,1.74,4.10,1.50,1.37,2.83,1.50,2.07,1.65,1,1,1,3.65,0,0
10,1.59,2.56,12.0,1.74,4.05,0.50,2.87,1.36,1.50,2.04,1.67,1,1,1,3.65,0,0
11,1.48,2.91,12.0,1.56,5.00,0.50,2.47,1.47,1.50,2.21,1.58,1,1,1,3.85,0,0
12,1.53,2.76,12.0,1.63,4.70,0.50,2.58,1.44,1.50,2.09,1.64,1,1,1,3.70,0,0
13,1.53,2.77,11.5,1.64,4.70,0.50,2.55,1.45,1.50,2.06,1.66,1,1,1,3.70,0,0
14,1.53,2.78,11.5,1.64,4.70,0.50,2.52,1.46,1.50,2.03,1.68,1,1,1,3.65,0,0
15,1.54,2.78,11.0,1.65,4.70,0.50,2.49,1.47,1.50,2.00,1.70,1,1,1,3.60,0,0
16,1.54,2.79,11.0,1.65,4.70,0.50,2.46,1.48,1.50,1.97,1.72,1,1,1,3.60,0,0
17,1.54,2.79,10.5,1.66,4.65,0.50,2.43,1.49,1.50,1.94,1.74,1,1,1,3.55,0,0
