min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.72,1.52,12.0,4.55,1.66,1.50,1.96,1.69,0.50,2.47,1.45,1,1,1,3.80,0,0
2,2.72,1.52,12.0,4.55,1.66,1.50,1.96,1.69,0.50,2.47,1.45,1,1,1,3.80,0,0
3,2.72,1.52,12.0,7.50,1.30,2.50,1.73,1.91,1.50,1.39,2.68,3.50,1.94,1.71,5.00,1,0
4,2.72,1.52,12.0,7.50,1.30,2.50,1.73,1.91,1.50,1.39,2.68,3.50,1.94,1.71,5.00,1,0
5,2.72,1.52,12.0,9.50,1.23,2.50,1.84,1.79,0.50,2.74,1.37,3.50,1.94,1.70,6.00,1,0
6,2.72,1.52,12.0,10.0,1.23,2.50,1.81,1.81,0.50,2.71,1.38,3.50,1.91,1.73,6.00,1,0
7,2.72,1.52,12.0,10.0,1.23,2.50,1.80,1.83,0.50,2.68,1.39,3.50,1.88,1.75,6.00,1,0
8,2.72,1.52,12.0,10.0,1.23,2.50,1.77,1.86,0.50,2.64,1.40,3.50,1.85,1.78,6.00,1,0
9,2.72,1.52,12.0,10.0,1.23,2.50,1.75,1.88,0.50,2.60,1.41,3.50,1.82,1.81,5.50,1,0
10,2.72,1.52,12.0,10.0,1.23,2.50,1.73,1.90,0.50,2.57,1.42,3.50,1.79,1.84,5.50,1,0
11,2.72,1.52,12.0,10.0,1.23,2.50,1.71,1.93,0.50,2.54,1.43,3.50,1.76,1.87,5.50,1,0
12,2.72,1.52,12.0,10.0,1.22,2.50,1.69,1.96,0.50,2.51,1.44,3.50,1.73,1.91,5.50,1,0
13,2.72,1.52,12.0,10.0,1.23,2.50,1.67,1.98,0.50,2.48,1.45,3.50,1.71,1.94,5.50,1,0
14,2.72,1.52,12.0,10.0,1.22,2.50,1.66,2.01,0.50,2.45,1.46,3.50,1.68,1.97,5.50,1,0
15,2.72,1.52,12.0,10.5,1.22,2.50,1.64,2.04,0.50,2.42,1.47,3.50,1.66,2.01,5.50,1,0
16,2.72,1.52,12.0,10.5,1.22,2.50,1.62,2.07,0.50,2.39,1.48,3.50,1.64,2.04,5.50,1,0
17,2.72,1.52,12.0,10.5,1.22,2.50,1.60,2.10,0.50,2.36,1.49,3.50,1.61,2.08,5.50,1,0
18,2.72,1.52,12.0,8.50,1.29,2.50,1.51,2.29,0.50,2.54,1.43,3.50,1.59,2.12,5.00,1,0
19,2.72,1.52,12.0,8.50,1.28,2.50,1.50,2.32,0.50,2.51,1.44,3.50,1.57,2.16,5.00,1,0
20,2.72,1.52,12.0,9.00,1.29,2.50,1.48,2.37,0.50,2.47,1.45,3.50,1.55,2.21,5.00,1,0
21,2.72,1.52,12.0,8.50,1.29,2.50,1.47,2.40,0.50,2.44,1.46,3.50,1.53,2.25,5.00,1,0
22,2.72,1.52,12.0,8.00,1.33,2.50,1.46,2.44,0.50,2.62,1.40,3.50,1.57,2.17,4.95,1,0
23,2.72,1.52,12.0,8.00,1.33,2.50,1.44,2.49,0.50,2.57,1.42,3.50,1.54,2.22,4.90,1,0
24,2.72,1.52,12.0,8.00,1.33,2.50,1.43,2.53,0.50,2.54,1.43,3.50,1.52,2.27,4.90,1,0
25,2.72,1.52,12.0,8.00,1.32,2.50,1.42,2.57,0.50,2.50,1.44,3.50,1.50,2.32,4.90,1,0
26,2.72,1.52,12.0,8.00,1.32,2.50,1.41,2.61,0.50,2.47,1.45,3.50,1.48,2.37,4.90,1,0
27,2.72,1.52,12.0,8.00,1.32,2.50,1.39,2.65,0.50,2.43,1.46,3.50,1.46,2.43,4.85,1,0
28,2.72,1.52,12.0,8.00,1.32,2.50,1.38,2.70,0.50,2.40,1.47,3.50,1.45,2.47,4.85,1,0
29,2.72,1.52,12.0,8.50,1.32,2.50,1.37,2.74,0.50,2.36,1.49,1,1,1,4.85,1,0
30,2.72,1.52,12.0,8.50,1.32,2.50,1.36,2.80,0.50,2.33,1.50,1,1,1,4.85,1,0
31,2.72,1.52,12.0,9.00,1.31,1.50,2.83,1.35,0.50,2.29,1.51,1,1,1,4.80,1,0
32,2.72,1.52,12.0,9.00,1.31,1.50,2.79,1.36,0.50,2.26,1.53,1,1,1,4.80,1,0
33,2.72,1.52,12.0,9.00,1.31,1.50,2.75,1.37,0.50,2.23,1.54,1,1,1,4.80,1,0
34,2.72,1.52,12.0,9.00,1.31,1.50,2.71,1.38,0.50,2.20,1.55,1,1,1,4.80,1,0
35,2.72,1.52,12.0,9.00,1.31,1.50,2.65,1.39,0.50,2.17,1.57,1,1,1,4.80,1,0
36,2.72,1.52,12.0,9.00,1.31,1.50,2.60,1.41,0.50,2.13,1.59,1,1,1,4.80,1,0
37,2.72,1.52,12.0,9.50,1.30,1.50,2.55,1.42,0.50,2.10,1.60,1,1,1,4.75,1,0
38,2.72,1.52,12.0,8.00,1.36,1.50,2.35,1.49,0.50,2.21,1.55,1,1,1,4.40,1,0
