min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1.80,4.55,1,1,1,1,1,1,3.50,1.12,4.50,3.25,0,0
2,1,1,1,1.80,4.55,1,1,1,1,1,1,3.50,1.12,4.50,3.25,0,0
3,1.48,3.10,8.50,1.60,5.00,0.50,1.92,1.72,1.50,1.73,1.91,1,1,1,3.70,0,0
4,1.48,3.10,8.50,1.60,5.00,0.50,1.92,1.72,1.50,1.73,1.91,1,1,1,3.70,0,0
5,1.48,3.10,8.50,1.60,5.00,0.50,1.92,1.72,1.50,1.73,1.91,1,1,1,3.70,0,0
6,1.49,3.10,8.50,1.61,5.00,0.50,1.90,1.73,1.50,1.71,1.94,1,1,1,3.65,0,0
7,1.49,3.10,8.00,1.61,5.00,0.50,1.89,1.75,1.50,1.69,1.96,1,1,1,3.60,0,0
8,1.50,3.10,8.00,1.62,5.00,0.50,1.87,1.76,1.50,1.67,1.99,1,1,1,3.60,0,0
9,1.50,3.10,8.00,1.63,5.00,0.50,1.86,1.78,1.50,1.65,2.02,1,1,1,3.55,0,0
10,1.50,3.10,7.50,1.63,5.00,0.50,1.84,1.79,1.50,1.64,2.04,1,1,1,3.50,0,0
11,1.51,3.15,7.50,1.64,5.00,0.50,1.83,1.80,1.50,1.62,2.07,1,1,1,3.50,0,0
12,1.51,3.15,7.00,1.65,5.00,0.50,1.81,1.82,1.50,1.61,2.10,1,1,1,3.45,0,0
13,1.52,3.15,7.00,1.65,5.00,0.50,1.79,1.84,1.50,1.59,2.13,1.50,2.46,1.45,3.45,0,0
14,1.52,3.15,7.00,1.66,5.00,0.50,1.78,1.85,1.50,1.57,2.16,1.50,2.42,1.47,3.40,0,0
15,1.53,3.20,6.50,1.67,5.00,0.50,1.76,1.87,1.50,1.56,2.19,1.50,2.38,1.48,3.35,0,0
16,1.53,3.20,6.50,1.68,5.00,0.50,1.75,1.89,1.50,1.54,2.23,1.50,2.33,1.50,3.35,0,0
17,1.54,3.20,6.50,1.69,5.00,0.50,1.73,1.90,1.50,1.53,2.26,1.50,2.30,1.51,3.30,0,0
18,1.55,3.20,6.00,1.69,5.00,0.50,1.72,1.92,1.50,1.51,2.29,1.50,2.26,1.53,3.30,0,0
19,1.55,3.20,6.00,1.70,5.00,0.50,1.71,1.94,1.50,1.50,2.32,1.50,2.22,1.54,3.25,0,0
20,1.56,3.25,6.00,1.72,5.00,0.50,1.69,1.96,1.50,1.48,2.37,1.50,2.18,1.56,3.20,0,0
21,1.56,3.25,6.00,1.73,5.00,0.50,1.68,1.98,1.50,1.47,2.40,1.50,2.14,1.58,3.20,0,0
22,1.57,3.25,5.50,1.73,5.00,0.50,1.67,1.99,1.50,1.46,2.44,1.50,2.11,1.60,3.15,0,0
23,1.58,3.30,5.50,1.75,5.00,0.50,1.65,2.02,1.50,1.44,2.49,1.50,2.07,1.62,3.10,0,0
24,1.59,3.30,5.00,1.75,5.00,0.50,1.64,2.04,1.50,1.43,2.53,1.50,2.03,1.64,3.10,0,0
25,1.59,3.30,5.00,1.76,5.00,0.50,1.63,2.06,1.50,1.42,2.57,1.50,2.00,1.66,3.05,0,0
26,1.60,3.30,5.00,1.77,5.00,0.50,1.61,2.08,1.50,1.41,2.61,1.50,1.97,1.69,3.00,0,0
27,1.61,3.35,5.00,1.79,5.00,0.50,1.60,2.11,1.50,1.39,2.65,1.50,1.94,1.71,3.00,0,0
28,1.62,3.35,5.00,1.79,5.00,0.50,1.59,2.13,1.50,1.38,2.70,1.50,1.90,1.73,2.99,0,0
29,1.62,3.35,4.90,1.81,5.00,0.50,1.57,2.16,1.50,1.37,2.74,1.50,1.87,1.76,2.96,0,0
30,1.63,3.40,4.75,1.82,5.00,0.50,1.56,2.18,1.50,1.36,2.80,1.50,1.84,1.79,2.93,0,0
31,1.64,3.40,4.65,1.83,5.00,0.50,1.55,2.21,0.50,2.83,1.35,1.50,1.81,1.82,2.90,0,0
32,1.65,3.40,4.55,1.84,5.00,0.50,1.54,2.23,0.50,2.79,1.36,1.50,1.78,1.85,2.86,0,0
33,1.66,3.45,4.45,1.85,5.00,0.50,1.53,2.26,0.50,2.75,1.37,1.50,1.76,1.88,2.83,0,0
34,1.67,3.45,4.30,1.87,5.00,0.50,1.51,2.29,0.50,2.71,1.38,1.50,1.73,1.91,2.80,0,0
35,1.68,3.50,4.20,1.88,5.00,0.50,1.51,2.31,0.50,2.65,1.39,1.50,1.70,1.95,2.77,0,0
36,1.69,3.50,4.10,1.90,5.00,0.50,1.49,2.35,0.50,2.60,1.41,1.50,1.67,1.99,2.73,0,0
37,1.71,3.55,4.00,1.91,5.00,0.50,1.48,2.38,0.50,2.55,1.42,1.50,1.65,2.03,2.70,0,0
38,1.72,3.55,3.90,1.92,5.00,0.50,1.47,2.41,0.50,2.51,1.44,1.50,1.62,2.07,2.66,0,0
39,1.73,3.60,3.80,1.93,5.00,0.50,1.46,2.45,0.50,2.47,1.45,1.50,1.59,2.12,2.62,0,0
40,1.75,3.60,3.70,1.95,5.00,0.50,1.45,2.48,0.50,2.42,1.46,1.50,1.57,2.17,2.59,0,0
