min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,4.50,1.02,9.00,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,4.50,1.02,9.00,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,4.50,1.02,9.00,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,4.50,1.02,9.00,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,4.50,1.02,9.00,1,0,0
6,1.73,2.39,9.00,2.03,3.45,0.50,2.57,1.42,1.50,1.57,2.17,1,1,1,3.20,0,0
7,1.86,2.19,8.50,2.29,2.99,0.50,2.80,1.36,1.50,1.47,2.40,1,1,1,3.10,0,0
8,1.86,2.20,8.50,2.31,2.99,0.50,2.77,1.36,1.50,1.46,2.43,1,1,1,3.10,0,0
9,1.87,2.20,8.00,2.31,2.99,0.50,2.74,1.37,1.50,1.45,2.47,1,1,1,3.10,0,0
10,1.87,2.21,8.00,2.32,3.00,0.50,2.71,1.38,1.50,1.44,2.50,1,1,1,3.05,0,0
11,1.88,2.22,8.00,2.32,3.00,0.50,2.67,1.39,1.50,1.43,2.53,1,1,1,3.05,0,0
12,1.89,2.22,7.50,2.33,3.00,0.50,2.63,1.40,1.50,1.42,2.57,1,1,1,3.00,0,0
13,1.89,2.23,7.50,2.33,3.00,0.50,2.60,1.41,1.50,1.41,2.61,1,1,1,3.00,0,0
14,1.90,2.24,7.00,2.34,3.00,0.50,2.56,1.42,1.50,1.40,2.65,1,1,1,3.00,0,0
15,1.91,2.25,7.00,2.34,3.00,0.50,2.53,1.43,1.50,1.39,2.68,1,1,1,2.98,0,0
16,2.01,2.18,6.50,2.52,2.89,0.50,2.50,1.44,0.50,2.74,1.37,1.50,2.37,1.48,2.89,0,0
17,2.01,2.19,6.00,2.53,2.90,0.50,2.47,1.45,0.50,2.70,1.38,1.50,2.32,1.50,2.87,0,0
18,2.02,2.20,6.00,2.53,2.90,0.50,2.43,1.46,0.50,2.66,1.39,1.50,2.28,1.52,2.85,0,0
19,2.03,2.21,6.00,2.54,2.90,0.50,2.40,1.47,0.50,2.62,1.40,1.50,2.24,1.54,2.82,0,0
