min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.77,2.41,7.50,1,1,1,1,1,2.50,1.07,5.50,1.50,2.70,1.38,1,0,0
2,1.77,2.41,7.50,1,1,1,1,1,2.50,1.07,5.50,1.50,2.70,1.38,1,0,0
3,1.77,2.41,7.50,1,1,1,1,1,2.50,1.07,5.50,1.50,2.70,1.38,1,0,0
4,1.77,2.41,7.50,1,1,1,1,1,2.50,1.07,5.50,1.50,2.70,1.38,1,0,0
5,1.84,2.28,8.00,2.24,3.15,0.50,2.60,1.41,1.50,1.46,2.44,1,1,1,3.00,0,0
6,1.83,2.27,8.00,2.21,3.10,0.50,2.57,1.42,1.50,1.45,2.47,1,1,1,3.15,0,0
7,1.78,2.28,9.00,2.13,3.15,0.50,2.68,1.39,1.50,1.51,2.29,1,1,1,3.25,0,0
8,1.79,2.29,9.00,2.13,3.15,0.50,2.64,1.40,1.50,1.50,2.32,1,1,1,3.20,0,0
9,1.79,2.29,8.50,2.15,3.15,0.50,2.60,1.41,1.50,1.49,2.36,1,1,1,3.20,0,0
10,1.80,2.30,8.00,2.15,3.15,0.50,2.57,1.42,1.50,1.48,2.39,1,1,1,3.20,0,0
11,1.80,2.31,8.00,2.17,3.20,0.50,2.54,1.43,1.50,1.46,2.42,1,1,1,3.15,0,0
12,1.81,2.31,8.00,2.17,3.15,0.50,2.51,1.44,1.50,1.45,2.47,1,1,1,3.10,0,0
13,1.82,2.32,7.50,2.17,3.20,0.50,2.48,1.45,1.50,1.44,2.50,1,1,1,3.10,0,0
14,1.82,2.33,7.50,2.18,3.15,0.50,2.45,1.46,1.50,1.43,2.53,1,1,1,3.10,0,0
15,1.83,2.34,7.00,2.19,3.20,0.50,2.42,1.47,1.50,1.42,2.57,1,1,1,3.05,0,0
16,1.83,2.34,7.00,2.20,3.20,0.50,2.39,1.48,1.50,1.41,2.61,1,1,1,3.05,0,0
17,1.84,2.35,7.00,2.20,3.20,0.50,2.36,1.49,1.50,1.40,2.65,1,1,1,3.00,0,0
18,1.85,2.36,7.00,4.25,1.71,1.50,2.14,1.58,1.50,1.45,2.47,1,1,1,3.60,1,0
19,1.85,2.36,7.00,4.30,1.71,1.50,2.12,1.60,1.50,1.43,2.51,1,1,1,3.60,1,0
20,1.85,2.36,7.00,4.60,1.78,1.50,2.09,1.61,1.50,1.42,2.55,1,1,1,3.82,1,0
21,1.85,2.36,7.00,4.00,1.77,1.50,2.07,1.62,1.50,1.47,2.40,1,1,1,3.55,1,0
22,1.85,2.36,7.00,4.10,1.76,1.50,2.05,1.63,1.50,1.46,2.44,1,1,1,3.55,1,0
23,1.85,2.36,7.00,1.92,3.90,1.50,2.03,1.65,2.50,1.44,2.49,3.50,2.37,1.48,3.15,1,1
24,1.85,2.36,7.00,2.18,3.30,1.50,2.17,1.57,2.50,1.35,2.83,3.50,2.27,1.52,3.00,1,1
25,1.85,2.36,7.00,2.19,3.30,1.50,2.14,1.58,1.50,2.81,1.35,3.50,2.22,1.54,3.00,1,1
26,1.85,2.36,7.00,2.20,3.35,1.50,2.11,1.60,1.50,2.78,1.36,3.50,2.19,1.56,2.98,1,1
27,1.85,2.36,7.00,2.21,3.35,1.50,2.09,1.61,1.50,2.74,1.37,3.50,2.15,1.58,2.95,1,1
28,1.85,2.36,7.00,2.23,3.35,1.50,2.06,1.63,1.50,2.68,1.39,3.50,2.11,1.60,2.92,1,1
29,1.85,2.36,7.00,2.24,3.35,1.50,2.04,1.64,1.50,2.64,1.40,3.50,2.06,1.62,2.89,1,1
30,1.85,2.36,7.00,2.26,3.35,1.50,2.02,1.65,1.50,2.60,1.41,3.50,2.03,1.65,2.86,1,1
