min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1.50,1.05,6.00,3.50,1.07,5.50,3.50,1.27,3.15,1,0,0
2,1,1,1,1,1,1.50,1.05,6.00,3.50,1.07,5.50,3.50,1.27,3.15,1,0,0
3,1,1,1,1,1,1.50,1.05,6.00,3.50,1.07,5.50,3.50,1.27,3.15,1,0,0
4,1,1,1,1,1,1.50,1.05,6.00,3.50,1.07,5.50,3.50,1.27,3.15,1,0,0
5,1,1,1,1,1,1.50,1.05,6.00,3.50,1.07,5.50,3.50,1.27,3.15,1,0,0
6,1.30,3.95,11.0,1.31,8.50,0.50,1.72,1.92,1.50,2.29,1.51,1,1,1,4.60,0,0
7,1.30,3.95,11.0,1.32,8.50,0.50,1.71,1.94,1.50,2.26,1.53,1,1,1,4.50,0,0
8,1.31,3.95,10.5,1.32,8.50,0.50,1.69,1.96,1.50,2.22,1.55,1,1,1,4.45,0,0
9,1.31,3.95,10.0,1.33,8.50,0.50,1.68,1.98,1.50,2.18,1.56,1,1,1,4.40,0,0
10,1.31,4.00,10.0,1.34,8.50,0.50,1.67,1.99,1.50,2.15,1.58,1,1,1,4.35,0,0
11,1.32,4.00,9.50,1.34,8.50,0.50,1.66,2.01,1.50,2.12,1.60,1,1,1,4.30,0,0
12,1.32,4.00,9.50,1.34,8.50,0.50,1.65,2.03,1.50,2.09,1.61,1,1,1,4.30,0,0
13,1.32,4.00,9.00,1.35,8.00,0.50,1.64,2.04,1.50,2.05,1.63,1,1,1,4.20,0,0
14,1.33,4.00,9.00,1.35,8.00,0.50,1.63,2.06,1.50,2.02,1.65,1,1,1,4.20,0,0
15,1.33,4.00,9.00,1.36,8.00,0.50,1.61,2.08,1.50,1.99,1.67,1,1,1,4.15,0,0
16,1.34,4.05,8.50,1.36,8.00,0.50,1.60,2.11,1.50,1.96,1.69,1,1,1,4.10,0,0
17,1.34,4.05,8.00,1.37,8.00,0.50,1.59,2.13,1.50,1.93,1.71,1,1,1,4.05,0,0
18,1.39,3.80,7.50,1.44,7.50,0.50,1.65,2.02,1.50,1.85,1.78,1,1,1,3.60,0,0
19,1.39,3.80,7.50,1.45,7.50,0.50,1.64,2.04,1.50,1.83,1.80,1,1,1,3.60,0,0
20,1.47,4.19,8.31,1.52,8.23,0.50,1.63,2.06,1.50,1.80,1.83,1,1,1,3.75,0,0
21,1.40,3.85,7.00,1.46,7.50,0.50,1.61,2.08,1.50,1.78,1.85,1,1,1,3.50,0,0
22,1.41,3.85,7.00,1.47,7.50,0.50,1.60,2.10,1.50,1.75,1.88,1,1,1,3.50,0,0
23,1.41,3.85,6.50,1.48,7.50,0.50,1.59,2.13,1.50,1.73,1.91,1.50,2.43,1.46,3.45,0,0
24,1.42,3.90,6.50,1.49,7.50,0.50,1.58,2.15,1.50,1.70,1.95,1.50,2.38,1.48,3.40,0,0
25,1.43,3.90,6.00,1.49,7.50,0.50,1.57,2.17,1.50,1.68,1.97,1.50,2.34,1.50,3.35,0,0
26,1.43,3.90,6.00,1.50,7.50,0.50,1.55,2.20,1.50,1.66,2.01,1.50,2.29,1.52,3.30,0,0
27,1.44,3.90,6.00,1.51,7.50,0.50,1.54,2.22,1.50,1.64,2.04,1.50,2.25,1.53,3.30,0,0
28,1.44,3.95,6.00,1.51,7.50,0.50,1.53,2.25,1.50,1.62,2.07,1.50,2.20,1.55,3.25,0,0
29,1.45,3.95,5.50,1.53,7.50,0.50,1.52,2.27,1.50,1.60,2.11,1.50,2.16,1.57,3.20,0,0
30,1.46,4.00,5.50,1.54,7.50,0.50,1.51,2.29,1.50,1.58,2.15,1.50,2.12,1.59,3.15,0,0
31,1.46,4.00,5.00,1.55,7.50,0.50,1.50,2.32,1.50,1.56,2.19,1.50,2.08,1.62,3.10,0,0
32,1.47,4.00,5.00,1.56,7.50,0.50,1.49,2.35,1.50,1.54,2.23,1.50,2.03,1.64,3.10,0,0
33,1.48,4.05,5.00,1.57,7.50,0.50,1.48,2.38,1.50,1.52,2.27,1.50,2.00,1.67,3.05,0,0
34,1.49,4.05,5.00,1.57,7.00,0.50,1.47,2.42,1.50,1.50,2.32,1.50,1.96,1.69,3.00,0,0
35,1.49,4.10,4.95,1.59,7.00,0.50,1.46,2.44,1.50,1.48,2.37,1.50,1.92,1.72,3.00,0,0
36,1.50,4.10,4.80,1.60,7.00,0.50,1.45,2.48,1.50,1.47,2.42,1.50,1.88,1.75,2.96,0,0
