min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1.88,2.28,7.00,1,1,1,1,1,2.50,1.04,6.50,1.50,2.58,1.41,1,0,0
6,1.88,2.28,7.00,2.38,3.20,0.50,2.50,1.44,1.50,1.40,2.63,1,1,1,3.00,0,0
7,1.89,2.29,7.00,2.39,3.20,0.50,2.47,1.45,1.50,1.39,2.66,1,1,1,3.00,0,0
8,1.90,2.30,6.50,2.39,3.25,0.50,2.44,1.46,1.50,1.38,2.70,1,1,1,3.00,0,0
9,1.90,2.31,6.50,2.40,3.25,0.50,2.42,1.47,1.50,1.37,2.74,1.50,2.42,1.47,3.00,0,0
10,1.91,2.31,6.50,2.41,3.25,0.50,2.38,1.48,1.50,1.36,2.78,1.50,2.38,1.48,2.98,0,0
11,1.91,2.32,6.00,2.42,3.25,0.50,2.36,1.49,1.50,1.35,2.81,1.50,2.34,1.49,2.96,0,0
12,1.92,2.33,6.00,2.43,3.30,0.50,2.33,1.50,0.50,2.83,1.35,1.50,2.30,1.51,2.94,0,0
13,1.93,2.34,6.00,2.43,3.30,0.50,2.31,1.51,0.50,2.80,1.36,1.50,2.27,1.52,2.92,0,0
14,1.93,2.34,6.00,2.45,3.30,0.50,2.28,1.52,0.50,2.77,1.36,1.50,2.24,1.54,2.90,0,0
15,1.94,2.35,6.00,2.45,3.30,0.50,2.26,1.53,0.50,2.74,1.37,1.50,2.20,1.55,2.88,0,0
16,1.95,2.36,5.50,2.47,3.30,0.50,2.23,1.54,0.50,2.70,1.38,1.50,2.16,1.57,2.86,0,0
17,1.96,2.37,5.50,2.47,3.30,0.50,2.21,1.55,0.50,2.66,1.39,1.50,2.13,1.59,2.84,0,0
18,1.97,2.38,5.00,2.48,3.30,0.50,2.18,1.56,0.50,2.62,1.40,1.50,2.09,1.61,2.82,0,0
19,1.98,2.39,5.00,2.51,3.35,0.50,2.16,1.57,0.50,2.59,1.41,1.50,2.06,1.63,2.80,0,0
20,2.14,2.59,5.98,2.61,3.47,0.50,2.13,1.59,0.50,2.55,1.42,1.50,2.02,1.65,2.87,0,0
21,2.00,2.42,5.00,2.52,3.35,0.50,2.11,1.60,0.50,2.51,1.43,1.50,1.99,1.67,2.75,0,0
