min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1.75,4.55,1,1,1,1,1,1,1,1,1,3.30,0,0
2,1,1,1,1.75,4.55,1,1,1,1,1,1,1,1,1,3.30,0,0
3,1,1,1,1.75,4.55,1,1,1,1,1,1,3.50,1.14,4.30,3.30,0,0
4,1,1,1,1.75,4.55,1,1,1,1,1,1,3.50,1.14,4.30,3.30,0,0
5,1,1,1,1.75,4.55,1,1,1,1,1,1,3.50,1.14,4.30,3.30,0,0
6,1,1,1,1.76,4.60,0.50,2.12,1.59,1.50,1.65,2.03,1.50,2.78,1.36,3.25,0,0
7,1.59,2.82,8.00,1.76,4.55,0.50,2.10,1.60,1.50,1.63,2.06,1,1,1,3.25,0,0
8,1.59,2.83,7.50,1.77,4.55,0.50,2.08,1.61,1.50,1.61,2.09,1,1,1,3.20,0,0
9,1.59,2.84,7.50,1.78,4.55,0.50,2.06,1.63,1.50,1.60,2.11,1,1,1,3.20,0,0
10,1.60,2.85,7.00,1.79,4.55,0.50,2.04,1.64,1.50,1.58,2.14,1,1,1,3.15,0,0
11,1.60,2.85,7.00,1.79,4.55,0.50,2.03,1.65,1.50,1.57,2.17,1,1,1,3.15,0,0
12,1.61,2.86,7.00,1.80,4.55,0.50,2.00,1.66,1.50,1.55,2.20,1,1,1,3.10,0,0
13,1.61,2.87,7.00,1.80,4.55,0.50,1.98,1.67,1.50,1.54,2.23,1,1,1,3.10,0,0
14,1.62,2.88,6.50,1.81,4.55,0.50,1.96,1.69,1.50,1.52,2.27,1.50,2.42,1.47,3.05,0,0
15,1.63,2.89,6.50,1.82,4.55,0.50,1.95,1.70,1.50,1.51,2.30,1.50,2.38,1.48,3.05,0,0
16,1.65,2.89,6.00,1.86,4.50,0.50,1.91,1.73,1.50,1.47,2.40,1.50,2.28,1.52,3.00,0,0
17,1.65,2.90,6.00,1.87,4.50,0.50,1.90,1.74,1.50,1.46,2.44,1.50,2.24,1.53,2.97,0,0
18,1.66,2.91,6.00,1.88,4.50,0.50,1.88,1.76,1.50,1.45,2.47,1.50,2.21,1.55,2.95,0,0
19,1.67,2.92,5.50,1.89,4.50,0.50,1.86,1.77,1.50,1.43,2.51,1.50,2.17,1.57,2.93,0,0
20,1.77,3.13,6.36,1.98,4.76,0.50,1.84,1.79,1.50,1.42,2.55,1.50,2.13,1.59,3.04,0,0
21,1.68,2.95,5.50,1.91,4.50,0.50,1.83,1.80,1.50,1.41,2.60,1.50,2.10,1.61,2.88,0,0
