min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.44,3.70,6.50,1,1,1.50,1.03,7.50,1,1,1,0.50,6.50,1.04,1,0,0
2,1.44,3.70,6.50,1,1,1.50,1.03,7.50,1,1,1,0.50,6.50,1.04,1,0,0
3,1.44,3.70,6.50,1,1,1.50,1.03,7.50,1,1,1,0.50,6.50,1.04,1,0,0
4,1.44,3.70,6.50,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1.44,3.70,6.50,1,1,1.50,1.03,7.50,1,1,1,0.50,6.50,1.04,1,0,0
6,1.45,3.70,6.50,1.57,7.00,0.50,1.59,2.13,1.50,1.63,2.06,1.50,2.31,1.51,3.50,0,0
7,1.45,3.70,6.00,1.58,7.00,0.50,1.58,2.14,1.50,1.61,2.09,1.50,2.28,1.52,3.50,0,0
8,1.46,3.75,6.00,1.59,7.00,0.50,1.57,2.16,1.50,1.59,2.12,1.50,2.23,1.54,3.45,0,0
9,1.46,3.75,6.00,1.60,7.00,0.50,1.56,2.18,1.50,1.58,2.15,1.50,2.20,1.55,3.40,0,0
10,1.47,3.80,6.00,1.60,7.00,0.50,1.55,2.21,1.50,1.56,2.18,1.50,2.17,1.57,3.40,0,0
11,1.47,3.80,5.50,1.17,20.0,0.50,1.74,1.90,2.50,1.46,2.42,1,1,1,6.00,0,1
12,1.47,3.80,5.50,1.17,21.0,0.50,1.73,1.91,2.50,1.45,2.47,1,1,1,6.00,0,1
13,1.47,3.80,5.50,1.17,21.0,0.50,1.72,1.93,2.50,1.44,2.50,1,1,1,6.00,0,1
14,1.47,3.80,5.50,1.17,21.0,0.50,1.70,1.95,2.50,1.43,2.53,1,1,1,6.00,0,1
15,1.47,3.80,5.50,1.17,22.0,0.50,1.69,1.96,2.50,1.42,2.57,1,1,1,6.00,0,1
16,1.47,3.80,5.50,1.17,22.0,0.50,1.68,1.98,2.50,1.41,2.61,1,1,1,6.00,0,1
17,1.47,3.80,5.50,1.30,12.0,0.50,1.98,1.67,1.50,2.57,1.42,1,1,1,4.90,0,1
18,1.47,3.80,5.50,1.30,12.0,0.50,1.96,1.69,1.50,2.54,1.43,1,1,1,4.90,0,1
19,1.47,3.80,5.50,1.30,12.0,0.50,1.94,1.71,1.50,2.51,1.44,1,1,1,4.85,0,1
20,1.47,3.80,5.50,1.34,12.8,0.50,1.92,1.72,1.50,2.47,1.45,1,1,1,5.06,0,1
21,1.47,3.80,5.50,1.29,12.0,0.50,1.90,1.73,1.50,2.44,1.46,1,1,1,4.85,0,1
22,1.47,3.80,5.50,1.29,12.0,0.50,1.88,1.75,1.50,2.41,1.47,1,1,1,4.85,0,1
23,1.47,3.80,5.50,1.29,12.0,0.50,1.86,1.77,1.50,2.37,1.48,1,1,1,4.85,0,1
24,1.47,3.80,5.50,1.29,13.0,0.50,1.84,1.79,1.50,2.34,1.49,1,1,1,4.85,0,1
25,1.47,3.80,5.50,1.29,13.0,0.50,1.83,1.80,1.50,2.31,1.51,1,1,1,4.80,0,1
26,1.47,3.80,5.50,1.29,13.0,0.50,1.81,1.82,1.50,2.28,1.52,1,1,1,4.80,0,1
27,1.47,3.80,5.50,1.28,13.0,0.50,1.79,1.84,1.50,2.26,1.53,1,1,1,4.85,0,1
28,1.47,3.80,5.50,1.28,13.0,0.50,1.77,1.86,1.50,2.22,1.54,1,1,1,4.80,0,1
29,1.47,3.80,5.50,1.28,14.0,0.50,1.75,1.88,1.50,2.19,1.56,1,1,1,4.80,0,1
30,1.47,3.80,5.50,1.28,14.0,0.50,1.73,1.90,1.50,2.16,1.57,1,1,1,4.80,0,1
31,1.47,3.80,5.50,1.27,14.0,0.50,1.72,1.92,1.50,2.14,1.58,1,1,1,4.85,0,1
32,1.47,3.80,5.50,1.27,14.0,0.50,1.70,1.95,1.50,2.11,1.60,1,1,1,4.85,0,1
33,1.47,3.80,5.50,1.27,15.0,0.50,1.69,1.97,1.50,2.08,1.61,1,1,1,4.85,0,1
34,1.47,3.80,5.50,1.27,15.0,0.50,1.67,1.99,1.50,2.05,1.63,1,1,1,4.85,0,1
35,1.47,3.80,5.50,1.27,15.0,0.50,1.66,2.01,1.50,2.03,1.65,1,1,1,4.85,0,1
36,1.47,3.80,5.50,1.26,16.0,0.50,1.64,2.04,1.50,2.00,1.67,1,1,1,4.85,0,1
37,1.47,3.80,5.50,1.27,16.0,0.50,1.62,2.07,1.50,1.97,1.68,1,1,1,4.85,0,1
38,1.47,3.80,5.50,1.26,16.0,0.50,1.61,2.10,1.50,1.94,1.71,1,1,1,4.85,0,1
39,1.47,3.80,5.50,1.26,17.0,0.50,1.59,2.13,1.50,1.92,1.72,1,1,1,4.85,0,1
40,1.47,3.80,5.50,1.30,17.7,0.50,1.57,2.16,1.50,1.89,1.74,1,1,1,5.08,0,1
41,1.47,3.80,5.50,1.25,17.0,0.50,1.56,2.18,1.50,1.86,1.77,1,1,1,4.90,0,1
42,1.47,3.80,5.50,1.25,18.0,0.50,1.55,2.22,1.50,1.84,1.79,1,1,1,4.90,0,1
43,1.47,3.80,5.50,1.25,18.0,0.50,1.53,2.24,1.50,1.82,1.81,1,1,1,4.90,0,1
44,1.47,3.80,5.50,1.24,18.0,0.50,1.52,2.28,1.50,1.79,1.84,1,1,1,4.90,0,1
45,1.47,3.80,5.50,1.24,19.0,0.50,1.51,2.31,1.50,1.77,1.86,1,1,1,4.90,0,1
46,1.47,3.80,5.50,1.24,19.0,0.50,1.49,2.35,1.50,1.74,1.89,1.50,2.84,1.35,4.95,0,1
47,1.47,3.80,5.50,2.86,4.10,1.50,1.48,2.38,1.50,1.72,1.92,1,1,1,2.14,1,1
48,1.47,3.80,5.50,2.88,4.15,1.50,1.46,2.43,1.50,1.70,1.95,1,1,1,2.11,1,1
49,1.47,3.80,5.50,2.38,5.50,1.50,1.31,2.99,1.50,1.86,1.77,1,1,1,2.14,1,1
50,1.47,3.80,5.50,2.41,5.50,1.50,1.30,3.00,1.50,1.83,1.80,1,1,1,2.11,1,1
51,1.47,3.80,5.50,2.44,5.50,1.50,1.29,3.05,1.50,1.80,1.83,1,1,1,2.08,1,1
52,1.47,3.80,5.50,2.47,6.00,1.50,1.28,3.10,1.50,1.77,1.86,1,1,1,2.05,1,1
53,1.47,3.80,5.50,2.50,6.00,1.50,1.27,3.20,1.50,1.74,1.89,1,1,1,2.02,1,1
54,1.47,3.80,5.50,2.55,6.00,1.50,1.26,3.25,1.50,1.72,1.92,1,1,1,2.00,1,1
55,1.47,3.80,5.50,2.57,6.00,1.50,1.25,3.30,1.50,1.69,1.96,1,1,1,1.97,1,1
56,1.47,3.80,5.50,2.62,6.00,1.50,1.24,3.35,1.50,1.67,1.99,1,1,1,1.94,1,1
57,1.47,3.80,5.50,2.65,6.00,1.50,1.23,3.45,1.50,1.65,2.03,1,1,1,1.91,1,1
58,1.47,3.80,5.50,2.69,6.00,1.50,1.22,3.50,1.50,1.62,2.07,1,1,1,1.89,1,1
59,1.47,3.80,5.50,2.73,6.00,1.50,1.21,3.60,1.50,1.60,2.12,1,1,1,1.86,1,1
60,1.47,3.80,5.50,2.89,6.82,1.50,1.20,3.70,1.50,1.57,2.16,1,1,1,1.90,1,1
61,1.47,3.80,5.50,2.83,6.50,1.50,1.19,3.75,1.50,1.55,2.21,1,1,1,1.80,1,1
62,1.47,3.80,5.50,2.88,6.50,1.50,1.18,3.85,1.50,1.53,2.26,1,1,1,1.77,1,1
63,1.47,3.80,5.50,2.93,6.50,1.50,1.17,3.95,1.50,1.51,2.31,1,1,1,1.75,1,1
64,1.47,3.80,5.50,2.99,6.50,1.50,1.16,4.05,1.50,1.48,2.37,1,1,1,1.72,1,1
65,1.47,3.80,5.50,3.05,7.00,1.50,1.14,4.20,1.50,1.46,2.43,1,1,1,1.69,1,1
66,1.47,3.80,5.50,3.10,7.00,1.50,1.13,4.30,1.50,1.44,2.49,1,1,1,1.66,1,1
67,1.47,3.80,5.50,2.60,11.0,1.50,1.06,6.00,1.50,1.55,2.21,1,1,1,1.71,1,1
68,1.47,3.80,5.50,2.67,11.0,1.50,1.05,6.00,1.50,1.52,2.27,1,1,1,1.68,1,1
69,1.47,3.80,5.50,2.73,11.5,1.50,1.05,6.00,1.50,1.50,2.33,1,1,1,1.65,1,1
70,1.47,3.80,5.50,2.80,12.0,1.50,1.04,6.50,1.50,1.47,2.40,1,1,1,1.62,1,1
71,1.47,3.80,5.50,3.50,6.00,1.50,1.17,3.90,1.50,1.38,2.72,1,1,1,1.63,1,1
72,1.47,3.80,5.50,3.60,6.00,1.50,1.16,4.05,1.50,1.35,2.81,1,1,1,1.60,1,1
73,1.47,3.80,5.50,3.75,6.00,1.50,1.15,4.20,1.50,1.33,2.91,1,1,1,1.57,1,1
