min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1.81,4.00,1,1,1,1,1,1,4.50,1.02,8.00,3.40,0,0
2,1,1,1,1.81,4.00,1,1,1,1,1,1,4.50,1.02,8.00,3.40,0,0
3,1,1,1,1.81,4.00,1,1,1,1,1,1,1,1,1,3.40,0,0
5,1,1,1,1.81,4.00,1,1,1,1,1,1,4.50,1.02,8.00,3.40,0,0
6,1.62,2.60,9.00,1.82,4.00,0.50,2.37,1.48,1.50,1.67,1.99,1,1,1,3.40,0,0
7,1.62,2.61,9.00,1.82,4.00,0.50,2.35,1.49,1.50,1.65,2.02,1,1,1,3.35,0,0
8,1.62,2.61,9.00,1.83,4.00,0.50,2.32,1.50,1.50,1.63,2.05,1,1,1,3.35,0,0
9,1.63,2.62,8.50,1.83,4.00,0.50,2.29,1.51,1.50,1.62,2.07,1,1,1,3.30,0,0
10,1.63,2.63,8.50,1.84,4.00,0.50,2.27,1.52,1.50,1.60,2.11,1,1,1,3.30,0,0
11,1.64,2.63,8.00,1.85,4.00,0.50,2.25,1.53,1.50,1.59,2.13,1,1,1,3.25,0,0
12,1.64,2.64,8.00,1.86,4.00,0.50,2.23,1.54,1.50,1.57,2.16,1,1,1,3.25,0,0
13,1.65,2.65,8.00,1.86,4.00,0.50,2.20,1.55,1.50,1.56,2.19,1,1,1,3.20,0,0
14,1.65,2.66,7.50,1.87,4.00,0.50,2.18,1.56,1.50,1.54,2.23,1,1,1,3.20,0,0
15,1.66,2.66,7.50,1.88,4.00,0.50,2.15,1.58,1.50,1.53,2.26,1,1,1,3.15,0,0
16,1.66,2.67,7.00,1.89,4.00,0.50,2.13,1.59,1.50,1.51,2.29,1,1,1,3.15,0,0
17,1.67,2.68,7.00,1.89,4.00,0.50,2.11,1.60,1.50,1.50,2.32,1,1,1,3.10,0,0
