min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.27,3.20,0.50,2.82,1.35,2.50,1.08,5.00,0.50,9.00,1.02,3.25,0,0
2,1,1,1,2.27,3.20,0.50,2.82,1.35,2.50,1.08,5.00,0.50,9.00,1.02,3.25,0,0
3,1,1,1,2.27,3.20,0.50,2.82,1.35,2.50,1.08,5.00,0.50,9.00,1.02,3.25,0,0
4,1,1,1,2.27,3.20,1,1,1,1,1,1,1,1,1,3.25,0,0
5,1,1,1,2.27,3.20,0.50,2.82,1.35,2.50,1.08,5.00,0.50,9.00,1.02,3.25,0,0
6,1,1,1,2.28,3.20,0.50,2.78,1.36,1.50,1.52,2.28,0.50,9.00,1.02,3.25,0,0
7,1.82,2.25,8.50,2.28,3.20,0.50,2.75,1.37,1.50,1.51,2.31,1,1,1,3.20,0,0
8,1.82,2.25,8.50,2.30,3.20,0.50,2.72,1.38,1.50,1.49,2.35,1,1,1,3.20,0,0
9,1.83,2.26,8.00,5.00,1.68,1.50,2.68,1.39,1.50,1.48,2.38,3.50,1.59,2.13,3.80,1,0
10,1.83,2.26,8.00,2.31,3.20,1.50,2.65,1.40,2.50,1.47,2.42,4.50,1.55,2.20,3.15,1,1
11,1.83,2.26,8.00,2.65,2.83,1.50,2.79,1.36,2.50,1.36,2.78,4.50,1.50,2.32,3.05,1,1
12,1.83,2.26,8.00,2.67,2.85,1.50,2.76,1.37,2.50,1.35,2.81,4.50,1.49,2.36,3.05,1,1
13,1.83,2.26,8.00,2.68,2.85,1.50,2.72,1.38,1.50,2.83,1.35,4.50,1.47,2.40,3.05,1,1
14,1.83,2.26,8.00,2.67,2.86,1.50,2.68,1.39,1.50,2.80,1.36,4.50,1.45,2.45,3.00,1,1
15,1.83,2.26,8.00,5.50,1.55,2.50,2.53,1.43,2.50,1.36,2.80,5.50,1.46,2.45,4.10,2,1
16,1.83,2.26,8.00,6.00,1.55,2.50,2.50,1.44,2.50,1.35,2.84,4.50,2.48,1.44,4.10,2,1
17,1.83,2.26,8.00,6.00,1.55,2.50,2.47,1.45,1.50,2.81,1.35,4.50,2.44,1.46,4.05,2,1
18,1.83,2.26,8.00,6.00,1.55,2.50,2.43,1.46,1.50,2.78,1.36,4.50,2.40,1.47,4.05,2,1
19,1.83,2.26,8.00,6.00,1.54,2.50,2.40,1.47,1.50,2.74,1.37,4.50,2.36,1.49,4.05,2,1
