min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,4.25,1.71,1.50,2.02,1.65,0.50,2.74,1.37,1.50,4.05,1.16,3.70,0,0
2,1,1,1,4.25,1.71,1,1,1,1,1,1,1,1,1,3.70,0,0
4,1,1,1,4.25,1.71,1.50,2.02,1.65,0.50,2.74,1.37,1.50,4.05,1.16,3.70,0,0
5,1,1,1,4.25,1.71,1.50,2.02,1.65,0.50,2.74,1.37,1.50,4.05,1.16,3.70,0,0
6,1,1,1,4.25,1.72,1.50,1.99,1.67,0.50,2.71,1.38,1.50,3.95,1.17,3.65,0,0
7,2.60,1.56,12,4.20,1.72,1.50,1.96,1.69,0.50,2.68,1.39,1,1,1,3.60,0,0
8,2.61,1.56,11.5,4.20,1.72,1.50,1.93,1.71,0.50,2.64,1.40,1,1,1,3.60,0,0
9,2.61,1.56,11,4.20,1.73,1.50,1.90,1.73,0.50,2.60,1.41,1,1,1,3.55,0,0
10,2.62,1.57,11,4.20,1.74,1.50,1.88,1.75,0.50,2.57,1.42,1,1,1,3.55,0,0
11,2.62,1.57,11,4.25,1.74,1.50,1.86,1.78,0.50,2.54,1.43,1,1,1,3.50,0,0
12,2.63,1.57,10.5,4.20,1.74,1.50,1.83,1.80,0.50,2.51,1.44,1,1,1,3.50,0,0
13,2.63,1.58,10,4.20,1.75,1.50,1.81,1.82,0.50,2.48,1.45,1,1,1,3.45,0,0
14,2.64,1.58,10,4.20,1.76,1.50,1.79,1.84,0.50,2.45,1.46,1,1,1,3.45,0,0
15,2.65,1.59,10,4.20,1.77,1.50,1.76,1.87,0.50,2.42,1.47,1,1,1,3.40,0,0
16,2.65,1.59,9.50,4.20,1.77,1.50,1.74,1.89,0.50,2.39,1.48,1,1,1,3.40,0,0
17,2.66,1.59,9.00,4.20,1.78,1.50,1.72,1.92,0.50,2.36,1.49,1,1,1,3.35,0,0
18,2.67,1.60,9.00,4.25,1.79,1.50,1.70,1.95,0.50,2.33,1.50,1,1,1,3.30,0,0
19,2.67,1.60,9.00,4.25,1.79,1.50,1.68,1.97,0.50,2.31,1.51,1,1,1,3.30,0,0
20,2.84,1.70,9.96,12,1.26,2.50,1.59,2.13,0.50,2.28,1.52,3.50,1.58,2.15,6.14,1,0
21,2.84,1.70,9.96,11,1.20,2.50,1.57,2.16,0.50,2.25,1.53,3.50,1.56,2.19,5.50,1,0
22,2.84,1.70,9.96,11.5,1.19,2.50,1.56,2.19,0.50,2.22,1.54,3.50,1.53,2.24,5.50,1,0
23,2.84,1.70,9.96,11.5,1.20,2.50,1.54,2.23,0.50,2.19,1.56,3.50,1.52,2.29,5.50,1,0
24,2.84,1.70,9.96,11.5,1.20,2.50,1.52,2.27,0.50,2.17,1.57,3.50,1.50,2.34,5.50,1,0
25,2.84,1.70,9.96,11.5,1.20,2.50,1.51,2.31,0.50,2.14,1.58,3.50,1.48,2.39,5.50,1,0
26,2.84,1.70,9.96,12,1.20,2.50,1.49,2.35,0.50,2.11,1.60,3.50,1.46,2.44,5.50,1,0
27,2.84,1.70,9.96,12,1.20,2.50,1.48,2.39,0.50,2.09,1.61,1,1,1,5.50,1,0
28,2.84,1.70,9.96,12,1.20,2.50,1.46,2.43,0.50,2.06,1.63,1,1,1,5.50,1,0
29,2.84,1.70,9.96,12,1.20,2.50,1.45,2.47,0.50,2.04,1.64,1,1,1,5.50,1,0
30,2.84,1.70,9.96,54,-,3.50,1.43,2.52,0.50,2.02,1.65,3.50,2.34,1.50,16,2,0
31,2.84,1.70,9.96,12,1.20,3.50,1.42,2.57,1.50,1.99,1.67,4.50,2.29,1.52,5.50,2,1
32,2.84,1.70,9.96,12,1.19,3.50,1.40,2.62,1.50,1.96,1.69,4.50,2.24,1.54,5.50,2,1
33,2.84,1.70,9.96,13,1.20,3.50,1.39,2.66,1.50,1.94,1.71,4.50,2.20,1.56,5.50,2,1
34,2.84,1.70,9.96,13,1.19,3.50,1.38,2.71,1.50,1.92,1.72,4.50,2.15,1.58,5.50,2,1
35,2.84,1.70,9.96,13,1.19,3.50,1.36,2.77,1.50,1.89,1.74,4.50,2.11,1.60,5.50,2,1
36,2.84,1.70,9.96,13,1.19,3.50,1.35,2.82,1.50,1.86,1.77,4.50,2.06,1.63,5.00,2,1
37,2.84,1.70,9.96,14,1.19,2.50,2.81,1.35,1.50,1.84,1.79,4.50,2.02,1.65,5.00,2,1
38,2.84,1.70,9.96,14,1.19,2.50,2.77,1.36,1.50,1.82,1.81,4.50,1.98,1.68,5.00,2,1
39,2.84,1.70,9.96,14,1.19,2.50,2.71,1.38,1.50,1.80,1.83,4.50,1.94,1.71,5.00,2,1
40,2.84,1.70,9.96,15.35,1.24,2.50,2.66,1.39,1.50,1.78,1.86,4.50,1.90,1.74,5.82,2,1
41,2.84,1.70,9.96,14,1.18,2.50,2.61,1.41,1.50,1.75,1.88,4.50,1.86,1.77,5.00,2,1
42,2.84,1.70,9.96,15,1.18,2.50,2.55,1.42,1.50,1.73,1.91,4.50,1.82,1.81,5.00,2,1
43,2.84,1.70,9.96,15,1.18,2.50,2.51,1.43,1.50,1.72,1.93,4.50,1.79,1.84,5.00,2,1
44,2.84,1.70,9.96,15,1.18,2.50,2.46,1.45,1.50,1.69,1.96,4.50,1.75,1.89,5.00,2,1
45,2.84,1.70,9.96,16,1.18,2.50,2.42,1.47,1.50,1.67,1.98,4.50,1.72,1.93,5.00,2,1
47,2.84,1.70,9.96,16,1.18,2.50,2.32,1.50,1.50,1.64,2.04,4.50,1.65,2.02,5.00,2,1
48,2.84,1.70,9.96,16,1.17,2.50,2.28,1.52,1.50,1.61,2.08,4.50,1.62,2.07,5.00,2,1
49,2.84,1.70,9.96,16,1.17,2.50,2.23,1.54,1.50,1.60,2.12,4.50,1.59,2.13,5.00,2,1
50,2.84,1.70,9.96,17,1.17,2.50,2.19,1.56,1.50,1.58,2.15,4.50,1.56,2.18,5.00,2,1
51,2.84,1.70,9.96,18,1.17,2.50,2.15,1.58,1.50,1.56,2.19,4.50,1.54,2.23,5.00,2,1
