min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.98,2.11,7.50,2.61,2.88,0.50,2.83,1.35,2.50,1.04,6.50,1,1,1,3.10,0,0
2,1.98,2.11,7.50,2.61,2.88,0.50,2.83,1.35,2.50,1.04,6.50,1,1,1,3.10,0,0
3,1.98,2.11,7.50,2.61,2.88,1,1,1,1,1,1,1,1,1,3.10,0,0
4,1.98,2.11,7.50,2.61,2.88,0.50,2.83,1.35,2.50,1.04,6.50,1,1,1,3.10,0,0
5,1.98,2.11,7.50,2.61,2.88,0.50,2.83,1.35,2.50,1.04,6.50,1,1,1,3.10,0,0
6,1.98,2.11,7.50,2.61,2.88,0.50,2.81,1.35,1.50,1.38,2.69,1,1,1,3.05,0,0
7,1.99,2.12,7.50,2.62,2.89,0.50,2.78,1.36,1.50,1.37,2.73,1,1,1,3.05,0,0
8,1.99,2.12,7.00,2.64,2.90,0.50,2.74,1.37,1.50,1.36,2.77,1,1,1,3.00,0,0
9,2.00,2.13,7.00,2.65,2.92,0.50,2.71,1.38,1.50,1.36,2.80,1,1,1,3.00,0,0
10,2.01,2.14,7.00,5.50,1.53,1.50,2.57,1.42,1.50,1.35,2.83,3.50,1.46,2.42,4.25,1,0
11,2.01,2.14,7.00,6.00,1.53,1.50,2.54,1.43,0.50,2.82,1.35,3.50,1.45,2.47,4.20,1,0
12,2.01,2.14,7.00,6.00,1.53,1.50,2.51,1.44,0.50,2.78,1.36,1,1,1,4.20,1,0
13,2.01,2.14,7.00,6.00,1.53,1.50,2.48,1.45,0.50,2.75,1.37,1,1,1,4.20,1,0
14,2.01,2.14,7.00,6.00,1.52,1.50,2.45,1.46,0.50,2.71,1.38,1,1,1,4.20,1,0
15,2.01,2.14,7.00,6.00,1.51,1.50,2.42,1.47,0.50,2.68,1.39,1,1,1,4.20,1,0
16,2.01,2.14,7.00,6.00,1.51,1.50,2.39,1.48,0.50,2.64,1.40,1,1,1,4.20,1,0
17,2.01,2.14,7.00,6.00,1.51,1.50,2.36,1.49,0.50,2.60,1.41,1,1,1,4.20,1,0
18,2.01,2.14,7.00,6.00,1.50,1.50,2.33,1.50,0.50,2.57,1.42,1,1,1,4.15,1,0
19,2.01,2.14,7.00,6.50,1.50,1.50,2.31,1.51,0.50,2.53,1.43,1,1,1,4.15,1,0
20,2.01,2.14,7.00,7.01,1.55,1.50,2.28,1.52,0.50,2.50,1.44,1,1,1,4.33,1,0
21,2.01,2.14,7.00,6.50,1.49,1.50,2.25,1.53,0.50,2.47,1.45,1,1,1,4.15,1,0
22,2.01,2.14,7.00,6.50,1.48,1.50,2.22,1.54,0.50,2.43,1.46,1,1,1,4.10,1,0
23,2.01,2.14,7.00,6.50,1.48,1.50,2.19,1.56,0.50,2.40,1.47,1,1,1,4.15,1,0
24,2.01,2.14,7.00,7.00,1.48,1.50,2.17,1.57,0.50,2.37,1.48,1,1,1,4.10,1,0
25,2.01,2.14,7.00,7.00,1.47,1.50,2.14,1.58,0.50,2.33,1.50,1,1,1,4.10,1,0
26,2.01,2.14,7.00,7.00,1.47,1.50,2.11,1.60,0.50,2.30,1.51,1,1,1,4.10,1,0
27,2.01,2.14,7.00,7.00,1.47,1.50,2.09,1.61,0.50,2.27,1.52,1,1,1,4.10,1,0
28,2.01,2.14,7.00,7.00,1.46,1.50,2.06,1.63,0.50,2.24,1.53,1,1,1,4.10,1,0
29,2.01,2.14,7.00,7.50,1.46,1.50,2.04,1.64,0.50,2.21,1.55,1,1,1,4.10,1,0
30,2.01,2.14,7.00,7.50,1.46,1.50,2.02,1.65,0.50,2.18,1.56,1,1,1,4.10,1,0
31,2.01,2.14,7.00,7.50,1.45,1.50,1.99,1.67,0.50,2.15,1.58,1,1,1,4.10,1,0
32,2.01,2.14,7.00,8.00,1.45,1.50,1.96,1.69,0.50,2.13,1.59,1,1,1,4.10,1,0
33,2.01,2.14,7.00,8.00,1.44,1.50,1.94,1.71,0.50,2.10,1.61,1,1,1,4.10,1,0
34,2.01,2.14,7.00,8.00,1.44,1.50,1.92,1.72,0.50,2.07,1.62,1,1,1,4.10,1,0
35,2.01,2.14,7.00,8.00,1.44,1.50,1.89,1.74,0.50,2.04,1.64,1,1,1,4.10,1,0
