min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.55,2.82,8.00,1.77,4.80,1,1,1,1,1,1,1.50,2.77,1.34,3.35,0,0
2,1.55,2.82,8.00,1.77,4.80,1,1,1,1,1,1,1,1,1,3.35,0,0
4,1.55,2.82,8.00,1.77,4.80,1,1,1,1,1,1,1.50,2.77,1.34,3.35,0,0
5,1.55,2.82,8.00,1.77,4.80,1,1,1,1,1,1,1.50,2.77,1.34,3.35,0,0
6,1.55,2.83,8.00,1.77,4.80,0.50,2.06,1.59,1.50,1.63,2.00,1,1,1,3.35,0,0
7,1.56,2.84,7.50,1.78,4.80,0.50,2.05,1.60,1.50,1.62,2.03,1,1,1,3.30,0,0
8,1.56,2.84,7.50,1.79,4.80,0.50,2.03,1.62,1.50,1.60,2.05,1,1,1,3.30,0,0
9,1.57,2.85,7.00,1.80,4.80,0.50,2.01,1.63,1.50,1.58,2.08,1,1,1,3.25,0,0
10,1.57,2.86,7.00,1.80,4.80,0.50,1.99,1.64,1.50,1.57,2.11,1,1,1,3.20,0,0
11,1.58,2.87,7.00,1.81,4.80,0.50,1.97,1.65,1.50,1.55,2.14,1,1,1,3.20,0,0
12,1.58,2.88,7.00,1.82,4.80,0.50,1.95,1.66,1.50,1.54,2.17,1,1,1,3.20,0,0
13,1.59,2.89,6.50,1.83,4.80,0.50,1.93,1.68,1.50,1.52,2.20,1.50,2.42,1.44,3.15,0,0
14,1.59,2.90,6.50,1.84,4.80,0.50,1.91,1.69,1.50,1.51,2.24,1.50,2.37,1.46,3.10,0,0
15,1.60,2.91,6.00,1.84,4.80,0.50,1.89,1.71,1.50,1.50,2.27,1.50,2.33,1.47,3.10,0,0
16,1.60,2.92,6.00,1.85,4.80,0.50,1.87,1.72,1.50,1.48,2.30,1.50,2.30,1.49,3.10,0,0
17,1.61,2.93,6.00,1.87,4.80,0.50,1.86,1.73,1.50,1.47,2.34,1.50,2.25,1.50,3.05,0,0
18,1.62,2.94,6.00,1.88,4.80,0.50,1.84,1.75,1.50,1.46,2.37,1.50,2.22,1.52,3.00,0,0
19,1.62,2.95,5.50,1.89,4.80,0.50,1.82,1.77,1.50,1.44,2.41,1.50,2.18,1.54,3.00,0,0
20,1.78,3.26,6.64,1.98,5.07,0.50,1.80,1.78,1.50,1.43,2.45,1.50,2.14,1.55,3.14,0,0
21,1.64,2.97,5.50,1.90,4.80,0.50,1.79,1.80,1.50,1.42,2.49,1.50,2.10,1.57,2.97,0,0
22,1.67,2.90,5.00,1.96,4.45,0.50,1.79,1.80,1.50,1.37,2.65,1.50,2.04,1.61,2.97,0,0
23,1.68,2.91,5.00,1.97,4.50,0.50,1.77,1.82,1.50,1.36,2.70,1.50,2.00,1.63,2.95,0,0
24,1.69,2.92,5.00,1.98,4.50,0.50,1.75,1.84,1.50,1.35,2.74,1.50,1.97,1.65,2.93,0,0
25,1.70,2.93,5.00,1.99,4.50,0.50,1.73,1.86,1.50,1.34,2.78,1.50,1.94,1.67,2.90,0,0
26,1.71,2.95,5.00,2.00,4.50,0.50,1.72,1.88,0.50,2.79,1.34,1.50,1.91,1.69,2.87,0,0
27,1.71,2.96,4.90,2.02,4.55,0.50,1.70,1.90,0.50,2.75,1.35,1.50,1.88,1.72,2.85,0,0
28,1.68,3.05,4.85,1.95,4.85,0.50,1.65,1.97,0.50,2.81,1.33,1.50,1.87,1.73,2.87,0,0
29,1.68,3.10,4.75,1.96,4.90,0.50,1.64,1.99,0.50,2.77,1.34,1.50,1.84,1.75,2.84,0,0
30,1.69,3.10,4.60,1.98,4.90,0.50,1.62,2.01,0.50,2.73,1.35,1.50,1.81,1.78,2.81,0,0
31,1.70,3.10,4.50,1.99,4.90,0.50,1.61,2.04,0.50,2.68,1.36,1.50,1.78,1.81,2.79,0,0
32,1.71,3.15,4.40,2.00,4.90,0.50,1.59,2.06,0.50,2.64,1.37,1.50,1.75,1.84,2.75,0,0
33,1.73,3.15,4.25,2.01,4.90,0.50,1.58,2.09,0.50,2.59,1.39,1.50,1.72,1.88,2.72,0,0
34,1.74,3.20,4.15,2.02,4.90,0.50,1.57,2.11,0.50,2.55,1.40,1.50,1.69,1.91,2.69,0,0
35,1.75,3.20,4.05,2.04,4.95,0.50,1.55,2.14,0.50,2.50,1.42,1.50,1.66,1.95,2.66,0,0
36,1.77,3.20,3.95,2.05,4.90,0.50,1.54,2.17,0.50,2.45,1.43,1.50,1.63,2.00,2.62,0,0
37,1.77,3.20,3.95,4.40,1.89,1.50,1.42,2.49,0.50,2.61,1.38,1,1,1,3.15,1,0
38,1.77,3.20,3.95,4.50,1.88,1.50,1.41,2.51,0.50,2.57,1.39,1,1,1,3.15,1,0
39,1.77,3.20,3.95,4.60,1.87,1.50,1.40,2.55,0.50,2.52,1.41,1,1,1,3.15,1,0
40,1.77,3.20,3.95,4.96,1.94,1.50,1.39,2.58,0.50,2.47,1.42,1,1,1,3.32,1,0
41,1.77,3.20,3.95,4.80,1.83,1.50,1.38,2.62,0.50,2.43,1.44,1,1,1,3.15,1,0
42,1.77,3.20,3.95,4.90,1.82,1.50,1.37,2.65,0.50,2.38,1.45,1,1,1,3.15,1,0
43,1.77,3.20,3.95,5.00,1.80,1.50,1.36,2.68,0.50,2.34,1.47,1,1,1,3.15,1,0
44,1.77,3.20,3.95,5.00,1.78,1.50,1.35,2.72,0.50,2.30,1.48,1,1,1,3.15,1,0
45,1.77,3.20,3.95,5.00,1.77,1.50,1.34,2.77,0.50,2.26,1.50,1,1,1,3.15,1,0
46,1.77,3.20,3.95,5.00,1.76,1.50,1.33,2.81,0.50,2.22,1.52,1,1,1,3.15,1,0
47,1.77,3.20,3.95,5.00,1.74,1.50,1.32,2.86,0.50,2.18,1.54,1,1,1,3.15,1,0
48,1.77,3.20,3.95,5.50,1.73,1.50,1.31,2.91,0.50,2.13,1.56,1,1,1,3.15,1,0
49,1.77,3.20,3.95,5.50,1.72,1.50,1.30,2.96,0.50,2.10,1.57,1,1,1,3.15,1,0
50,1.77,3.20,3.95,6.00,1.70,1.50,1.29,3.00,0.50,2.06,1.60,1,1,1,3.15,1,0
51,1.77,3.20,3.95,6.00,1.68,1.50,1.28,3.05,0.50,2.02,1.62,1,1,1,3.20,1,0
52,1.77,3.20,3.95,6.00,1.67,1.50,1.27,3.10,0.50,1.98,1.64,1.50,2.76,1.34,3.20,1,0
53,1.77,3.20,3.95,6.50,1.65,1.50,1.26,3.15,0.50,1.94,1.67,1.50,2.69,1.36,3.20,1,0
54,1.77,3.20,3.95,6.50,1.64,1.50,1.25,3.20,0.50,1.91,1.69,1.50,2.63,1.38,3.20,1,0
55,1.77,3.20,3.95,7.00,1.62,1.50,1.24,3.25,0.50,1.87,1.72,1.50,2.56,1.40,3.20,1,0
56,1.77,3.20,3.95,7.00,1.60,1.50,1.23,3.30,0.50,1.84,1.75,1.50,2.50,1.41,3.25,1,0
57,1.77,3.20,3.95,7.00,1.58,1.50,1.22,3.40,0.50,1.81,1.78,1.50,2.44,1.43,3.25,1,0
58,1.77,3.20,3.95,2.71,5.00,1.50,1.26,3.10,1.50,1.60,2.05,1,1,1,1.93,1,1
59,1.77,3.20,3.95,2.76,5.00,1.50,1.25,3.20,1.50,1.58,2.09,1,1,1,1.90,1,1
60,1.77,3.20,3.95,2.95,5.83,1.50,1.24,3.25,1.50,1.55,2.14,1,1,1,1.97,1,1
61,1.77,3.20,3.95,2.85,5.50,1.50,1.23,3.35,1.50,1.53,2.19,1,1,1,1.85,1,1
62,1.77,3.20,3.95,2.90,5.50,1.50,1.21,3.40,1.50,1.51,2.24,1,1,1,1.82,1,1
63,1.77,3.20,3.95,2.94,5.50,1.50,1.20,3.50,1.50,1.49,2.28,1,1,1,1.79,1,1
64,1.77,3.20,3.95,3.00,5.50,1.50,1.19,3.60,1.50,1.47,2.34,1,1,1,1.76,1,1
65,1.77,3.20,3.95,2.90,6.00,1.50,1.15,3.90,1.50,1.47,2.34,1,1,1,1.77,1,1
66,1.77,3.20,3.95,2.89,6.50,1.50,1.13,4.15,1.50,1.46,2.37,1,1,1,1.74,1,1
67,1.77,3.20,3.95,2.95,6.50,1.50,1.12,4.30,1.50,1.44,2.43,1,1,1,1.71,1,1
68,1.77,3.20,3.95,3.00,6.50,1.50,1.11,4.40,1.50,1.42,2.49,1,1,1,1.68,1,1
69,1.77,3.20,3.95,3.10,7.00,1.50,1.10,4.55,1.50,1.39,2.57,1,1,1,1.65,1,1
70,1.77,3.20,3.95,3.15,7.00,1.50,1.09,4.70,1.50,1.37,2.64,1,1,1,1.63,1,1
71,1.77,3.20,3.95,3.25,7.00,1.50,1.08,4.90,1.50,1.35,2.71,1,1,1,1.60,1,1
72,1.77,3.20,3.95,3.35,7.00,1.50,1.07,5.00,1.50,1.33,2.81,1,1,1,1.56,1,1
73,1.77,3.20,3.95,3.45,7.50,1.50,1.07,5.00,1.50,1.31,2.90,1,1,1,1.54,1,1
74,1.77,3.20,3.95,3.55,7.50,1.50,1.06,5.00,1.50,1.29,3.00,1,1,1,1.51,1,1
75,1.77,3.20,3.95,3.70,8.00,1.50,1.05,5.50,1.50,1.26,3.10,1,1,1,1.48,1,1
76,1.77,3.20,3.95,3.80,8.00,1.50,1.04,6.00,1.50,1.24,3.25,1,1,1,1.45,1,1
77,1.77,3.20,3.95,4.00,8.50,1.50,1.04,6.00,1.50,1.22,3.35,1,1,1,1.42,1,1
78,1.77,3.20,3.95,4.10,8.00,1.50,1.04,6.00,1.50,1.21,3.45,1,1,1,1.42,1,1
79,1.77,3.20,3.95,4.30,8.50,1.50,1.03,6.00,1.50,1.19,3.60,1,1,1,1.39,1,1
80,1.77,3.20,3.95,4.74,9.42,1.50,1.03,6.50,1.50,1.16,3.80,1,1,1,1.42,1,1
81,1.77,3.20,3.95,4.75,9.00,1.50,1.02,7.00,1.50,1.14,4.00,1,1,1,1.33,1,1
82,1.77,3.20,3.95,5.00,9.50,1.50,1.02,7.50,1.50,1.12,4.25,1,1,1,1.30,1,1
83,1.77,3.20,3.95,5.00,10,1.50,1.01,8.00,1.50,1.10,4.60,1,1,1,1.27,1,1
84,1.77,3.20,3.95,5.50,11,1.50,1.01,8.50,1.50,1.08,4.90,1,1,1,1.25,1,1
85,1.77,3.20,3.95,6.00,11.5,1.50,1.01,9.00,1.50,1.06,5.00,1,1,1,1.22,1,1
86,1.77,3.20,3.95,6.50,12,1,1,1,1.50,1.05,5.50,1,1,1,1.19,1,1
87,1.77,3.20,3.95,7.00,13,1,1,1,1.50,1.03,6.00,1,1,1,1.16,1,1
88,1.77,3.20,3.95,8.00,15,1,1,1,1.50,1.02,7.00,1,1,1,1.13,1,1
89,1.77,3.20,3.95,9.00,16,1,1,1,1.50,1.01,8.00,1,1,1,1.11,1,1
90,1.77,3.20,3.95,10.5,19,1,1,1,1,1,1,1,1,1,1.08,1,1
