min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.20,3.80,29,1.31,5.50,1.50,2.71,1.35,3.50,1.74,1.85,5.50,1.79,1.80,5.00,1,0
5,1.20,3.80,29,1.27,6.00,1.50,2.71,1.35,3.50,1.81,1.78,5.50,1.85,1.74,5.00,1,0
6,1.20,3.80,29,1.28,5.50,1.50,2.68,1.36,3.50,1.78,1.80,5.50,1.81,1.78,5.00,1,0
7,1.20,3.80,29,1.30,5.50,1.50,2.65,1.37,3.50,1.75,1.83,5.50,1.78,1.81,5.00,1,0
8,1.20,3.80,29,1.31,5.50,1.50,2.61,1.38,3.50,1.72,1.87,5.50,1.74,1.85,5.00,1,0
9,1.20,3.80,29,1.32,5.50,1.50,2.58,1.39,3.50,1.70,1.91,5.50,1.70,1.90,5.00,1,0
10,1.20,3.80,29,1.33,5.50,1.50,2.55,1.40,3.50,1.66,1.95,5.50,1.67,1.94,4.95,1,0
11,1.20,3.80,29,1.34,5.00,1.50,2.51,1.41,3.50,1.64,1.98,5.50,1.65,1.98,4.90,1,0
12,1.20,3.80,29,1.35,5.00,1.50,2.48,1.42,3.50,1.62,2.03,5.50,1.61,2.03,4.85,1,0
13,1.20,3.80,29,1.37,5.00,1.50,2.45,1.43,3.50,1.59,2.07,5.50,1.58,2.08,4.80,1,0
14,1.20,3.80,29,1.38,5.00,1.50,2.42,1.44,3.50,1.57,2.11,5.50,1.56,2.14,4.70,1,0
15,1.20,3.80,29,1.40,5.00,1.50,2.39,1.45,3.50,1.54,2.16,5.50,1.53,2.19,4.65,1,0
16,1.20,3.80,29,1.41,5.00,1.50,2.37,1.46,3.50,1.52,2.21,4.50,2.23,1.51,4.60,1,0
17,1.20,3.80,29,1.43,5.00,1.50,2.33,1.47,3.50,1.50,2.26,4.50,2.18,1.54,4.60,1,0
18,1.20,3.80,29,1.44,5.00,1.50,2.31,1.48,3.50,1.48,2.31,4.50,2.13,1.56,4.50,1,0
19,1.20,3.80,29,1.46,4.95,1.50,2.28,1.49,2.50,2.28,1.49,4.50,2.08,1.59,4.45,1,0
20,1.20,3.80,29,1.54,5.08,1.50,2.25,1.50,2.50,2.23,1.51,4.50,2.03,1.61,4.62,1,0
21,1.20,3.80,29,1.87,3.25,1.50,2.63,1.38,2.50,1.76,1.83,4.50,1.78,1.80,3.90,1,0
22,1.20,3.80,29,1.88,3.20,1.50,2.59,1.39,2.50,1.73,1.86,4.50,1.75,1.84,3.90,1,0
23,1.20,3.80,29,1.92,3.20,1.50,2.55,1.40,2.50,1.70,1.90,4.50,1.71,1.89,3.85,1,0
24,1.20,3.80,29,1.94,3.15,1.50,2.51,1.41,2.50,1.67,1.94,4.50,1.67,1.94,3.80,1,0
25,1.20,3.80,29,1.96,3.10,1.50,2.47,1.42,2.50,1.64,1.98,4.50,1.64,1.99,3.80,1,0
26,1.20,3.80,29,1.97,3.05,1.50,2.44,1.43,2.50,1.62,2.03,4.50,1.61,2.04,3.75,1,0
