min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,3.80,1.85,1,1,1,0.50,2.84,1.35,3.50,1.31,2.98,3.45,0,0
2,1,1,1,3.80,1.85,1,1,1,0.50,2.84,1.35,3.50,1.31,2.98,3.45,0,0
3,1,1,1,3.80,1.85,1,1,1,0.50,2.84,1.35,3.50,1.31,2.98,3.45,0,0
4,1,1,1,3.80,1.85,1,1,1,0.50,2.84,1.35,3.50,1.31,2.98,3.45,0,0
5,1,1,1,3.80,1.85,1,1,1,0.50,2.84,1.35,3.50,1.31,2.98,3.45,0,0
6,1,1,1,3.75,1.86,1,1,1,0.50,2.81,1.35,3.50,1.30,3.00,3.45,0,0
7,1,1,1,3.80,1.86,1,1,1,0.50,2.78,1.36,3.50,1.29,3.10,3.40,0,0
8,1,1,1,3.80,1.87,1,1,1,0.50,2.74,1.37,3.50,1.27,3.15,3.40,0,0
9,2.47,1.64,10.5,3.75,1.89,1.50,1.76,1.87,0.50,2.71,1.38,1,1,1,3.40,0,0
10,2.47,1.64,10,3.80,1.89,1.50,1.74,1.89,0.50,2.68,1.39,1,1,1,3.35,0,0
11,2.48,1.65,10,3.80,1.89,1.50,1.72,1.92,0.50,2.64,1.40,1,1,1,3.30,0,0
12,2.48,1.65,9.50,3.75,1.90,1.50,1.70,1.95,0.50,2.60,1.41,1,1,1,3.30,0,0
13,2.49,1.66,9.50,3.80,1.90,1.50,1.68,1.97,0.50,2.57,1.42,1,1,1,3.30,0,0
14,2.50,1.66,9.00,3.80,1.91,1.50,1.67,2.00,0.50,2.54,1.43,1,1,1,3.25,0,0
15,2.50,1.67,9.00,3.80,1.91,1.50,1.65,2.03,0.50,2.51,1.44,1,1,1,3.20,0,0
16,2.51,1.67,9.00,3.80,1.92,1.50,1.63,2.06,0.50,2.47,1.45,1,1,1,3.20,0,0
