min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.40,3.20,10,1.47,6.00,0.50,2.00,1.63,1.50,2.07,1.59,1,1,1,3.80,0,0
2,1.40,3.20,10,1.47,6.00,0.50,2.00,1.63,1.50,2.07,1.59,1,1,1,3.80,0,0
3,1.40,3.20,10,1.47,6.00,0.50,2.00,1.63,1.50,2.07,1.59,1,1,1,3.80,0,0
4,1.40,3.20,10,1.47,6.00,0.50,2.00,1.63,1.50,2.07,1.59,1,1,1,3.80,0,0
5,1.40,3.20,10,1.10,15,0.50,2.21,1.52,2.50,2.07,1.59,3.50,1.92,1.68,8.00,0,1
6,1.40,3.20,10,1.10,15,0.50,2.19,1.53,2.50,2.05,1.60,3.50,1.89,1.71,8.00,0,1
7,1.40,3.20,10,1.10,15,0.50,2.17,1.54,2.50,2.02,1.62,3.50,1.86,1.73,8.00,0,1
8,1.40,3.20,10,1.10,15,0.50,2.14,1.55,2.50,1.98,1.64,3.50,1.83,1.76,8.00,0,1
9,1.40,3.20,10,1.10,15,0.50,2.12,1.56,2.50,1.96,1.66,3.50,1.80,1.78,8.00,0,1
10,1.40,3.20,10,1.10,15,0.50,2.10,1.57,2.50,1.93,1.68,3.50,1.78,1.81,8.00,0,1
11,1.40,3.20,10,1.10,15,0.50,2.08,1.58,2.50,1.90,1.70,3.50,1.75,1.84,8.00,0,1
12,1.40,3.20,10,1.10,15,0.50,2.06,1.59,2.50,1.88,1.72,3.50,1.72,1.87,8.00,0,1
13,1.40,3.20,10,1.10,15,0.50,2.04,1.61,2.50,1.85,1.74,3.50,1.70,1.90,8.00,0,1
14,1.40,3.20,10,1.10,15,0.50,2.02,1.62,2.50,1.83,1.76,3.50,1.67,1.94,8.00,0,1
15,1.40,3.20,10,1.10,15,0.50,2.00,1.63,2.50,1.80,1.78,3.50,1.65,1.97,8.00,0,1
16,1.40,3.20,10,1.10,15,0.50,1.98,1.64,2.50,1.78,1.81,3.50,1.63,2.01,8.00,0,1
17,1.40,3.20,10,1.10,16,0.50,1.96,1.66,2.50,1.76,1.83,3.50,1.61,2.04,8.00,0,1
18,1.40,3.20,10,1.10,16,0.50,1.94,1.67,2.50,1.73,1.86,3.50,1.58,2.08,8.00,0,1
19,1.40,3.20,10,1.10,16,0.50,1.92,1.69,2.50,1.71,1.88,3.50,1.56,2.12,7.50,0,1
20,1.40,3.20,10,1.13,16.73,0.50,1.90,1.70,2.50,1.69,1.91,3.50,1.54,2.17,8.15,0,1
21,1.40,3.20,10,1.10,16,0.50,1.88,1.71,2.50,1.67,1.94,3.50,1.52,2.21,7.50,0,1
22,1.40,3.20,10,1.10,16,0.50,1.86,1.73,2.50,1.65,1.97,3.50,1.50,2.25,7.50,0,1
23,1.40,3.20,10,1.10,16,0.50,1.84,1.75,2.50,1.63,2.01,3.50,1.48,2.31,7.50,0,1
24,1.40,3.20,10,1.10,17,0.50,1.82,1.77,2.50,1.61,2.04,3.50,1.46,2.36,7.50,0,1
25,1.40,3.20,10,1.10,17,0.50,1.80,1.78,2.50,1.59,2.07,3.50,1.45,2.41,7.50,0,1
26,1.40,3.20,10,1.10,17,0.50,1.79,1.80,2.50,1.57,2.10,3.50,1.43,2.46,7.50,0,1
27,1.40,3.20,10,1.10,17,0.50,1.77,1.82,2.50,1.55,2.14,3.50,1.41,2.51,7.50,0,1
28,1.40,3.20,10,1.65,5.00,1.50,1.75,1.84,2.50,1.54,2.18,3.50,2.37,1.46,3.45,1,1
29,1.40,3.20,10,1.66,5.00,1.50,1.62,2.03,2.50,1.46,2.37,3.50,2.10,1.57,3.30,1,1
30,1.40,3.20,10,1.67,5.00,1.50,1.60,2.05,2.50,1.44,2.41,3.50,2.06,1.60,3.20,1,1
31,1.40,3.20,10,1.68,5.00,1.50,1.59,2.08,2.50,1.43,2.45,3.50,2.02,1.62,3.20,1,1
32,1.40,3.20,10,1.69,5.00,1.50,1.57,2.10,2.50,1.41,2.51,3.50,1.98,1.64,3.15,1,1
33,1.40,3.20,10,1.70,5.00,1.50,1.56,2.13,2.50,1.40,2.55,3.50,1.95,1.67,3.10,1,1
34,1.40,3.20,10,1.72,5.00,1.50,1.55,2.16,2.50,1.39,2.60,3.50,1.91,1.69,3.10,1,1
35,1.40,3.20,10,1.72,5.00,1.50,1.53,2.18,2.50,1.37,2.65,3.50,1.88,1.72,3.05,1,1
36,1.40,3.20,10,1.73,5.00,1.50,1.52,2.21,2.50,1.36,2.71,3.50,1.84,1.75,3.00,1,1
37,1.40,3.20,10,1.75,5.00,1.50,1.51,2.24,2.50,1.35,2.75,3.50,1.81,1.78,2.99,1,1
38,1.40,3.20,10,1.76,5.00,1.50,1.50,2.27,2.50,1.33,2.81,3.50,1.78,1.81,2.95,1,1
39,1.40,3.20,10,1.78,5.00,1.50,1.48,2.30,2.50,1.32,2.87,3.50,1.75,1.85,2.92,1,1
40,1.40,3.20,10,1.84,5.60,1.50,1.47,2.33,1.50,2.71,1.35,3.50,1.71,1.88,2.96,1,1
41,1.40,3.20,10,1.80,5.00,1.50,1.46,2.37,1.50,2.66,1.37,3.50,1.69,1.92,2.84,1,1
42,1.40,3.20,10,1.81,5.00,1.50,1.45,2.40,1.50,2.61,1.38,3.50,1.66,1.96,2.80,1,1
43,1.40,3.20,10,1.83,5.00,1.50,1.44,2.43,1.50,2.56,1.40,3.50,1.63,2.00,2.76,1,1
44,1.40,3.20,10,1.85,5.00,1.50,1.43,2.47,1.50,2.51,1.41,3.50,1.60,2.05,2.72,1,1
45,1.40,3.20,10,1.86,5.00,1.50,1.41,2.51,1.50,2.46,1.43,3.50,1.57,2.10,2.68,1,1
46,1.40,3.20,10,1.88,5.00,1.50,1.40,2.54,1.50,2.41,1.45,3.50,1.55,2.15,2.64,1,1
47,1.40,3.20,10,1.89,5.00,1.50,1.39,2.58,1.50,2.36,1.46,3.50,1.52,2.21,2.60,1,1
48,1.40,3.20,10,1.92,5.00,1.50,1.38,2.63,1.50,2.31,1.48,3.50,1.50,2.27,2.56,1,1
49,1.40,3.20,10,1.94,5.00,1.50,1.37,2.66,1.50,2.26,1.50,3.50,1.48,2.32,2.52,1,1
50,1.40,3.20,10,1.96,5.50,1.50,1.36,2.71,1.50,2.22,1.52,3.50,1.45,2.39,2.48,1,1
51,1.40,3.20,10,1.98,5.50,1.50,1.35,2.75,1.50,2.18,1.54,3.50,1.43,2.45,2.44,1,1
52,1.40,3.20,10,1.85,6.00,1.50,1.33,2.80,1.50,2.35,1.47,3.50,1.48,2.30,2.57,1,1
53,1.40,3.20,10,1.87,6.00,1.50,1.32,2.86,1.50,2.30,1.48,3.50,1.46,2.37,2.52,1,1
54,1.40,3.20,10,1.90,6.00,1.50,1.31,2.91,1.50,2.25,1.51,3.50,1.43,2.44,2.48,1,1
55,1.40,3.20,10,1.92,6.00,1.50,1.30,2.97,1.50,2.20,1.53,3.50,1.41,2.51,2.44,1,1
56,1.40,3.20,10,1.06,33,1.50,1.29,3.00,2.50,2.15,1.55,4.50,1.39,2.59,8.00,1,2
57,1.40,3.20,10,1.06,33,1.50,1.30,2.95,2.50,2.24,1.51,4.50,1.43,2.46,8.00,1,2
58,1.40,3.20,10,1.06,33,1.50,1.29,3.00,2.50,2.19,1.53,4.50,1.40,2.54,8.00,1,2
59,1.40,3.20,10,1.06,34,1.50,1.28,3.05,2.50,2.14,1.55,4.50,1.38,2.63,8.00,1,2
60,1.40,3.20,10,1.09,36.99,1.50,1.26,3.10,2.50,2.09,1.58,4.50,1.36,2.71,8.77,1,2
61,1.40,3.20,10,1.06,36,1.50,1.25,3.20,2.50,2.04,1.61,4.50,1.33,2.80,8.00,1,2
62,1.40,3.20,10,1.05,37,1.50,1.24,3.25,2.50,1.99,1.64,4.50,1.31,2.91,8.00,1,2
63,1.40,3.20,10,1.05,39,1.50,1.23,3.30,2.50,1.94,1.67,4.50,1.29,3.00,8.50,1,2
64,1.40,3.20,10,1.05,40,1.50,1.21,3.40,2.50,1.89,1.70,4.50,1.26,3.10,8.50,1,2
65,1.40,3.20,10,1.05,40,1.50,1.20,3.50,2.50,1.85,1.74,4.50,1.24,3.25,8.50,1,2
66,1.40,3.20,10,1.04,41,1.50,1.19,3.60,2.50,1.80,1.79,3.50,2.38,1.45,8.50,1,2
67,1.40,3.20,10,1.04,44,1.50,1.17,3.70,2.50,1.76,1.83,3.50,2.30,1.48,8.50,1,2
68,1.40,3.20,10,1.04,45,1.50,1.16,3.85,2.50,1.72,1.88,3.50,2.23,1.51,8.50,1,2
69,1.40,3.20,10,1.04,46,1.50,1.15,3.95,2.50,1.68,1.93,3.50,2.16,1.55,9.00,1,2
70,1.40,3.20,10,1.04,47,1.50,1.14,4.10,2.50,1.64,1.98,3.50,2.09,1.58,9.00,1,2
71,1.40,3.20,10,1.03,49,1.50,1.12,4.20,2.50,1.60,2.05,3.50,2.02,1.62,9.00,1,2
72,1.40,3.20,10,1.03,54,1.50,1.11,4.40,2.50,1.57,2.11,3.50,1.95,1.66,9.00,1,2
73,1.40,3.20,10,1.03,55,1.50,1.10,4.55,2.50,1.53,2.19,3.50,1.88,1.71,9.00,1,2
74,1.40,3.20,10,1.03,58,1.50,1.09,4.75,2.50,1.50,2.26,3.50,1.82,1.76,9.50,1,2
75,1.40,3.20,10,1.02,60,1.50,1.08,4.95,2.50,1.47,2.35,3.50,1.76,1.83,9.50,1,2
76,1.40,3.20,10,1.02,61,1.50,1.07,5.00,2.50,1.43,2.45,3.50,1.70,1.90,10,1,2
77,1.40,3.20,10,1.02,68,1.50,1.06,5.00,2.50,1.40,2.55,3.50,1.65,1.98,10,1,2
78,1.40,3.20,10,1.01,70,1.50,1.05,5.50,2.50,1.37,2.65,3.50,1.59,2.06,10.5,1,2
79,1.40,3.20,10,1.01,73,1.50,1.04,6.00,2.50,1.34,2.78,3.50,1.55,2.16,11,1,2
80,1.40,3.20,10,1.03,78.73,1.50,1.03,6.00,2.50,1.31,2.91,3.50,1.50,2.26,12.07,1,2
81,1.40,3.20,10,-,80,1.50,1.03,6.50,2.50,1.28,3.05,3.50,1.45,2.38,12,1,2
