min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.01,2.11,7.00,2.69,2.88,0.50,2.82,1.35,2.50,1.03,7.00,1,1,1,2.98,0,0
2,2.01,2.11,7.00,2.69,2.88,0.50,2.82,1.35,2.50,1.03,7.00,1,1,1,2.98,0,0
3,2.01,2.11,7.00,2.69,2.88,0.50,2.82,1.35,2.50,1.03,7.00,1,1,1,2.98,0,0
4,2.01,2.11,7.00,2.69,2.88,0.50,2.82,1.35,2.50,1.03,7.00,1,1,1,2.98,0,0
5,2.01,2.11,7.00,2.69,2.88,0.50,2.82,1.35,2.50,1.03,7.00,1,1,1,2.98,0,0
6,2.02,2.11,7.00,2.70,2.90,0.50,2.78,1.36,2.50,1.03,7.00,1,1,1,2.97,0,0
7,2.02,2.12,7.00,2.71,2.91,0.50,2.75,1.37,1.50,1.36,2.80,1,1,1,2.95,0,0
8,2.03,2.12,7.00,2.73,2.91,0.50,2.72,1.38,1.50,1.35,2.84,1,1,1,2.94,0,0
9,2.04,2.13,6.50,2.72,2.93,0.50,2.68,1.39,0.50,2.81,1.35,1,1,1,2.92,0,0
10,2.05,2.14,6.50,2.73,2.94,0.50,2.65,1.40,0.50,2.78,1.36,1,1,1,2.90,0,0
11,2.05,2.14,6.00,2.74,2.94,0.50,2.62,1.40,0.50,2.74,1.37,1,1,1,2.88,0,0
12,2.06,2.15,6.00,2.75,2.96,0.50,2.58,1.41,0.50,2.71,1.38,1,1,1,2.86,0,0
13,2.07,2.16,6.00,2.74,2.96,0.50,2.55,1.42,0.50,2.67,1.39,1,1,1,2.84,0,0
14,2.08,2.17,6.00,2.75,2.97,0.50,2.51,1.43,0.50,2.64,1.40,1,1,1,2.82,0,0
15,2.08,2.18,6.00,2.78,2.97,0.50,2.49,1.44,0.50,2.60,1.41,1,1,1,2.80,0,0
16,2.09,2.19,5.50,2.77,2.97,0.50,2.45,1.45,0.50,2.57,1.42,1.50,2.19,1.56,2.78,0,0
17,2.10,2.20,5.50,2.78,2.98,0.50,2.42,1.46,0.50,2.53,1.43,1.50,2.15,1.58,2.75,0,0
