min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.92,2.12,7.50,2.43,2.82,0.50,2.71,1.35,2.50,1.03,6.50,1,1,1,3.00,0,0
2,1.91,2.11,8.00,2.40,2.78,0.50,2.71,1.35,2.50,1.03,6.50,1,1,1,3.10,0,0
3,1.91,2.11,8.00,2.40,2.78,0.50,2.71,1.35,2.50,1.03,6.50,1,1,1,3.10,0,0
4,1.91,2.11,8.00,2.40,2.78,0.50,2.71,1.35,2.50,1.03,6.50,1,1,1,3.10,0,0
5,1.91,2.11,8.00,1.37,7.00,0.50,2.71,1.35,2.50,1.38,2.63,3.50,1.52,2.21,4.30,0,1
6,1.91,2.11,8.00,1.41,6.00,0.50,2.68,1.36,1.50,2.68,1.36,3.50,1.45,2.40,4.25,0,1
7,1.91,2.11,8.00,1.41,6.00,0.50,2.65,1.37,1.50,2.65,1.37,3.50,1.44,2.44,4.25,0,1
8,1.91,2.11,8.00,1.40,6.00,0.50,2.61,1.38,1.50,2.61,1.38,1,1,1,4.25,0,1
9,1.91,2.11,8.00,1.39,6.00,0.50,2.58,1.39,1.50,2.58,1.39,1,1,1,4.20,0,1
10,1.91,2.11,8.00,1.40,6.50,0.50,2.55,1.40,1.50,2.55,1.40,1,1,1,4.20,0,1
11,1.91,2.11,8.00,1.40,6.50,0.50,2.51,1.41,1.50,2.51,1.41,1,1,1,4.20,0,1
12,1.91,2.11,8.00,1.39,6.50,0.50,2.48,1.42,1.50,2.48,1.42,1,1,1,4.20,0,1
13,1.91,2.11,8.00,1.39,6.50,0.50,2.45,1.43,1.50,2.45,1.43,1,1,1,4.20,0,1
14,1.91,2.11,8.00,1.38,6.50,0.50,2.42,1.44,1.50,2.42,1.44,1,1,1,4.15,0,1
15,1.91,2.11,8.00,1.41,6.00,0.50,2.48,1.42,1.50,2.35,1.47,1,1,1,4.05,0,1
16,1.91,2.11,8.00,1.41,6.50,0.50,2.45,1.43,1.50,2.32,1.48,1,1,1,4.05,0,1
17,1.91,2.11,8.00,1.41,6.50,0.50,2.41,1.44,1.50,2.29,1.49,1,1,1,4.05,0,1
18,1.91,2.11,8.00,1.40,6.50,0.50,2.39,1.45,1.50,2.27,1.50,1,1,1,4.05,0,1
19,1.91,2.11,8.00,1.40,6.50,0.50,2.36,1.46,1.50,2.24,1.51,1,1,1,4.05,0,1
20,1.91,2.11,8.00,1.48,7.39,0.50,2.33,1.47,1.50,2.21,1.52,1,1,1,4.30,0,1
21,1.91,2.11,8.00,1.39,7.00,0.50,2.30,1.48,1.50,2.19,1.53,1,1,1,4.00,0,1
22,1.91,2.11,8.00,1.39,7.00,0.50,2.27,1.50,1.50,2.16,1.54,1,1,1,4.00,0,1
23,1.91,2.11,8.00,1.39,7.00,0.50,2.24,1.51,1.50,2.13,1.56,1,1,1,4.00,0,1
24,1.91,2.11,8.00,1.38,7.00,0.50,2.21,1.52,1.50,2.11,1.57,1,1,1,4.00,0,1
25,1.91,2.11,8.00,1.39,7.00,0.50,2.19,1.53,1.50,2.08,1.58,1,1,1,4.00,0,1
26,1.91,2.11,8.00,1.38,7.50,0.50,2.16,1.55,1.50,2.06,1.60,1,1,1,4.00,0,1
27,1.91,2.11,8.00,1.03,30,0.50,2.13,1.56,2.50,2.04,1.61,3.50,1.79,1.79,10,0,2
28,1.91,2.11,8.00,1.02,33,0.50,2.10,1.57,2.50,2.01,1.62,3.50,1.77,1.82,10,0,2
29,1.91,2.11,8.00,1.02,33,0.50,2.07,1.59,2.50,1.99,1.64,3.50,1.74,1.85,10.5,0,2
30,1.91,2.11,8.00,1.01,35,0.50,2.06,1.59,2.50,2.14,1.55,3.50,1.82,1.77,11,0,2
31,1.91,2.11,8.00,1.01,36,0.50,2.04,1.61,2.50,2.11,1.57,3.50,1.79,1.80,11,0,2
32,1.91,2.11,8.00,1.01,37,0.50,2.02,1.62,2.50,2.08,1.58,3.50,1.76,1.83,11.5,0,2
33,1.91,2.11,8.00,1.01,36,0.50,2.06,1.60,2.50,2.21,1.52,3.50,1.85,1.74,11.5,0,2
34,1.91,2.11,8.00,1.01,38,0.50,2.03,1.61,2.50,2.18,1.54,3.50,1.82,1.77,11.5,0,2
35,1.91,2.11,8.00,1.01,39,0.50,2.01,1.63,2.50,2.14,1.55,3.50,1.79,1.80,11.5,0,2
36,1.91,2.11,8.00,1.01,35,0.50,2.07,1.59,2.50,2.14,1.55,3.50,1.82,1.77,11,0,2
37,1.91,2.11,8.00,1.01,36,0.50,2.04,1.61,2.50,2.11,1.57,3.50,1.79,1.80,11,0,2
