min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.64,2.85,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
2,1.64,2.85,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
3,1.64,2.85,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
4,1.64,2.85,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
5,1.64,2.85,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
6,1.65,2.86,6.00,1,1,1,1,1,2.50,1.06,5.50,0.50,6.00,1.05,1,0,0
7,1.65,2.87,6.00,1,1,1,1,1,2.50,1.06,5.50,0.50,6.00,1.05,1,0,0
8,1.66,2.88,6.00,1,1,1,1,1,2.50,1.05,6.00,0.50,6.00,1.05,1,0,0
9,1.67,2.89,6.00,1,1,1,1,1,2.50,1.05,6.00,0.50,6.00,1.05,1,0,0
10,1.67,2.90,5.50,1,1,1,1,1,2.50,1.05,6.00,0.50,5.50,1.06,1,0,0
11,1.68,2.91,5.50,1,1,1,1,1,2.50,1.05,6.00,0.50,5.50,1.06,1,0,0
12,1.68,2.92,5.50,1,1,1,1,1,2.50,1.04,6.50,0.50,5.50,1.06,1,0,0
13,1.69,2.93,5.50,1,1,1,1,1,2.50,1.04,6.50,0.50,5.50,1.07,1,0,0
14,1.70,2.94,5.00,1,1,1,1,1,2.50,1.04,7.00,0.50,5.00,1.07,1,0,0
15,1.70,2.95,5.00,1.93,4.50,0.50,1.80,1.83,1.50,1.38,2.69,1.50,2.03,1.65,2.81,0,0
16,1.71,2.96,5.00,1.94,4.50,0.50,1.78,1.85,1.50,1.37,2.73,1.50,2.00,1.67,2.79,0,0
17,1.72,2.97,5.00,1.96,4.50,0.50,1.77,1.86,1.50,1.36,2.77,1.50,1.97,1.68,2.77,0,0
18,1.73,2.99,5.00,1.97,4.50,0.50,1.75,1.88,1.50,1.35,2.81,1.50,1.94,1.71,2.75,0,0
