min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1.95,2.09,8.50,2.46,2.76,1.50,1.38,2.70,1.50,1.44,2.49,1,1,1,3.05,0,0
7,1.95,2.09,8.00,2.48,2.77,1.50,1.37,2.74,1.50,1.43,2.53,1,1,1,3.05,0,0
8,1.96,2.10,8.00,2.49,2.78,1.50,1.36,2.78,1.50,1.42,2.57,1,1,1,3.00,0,0
9,1.96,2.11,8.00,2.50,2.79,1.50,1.35,2.81,1.50,1.41,2.60,1,1,1,3.00,0,0
10,1.97,2.11,8.00,2.50,2.80,0.50,2.83,1.35,1.50,1.40,2.63,1,1,1,3.00,0,0
11,1.97,2.12,7.50,2.51,2.80,0.50,2.80,1.36,1.50,1.39,2.67,1,1,1,3.00,0,0
12,1.98,2.12,7.50,2.52,2.81,0.50,2.77,1.36,1.50,1.38,2.71,1,1,1,2.98,0,0
13,1.98,2.13,7.00,2.52,2.82,0.50,2.74,1.37,1.50,1.37,2.74,1,1,1,2.96,0,0
14,1.99,2.14,7.00,2.54,2.83,0.50,2.70,1.38,1.50,1.36,2.78,1,1,1,2.94,0,0
15,2.00,2.14,7.00,2.54,2.84,0.50,2.66,1.39,1.50,1.35,2.82,1,1,1,2.92,0,0
16,2.00,2.15,7.00,2.55,2.85,0.50,2.62,1.40,1.50,1.34,2.86,1,1,1,2.90,0,0
17,2.01,2.16,6.50,2.56,2.87,0.50,2.59,1.41,1.50,1.33,2.90,1,1,1,2.88,0,0
18,2.02,2.17,6.50,2.56,2.88,0.50,2.55,1.42,1.50,1.32,2.94,1,1,1,2.86,0,0
19,2.03,2.18,6.00,2.56,2.89,0.50,2.52,1.43,1.50,1.31,2.99,1,1,1,2.84,0,0
20,2.15,2.30,7.03,2.70,3.03,0.50,2.49,1.44,1.50,1.30,3.00,1,1,1,2.95,0,0
21,2.05,2.19,6.00,2.58,2.88,0.50,2.45,1.45,0.50,2.64,1.40,1.50,2.26,1.53,2.79,0,0
22,2.05,2.20,6.00,2.61,2.90,0.50,2.42,1.46,0.50,2.60,1.41,1.50,2.22,1.54,2.77,0,0
23,2.07,2.21,5.50,2.61,2.90,0.50,2.38,1.48,0.50,2.56,1.42,1.50,2.18,1.57,2.75,0,0
24,2.08,2.23,5.50,2.61,2.91,0.50,2.35,1.49,0.50,2.52,1.43,1.50,2.13,1.59,2.72,0,0
25,2.08,2.24,5.50,2.62,2.93,0.50,2.32,1.50,0.50,2.49,1.44,1.50,2.09,1.61,2.70,0,0
26,2.10,2.25,5.00,2.63,2.94,0.50,2.29,1.51,0.50,2.45,1.46,1.50,2.05,1.63,2.68,0,0
27,2.11,2.26,5.00,2.65,2.96,0.50,2.27,1.52,0.50,2.42,1.47,1.50,2.02,1.65,2.66,0,0
28,2.12,2.27,5.00,2.65,2.95,0.50,2.23,1.54,0.50,2.38,1.48,1.50,1.98,1.68,2.63,0,0
29,2.13,2.28,5.00,2.68,2.97,0.50,2.21,1.55,0.50,2.35,1.49,1.50,1.95,1.70,2.61,0,0
30,2.08,2.15,6.00,2.67,2.80,0.50,2.51,1.44,0.50,2.60,1.41,1.50,2.27,1.52,2.80,0,0
31,2.09,2.17,6.00,2.66,2.81,0.50,2.47,1.45,0.50,2.55,1.42,1.50,2.22,1.54,2.77,0,0
32,2.10,2.18,5.50,2.67,2.82,0.50,2.43,1.46,0.50,2.51,1.43,1.50,2.17,1.57,2.74,0,0
33,2.11,2.19,5.50,2.69,2.83,0.50,2.39,1.48,0.50,2.47,1.45,1.50,2.13,1.59,2.72,0,0
34,2.13,2.13,5.50,2.71,2.71,0.50,2.43,1.46,0.50,2.43,1.46,1.50,2.16,1.57,2.83,0,0
35,2.14,2.14,5.50,2.72,2.72,0.50,2.40,1.47,0.50,2.40,1.47,1.50,2.12,1.59,2.80,0,0
36,2.16,2.16,5.50,2.72,2.72,0.50,2.35,1.49,0.50,2.35,1.49,1.50,2.07,1.62,2.77,0,0
37,2.17,2.17,5.00,2.75,2.75,0.50,2.32,1.50,0.50,2.32,1.50,1.50,2.03,1.65,2.74,0,0
