min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1.95,3.45,1,1,1,1,1,1,1.50,3.00,1.31,3.40,0,0
2,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.57,2.16,1,1,1,5.00,0,1
3,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.57,2.16,1,1,1,5.00,0,1
4,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.57,2.16,1,1,1,5.00,0,1
5,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.57,2.16,1,1,1,5.00,0,1
6,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.56,2.19,1,1,1,5.00,0,1
7,1.69,2.42,9.50,1.24,9.00,1,1,1,2.50,1.55,2.22,1,1,1,5.00,0,1
8,1.69,2.42,9.50,1.24,9.50,0.50,2.42,1.47,2.50,1.53,2.25,3.50,1.57,2.16,5.00,0,1
9,1.69,2.42,9.50,1.24,9.50,0.50,2.38,1.48,2.50,1.52,2.28,3.50,1.56,2.20,5.00,0,1
10,1.69,2.42,9.50,1.24,9.50,0.50,2.36,1.49,2.50,1.50,2.32,3.50,1.53,2.24,5.00,0,1
11,1.69,2.42,9.50,1.24,10,0.50,2.34,1.50,2.50,1.49,2.35,3.50,1.52,2.28,5.00,0,1
12,1.69,2.42,9.50,1.24,10,0.50,2.31,1.51,2.50,1.48,2.38,3.50,1.50,2.33,5.00,0,1
13,1.69,2.42,9.50,1.24,10,0.50,2.28,1.52,2.50,1.47,2.42,3.50,1.49,2.36,5.00,0,1
14,1.69,2.42,9.50,1.24,10,0.50,2.26,1.53,2.50,1.46,2.45,3.50,1.47,2.40,5.00,0,1
15,1.69,2.42,9.50,1.24,10,0.50,2.23,1.54,2.50,1.44,2.49,3.50,1.45,2.46,5.00,0,1
16,1.69,2.42,9.50,1.24,10,0.50,2.21,1.55,2.50,1.43,2.52,3.50,1.44,2.50,5.00,0,1
17,1.69,2.42,9.50,1.24,10.5,0.50,2.18,1.56,2.50,1.42,2.56,1,1,1,5.00,0,1
18,1.69,2.42,9.50,1.24,10.5,0.50,2.16,1.57,2.50,1.41,2.60,1,1,1,5.00,0,1
19,1.69,2.42,9.50,1.24,10.5,0.50,2.13,1.59,2.50,1.40,2.64,1,1,1,5.00,0,1
20,1.69,2.42,9.50,1.30,11.51,0.50,2.11,1.60,2.50,1.39,2.68,1,1,1,5.51,0,1
21,1.69,2.42,9.50,1.23,11,0.50,2.09,1.61,2.50,1.38,2.72,1,1,1,5.00,0,1
