min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.43,1.67,9.50,1,1,1,1,1,0.50,2.66,1.39,3.50,1.22,3.50,1,0,0
2,2.43,1.67,9.50,1,1,1,1,1,0.50,2.66,1.39,3.50,1.22,3.50,1,0,0
3,2.43,1.67,9.50,1,1,1,1,1,0.50,2.66,1.39,3.50,1.22,3.50,1,0,0
4,2.43,1.67,9.50,1,1,1,1,1,0.50,2.66,1.39,3.50,1.22,3.50,1,0,0
5,2.43,1.67,9.50,1,1,1,1,1,0.50,2.66,1.39,3.50,1.22,3.50,1,0,0
6,2.44,1.68,9.50,3.75,2.01,1.50,1.66,2.01,0.50,2.62,1.40,1,1,1,3.40,0,0
7,2.44,1.68,9.00,3.75,2.01,1.50,1.64,2.03,0.50,2.60,1.41,1,1,1,3.35,0,0
8,2.45,1.69,9.00,3.75,2.02,1.50,1.63,2.06,0.50,2.56,1.42,1,1,1,3.35,0,0
9,2.46,1.69,9.00,3.75,2.03,1.50,1.61,2.09,0.50,2.53,1.43,1,1,1,3.30,0,0
10,2.46,1.70,8.50,3.75,2.03,1.50,1.59,2.12,0.50,2.50,1.44,1,1,1,3.30,0,0
11,2.47,1.70,8.50,3.75,2.04,1.50,1.58,2.15,0.50,2.47,1.45,1,1,1,3.25,0,0
12,2.48,1.71,8.00,3.80,2.04,1.50,1.56,2.18,0.50,2.44,1.46,1,1,1,3.25,0,0
13,2.48,1.71,8.00,3.75,2.05,1.50,1.55,2.21,0.50,2.41,1.47,1,1,1,3.20,0,0
14,2.49,1.71,8.00,3.75,2.06,1.50,1.54,2.24,0.50,2.38,1.48,1,1,1,3.20,0,0
15,2.50,1.72,7.50,3.75,2.07,1.50,1.52,2.28,0.50,2.35,1.49,1,1,1,3.20,0,0
16,2.51,1.73,7.50,3.80,2.07,1.50,1.51,2.31,0.50,2.32,1.50,1,1,1,3.15,0,0
17,2.51,1.75,7.00,3.80,2.13,1.50,1.46,2.44,0.50,2.26,1.53,1,1,1,3.05,0,0
18,2.52,1.76,6.50,3.75,2.13,1.50,1.45,2.47,0.50,2.23,1.54,1,1,1,3.05,0,0
19,2.53,1.77,6.50,3.75,2.15,1.50,1.43,2.51,0.50,2.21,1.55,1,1,1,3.00,0,0
20,2.74,1.92,7.50,3.95,2.23,1.50,1.42,2.55,0.50,2.18,1.56,1,1,1,3.14,0,0
21,2.55,1.78,6.00,3.80,2.17,1.50,1.41,2.60,0.50,2.16,1.57,1.50,2.33,1.50,3.00,0,0
22,2.56,1.79,6.00,12,1.30,2.50,1.40,2.64,0.50,2.13,1.59,1,1,1,4.80,1,0
23,2.56,1.79,6.00,13,1.29,2.50,1.39,2.68,0.50,2.11,1.60,1,1,1,4.80,1,0
24,2.56,1.79,6.00,13,1.29,2.50,1.37,2.73,0.50,2.08,1.61,1,1,1,4.80,1,0
25,2.56,1.79,6.00,11,1.33,2.50,1.36,2.78,0.50,2.23,1.54,1,1,1,4.55,1,0
26,2.56,1.79,6.00,11,1.33,2.50,1.35,2.81,0.50,2.19,1.56,1,1,1,4.55,1,0
27,2.56,1.79,6.00,11,1.33,2.50,1.34,2.86,0.50,2.17,1.57,1,1,1,4.55,1,0
28,2.56,1.79,6.00,11.5,1.33,2.50,1.33,2.91,0.50,2.14,1.58,1,1,1,4.55,1,0
29,2.56,1.79,6.00,12,1.33,1.50,2.74,1.37,0.50,2.12,1.60,1,1,1,4.55,1,0
30,2.56,1.79,6.00,3.65,2.20,1.50,2.79,1.36,1.50,2.02,1.65,3.50,2.13,1.59,3.05,1,1
31,2.56,1.79,6.00,3.70,2.21,1.50,2.75,1.37,1.50,1.99,1.67,3.50,2.09,1.61,3.00,1,1
32,2.56,1.79,6.00,3.70,2.22,1.50,2.71,1.38,1.50,1.96,1.69,3.50,2.05,1.63,3.00,1,1
33,2.56,1.79,6.00,3.70,2.23,1.50,2.65,1.39,1.50,1.94,1.71,3.50,2.00,1.66,2.96,1,1
34,2.56,1.79,6.00,3.70,2.24,1.50,2.61,1.41,1.50,1.92,1.72,3.50,1.97,1.69,2.93,1,1
35,2.56,1.79,6.00,3.70,2.26,1.50,2.56,1.42,1.50,1.89,1.74,3.50,1.93,1.72,2.89,1,1
36,2.56,1.79,6.00,3.70,2.27,1.50,2.51,1.43,1.50,1.86,1.77,3.50,1.88,1.75,2.86,1,1
37,2.56,1.79,6.00,3.70,2.28,1.50,2.47,1.45,1.50,1.84,1.79,3.50,1.85,1.78,2.83,1,1
38,2.56,1.79,6.00,3.70,2.30,1.50,2.43,1.46,1.50,1.82,1.81,3.50,1.81,1.82,2.79,1,1
39,2.56,1.79,6.00,3.75,2.31,1.50,2.39,1.48,1.50,1.80,1.83,3.50,1.78,1.85,2.77,1,1
40,2.56,1.79,6.00,3.92,2.42,1.50,2.35,1.49,1.50,1.78,1.86,3.50,1.75,1.89,2.83,1,1
41,2.56,1.79,6.00,3.95,2.23,1.50,2.45,1.45,1.50,1.75,1.88,3.50,1.78,1.85,2.78,1,1
42,2.56,1.79,6.00,4.00,2.25,1.50,2.41,1.47,1.50,1.73,1.91,3.50,1.75,1.88,2.75,1,1
43,2.56,1.79,6.00,4.00,2.26,1.50,2.37,1.48,1.50,1.72,1.93,3.50,1.72,1.92,2.72,1,1
44,2.56,1.79,6.00,4.00,2.28,1.50,2.32,1.50,1.50,1.69,1.96,3.50,1.69,1.97,2.68,1,1
45,2.56,1.79,6.00,1.66,5.50,1.50,2.42,1.47,2.50,1.67,1.98,4.50,1.72,1.93,3.55,1,2
46,2.56,1.79,6.00,1.65,5.50,1.50,2.37,1.48,2.50,1.66,2.01,4.50,1.68,1.97,3.55,1,2
47,2.56,1.79,6.00,1.64,5.50,1.50,2.32,1.50,2.50,1.64,2.04,4.50,1.65,2.02,3.55,1,2
48,2.56,1.79,6.00,1.63,6.00,1.50,2.28,1.52,2.50,1.61,2.08,4.50,1.62,2.07,3.55,1,2
49,2.56,1.79,6.00,1.61,6.00,1.50,2.23,1.54,2.50,1.60,2.12,4.50,1.59,2.13,3.50,1,2
