min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.18,2.01,6.50,2.92,2.54,0.50,2.78,1.36,1,1,1,1,1,1,2.85,0,0
2,2.18,2.01,6.50,2.92,2.54,0.50,2.78,1.36,1,1,1,1,1,1,2.85,0,0
3,2.08,2.06,7.00,2.73,2.67,0.50,2.78,1.36,0.50,2.74,1.37,1,1,1,2.91,0,0
4,2.08,2.06,7.00,2.73,2.67,0.50,2.78,1.36,0.50,2.74,1.37,1,1,1,2.91,0,0
5,2.08,2.06,7.00,2.73,2.67,0.50,2.78,1.36,0.50,2.74,1.37,1,1,1,2.91,0,0
6,2.09,2.06,7.00,2.74,2.68,0.50,2.74,1.37,0.50,2.71,1.38,1,1,1,2.89,0,0
7,1.97,2.16,7.00,2.51,2.87,0.50,2.68,1.39,0.50,2.92,1.33,1,1,1,2.94,0,0
8,1.98,2.17,7.00,2.51,2.88,0.50,2.64,1.40,1.50,1.36,2.79,1,1,1,2.91,0,0
9,1.99,2.17,7.00,2.51,2.88,0.50,2.60,1.41,1.50,1.35,2.83,1,1,1,2.89,0,0
10,1.99,2.18,6.50,2.53,2.91,0.50,2.57,1.42,1.50,1.34,2.86,1,1,1,2.88,0,0
11,1.92,2.19,7.50,2.35,2.89,0.50,2.54,1.43,1.50,1.36,2.78,1,1,1,3.10,0,0
12,1.93,2.20,7.00,2.36,2.88,0.50,2.51,1.44,1.50,1.35,2.81,1,1,1,3.10,0,0
13,1.93,2.20,7.00,2.37,2.90,0.50,2.48,1.45,1.50,1.34,2.85,1,1,1,3.10,0,0
14,1.94,2.21,7.00,2.37,2.89,0.50,2.45,1.46,0.50,2.80,1.36,1.50,2.43,1.46,3.05,0,0
15,1.95,2.22,7.00,2.38,2.91,0.50,2.42,1.47,0.50,2.77,1.36,1.50,2.39,1.48,3.05,0,0
16,1.95,2.23,6.50,2.39,2.91,0.50,2.39,1.48,0.50,2.74,1.37,1.50,2.35,1.49,3.00,0,0
17,1.96,2.24,6.50,2.40,2.93,0.50,2.36,1.49,0.50,2.70,1.38,1.50,2.31,1.51,3.00,0,0
18,1.97,2.25,6.00,2.40,2.94,0.50,2.33,1.50,0.50,2.66,1.39,1.50,2.27,1.52,2.99,0,0
19,1.98,2.26,6.00,2.41,2.94,0.50,2.31,1.51,0.50,2.62,1.40,1.50,2.23,1.54,2.96,0,0
20,2.10,2.39,6.82,2.55,3.10,0.50,2.28,1.52,0.50,2.58,1.41,1.50,2.19,1.56,3.09,0,0
