min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.16,2.04,6.00,2.85,2.61,0.50,2.70,1.38,0.50,2.55,1.42,1.50,2.35,1.49,2.84,0,0
2,2.16,2.04,6.00,2.85,2.61,0.50,2.70,1.38,0.50,2.55,1.42,1.50,2.35,1.49,2.84,0,0
3,2.06,2.09,7.00,2.67,2.74,0.50,2.70,1.38,0.50,2.74,1.37,1,1,1,2.89,0,0
4,2.06,2.09,7.00,2.67,2.74,0.50,2.70,1.38,0.50,2.74,1.37,1,1,1,2.89,0,0
5,2.06,2.09,7.00,2.67,2.74,0.50,2.70,1.38,0.50,2.74,1.37,1,1,1,2.89,0,0
6,2.07,2.10,6.50,2.69,2.74,0.50,2.67,1.39,0.50,2.71,1.38,1,1,1,2.87,0,0
7,2.08,2.11,6.50,2.68,2.75,0.50,2.63,1.40,0.50,2.68,1.39,1.50,2.39,1.48,2.85,0,0
8,2.09,2.12,6.00,2.69,2.76,0.50,2.60,1.41,0.50,2.64,1.40,1.50,2.35,1.49,2.83,0,0
9,2.09,2.12,6.00,2.69,2.76,0.50,2.57,1.42,0.50,2.60,1.41,1.50,2.31,1.51,2.81,0,0
10,2.10,2.13,6.00,2.70,2.77,0.50,2.53,1.43,0.50,2.57,1.42,1.50,2.27,1.52,2.79,0,0
11,2.11,2.14,6.00,2.72,2.77,0.50,2.51,1.44,0.50,2.54,1.43,1.50,2.23,1.54,2.77,0,0
12,2.12,2.15,5.50,2.72,2.78,0.50,2.47,1.45,0.50,2.51,1.44,1.50,2.19,1.56,2.75,0,0
13,2.13,2.16,5.50,2.73,2.78,0.50,2.44,1.46,0.50,2.48,1.45,1.50,2.16,1.57,2.73,0,0
14,2.14,2.17,5.50,2.73,2.79,0.50,2.42,1.47,0.50,2.45,1.46,1.50,2.12,1.59,2.71,0,0
15,2.15,2.18,5.00,2.74,2.79,0.50,2.38,1.48,0.50,2.42,1.47,1.50,2.09,1.61,2.69,0,0
16,2.15,2.18,5.00,2.74,2.81,0.50,2.36,1.49,0.50,2.39,1.48,1.50,2.06,1.63,2.67,0,0
17,2.16,2.19,5.00,2.76,2.83,0.50,2.33,1.50,0.50,2.36,1.49,1.50,2.03,1.65,2.65,0,0
18,2.17,2.20,5.00,2.78,2.85,0.50,2.30,1.51,0.50,2.33,1.50,1.50,1.99,1.67,2.63,0,0
19,2.18,2.21,5.00,2.79,2.85,0.50,2.28,1.52,0.50,2.31,1.51,1.50,1.97,1.69,2.62,0,0
20,2.31,2.34,5.49,2.94,3.00,0.50,2.25,1.53,0.50,2.28,1.52,1.50,1.93,1.71,2.72,0,0
21,2.20,2.23,4.85,2.81,2.86,0.50,2.22,1.54,0.50,2.25,1.53,1.50,1.90,1.74,2.57,0,0
22,2.22,2.25,4.75,2.82,2.88,0.50,2.19,1.56,0.50,2.22,1.54,1.50,1.87,1.76,2.55,0,0
23,2.23,2.26,4.65,2.84,2.90,0.50,2.17,1.57,0.50,2.19,1.56,1.50,1.85,1.78,2.54,0,0
24,2.24,2.27,4.55,2.85,2.90,0.50,2.14,1.58,0.50,2.17,1.57,1.50,1.82,1.81,2.52,0,0
25,2.25,2.28,4.45,2.86,2.93,0.50,2.12,1.60,0.50,2.14,1.58,1.50,1.79,1.84,2.50,0,0
26,2.26,2.29,4.35,2.89,2.93,0.50,2.09,1.61,0.50,2.11,1.60,1.50,1.77,1.87,2.48,0,0
27,2.28,2.31,4.25,2.90,2.95,0.50,2.07,1.62,0.50,2.09,1.61,1.50,1.74,1.89,2.46,0,0
28,2.29,2.32,4.15,2.91,2.96,0.50,2.04,1.64,0.50,2.06,1.63,1.50,1.71,1.93,2.44,0,0
29,2.30,2.33,4.10,2.92,2.98,0.50,2.02,1.65,0.50,2.04,1.64,1.50,1.69,1.96,2.42,0,0
