min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,2.30,2.93,1.50,1.38,2.72,2.50,1.07,5.00,0.50,9.00,1.02,3.10,0,0
2,1,1,1,2.30,2.93,1.50,1.38,2.72,2.50,1.07,5.00,0.50,9.00,1.02,3.10,0,0
3,1,1,1,2.30,2.93,1.50,1.38,2.72,2.50,1.07,5.00,0.50,9.00,1.02,3.10,0,0
4,1,1,1,2.30,2.93,1.50,1.38,2.72,2.50,1.07,5.00,0.50,9.00,1.02,3.10,0,0
5,1,1,1,2.30,2.93,1.50,1.38,2.72,2.50,1.07,5.00,0.50,9.00,1.02,3.10,0,0
6,1.87,2.16,9.00,2.30,2.95,1.50,1.37,2.75,1.50,1.50,2.33,1,1,1,3.10,0,0
7,1.87,2.17,8.50,2.33,2.94,1.50,1.36,2.79,1.50,1.48,2.37,1,1,1,3.10,0,0
8,1.88,2.17,8.50,2.34,2.95,1.50,1.35,2.83,1.50,1.47,2.40,1,1,1,3.10,0,0
9,1.88,2.18,8.00,2.34,2.96,0.50,2.82,1.35,1.50,1.46,2.43,1,1,1,3.05,0,0
10,1.89,2.18,8.00,2.35,2.98,0.50,2.78,1.36,1.50,1.45,2.47,1,1,1,3.05,0,0
11,1.89,2.19,8.00,2.37,2.98,0.50,2.76,1.37,1.50,1.44,2.50,1,1,1,3.00,0,0
12,1.90,2.20,8.00,2.36,2.98,0.50,2.72,1.38,1.50,1.43,2.53,1,1,1,3.00,0,0
13,1.91,2.20,7.50,2.37,2.99,0.50,2.68,1.39,1.50,1.42,2.57,1,1,1,3.00,0,0
14,1.91,2.21,7.50,2.38,2.99,0.50,2.65,1.40,1.50,1.41,2.61,1,1,1,2.98,0,0
15,1.92,2.22,7.00,2.39,3.00,0.50,2.61,1.41,1.50,1.40,2.65,1,1,1,2.96,0,0
16,1.92,2.23,7.00,2.39,3.00,0.50,2.57,1.42,1.50,1.39,2.68,1,1,1,2.94,0,0
17,1.93,2.23,7.00,2.40,3.00,0.50,2.54,1.43,1.50,1.37,2.73,1,1,1,2.92,0,0
18,1.94,2.24,6.50,2.41,3.00,0.50,2.51,1.44,1.50,1.36,2.77,1,1,1,2.89,0,0
19,1.95,2.25,6.50,2.42,3.00,0.50,2.48,1.45,1.50,1.36,2.80,1,1,1,2.88,0,0
20,2.06,2.38,7.30,2.55,3.19,0.50,2.44,1.46,0.50,2.83,1.35,1.50,2.37,1.48,2.99,0,0
21,1.96,2.27,6.00,2.44,3.05,0.50,2.41,1.47,0.50,2.80,1.36,1.50,2.33,1.50,2.83,0,0
22,1.97,2.27,6.00,2.44,3.05,0.50,2.38,1.48,0.50,2.77,1.36,1.50,2.29,1.51,2.82,0,0
23,2.09,2.18,5.50,2.62,2.79,0.50,2.37,1.48,0.50,2.47,1.45,1.50,2.15,1.58,2.84,0,0
24,2.10,2.19,5.50,2.63,2.80,0.50,2.34,1.49,0.50,2.44,1.46,1.50,2.12,1.60,2.81,0,0
25,2.11,2.20,5.50,2.63,2.82,0.50,2.31,1.51,0.50,2.40,1.47,1.50,2.08,1.62,2.79,0,0
26,2.12,2.21,5.00,2.65,2.83,0.50,2.28,1.52,0.50,2.37,1.48,1.50,2.04,1.64,2.77,0,0
27,2.13,2.22,5.00,2.67,2.84,0.50,2.26,1.53,0.50,2.34,1.49,1.50,2.01,1.66,2.75,0,0
28,2.14,2.23,5.00,2.68,2.84,0.50,2.22,1.54,0.50,2.31,1.51,1.50,1.97,1.69,2.72,0,0
29,2.15,2.24,5.00,2.69,2.86,0.50,2.19,1.56,0.50,2.28,1.52,1.50,1.94,1.71,2.70,0,0
30,2.17,2.26,4.95,2.70,2.87,0.50,2.16,1.57,0.50,2.24,1.53,1.50,1.90,1.74,2.67,0,0
31,2.18,2.27,4.85,2.71,2.88,0.50,2.14,1.58,0.50,2.22,1.55,1.50,1.87,1.76,2.65,0,0
32,2.19,2.28,4.70,2.73,2.90,0.50,2.11,1.60,0.50,2.18,1.56,1.50,1.84,1.79,2.63,0,0
33,2.20,2.30,4.60,2.74,2.91,0.50,2.08,1.61,0.50,2.15,1.58,1.50,1.81,1.82,2.60,0,0
34,2.22,2.31,4.50,2.77,2.93,0.50,2.05,1.63,0.50,2.12,1.59,1.50,1.78,1.85,2.58,0,0
35,2.23,2.32,4.40,2.79,2.95,0.50,2.03,1.65,0.50,2.10,1.61,1.50,1.75,1.88,2.56,0,0
36,2.25,2.34,4.25,2.80,2.95,0.50,2.00,1.67,0.50,2.06,1.63,1.50,1.72,1.92,2.53,0,0
37,2.26,2.36,4.15,2.81,2.99,0.50,1.97,1.68,0.50,2.04,1.64,1.50,1.70,1.95,2.51,0,0
38,2.28,2.38,4.05,2.83,2.99,0.50,1.94,1.71,0.50,2.01,1.66,1.50,1.66,2.00,2.48,0,0
39,2.30,2.39,3.95,2.84,3.00,0.50,1.92,1.72,0.50,1.98,1.68,1.50,1.64,2.04,2.45,0,0
40,2.44,2.54,4.20,3.01,3.17,0.50,1.89,1.74,0.50,1.95,1.70,1.50,1.61,2.08,2.54,0,0
41,2.33,2.43,3.75,2.87,3.00,0.50,1.86,1.77,0.50,1.92,1.72,1.50,1.59,2.13,2.40,0,0
42,2.29,2.48,3.75,2.80,3.10,0.50,1.84,1.79,0.50,1.95,1.70,1.50,1.59,2.12,2.40,0,0
43,2.31,2.49,3.65,2.82,3.10,0.50,1.82,1.81,0.50,1.93,1.72,1.50,1.57,2.17,2.38,0,0
44,2.33,2.52,3.55,2.84,3.15,0.50,1.79,1.84,0.50,1.90,1.74,1.50,1.54,2.22,2.35,0,0
45,2.35,2.54,3.50,2.85,3.15,0.50,1.77,1.86,0.50,1.87,1.76,1.50,1.52,2.28,2.32,0,0
46,2.37,2.56,3.40,2.88,3.20,0.50,1.74,1.89,0.50,1.84,1.79,1.50,1.50,2.33,2.29,0,0
47,2.39,2.59,3.30,2.90,3.20,0.50,1.72,1.92,0.50,1.82,1.81,1.50,1.48,2.39,2.27,0,0
48,2.42,2.61,3.20,2.93,3.25,0.50,1.70,1.95,0.50,1.79,1.84,1.50,1.45,2.45,2.24,0,0
49,2.44,2.64,3.15,2.96,3.30,0.50,1.68,1.98,0.50,1.76,1.87,1.50,1.43,2.52,2.21,0,0
50,2.47,2.67,3.05,2.98,3.30,0.50,1.66,2.01,0.50,1.74,1.90,1.50,1.41,2.59,2.18,0,0
51,2.49,2.69,3.00,3.00,3.30,0.50,1.64,2.04,0.50,1.72,1.93,1.50,1.39,2.65,2.16,0,0
52,2.53,2.73,2.93,3.00,3.35,0.50,1.61,2.08,0.50,1.69,1.96,1.50,1.37,2.74,2.13,0,0
53,2.55,2.76,2.86,3.05,3.40,0.50,1.59,2.12,0.50,1.67,1.99,1.50,1.35,2.81,2.10,0,0
54,2.59,2.79,2.79,3.10,3.45,0.50,1.57,2.16,0.50,1.65,2.03,1.50,1.33,2.89,2.07,0,0
55,2.62,2.82,2.72,3.10,3.50,0.50,1.55,2.20,0.50,1.62,2.07,1.50,1.31,2.98,2.04,0,0
56,2.65,2.86,2.65,3.15,3.50,0.50,1.53,2.24,0.50,1.60,2.11,0.50,2.65,1.39,2.02,0,0
57,2.69,2.90,2.58,3.20,3.55,0.50,1.52,2.28,0.50,1.58,2.15,0.50,2.58,1.41,1.99,0,0
58,2.73,2.94,2.52,3.25,3.60,0.50,1.50,2.33,0.50,1.56,2.19,0.50,2.52,1.43,1.96,0,0
59,2.77,2.98,2.45,3.30,3.65,0.50,1.48,2.38,0.50,1.54,2.24,0.50,2.45,1.45,1.93,0,0
