min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.83,2.21,9.00,2.31,3.10,0.50,2.84,1.35,2.50,1.07,5.00,1,1,1,3.30,0,0
2,1.83,2.21,9.00,2.31,3.10,0.50,2.84,1.35,2.50,1.07,5.00,1,1,1,3.30,0,0
3,1.83,2.21,9.00,2.31,3.10,0.50,2.84,1.35,2.50,1.07,5.00,1,1,1,3.30,0,0
4,1.83,2.21,9.00,2.31,3.10,0.50,2.84,1.35,2.50,1.07,5.00,1,1,1,3.30,0,0
5,1.83,2.21,9.00,2.31,3.10,0.50,2.84,1.35,2.50,1.07,5.00,1,1,1,3.30,0,0
6,1.83,2.21,9.00,2.31,3.10,0.50,2.81,1.35,2.50,1.07,5.50,1,1,1,3.25,0,0
7,1.84,2.22,8.50,2.33,3.10,0.50,2.78,1.36,1.50,1.49,2.35,1,1,1,3.25,0,0
8,1.84,2.22,8.50,2.34,3.15,0.50,2.74,1.37,1.50,1.48,2.39,1,1,1,3.20,0,0
9,1.85,2.23,8.00,2.35,3.15,0.50,2.71,1.38,1.50,1.46,2.42,1,1,1,3.20,0,0
10,1.85,2.24,8.00,2.35,3.15,0.50,2.68,1.39,1.50,1.45,2.45,1,1,1,3.20,0,0
11,1.86,2.24,8.00,2.35,3.15,0.50,2.64,1.40,1.50,1.44,2.49,1,1,1,3.15,0,0
12,1.87,2.25,7.50,2.36,3.15,0.50,2.60,1.41,1.50,1.43,2.53,1,1,1,3.10,0,0
13,1.87,2.26,7.50,2.37,3.15,0.50,2.57,1.42,1.50,1.42,2.57,1,1,1,3.10,0,0
14,1.88,2.27,7.00,2.38,3.20,0.50,2.54,1.43,1.50,1.41,2.60,1,1,1,3.10,0,0
15,1.88,2.27,7.00,2.39,3.20,0.50,2.51,1.44,1.50,1.40,2.64,1,1,1,3.05,0,0
16,1.89,2.28,7.00,2.39,3.20,0.50,2.47,1.45,1.50,1.39,2.68,1,1,1,3.05,0,0
17,1.90,2.29,7.00,2.40,3.20,0.50,2.44,1.46,1.50,1.38,2.72,1.50,2.45,1.45,3.00,0,0
18,1.90,2.30,6.50,2.41,3.20,0.50,2.42,1.47,1.50,1.37,2.75,1.50,2.42,1.47,3.00,0,0
19,1.91,2.30,6.50,2.43,3.20,0.50,2.38,1.48,1.50,1.36,2.79,1.50,2.38,1.48,3.00,0,0
20,2.07,2.49,7.36,2.51,3.36,0.50,2.35,1.49,1.50,1.35,2.84,1.50,2.33,1.50,3.08,0,0
21,1.93,2.32,6.00,2.43,3.25,0.50,2.32,1.50,1.50,1.34,2.88,1.50,2.29,1.51,2.95,0,0
22,1.93,2.33,6.00,2.44,3.25,0.50,2.29,1.51,1.50,1.33,2.92,1.50,2.26,1.53,2.93,0,0
23,1.94,2.34,6.00,2.46,3.30,0.50,2.27,1.52,1.50,1.31,2.98,1.50,2.21,1.55,2.91,0,0
24,1.95,2.35,5.50,2.47,3.30,0.50,2.24,1.54,1.50,1.30,3.00,1.50,2.17,1.57,2.89,0,0
25,1.96,2.36,5.50,2.48,3.30,0.50,2.21,1.55,1.50,1.29,3.05,1.50,2.13,1.59,2.86,0,0
26,1.97,2.38,5.50,2.48,3.30,0.50,2.18,1.56,1.50,1.28,3.10,1.50,2.09,1.61,2.83,0,0
27,1.98,2.39,5.00,2.50,3.30,0.50,2.15,1.58,1.50,1.27,3.20,1.50,2.05,1.63,2.81,0,0
28,1.99,2.40,5.00,2.51,3.35,0.50,2.13,1.59,0.50,2.53,1.43,1.50,2.01,1.66,2.79,0,0
29,2.06,2.32,5.00,2.63,3.10,0.50,2.19,1.56,0.50,2.45,1.46,1.50,2.01,1.66,2.77,0,0
30,2.07,2.33,5.00,2.64,3.15,0.50,2.16,1.57,0.50,2.42,1.47,1.50,1.97,1.68,2.75,0,0
31,2.08,2.34,5.00,2.66,3.15,0.50,2.14,1.58,0.50,2.38,1.48,1.50,1.94,1.71,2.73,0,0
32,2.09,2.36,4.90,2.67,3.15,0.50,2.11,1.60,0.50,2.34,1.49,1.50,1.90,1.74,2.70,0,0
33,2.10,2.37,4.75,2.69,3.20,0.50,2.08,1.61,0.50,2.31,1.51,1.50,1.87,1.76,2.68,0,0
34,2.12,2.38,4.65,2.70,3.20,0.50,2.05,1.63,0.50,2.27,1.52,1.50,1.84,1.79,2.65,0,0
35,2.13,2.39,4.55,2.73,3.20,0.50,2.03,1.65,0.50,2.24,1.53,1.50,1.81,1.82,2.63,0,0
36,2.14,2.41,4.40,2.74,3.20,0.50,2.00,1.67,0.50,2.21,1.55,1.50,1.77,1.86,2.60,0,0
37,2.16,2.43,4.30,2.75,3.25,0.50,1.97,1.68,0.50,2.17,1.57,1.50,1.74,1.89,2.58,0,0
