min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1.99,3.50,0.50,2.69,1.38,1,1,1,3.50,1.21,3.60,3.25,0,0
2,1,1,1,1.99,3.50,0.50,2.69,1.38,1,1,1,3.50,1.21,3.60,3.25,0,0
3,1,1,1,1.99,3.50,0.50,2.69,1.38,1,1,1,3.50,1.21,3.60,3.25,0,0
4,1,1,1,1.99,3.50,0.50,2.69,1.38,1,1,1,3.50,1.21,3.60,3.25,0,0
5,1,1,1,1.99,3.50,0.50,2.69,1.38,1,1,1,3.50,1.21,3.60,3.25,0,0
6,1,1,1,2.00,3.50,0.50,2.65,1.39,1,1,1,3.50,1.20,3.70,3.25,0,0
7,1.71,2.40,9.00,2.00,3.50,0.50,2.62,1.40,1.50,1.60,2.10,1,1,1,3.20,0,0
8,1.72,2.40,9.00,2.01,3.50,0.50,2.59,1.41,1.50,1.59,2.13,1,1,1,3.20,0,0
9,1.72,2.41,8.50,1.27,10,0.50,2.55,1.42,2.50,1.57,2.16,3.50,1.63,2.05,4.75,0,1
10,1.72,2.41,8.50,1.27,10,0.50,2.53,1.43,2.50,1.56,2.19,3.50,1.61,2.09,4.70,0,1
11,1.72,2.41,8.50,1.27,10,0.50,2.49,1.44,2.50,1.55,2.22,3.50,1.59,2.13,4.70,0,1
12,1.72,2.41,8.50,1.27,10,0.50,2.47,1.45,2.50,1.53,2.26,3.50,1.57,2.17,4.70,0,1
13,1.72,2.41,8.50,1.27,10.5,0.50,2.43,1.46,2.50,1.52,2.28,3.50,1.55,2.21,4.70,0,1
14,1.72,2.41,8.50,1.27,10.5,0.50,2.40,1.47,2.50,1.50,2.32,3.50,1.53,2.25,4.70,0,1
15,1.72,2.41,8.50,1.27,10.5,0.50,2.38,1.48,2.50,1.49,2.35,3.50,1.51,2.29,4.70,0,1
16,1.72,2.41,8.50,1.27,11,0.50,2.35,1.49,2.50,1.48,2.39,3.50,1.49,2.34,4.65,0,1
17,1.72,2.41,8.50,1.27,11,0.50,2.32,1.50,2.50,1.46,2.42,3.50,1.48,2.38,4.65,0,1
18,1.72,2.41,8.50,1.27,11,0.50,2.29,1.51,2.50,1.45,2.47,3.50,1.46,2.44,4.60,0,1
19,1.72,2.41,8.50,1.27,11,0.50,2.27,1.52,2.50,1.44,2.50,3.50,1.44,2.48,4.60,0,1
20,1.72,2.41,8.50,1.33,12.16,0.50,2.24,1.53,2.50,1.43,2.54,1,1,1,4.87,0,1
21,1.72,2.41,8.50,1.04,27,0.50,2.44,1.46,3.50,1.35,2.81,3.50,2.47,1.45,11,0,2
22,1.72,2.41,8.50,1.04,28,0.50,2.41,1.47,3.50,1.34,2.85,3.50,2.43,1.46,11,0,2
23,1.72,2.41,8.50,1.03,29,0.50,2.37,1.48,2.50,2.79,1.36,3.50,2.38,1.48,11,0,2
24,1.72,2.41,8.50,1.03,31,0.50,2.34,1.49,2.50,2.75,1.37,3.50,2.33,1.50,11,0,2
25,1.72,2.41,8.50,1.03,32,0.50,2.31,1.51,2.50,2.71,1.38,3.50,2.29,1.52,11,0,2
26,1.72,2.41,8.50,1.03,33,0.50,2.28,1.52,2.50,2.67,1.39,3.50,2.24,1.54,11.5,0,2
27,1.72,2.41,8.50,1.02,33,0.50,2.26,1.53,2.50,2.62,1.40,3.50,2.20,1.56,11.5,0,2
28,1.72,2.41,8.50,1.02,34,0.50,2.22,1.54,2.50,2.58,1.41,3.50,2.15,1.58,11.5,0,2
29,1.72,2.41,8.50,1.02,35,0.50,2.19,1.56,2.50,2.54,1.43,3.50,2.11,1.60,11.5,0,2
30,1.72,2.41,8.50,1.02,35,0.50,2.16,1.57,2.50,2.51,1.44,3.50,2.07,1.62,12,0,2
31,1.72,2.41,8.50,1.02,35,0.50,2.14,1.58,2.50,2.47,1.45,3.50,2.03,1.64,12,0,2
32,1.72,2.41,8.50,1.02,38,0.50,2.11,1.60,2.50,2.43,1.46,3.50,1.99,1.67,12,0,2
33,1.72,2.41,8.50,1.01,39,0.50,2.08,1.61,2.50,2.39,1.48,3.50,1.96,1.69,12,0,2
34,1.72,2.41,8.50,1.01,40,0.50,2.05,1.63,2.50,2.35,1.49,3.50,1.92,1.72,12,0,2
