min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.68,2.69,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
2,1.68,2.69,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
3,1.68,2.69,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
4,1.68,2.69,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
5,1.68,2.69,6.50,1,1,1,1,1,2.50,1.07,5.50,0.50,6.50,1.04,1,0,0
6,1.69,2.70,6.50,1,1,1,1,1,2.50,1.06,5.50,0.50,6.50,1.04,1,0,0
7,1.69,2.71,6.50,1,1,1,1,1,2.50,1.06,6.00,0.50,6.50,1.04,1,0,0
8,1.70,2.72,6.00,1,1,1,1,1,2.50,1.05,6.00,0.50,6.00,1.04,1,0,0
9,1.71,2.72,6.00,1,1,1,1,1,2.50,1.05,6.00,0.50,6.00,1.05,1,0,0
10,1.71,2.73,6.00,1,1,1,1,1,2.50,1.05,6.00,0.50,6.00,1.05,1,0,0
11,1.72,2.74,6.00,1,1,1,1,1,2.50,1.04,6.50,0.50,6.00,1.05,1,0,0
12,1.72,2.75,6.00,1,1,1,1,1,2.50,1.04,6.50,0.50,6.00,1.06,1,0,0
13,1.73,2.76,5.50,1,1,1,1,1,2.50,1.04,6.50,0.50,5.50,1.06,1,0,0
14,1.74,2.77,5.50,2.01,4.10,0.50,1.92,1.72,1.50,1.39,2.68,1.50,2.13,1.59,2.85,0,0
15,1.74,2.78,5.50,2.01,4.15,0.50,1.91,1.73,1.50,1.38,2.71,1.50,2.10,1.61,2.83,0,0
16,1.75,2.79,5.00,2.02,4.15,0.50,1.89,1.75,1.50,1.37,2.75,1.50,2.06,1.63,2.80,0,0
17,1.76,2.80,5.00,2.03,4.15,0.50,1.87,1.76,1.50,1.36,2.79,1.50,2.03,1.64,2.79,0,0
18,1.77,2.82,5.00,2.04,4.15,0.50,1.85,1.78,1.50,1.35,2.83,1.50,2.00,1.66,2.76,0,0
19,1.77,2.83,5.00,2.05,4.15,0.50,1.84,1.79,1.50,1.34,2.88,1.50,1.97,1.68,2.74,0,0
20,1.89,3.01,5.57,2.17,4.41,0.50,1.82,1.81,1.50,1.33,2.92,1.50,1.94,1.70,2.86,0,0
21,1.79,2.85,4.95,2.07,4.20,0.50,1.80,1.83,1.50,1.32,2.96,1.50,1.91,1.73,2.70,0,0
22,1.80,2.86,4.85,2.08,4.20,0.50,1.79,1.84,1.50,1.31,3.00,1.50,1.89,1.75,2.68,0,0
23,1.81,2.88,4.70,2.10,4.20,0.50,1.77,1.86,1.50,1.29,3.05,1.50,1.85,1.78,2.65,0,0
24,1.82,2.89,4.60,2.11,4.20,0.50,1.75,1.88,1.50,1.28,3.10,1.50,1.82,1.81,2.63,0,0
25,1.83,2.91,4.50,2.12,4.20,0.50,1.73,1.90,0.50,2.57,1.42,1.50,1.79,1.84,2.60,0,0
26,1.84,2.93,4.40,2.13,4.25,0.50,1.72,1.92,0.50,2.54,1.43,1.50,1.77,1.87,2.58,0,0
27,1.85,2.94,4.30,2.14,4.25,0.50,1.71,1.94,0.50,2.50,1.44,1.50,1.74,1.90,2.55,0,0
28,1.86,2.96,4.20,2.15,4.25,0.50,1.69,1.96,0.50,2.46,1.45,1.50,1.71,1.93,2.53,0,0
29,1.88,2.97,4.10,2.17,4.30,0.50,1.67,1.98,0.50,2.43,1.46,1.50,1.69,1.96,2.51,0,0
30,1.89,2.99,4.00,2.18,4.30,0.50,1.66,2.01,0.50,2.39,1.48,1.50,1.67,2.00,2.48,0,0
31,1.90,3.00,3.90,2.19,4.30,0.50,1.65,2.03,0.50,2.35,1.49,1.50,1.64,2.04,2.46,0,0
32,1.91,3.00,3.85,2.22,4.30,0.50,1.63,2.05,0.50,2.32,1.50,1.50,1.62,2.07,2.44,0,0
33,1.93,3.00,3.75,2.23,4.30,0.50,1.62,2.08,0.50,2.29,1.51,1.50,1.60,2.11,2.42,0,0
34,1.94,3.05,3.70,2.25,4.30,0.50,1.60,2.11,0.50,2.26,1.53,1.50,1.58,2.15,2.39,0,0
35,1.96,3.05,3.60,2.25,4.35,0.50,1.59,2.13,0.50,2.22,1.54,1.50,1.56,2.20,2.37,0,0
36,1.97,3.10,3.50,2.28,4.40,0.50,1.57,2.16,0.50,2.18,1.56,1.50,1.53,2.24,2.34,0,0
37,1.99,3.10,3.45,2.29,4.40,0.50,1.56,2.19,0.50,2.15,1.58,1.50,1.52,2.29,2.32,0,0
38,2.01,3.15,3.35,2.32,4.45,0.50,1.54,2.22,0.50,2.12,1.59,1.50,1.50,2.34,2.29,0,0
39,2.02,3.15,3.30,2.33,4.45,0.50,1.53,2.25,0.50,2.09,1.61,1.50,1.48,2.38,2.27,0,0
40,2.15,3.44,3.50,2.46,4.72,0.50,1.52,2.28,0.50,2.06,1.63,1.50,1.46,2.43,2.36,0,0
41,2.06,3.20,3.15,2.37,4.50,0.50,1.51,2.31,0.50,2.03,1.65,1.50,1.44,2.49,2.22,0,0
42,2.08,3.25,3.10,2.38,4.50,0.50,1.49,2.34,0.50,2.00,1.66,1.50,1.42,2.55,2.20,0,0
43,2.10,3.25,3.00,2.41,4.55,0.50,1.48,2.38,0.50,1.97,1.68,1.50,1.41,2.61,2.17,0,0
44,2.12,3.30,2.99,2.43,4.55,0.50,1.47,2.41,0.50,1.94,1.71,1.50,1.39,2.66,2.15,0,0
45,1.79,3.15,4.15,2.01,4.55,0.50,1.59,2.13,0.50,2.49,1.44,1.50,1.69,1.96,2.66,0,0
46,1.80,3.20,4.05,2.03,4.60,0.50,1.57,2.17,0.50,2.43,1.46,1.50,1.66,2.01,2.62,0,0
47,1.82,3.20,3.90,2.04,4.60,0.50,1.55,2.20,0.50,2.38,1.48,1.50,1.63,2.06,2.58,0,0
48,1.84,3.20,3.80,2.07,4.60,0.50,1.54,2.24,0.50,2.34,1.50,1.50,1.60,2.11,2.54,0,0
49,1.85,3.25,3.70,2.09,4.60,0.50,1.52,2.27,0.50,2.29,1.51,1.50,1.57,2.17,2.51,0,0
50,1.87,3.30,3.60,2.11,4.65,0.50,1.51,2.31,0.50,2.24,1.53,1.50,1.54,2.23,2.47,0,0
51,1.89,3.30,3.50,2.12,4.65,0.50,1.49,2.35,0.50,2.20,1.55,1.50,1.52,2.29,2.43,0,0
52,1.91,3.35,3.40,2.15,4.70,0.50,1.47,2.40,0.50,2.16,1.57,1.50,1.49,2.35,2.40,0,0
53,1.93,3.40,3.30,2.18,4.70,0.50,1.46,2.44,0.50,2.12,1.60,1.50,1.47,2.41,2.37,0,0
54,1.96,3.40,3.20,6.00,1.57,1.50,1.45,2.48,0.50,2.07,1.62,1,1,1,3.30,1,0
55,1.96,3.40,3.20,6.50,1.56,1.50,1.43,2.53,0.50,2.03,1.64,1,1,1,3.30,1,0
