min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.15,2.12,5.50,2.78,2.72,0.50,2.51,1.44,1,1,1,1,1,1,2.75,0,0
2,2.15,2.12,5.50,2.78,2.72,0.50,2.51,1.44,1,1,1,1,1,1,2.75,0,0
3,2.15,2.12,5.50,2.78,2.72,0.50,2.51,1.44,1,1,1,1,1,1,2.75,0,0
4,2.15,2.12,5.50,2.78,2.72,0.50,2.51,1.44,1,1,1,1,1,1,2.75,0,0
5,2.15,2.12,5.50,2.78,2.72,0.50,2.51,1.44,1,1,1,1,1,1,2.75,0,0
6,2.16,2.13,5.50,2.77,2.73,0.50,2.47,1.45,1,1,1,1,1,1,2.73,0,0
7,2.16,2.14,5.50,2.79,2.73,0.50,2.45,1.46,1,1,1,1,1,1,2.71,0,0
8,2.14,2.11,6.00,2.68,2.64,0.50,2.42,1.47,1,1,1,1,1,1,2.91,0,0
9,2.15,2.12,5.50,2.70,2.64,0.50,2.39,1.48,1,1,1,1,1,1,2.89,0,0
10,2.16,2.13,5.50,2.72,2.65,0.50,2.37,1.48,1,1,1,1,1,1,2.87,0,0
11,2.16,2.14,5.50,2.73,2.68,0.50,2.34,1.50,1,1,1,1,1,1,2.85,0,0
12,2.17,2.15,5.00,2.73,2.69,0.50,2.31,1.51,1,1,1,1,1,1,2.83,0,0
13,2.18,2.16,5.00,2.75,2.69,0.50,2.29,1.51,1,1,1,1,1,1,2.81,0,0
14,2.19,2.17,5.00,2.75,2.71,0.50,2.26,1.53,1,1,1,1,1,1,2.79,0,0
15,2.20,2.18,5.00,2.75,2.71,0.50,2.24,1.54,1,1,1,1,1,1,2.77,0,0
16,2.21,2.19,5.00,2.77,2.72,0.50,2.21,1.55,0.50,2.19,1.56,1.50,1.92,1.72,2.75,0,0
17,2.22,2.20,4.95,2.78,2.73,0.50,2.19,1.56,0.50,2.16,1.57,1.50,1.89,1.74,2.73,0,0
18,2.23,2.21,4.85,2.78,2.74,0.50,2.16,1.57,0.50,2.14,1.58,1.50,1.87,1.77,2.71,0,0
19,2.23,2.21,4.85,7.50,1.40,1.50,2.12,1.60,0.50,2.21,1.55,1,1,1,4.10,1,0
20,2.23,2.21,4.85,8.16,1.46,1.50,2.09,1.61,0.50,2.18,1.56,1,1,1,4.30,1,0
21,2.23,2.21,4.85,7.50,1.39,1.50,2.07,1.62,0.50,2.16,1.57,1,1,1,4.10,1,0
22,2.23,2.21,4.85,7.50,1.39,1.50,2.05,1.63,0.50,2.13,1.59,1,1,1,4.05,1,0
23,2.23,2.21,4.85,8.00,1.38,1.50,2.03,1.65,0.50,2.11,1.60,1,1,1,4.05,1,0
24,2.23,2.21,4.85,8.00,1.38,1.50,2.00,1.66,0.50,2.08,1.61,1,1,1,4.05,1,0
25,2.23,2.21,4.85,8.00,1.38,1.50,1.98,1.68,0.50,2.06,1.63,1,1,1,4.05,1,0
26,2.23,2.21,4.85,8.00,1.37,1.50,1.95,1.70,0.50,2.03,1.64,1,1,1,4.05,1,0
27,2.23,2.21,4.85,8.50,1.37,1.50,1.93,1.71,0.50,2.01,1.66,1,1,1,4.05,1,0
28,2.23,2.21,4.85,8.50,1.37,1.50,1.91,1.73,0.50,1.98,1.67,1,1,1,4.05,1,0
29,2.23,2.21,4.85,8.50,1.36,1.50,1.89,1.75,0.50,1.96,1.69,1,1,1,4.05,1,0
30,2.23,2.21,4.85,8.50,1.35,1.50,1.87,1.76,0.50,1.94,1.71,1,1,1,4.05,1,0
31,2.23,2.21,4.85,9.00,1.35,1.50,1.85,1.78,0.50,1.92,1.72,1,1,1,4.05,1,0
32,2.23,2.21,4.85,9.00,1.35,1.50,1.83,1.80,0.50,1.89,1.74,1,1,1,4.05,1,0
33,2.23,2.21,4.85,9.00,1.34,1.50,1.81,1.82,0.50,1.87,1.76,1,1,1,4.05,1,0
34,2.23,2.21,4.85,9.50,1.34,1.50,1.79,1.84,0.50,1.85,1.78,1,1,1,4.05,1,0
35,2.23,2.21,4.85,9.50,1.34,1.50,1.76,1.87,0.50,1.83,1.80,1,1,1,4.05,1,0
36,2.23,2.21,4.85,10,1.33,1.50,1.74,1.89,0.50,1.80,1.83,1,1,1,4.05,1,0
37,2.23,2.21,4.85,10,1.33,1.50,1.72,1.92,0.50,1.78,1.85,1,1,1,4.05,1,0
38,2.23,2.21,4.85,10,1.32,1.50,1.71,1.94,0.50,1.76,1.87,1,1,1,4.10,1,0
39,2.23,2.21,4.85,10.5,1.32,1.50,1.69,1.96,0.50,1.74,1.90,1,1,1,4.10,1,0
40,2.23,2.21,4.85,11.54,1.38,1.50,1.67,1.99,0.50,1.72,1.92,1,1,1,4.33,1,0
41,2.23,2.21,4.85,7.50,1.42,1.50,1.86,1.77,0.50,2.11,1.60,1,1,1,3.85,1,0
42,2.23,2.21,4.85,11,1.31,1.50,1.95,1.70,0.50,1.84,1.79,1,1,1,4.10,1,0
43,2.23,2.21,4.85,11,1.31,1.50,1.93,1.72,0.50,1.82,1.81,1,1,1,4.15,1,0
44,2.23,2.21,4.85,11,1.30,1.50,1.90,1.74,0.50,1.79,1.84,1,1,1,4.15,1,0
45,2.23,2.21,4.85,11.5,1.30,1.50,1.87,1.76,0.50,1.77,1.86,1,1,1,4.15,1,0
46,2.23,2.21,4.85,12,1.30,1.50,1.84,1.79,0.50,1.74,1.89,1,1,1,4.15,1,0
47,2.23,2.21,4.85,12,1.29,1.50,1.82,1.81,0.50,1.72,1.92,1,1,1,4.15,1,0
48,2.23,2.21,4.85,12,1.29,1.50,1.79,1.84,0.50,1.70,1.95,1,1,1,4.15,1,0
49,2.23,2.21,4.85,13,1.28,1.50,1.76,1.87,0.50,1.68,1.98,1,1,1,4.15,1,0
50,2.23,2.21,4.85,13,1.28,1.50,1.74,1.90,0.50,1.66,2.01,1,1,1,4.20,1,0
51,2.23,2.21,4.85,13,1.28,1.50,1.72,1.93,0.50,1.64,2.04,1,1,1,4.20,1,0
52,2.23,2.21,4.85,14,1.27,1.50,1.69,1.96,0.50,1.61,2.08,1,1,1,4.20,1,0
53,2.23,2.21,4.85,14,1.27,1.50,1.67,1.99,0.50,1.59,2.12,1,1,1,4.20,1,0
54,2.23,2.21,4.85,15,1.26,1.50,1.65,2.03,0.50,1.57,2.16,1,1,1,4.25,1,0
55,2.23,2.21,4.85,15,1.25,1.50,1.62,2.07,0.50,1.55,2.20,1,1,1,4.25,1,0
56,2.23,2.21,4.85,16,1.25,1.50,1.60,2.11,0.50,1.53,2.24,1.50,2.69,1.38,4.30,1,0
57,2.23,2.21,4.85,16,1.24,1.50,1.58,2.15,0.50,1.52,2.28,1.50,2.62,1.40,4.30,1,0
58,2.23,2.21,4.85,17,1.24,1.50,1.56,2.19,0.50,1.50,2.33,1.50,2.55,1.42,4.30,1,0
59,2.23,2.21,4.85,18,1.24,1.50,1.54,2.24,0.50,1.48,2.38,1.50,2.49,1.44,4.35,1,0
60,2.23,2.21,4.85,19.83,1.29,1.50,1.52,2.28,0.50,1.46,2.43,1.50,2.42,1.47,4.61,1,0
