min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1.96,3.55,0.50,2.62,1.40,1,1,1,3.50,1.20,3.65,3.30,0,0
6,1,1,1,1.97,3.55,0.50,2.59,1.41,1,1,1,3.50,1.19,3.70,3.25,0,0
7,1,1,1,1.97,3.55,0.50,2.55,1.42,1,1,1,3.50,1.18,3.80,3.25,0,0
8,1.70,2.44,9.00,1.97,3.55,0.50,2.53,1.43,1.50,1.59,2.13,1,1,1,3.20,0,0
9,1.71,2.45,8.50,1.99,3.60,0.50,2.49,1.44,1.50,1.57,2.16,1,1,1,3.20,0,0
10,1.71,2.45,8.50,1.99,3.55,0.50,2.47,1.45,1.50,1.56,2.19,1,1,1,3.15,0,0
11,1.72,2.46,8.00,1.99,3.60,0.50,2.43,1.46,1.50,1.55,2.22,1,1,1,3.15,0,0
12,1.72,2.47,8.00,2.00,3.60,0.50,2.41,1.47,1.50,1.53,2.25,1,1,1,3.10,0,0
13,1.73,2.47,8.00,2.01,3.60,0.50,2.38,1.48,1.50,1.52,2.28,1,1,1,3.10,0,0
14,1.73,2.48,7.50,2.02,3.60,0.50,2.35,1.49,1.50,1.50,2.32,1,1,1,3.10,0,0
15,1.74,2.49,7.50,2.04,3.60,0.50,2.32,1.50,1.50,1.49,2.35,1,1,1,3.05,0,0
16,1.74,2.50,7.00,2.04,3.60,0.50,2.30,1.51,1.50,1.48,2.39,1,1,1,3.05,0,0
17,1.75,2.51,7.00,2.05,3.60,0.50,2.27,1.52,1.50,1.46,2.42,1,1,1,3.00,0,0
18,1.75,2.51,7.00,2.06,3.65,0.50,2.25,1.53,1.50,1.45,2.46,1,1,1,3.00,0,0
19,1.82,2.41,6.50,2.18,3.35,0.50,2.31,1.51,1.50,1.40,2.62,1,1,1,2.96,0,0
20,1.94,2.55,7.46,2.30,3.58,0.50,2.28,1.52,1.50,1.39,2.65,1,1,1,3.08,0,0
21,1.84,2.43,6.00,2.20,3.40,0.50,2.25,1.53,1.50,1.38,2.70,1,1,1,2.91,0,0
22,1.89,2.41,6.00,2.27,3.30,0.50,2.22,1.54,1.50,1.34,2.85,1,1,1,2.85,0,0
23,1.89,2.42,6.00,2.29,3.30,0.50,2.19,1.56,1.50,1.33,2.90,1,1,1,2.83,0,0
24,1.90,2.43,5.50,2.30,3.35,0.50,2.17,1.57,1.50,1.32,2.95,1,1,1,2.81,0,0
25,1.91,2.44,5.50,2.31,3.35,0.50,2.14,1.58,1.50,1.31,3.00,1,1,1,2.78,0,0
26,1.92,2.45,5.00,2.31,3.35,0.50,2.11,1.60,1.50,1.30,3.05,1,1,1,2.76,0,0
27,1.93,2.46,5.00,2.33,3.35,0.50,2.09,1.61,1.50,1.29,3.10,1,1,1,2.73,0,0
28,1.94,2.48,5.00,2.35,3.35,0.50,2.06,1.63,0.50,2.58,1.41,1.50,2.01,1.66,2.71,0,0
29,1.95,2.49,5.00,2.36,3.35,0.50,2.04,1.64,0.50,2.54,1.43,1.50,1.97,1.69,2.68,0,0
30,1.96,2.50,5.00,2.37,3.40,0.50,2.02,1.65,0.50,2.51,1.44,1.50,1.94,1.71,2.66,0,0
31,1.97,2.52,4.90,2.38,3.40,0.50,1.99,1.67,0.50,2.47,1.45,1.50,1.90,1.74,2.64,0,0
32,1.99,2.53,4.75,2.39,3.40,0.50,1.96,1.69,0.50,2.43,1.46,1.50,1.86,1.77,2.61,0,0
33,2.00,2.55,4.60,2.40,3.40,0.50,1.94,1.71,0.50,2.39,1.48,1.50,1.83,1.80,2.59,0,0
34,2.01,2.56,4.50,2.42,3.45,0.50,1.92,1.72,0.50,2.35,1.49,1.50,1.80,1.83,2.56,0,0
35,2.03,2.58,4.40,2.44,3.45,0.50,1.89,1.74,0.50,2.32,1.50,1.50,1.77,1.86,2.54,0,0
36,2.04,2.59,4.30,2.46,3.45,0.50,1.86,1.77,0.50,2.28,1.52,1.50,1.74,1.90,2.51,0,0
37,2.05,2.61,4.20,2.47,3.50,0.50,1.84,1.79,0.50,2.24,1.53,1.50,1.71,1.94,2.48,0,0
